speaker,q&a,content
Company Participants,0,"Jim Lance - VP, Corporate Finance & IR
Lauren Peters - EVP and CFO
Richard Johnson - Chairman, President, and CEO"
Conference Call Participants,0,"Jonathan Komp - Robert W. Baird
Susan Anderson - B. Riley FBR
Paul Trussell - Deutsche Bank
Sam Poser - Susquehanna
Christina Fernandez - Telsey Advisory Group
Eric Johnson - Piper Jaffray
Michael Binetti - Credit Suisse"
Operator,0,"Good morning, ladies and gentlemen, and welcome to Foot Locker's First Quarter 2019 Financial Results Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session.
This conference call may contain forward-looking statements that reflect management's current views of future events and financial performance. Management undertakes no obligation to update these forward-looking statements which are based on many assumptions and factors, including the effects of currency fluctuations, customer preferences, economic and market conditions worldwide, and other risks and uncertainties described more fully in the company's press releases and in reports filed with the SEC, including the most recently filed Form 10-K or Form 10-Q. Any changes in such assumptions or factors could produce significantly different results, and actual results may differ materially from those contained in the forward-looking statements. Please note, that this conference is being recorded.
I will now turn the call over to Jim Lance, Vice President, Corporate Finance and Investor Relations. Mr. Lance, you may begin."
Jim Lance,0,"Thank you. Welcome everyone to Foot Locker, Inc.'s first quarter earnings conference call. As reported in this morning's press release, the company reported net income of $172 million in the first quarter, driven by a 4.6% comparable sales gain and an improved gross margin rates. This compares to net income of $165 million in the first quarter of last year. Earnings per share came in that $1.52 compared to $1.38 per share in the first quarter of 2018. Included in this year's results is an incremental $1 million charge related to the pension matter that we have spoken about in the past. Last year the results included a $12 million charge related to the same matter. Excluding these items on a non-GAAP basis first quarter earnings were $1.53 per share, a 6% increase compared to $1.45 last year. 
Unless otherwise noted the figures and rates mentioned during our call today will be based on non-GAAP results. A reconciliation of GAAP to non-GAAP results is included in this morning's press release. We will begin our prepared remarks with Lauren Peters, Foot Locker's Executive Vice President and Chief Financial Officer who will provide details on our first quarter financial results along with our financial outlook for the balance of the year. Dick Johnson, Chairman and Chief Executive Officer will review the key drivers of our first quarter performance, then provide an update on the progress against our long-term strategic imperatives as well as some color around what we see as the current year progresses. Lauren."
Lauren Peters,0,"Thank you Jim. Good morning to all of you and thank you for joining us today. 2019 has gotten off to a solid start. Led by the mid single-digit comparable sales gain, the top line came in where we expected and it reflects the ongoing work by our team to build even stronger connections with our customers. Reviewing the results in detail, comparable sales increased 4.6% and overall sales rose 2.6% including the impact of weaker foreign currencies compared to a year ago which reduced sales by $42 million. 
On a constant currency basis total sales increased 4.7% with gains in all of our regions and channels. By month February comparable sales were up mid single-digits. March was also up mid single-digits despite the impact from the shift of Easter into April. April benefited from the shift and was up high single-digit. Breaking out our comparable sales gains by channel our stores were up 2.9% while our direct to customer channel led our performance with a 14.8% sales increase. As a percent of total sales DTC rose to 15.4% for the quarter up from 13.9% last year reflecting our recent investments and initiatives to drive growth in this area. Store traffic was down low single-digits overall while conversion improved. Our digital touch points led by mobile saw overall traffic growth.
The drivers of the sales performance in the quarter were broad based. In North America Champs Sports led the way with a low double-digit comp gain. Foot Locker U.S. and Foot Locker Canada were each up mid single-digits and Eastbay posted a low single-digit gain. Internationally all of our divisions posted comparable sales gains. Foot Locker Pacific had the strongest performance with comparable sales up double-digits. Foot Locker Europe produced a mid single-digit increase, its third consecutive quarter with a comp gain. Runners Point and Sidestep returned to growth each posting low single-digit comp gain. On the other side of the ledger Kids Foot Locker posted a low single-digit comp decline due in part to limited quantities of high demand apparel. Footaction was down high single-digits due to softer demand in their mens footwear business
Turning to the families of business footwear was the strongest category with mid single-digit comp gains while apparel was up low single-digits. In our accessories business fashion bags were strong but that impact was offset by declines in socks and hats leading to a double-digit decline. Within footwear our women's business had an excellent result during the quarter posting a low double-digit increase. Children's footwear was up high single-digits and men's increased mid single-digits. Average selling prices in footwear were flat in the quarter while units were up high single-digits.
By category men's classics posted strong double-digit gains and men's running was up high single-digits. Trends in men's basketball improved during the quarter with comp sales down slightly. Overall drivers were broad based with gains in Nike, Puma, Adidas, Fila, Vans, and offerings from Jordan. In a few minutes Dick will provide additional color on some of the quarter's exciting concepts and collaborations.
Turning to apparel I mentioned we were up low single-digits for the quarter. This was led by our men's business which grew mid single-digits while women's was down low single-digits and children's decreased low double-digits. Average selling prices in apparel were up high single-digits in the quarter, while units were down mid single-digit which reflects our focus on a more premium apparel strategy. Overall branded assortments continued to drive the business with gains in Tees and fleece from Nike, Champion, Jordan, and Fila. Our men's shorts business also picked up led by assortments from Nike and Champion.
Turning now to margins, as we laid out at our recent Investor Day to build upon our customer connections we have and continue to make strategic investments in our company's digital capabilities, store fleet, and infrastructure. Even as we do this we are focused on operating the business efficiently and effectively to improve the bottom line. In the first quarter we were able to lever on a mid single-digit comp gains to improve our gross margin by 30 basis points to 33.2% of sales from 32.9% a year ago. Our merchandised margin rate decreased 20 basis points while leverage of our relatively fixed occupancy and buyer's compensation expenses gave us 50 basis points of improvement. The merchandised margin was impacted by the higher mix of DTC which incurs higher freight expense. 
Our SG&A rate in the quarter increased to 20% of sales from 19% in the same period a year ago. The higher expense was largely due to the investments we're making in our digital capabilities and infrastructure as well as pressures related to a higher minimum wages. Another contributing factor during the first quarter last year SG&A included a onetime benefit of approximately $5 million from insurance recoveries related to Hurricane Maria. Depreciation expense decreased to $44 million from $45 million in the prior year. Interest income increased to $4 million from $2 million last year due to the higher interest rates on our cash balances. Our first quarter non-GAAP tax rate was 26.4% below last year's Q1 rate and better than expected due primarily to an adjustment to a foreign tax credit valuation allowance.
Moving on to the balance sheet, we ended the quarter with $1,126 million of cash and cash equivalents, an increase of $97 million from the end of Q1 last year. During the first quarter we repurchased approximately 32,000 shares for $1.8 million. While repurchase activity was limited in the first quarter during which we laid out our new strategic plan, we do intend to continue to implement and our previously announced $1.2 billion share repurchase program when appropriate. Execution of the program is of course subject to various strategic, financial, and legal parameters which may vary from time to time. That being said we paid out $43 million were recently increased $0.38 quarterly dividend which represents a 10% increase over the previous dividend rate.
In terms of capital expenditures we invested approximately $45 million into our business during the quarter consistent with the objectives we outlined in March. This funded the opening of 14 new stores including two power stores and our sixth store in Asia as well as the remodeling or relocating of 13 stores. We also closed 34 stores leaving us with 3,201 company owned stores at the end of the quarter.
Our inventory continued to be well positioned at the end of April with a year-over-year increase of just 0.1% compared to our 2.6% reported sales increase. On a constant currency basis inventory increased 1.7% compared to the 4.7% currency neutral total sales growth. Our inventory remains fresh and productive and we are well positioned to continue flowing new product in Q2.
Turning now to our financial outlook for the remainder of 2019. For the second quarter which as a reminder is typically the lowest volume quarter of the year with no big call to action shopping events, we now expect a low to mid single-digit comp gain. The gross margin is likely to be flat to down 20 basis points. For the full year we continue to expect to deliver in mid single-digit comp gains with 20 to 40 basis points of gross margin improvement. On the SG&A front we expect the expense rate to increase 80 to 100 basis points in the second quarter with an expected improvement in SG&A deleverage through the back half of 2019 as I noted during our Investor Day. For the full year we expect to delever SG&A by 40 to 60 basis points, on track with our previous guidance.
Finally we still expect depreciation to be approximately $185 million and our full year effective tax rates to be about 27.5%. All that being said the slower pace of share repurchase activity so far is putting pressure on our EPS growth rate and we now expect full year earnings per share to increase high single-digit. I am going to now turn the call over to Dick to provide you additional insight into our first quarter performance and how we're doing in executing against our updated strategic imperatives."
Richard Johnson,0,"Thanks Laure and good morning everyone. We kicked off the year with tremendous energy starting with big events like the NBA All-Star Game in Charlotte, the opening of two more power stores, initial launch of our new FLX membership program, ongoing expansion in Asia, exciting new product concepts and storytelling, and the release of our strategic imperatives and updated financial objectives at our recent Investor Day. Even with all of that happening we remain focused on execution to produce a solid top line results in the first quarter with comparable sales up mid single-digits. 
This encouraging performance reached across regions, most banners in our men's, women's, and kids businesses. To continue this momentum we are managing the business with our four key strategic imperatives in mind. First, elevating the customer experience; second, investing for long-term growth; third, driving productivity, and fourth, leveraging the power of our people.
Let's start by reviewing some of our efforts to elevate the customer experience through the lens of our customer connected framework RF5C [ph]. First, our team did an excellent job this quarter leveraging our strong vendor partnerships and the internal talent to deliver compelling and unique concepts and collections. With Nike the next generations of our exclusive home and away platform were released in Dallas, Seattle, and Philadelphia. This release celebrated what makes those cities great.
To have a Nike day collection was a customer highlight, a great lead into Air Max. While the Jordan Nostalgia Pack included footwear and apparel assortments that connected today's customers to the brand's history. With Adidas we partnered on the launch of two collaborations connected to youth culture. The Game of Thrones ultra boost collection leveraged the excitement of the show's final season while the Adidas Marvel collections celebrated the release of the latest Avengers movie, one of the top grossing movies of all time and included 2 AM styles made specifically through the SPEEDFACTORY partnership. Champ Sports aligned with Fila and Nickelodeon to channel 1990s nostalgia with an exclusive Rug Rats collection. And with Vans we collaborated on it's Off The Waffles collection which was created with a popular restaurant Sweet Chick and launched exclusively with us. At the release party we organized a surprise performance by musicians Nas and Ray Kwan [ph] delighting the lucky customers in attendance.
But offering exciting products is not enough, we need great content to connect with our customers through compelling storytelling. To accomplish this during the quarter we used multiple channels to build excitement around the premium special products offered across our banners. In March we launched the Discover Your Air Network with cable inspired programming for the ultimate sneaker head in the Air Max fans across all ages. The network featured shows including the animated The Air Pair fitness show and Airobics and sitcom Air It Out. This programming was led by an impressive lineup of talented influencers across the style, pop culture, comedy, art, and sports. Our customers were able to access this content through Foot Lockers Instagram, Facebook, Snap Chat, and You Tube channels.
To celebrate the impact of women in sneaker culture we put our own twist on Women's History Month with a special celebration called Women's Kickstory month. Throughout the month we held a series of events including women centric workshops, panel discussions with New York City based women in speaker culture, and our first ever Kickstory Museum featuring sneakers made for women or by women. During fashion week in Europe Foot Locker partnered with female influencers from the You Tube collective Neva in their search for the hottest styles captured in three Instagram takeovers from Paris, London, and Milan. 
As part of the International Women's Day we teamed up with five female creators and provided them with a platform to showcase their product or youth culture related artwork on our social media channels, in-store, and in our Foot Locker Europe websites. Another key focus for us is building community. We are doing this by developing innovative local experiences to tap into our customer's interests and passion. At this year's NBA All-Star Weekend in Charlotte our mobile House of Hoops courtside concept brought an action packed lineup of Foot Locker events. Not only did we bring great product but NBA fans and sneaker heads alike got access to workshops with their favorite players including Jayson Tatum, Ben Simmons, and Kyrie Irving. In addition Russell Westbrook and Paul George served on a panel and engaged with young fans regarding sneaker designs.
Highlighting our global skill this year we brought the excitement of NBA All-Star weekend to Australia. Our Foot Locker Pacific team brought a House of Hoops truck to iconic Federation Square in the heart of Melbourne loaded with limited edition sneakers and jerseys. While customers also participated in the three point contest and watched games and highlights. Back in the U.S. Eastbay presented the 89th AAU James E. Sullivan Award to Stanford volleyball player Kathryn Plummer at the New York Athletic Club. The award is presented annually to the most outstanding amateur athlete in the U.S.
In February Champ Sports and Eastbay joined with New Balance and MLB star Francisco Lindor in a pre-season visit to Puerto Rico. While there he surprised 400 kids at the opening of a baseball field and a local youth park that had been damaged severely by Hurricane Maria. He then made a store appearance and met with fans during the launch of the New Balance 997H. These are all great examples of how we are partnering with brands, local businesses, and influencers that serve their communities. They also reflect how our customers connect with us through our stores, digital channels, social media, and nomadic retail. 
We are continuing to build this connectivity and leverage the data we give through our wide range of touch points in order to provide our customers with even more exciting avenues to engage with us. One of the biggest near term opportunities for us to leverage this data is the rollout of FLX our new membership program. FLX motivates our customer to stay within the Foot Locker portfolio of banners by offering exciting and relevant experiences and benefits. This program is now live at Lady Foot Locker in the U.S. and Foot Locker Netherlands with an expanded role out expected later in 2019.
We are also working to make the retail customer experience more convenient while continuing to deliver on ever evolving customer expectations. In Europe we rolled out our launch reservation app in our first two markets. The app creates a more seamless and convenient customer experience during hot product launches removing the need for our customers to stand in line for hours and freeing up our associates to be more productive.
Turning to our second strategic imperative, investing for long-term growth we are focusing on opportunities that drive connections with our customers, give us new capabilities, and expand our geographic reach. During the quarter we opened our third North American power store in Philadelphia. We also opened a power store in Milan but our first on the European continent. All stores are designed to connect with and celebrate their local communities with special activation spaces, localized product, dedicated women's and kids' spaces, and more. We still expect to open more than a dozen power stores in 2019 with additional locations in New York, Los Angeles, Frankfurt, and Melbourne.
We also continued our expansion in Asia with the opening of our store in Singapore's Jewel Mall at Changi Airport. The store is our fourth in Singapore and has two floors with full family shopping and designated men's, women's, and kids areas. For the remainder of 2019 we are on track to open 15 stores in Asia.
Moving on to our third strategic imperative, driving productivity we're focused on this at every level of our company. Effective inventory management is one of the key levers we have to drive productivity across our portfolio. With that in mind we are currently rolling out RFID technology in our Foot Locker Europe stores. We believe this technology has the potential to improve our operations and overall customer experience in a number of ways. First more accurate inventory tracking can drive sales growth by providing associates and customers the ability to find every piece of merchandise down to the last unit available whether it's for an in-store customer or an online order. Second, it has the potential to free our associates to focus more on serving our customers and less on organizing back rooms and restocking floor inventory. And third RFID can help limit theft and make the audit process faster and more efficient.
Another key area of investment to drive productivity has been the rollout of our new point of sale software solution. It's been installed in nearly all of our U.S. store. We are now focused on making significant progress across our international markets with approximately 40% of our European stores already live. This new solution gives us additional capabilities to better serve our customers including data capture, FLX enrolment and redemption, email receipts, and improved order tracking which brings me to our fourth strategic imperative, to leverage the power of our people. 
In order to drive productivity, invest for long-term growth, and elevate the customer experience we are tapping the expertise and talents across our global workforce. Our associates are on the front lines making sure that our customers have a great experience no matter where or how they interact with us. They're the key to making sure that the new systems are effective and installed in a timely manner. The customer events and footwear launches are successful and that our customers leave our stores happy and looking forward to returning soon. We continue to invest in the development of our associates and reap their collective insights to do what we do, better.
As we look to the rest of 2019 we are optimistic. The product pipeline is compelling with new concepts and collaborations coming soon. For example this includes the Nike summer blockbuster platform featuring lifestyle shoes that tell the story of NBA stars Jayson Tatum, Devin Booker, and De'Aaron Fox as well as the release of the new Gianna signature shoe. New iterations of the printed and unwanted transept with Adidas as well as limited run releases through our partnership with their speed factory. With Champion we recently announced our new e-gaming collaboration, we are looking forward to a number of other initiatives with them over the next few months. And lastly we see an ongoing opportunity in brand Jordan during the year led by great product, great storytelling, and an exclusive concept.
Before we open the call for your questions, I want to take a moment to thank all of our associates for the passion they bring to the business. With their hard work and dedication combined with the focus on achieving our four strategic imperatives we are providing great experiences for our customers and building and delivering value for our shareholders. Operator we're now ready to start the Q&A session."
Operator,1,[Operator Instructions]. Jonathan Komp from Baird is online with a question.
Jonathan Komp,1,"First Lauren just to clarify, I know you said sales in the quarter were pretty close to what you expected. Can you comment on margin performance, gross margin, and then the level of investment within G&A, how that ended up versus what you originally had expected, any areas of variance that you saw?"
Lauren Peters,1,"Well, again our margin performance we improved 30 basis points with 50 basis points of leverage on our fixed cost merch margins affected by the strength in DTC and that increases as a rate of penetration that's one of the dynamics. Of course those sales carry a higher freight but again we remain agnostic about how that customer shops across the channels because the finish margins allow us to be agnostic in that regard. SG&A we had several components in it as we described in Investor Day, bit more challenge there on the front half versus the back half, the big elements within SG&A on the delever are the technology investments but as we described that's yielding benefits to the business in the near-term and in the long-term but in the near-term seeing some leverage on that. So that was the biggest element there. We have the ongoing increases in minimum wage so we're very focused on our productivity improvements to minimize our expense on the back side of the house and maximize the effectiveness on the customer experience. And then the third element is the marketing, so we have many initiatives around that marketing and it is a bit variable with the DTC so you have strength on that. You see the marketing dollars fill up.
But with our data technology and FLX opportunities we're seeing the ability for that marketing to become ever more effective that we will get ever more able to see how that dollar of marketing drives a dollar of sales and margin. So those are the big elements that work there and again I would reiterate more pressure is on the front half than what we see coming in the back half. "
Richard Johnson,1,But Jonathan I would add that they were generally in line with our plan just like sales were to mid single-digit comp and the improvement in margin and the deleverage on SG&A were generally in line with what we expected.
