speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Frutarom Industries Ltd., First Quarter 2018 Results Conference Call. All participants are present in a listen-only mode. Following management's formal presentation, instructions will be given for the question-and-answer session. [Operator Instructions] As a reminder, this conference is being recorded, May 29, 2018. With us online today are, Mr. Ori Yehudai, President and CEO; and Mr. Alon Granot, CFO.
I would like to remind everyone that forward-looking statements for the respected company's business, financial condition and results of its operations are subject to risks and uncertainties that could cause actual results to differ materially from those contemplated. Such forward-looking statements include, but are not limited to, product demand, pricing, market acceptance, changing economic conditions, risks and product and technology development and the effect of the Company's accounting policies as well as certain other risk factors, which are detailed from time to time in the Company's filings with the various securities authorities.
Mr. Yehudai, would you like to begin?"
Ori Yehudai,0,"Yes, good afternoon and good morning everyone. I just want to add my friend here Mr. Roy Meltzer, VP of IR and Business Development also with us. I am delighted and very thankful for your participation in presenting the Frutarom results for the first quarter and maybe more important few words that maybe I am allowed to say about the potential and possible merger with IFF.
So the first quarter 2018, additional milestone in our journey of fast growth while improving sales, improving profits and so on as we have been able to do over the last couple of years following a good implementation of our strategy, combining profitable internal growth double then the growth in the market where we operate, together with strategic acquisition that bring additional record quarter double-digit growth in sales, profits, and nice improvement in margin.
On 7th of May three weeks ago, we signed an agreement -- merger agreement with IFF, a merger that is very exciting for me personally for us as management, a merger that will bring about the biggest fastest growing and most profitable company in our industry, and I will be happy to elaborate later on how I see the possible merger. But allow me to go back to Frutarom as a standalone since, till the merger happened Frutarom has managed completely separately from IFF. So, we are very pleased with the continued organic growth in Frutarom, our taste flavor division 73% of our total sales grew by above 8%, and our natural fine ingredient grew by 8.5% and already 22% of our total sales.
Total internal growth in our core business 8.3%, no doubt double than the growth of the world is seeing in the relevant area where Frutarom operate. We are also quite please to see the improvement margin following the growth in the business. A record EBITDA in our core business for first quarter by the way should be our weakest quarter definitely not one of the strongest one. Typically, the second and the third are the strongest one. In the first quarter, we achieved 22.2% EBITDA margin in our core business compared with 19.7 in the parallel quarter, supported by a handsome improvement in the EBITDA of our natural fine ingredient jumped from 19% EBITDA last year to 25% EBITDA this year.
This comes mainly from two main projects. One is good integration of Enzymotec, which we said we've contribute at least 1% to the total gross margin and EBITDA and EBITDA margin of Frutarom, but of course a much more significant influence on fine ingredient business. And the good implementation on the project that is one of the most important one, we are working on last two years of our natural botanical extract business that are growing double digit over the last couple of quarters including first quarter. And I'm happy to say continue to see that growth both in Enzymotec and in our natural botanical extract business.
In our taste division, 21.1% EBITDA compared with 19.7 in the first quarter last year supported by the internal growth and the integration that was implemented over the last two years. We strongly believe our profit and margin will continue to improve in the rest of the year supported by the full synergies from the integration of Enzymotec that is now already into place, and the integration and the botanical extract project mainly following the closure of the expensive Swiss, Wadenswill operation that should be shutdown at the end of June. And as of the second half of the year, we will see on a yearly basis saving of $6 million that will come to the bottom line that we don't see right now.
We also feel very confident that the internal growth will continue in a nice way. The improvement in profit and margin will continue and 2018 will be another record year for Frutarom in all parameters as we expected. The internal growth and the improvement in margins coming from several main factors and I will go over them very quickly. Focus on natural product and special solutions in the area of taste, nutrition and health and the combination of product that we tailor-made for our customers, 75% of our business today with natural products. This percentage, this percent go up every year and I believe we will continue to go up while we invest more and more both in R&D in acquisition and in capacities to grow our natural solution business both in fine ingredient and in the taste business.
The second important differentiation of Frutarom is our customer focus. Over 70% of our business with smaller local food and the other companies special emphasis on the private label sector about 25% of our total sales and this type of customers are growing in the last year at a much higher rate than most of the multination that our bank from Frutarom typically niche added value solution and Frutarom is not the core list of these customers by the way I open record opposites to IFF.
And on top of that very, very significant opportunities in cross-selling that are contributing nice part of the internal growth. We nominated business managers for each of our products category and technology, and the work between them and the local sales people 1,200 sales people serving 35,000 customers in 160 countries is going much better than before, and we see the results in the fruits and I think it’s only the beginning of that.
The third element is improved geography mix higher portion in emerging market that are reaching almost 45% and the higher sales in North America helping us to improve internal growth, organic growth as we are seeing. The integration and the efficiency program are contributing to the improvement in profit and the margin. Following the faster internal growth over the last two years and the 14 acquisitions, we implemented since the beginning of 2017. Our sales revenue on a pro forma basis 2017 is above 1.5 billion and that’s before a contribution of the internal growth of 2018, but as you can see, it’s quite sizeable and added to the 1.5 billion.
Based on our strong competition situation increased internal growth, the acquisition we made and the strong pipeline of acquisition we will be making, and the contribution of the efficiency program including the global purchasing that we are building, we believe we’re in the right way to achieve our 2020 goal, to achieve sales of above $2.25 billion with EBITDA margin in our core business of above 23%. By the way, I believe this number will be achieved much before 2020. And if you look at the first quarter, if you look at last year, you can see that the trend is there and the 23% EBITDA core will be achieved before 2020.
Frutarom is entering into 2018 in its most in the strongest position we ever seen, we’re growing faster, our turnover double itself again in the last four years. Strong experience committed management improvement in our core business and its profitability that will continue to improve in the rest of the year. Stronger global operation 74 production sites, 93 R&D lab, 111 sales and marketing offers supporting our 35,000 customers, 12,000 of them were acquired in the last five years through 38 acquisitions that we made. And I mentioned before, the main differentiation of Frutarom with customers and product and solution.
If I go to the first quarter results, sales grew by 27% reached $385 million organic internal growth excluding currencies and acquisitions in our core business 8.3%. Our taste business growing at a CAGR of 24% a year since 2000 and already 73% of our total sales achieve growth of 28% reached 281 million with organic growth of 8.1%. Our fine ingredient growth of almost 30% which $87 million, internal growth 8.5% and the fine ingredient is already 22% of our total sales, this number I believe we will continue to grow with the actions that we are taking. While we exclude some minor one-time effect mainly connected to the botanical extract projects and the closure down of Wadenswill that is mentioned, will bring 6 million to the bottom line as of the second half we see an improvement in our profit and the margin in our core business.
Gross margin in our core business grew by 34%, gross margin 41.9% almost 42%, EBITDA a jump of 44%, EBITDA margin 22.2% and net profit for the total company increased by 35% and reached $46 million with net margin of above 12%. Our growth strategy as mentioned before both in product, we continue to grow our flavor business, entered into several new markets for Frutarom like France, Thailand and Vietnam through several acquisitions. Several other acquisitions are strengthening our position in existing markets like Brazil, UK, Switzerland and the South Africa and Sub-Sahara. In December, we agreed to acquire Bremil, the largest savory solution business in Brazil. This acquisition will be finalized hopefully in the next coming few days and will allow us again to be the leader, the leading player in savory solution in Brazil with very good access and relationship with the largest meat processors and the ready food, ready meals manufacturers in this important country and the region.
When we go to our specialty and depreciation in products, we built the leadership position over the last few years in natural food protection, natural antioxidant, preservative and protecting food, all natural replacing synthetic, entered into the natural color and became one of the largest five players in the area. Recently, we finished building a compounding an application lab in our production site Etol in Slovenia that will be our European center and will allow us to penetrate with color solution to our customers, not only with single color that are extract, this will allow us both to grow faster and more importantly to improve margin on our natural color and some additional moves very interesting acquisition in the active cosmetics ingredients required IBR in Israel with very nice product lines, very unique natural extraction with clinical studies.
Last year, the Company grew by 40%. The growth that we are seeing in the first quarter is very, very nice double digit growth that we believe will continue for 2018 and that is before us. A very nice growth in our biotechnology algae-based business, again for active cosmetics, we're about to sign additional contract that will increase our sales by 50% and these are also very very profitable products. All these natural solution clean labels are what billions of consumers want to see in their food and the demand to replace synthetic chemically based product to natural product that are more than 75% of our total sales.
Few words with your permission on Enzymotec, the acquisition we finalized at the beginning of January, an excellent acquisition, a very good implementation integration into Frutarom, a very very nice pipeline of new products supported by $30 million invested in R&D with 160 patents for unique products in the nutrition ingredients and food supplements. We entered into the fascinating area of infant and elderly nutrition that is growing very, very fast primarily in China where we are increasing our market share and the business again very, very nice double digit growth.
The partnership we have in the infant nutrition with AAK, the Swedish company was enlarged recently for additional five years with a clear plan to increase production capacity that is needed in order to meet the demand that we are seeing now and we'll see in the near future. We are going to launch this year at least two new products after 10 years that Enzymotec did not launch any new product on top of the main product the infant that itself are going very, very nicely. We work on cross-selling with many customers of Frutarom and Enzymotec on food supplements, nutrition ingredients, and are very pleased with the results that also you can see and the contribution that you can see in the first quarter that will be boost in the second quarter and going forward.
While we work on the focus on the Enzymotec, we decided to sell the krill business. Last year's sales $6 million, a loss, we sold the business for $26 million and more importantly free-up half of the capacity in the nice $40 million investment in Enzymotec. We will use this half to move other production from other sites while improving our efficiency. This will happen within the next 6 to 9 months. Frutarom Israeli headquarter was already merged with Enzymotec. We changed management and we continue to work on the optimum efficiency from combining the Enzymotec operation with the Frutarom. I mentioned before, the interesting acquisition of IBR. Again, we are moving some of the production to Enzymotec. We have a lot of synergies and many cross-selling with customers and products.
On the geography side, we continue to see a very nice growth in emerging market. In the last five years, sales to emerging market grew by more than three times and that are today 45% of our total sales. In Asia, we achieved in the first quarter growth of 26% combination of fast organic growth, supported by our new site in China, cross-selling opportunities and acquisition. About 10% of our total sales today are in Asia much below what we want to have, and if the deal with IFF happens, of course the strength of IFF in Asia will bring us another jump in this very important fast growing area.
Latin America in the last five years, we increased our revenue by 7, supported by 7 acquisitions. In the first quarter, sales grew by 33% and Latin America is today around 15% of our total sales compared with around zero in 2010. The acquisition of Bremil that I mentioned before, it will be implemented in next coming very short period. We’ll contribute to our leadership position in the several areas in Latin America. We’re happy with the growth we're achieving in Africa. In Central and East Europe where we are the leader player, both in Central and in East Europe, we see nice growth there that help us to achieve the results that we are showing the same happen in North America in the last five years. Our sales grew in North America by almost 4 times and our flavor sales grew by 11 times since 2010.
To some up, we are happy with the first quarter results that represent a good implementation of our growth strategy and other milestone in the journey that Frutarom is taking over the last 30 years. We are optimistic about 2018 that will be another record year for Frutarom growth because of the internal growth, the uniqueness in product, our ability to give tailor-made solution to our customers cross-selling opportunities, a very good pipeline with thousands of customers, a better geography mix, operational efficiency, global purchasing and additional strong pipeline of acquisition supported by stronger cash flow and very nice pipeline of acquisition that we’re working on all the years around 200 companies on our short-lift out of 1,200 potential out of them 20 in several stages of negotiation and we hope to see additional acquisition in 2018.
Much more than that, we are very excited and looking forward to the Frutarom integration with IFF that I believe personally and we believe as management is another milestone, significant milestone in our growth story. This merger with IFF will create the largest global company in the areas of flavors, fragrances, natural, fine ingredient including for nutrition, for health, for taste and of course for sales that IFF is one of the global leaders. I strongly believe that the combine company will be fastest growing and will have the highest margin in the industry, and I’m sure that the new merged company will bring very nice value creation to all stakeholders including our shareholders, our employees and our customers.
We have to remember the main logic for this deal is about faster growth both internally and through additional acquisition. It's very, very important to mention and to evaluate that Frutarom business and IFF business. The two companies are very complimentary one to each other. They are very little overlapped between the activities of the two companies and I will mention few of the main elements. Talking about customers, IFF is a global leader with the large global companies and it's on our core list of most or all, the multinational while Frutarom is not on the core list of any of them, and only less than 30% of our total sales are with the multinational typically niche added value solution that the other large companies don’t have like natural solutions and others.
Over 70% of our sales with smaller, mid-sized, customers, private label customers that are growing much faster than many of the multinational, so that together while keeping the frontend and the service to the customer to both customers, to the IFF large customers in the excellent way that IFF used to do and to the service to the Frutarom customers in a very good way that Frutarom give the right support, the right value, the right service to our customers. The frontend will be maintained in order to achieve the internal growth that we are achieving up till now with additional very, very significant cross-selling opportunities that Frutarom has before and with IFF, we have much more together.
I believe that the product line that the two companies have while Frutarom is contributing its strength in natural product 75% of our sales combination on solution combining taste, nutrition and health fast growth in natural health ingredient, natural color, natural antioxidant, the entrance into infant and elderly nutrition with Enzymotec, the acquisition that we did in active cosmetics ingredient where IFF is a very strong player and did several acquisitions, so Frutarom is contributing to that new product and new technology. In the last 12 years, Frutarom built a leadership global position in savory solution to the processed meat and fish and to the ready meal industry. IFF is not core in this area, so again complimentary business not overlapping business and a lot of cross-selling as I mentioned.
We are very, very excited to use -- to be able to use the excellent technology platform and science that IFF invested in over the last many years. All these technology will be available to 35,000 customers of Frutarom and I'm sure this will boost our internal growth of the combined company. When you look at geography, again very complimentary, Frutarom is very strong in Europe and mainly in Central and East Europe where IFF is not strong. IFF is much stronger than Frutarom in the United States and in Asia, and together we are creating the best and strongest sales and marketing organization in our world, both in geography and technology and product and solution and customers.
And I believe that combining the strength of IFF and Frutarom is two excellent companies with both mid-sized smaller, local customers and the multinational we are creating the best company in the industry. While adding to that the operational synergies that we are committed to achieve of above $145 million that we come primarily from harmonization and global purchasing and combining operational size to enjoy the best site that the two companies have together, I believe we are creating one plus one equal to four and not two and ultimately not 1.5. This is also the reason why Frutrom choose and build, a build structure that combine one third of the value of Frutarom in IFF in the combined company shares because we want to enjoy the value creation that this merger and integration will bring.
The deal is subject to remain I believe more technical processes. One is the approval of Antitrust Commissioner in some relevant countries since the businesses are very complementary. Personally, I don't see a real difficulty in getting the approval that will happen within the next couple of months. The second element that we need to achieve is the approval of Frutarom shareholders in a shareholders meeting that will be called following the registration of IFF shares with the U.S. SEC that we're working on together with IFF.
Again, I don't expect that this will be a burden on achieving and finalizing the deal. And I'm sure that the deal will be approval by the Frutarom shareholders with full support both of ICC as a major shareholder, myself, the management and many other investors that I speak with. In the same time, we work together with IFF to start planning the post-merger integration the PMI on all its relevant areas. And I'm sure, that together with the excellent team of IFF heading by the Chairman, Andreas Fibig, my friend with whom I am in very direct and friendly professional contact. We will build together the largest fastest growing and most profitable company in our area.
If you allow me on a personal note, I believe that we are creating with this merger a very exciting investment opportunity. I'm not talking about arbitrage or dollar-shekel or any other element that the some investors or analysts are focusing. What I suggest is to look on the total picture to combine Frutarom with its growth IFF with its growth. The operational synergies, the cross selling opportunities and look at the value of the total company. And I'm sure that you'll reach a very interesting conclusion that I reached. So, we are very excited and going into this venture and this journey with the full trust that we are making the right step, in the right direction, in the right time. I thank you for listening to me for a so long time.
And I will be very happy to answer any question you have together with my colleagues here."
Operator,1,"Thank you. Ladies and gentlemen, at this time, we will begin the question-and-answer session. [Operator Instructions] The first question is from Tavy Rosner of Barclays. Please go ahead."
Tavy Rosner,1,"First, I wanted to ask you about the acquisition that you made over the past couple of years. In most cases, you always often talked about the founder as you know staying on board for at least couple of years. So I’m just wondering, the potential acquisition by IFF changes anything i.e. does it trigger any earn out as far as these managers are concerned, and more generating speaking, as you've seen they feel about being controlled by company in the size of f Frutarom and then suddenly entering into a very much larger organization?"
Ori Yehudai,1,"Thank you, Tavy for this important relevant question. I see it is part of my job in the next coming few months before the deal conclude. And I have obviously as you can imagine discussion with Frutarom partners, many of them are very happy with the acquisition and see more opportunities than they saw before with the platform of IFF. Some of them no doubt have some concern because people generally don’t like changes, but I strongly believe that together with Andreas, the Chairman of IFF, we will find the best solution and we’ll continue to work in an amicable way with those partners to the benefit of the combined company."
Tavy Rosner,1,"And then, I think last couple of quarters you talked about global purchasing power and having -- but half of your raw material being purchased with the program. Are you still on track with that? And how will the acquisition by IFF change this ratio?"
Ori Yehudai,1,"Look, we had a target of 50% that unfortunately we did not achieve because we are focusing more on so many acquisitions that we did over the last two years. Important part of the synergies that we see and more than we, IFF see, in the combination of Frutarom and IFF, is using the very, very strong purchasing power and the global purchasing organization of IFF that Frutarom didn't have, and we already working on teams that following the closer of the deal. We will work on harmonization and the deal with low-hanging fruits to achieve the best cost of raw material that will improve, and we’ll contribute very nicely the dollars that we are looking for from global purchasing. I strongly believe that this will bring a very significant value over relatively not long period following the closer of the deal something that Frutarom just started to enjoy, but together with IFF, we have much more purchasing power and more important IFF has very strong global purchasing that Frutarom didn't have."
Tavy Rosner,1,"That’s helpful. And then maybe a last one if I may. If you look at Frutarom on the standalone basis that you said that regarding the guidance for 2020, your revenue run rate is already on track and your margins are pretty much where you want them to be. So why not update their guidance, if we are still confident about the run rate and the margins and expansion?"
Ori Yehudai,1,"Tavy, my friend, we update the target three times I think over the last three years. We are in a process of implementing the merger with IFF. I believe that following the closure of the deal, the combined company under the management will put the right targets with the right strategy that I'm sure will bring the value creation that I'm expecting to achieve as a shareholder in the combined company."
Operator,1,The next question is from Brett Hundley of Vertical Group. Please go ahead.
