speaker,q&a,content
Operator,0,"Welcome to the Fisher & Paykel Healthcare's Results Conference Call. My name is Melinda, and I'll be your operator for today's call. At this time everyone except the guest speakers will be in a listen only mode. Later we’ll conduct the question-and-answer session. [We ask for your assistance in keeping the call to a maximum of one hour]. [Operator Instructions] Please note, this conference call is being recorded.
I would now like to turn the call over to Marcus Driller, General Manager, Corporate. Please go ahead."
Marcus Driller,0,"Thank you, Melinda. Well, good morning, everyone, and welcome to the Fisher & Paykel Healthcare 2018 financial year results conference call. On the call today are Lewis Gradon, our Managing Director and Chief Executive Officer; Paul Shearer, Senior VP of Sales and Marketing; Tony Barclay, Chief Financial Officer; and Andrew Somervell, our VP of Products and Technology.
Lewis will first provide an overview, followed by some specific comments from Tony, and then we'll open up the call to questions for the team. We will be discussing our results for the year ended 31 March, 2018. We have earlier today provided our 2018 annual report, including financial statements and commentary on our results to the New Zealand and Australian stock exchanges. These documents can be accessed on our website at www.fphcare.com/investor.
With that, I'd now like to turn the call over to Lewis."
Lewis Gradon,0,"Well, thank you, Marcus, and welcome, everyone. We're pleased to report a strong result for the 2018 financial year. This year we estimate that our products were used in the treatment of more than 13 million patients in over 120 countries. Overall, operating revenue for the year grew 10% to a record NZD 980.8 million or 9% growth in constant currency terms. That's comprised of 13% constant currency growth in our Hospital product group and 4% constant currency growth in our Homecare product group.
Operating profit grew 12% to NZD 269.8 million and reported net profit after tax was up 12% on last year at NZD 190.2 million. This result was at the top end of our November guidance of NZD 185 million to NZD 190 million, and given that positive result, our Board of Directors has approved and increased fully imputed final dividend of NZD 0.125 per share, taking the total dividends for the year to NZD 0.2125 per share, an increase of 9% on the previous year.
In the Hospital product group, our devices and systems are used in invasive ventilation, non-invasive ventilation, nasal high flow therapy and during surgery. Growth in revenue from our Hospital products was strong at 13% in constant currency for the year and 15% for the second half. A highlight was the robust second half constant currency revenue growth of 25% from new applications consumables.
This was driven primarily by our Optiflow nasal high flow therapy, which is benefiting from a growing number of clinical studies pointing to its effectiveness in reducing the need for higher acuity therapies and the length of hospital stay for patients. In 2017, there were 259 studies published on nasal high flow therapy across adult, neonatal and pediatric patient populations. The amount of clinical interest in this therapy is extraordinary and it's encouraging for us to see more research being conducted on nasal high flow in patients that have a broader range of conditions.
We are also starting to see a number of studies exploring the effectiveness of this therapy in areas of the hospital outside of intensive care units, which traditionally is where most usage has been. During FY '17, we had a number of new product launches and we've continued the global rollout over the last year. Optiflow Junior 2, a nasal high flow system for infants, is now available in the U.S., Canada, Europe and India, in addition to New Zealand and Australia. Our F&P 950 respiratory humidification system for adults is continuing its global rollout and the infant version was recently launched in New Zealand and Australia.
On non-invasive therapy, the Nivario mask was introduced into the U.S. in the second half of this financial year and we're pleased with the very positive response we have received from customers on this innovative mask. There was a strong Northern Hemisphere flu season, which we estimate contributed between 1 and 2 percentage points to constant currency Hospital revenue growth.
Given the low global penetration of nasal high flow therapy, we believe we can continue to grow the new application segment of our Hospital business strongly for years to come. In our Homecare group, our products are used in long-term care facilities and home settings assisting in the treatment of obstructive sleep apnea, or OSA, and chronic obstructive pulmonary disease, or COPD, as well as other chronic respiratory conditions.
We have reported constant currency growth of 4% in our Homecare product group for the year, with OSA mask constant currency revenue growth of 5% and 2% for the second half. This is lower growth than we have experienced over the last few years as competitors introduced new masks to the market.
Our product pipeline is full and we expect our range of innovative and popular OSA masks to expand later this year. We do understand that there's interest in the specific dates of release for this new product, but for competitive reasons we don't think it's wise to provide that level of insight. What we can say is that we are expecting to introduce new products this year, and given the timing and the rigorous recycle, we expect contribution from new products in the FY '19 year will be muted.
We are pleased with the strong performance of our most recently released mask, the F&P Brevida nasal pillows mask. This gives us a competitive mask offering in each of the 3 major mask product categories.
OSA flow generator revenue declined 8% for the full year, but we saw 10% growth in constant currency terms for the second half. Our SleepStyle CPAP device, which was launched last year, is now available in Australasia, Canada, U.K., some European markets and has been very well received by customers.
We've also received great feedback on our SleepStyle patient engagement platform, an app and website connecting patients with their SleepStyle device and with their therapy. Through this platform, patients are able gain insights into their therapy progress. We're also able to identify common therapy issues and provide guidance on how to solve these.
These tools complement our InfoSmart Web system, which offers healthcare providers exception-based patient management, comprehensive reporting and a simple user experience. And for customers that want more flexibility with their data, InfoSmart offers an extensive set of APIs, enabling seamless integration into healthcare providers' systems. Our CPAP and related informatics systems position us well to continue our emphasis on masks and the COPD opportunity in the home in the future.
Our myAIRVO system, which is used to deliver Optiflow nasal high flow therapy in the home for patients with chronic respiratory conditions, continued to grow strongly.
Two research papers in particular were published this year which showed considerable benefits of our therapy. These included positive data around number of exacerbations, hospital admissions, quality of life, hypercapnia and progression of the disease. These new studies add to the small but growing body of evidence relating to the use of Optiflow nasal high flow therapy in the home with patients with COPD. We expect these studies will help drive clinical change and assist with the adoption of our myAIRVO system.
We again generated significant revenue from recurring consumables and accessories this year, accounting for 87% of operating revenue in the year and 87% in the second half. Gross margin increased by 31 basis points to 66.3%. In constant currency terms, gross margin for the year increased by 34 basis points and 22 points for the second half, primarily as a result of favorable product mix. Mexico manufacturing at 34% of output for both FY17 and FY18 made a lower contribution to gross margin improvement this year compared to previous years.
In Homecare, average selling prices declined as expected, generally within a 35% range. We expect FY19 constant currency gross margin improvement will be similar to FY18 as the benefits of new products and product mix continue. And we expect to have manufacturing lines commissioned in our second Mexico facility near the end of this financial year.
Moving on now to operating expenses. This year we have again increased our investment in R&D, with expenditure growing 10% to NZD94.7 million for the year, which represents 10% of revenue. We have a strong new product pipeline, including new humidification systems, flow generators, masks, consumables and information solutions all under development.
Selling, general and administrative expenses increased 8% to NZD290.9 million for the year or approximately 7% growth in constant currency terms, largely due to the continuing expansion of sales teams and promotional activities around the world and building out our global logistics network. We have included an update on the patent ligations proceedings in the press release and in Note 3 and Note 19 of the financial statements included in our annual report.
We incurred expenses of $15.6 million in FY '18 in relation to the patent litigation, which is net of $3 million of costs recovered in relation to legal proceedings in Europe. Assuming a continuation of current actions, we expect to incur these costs at a similar run rate during FY19, which is included in our earnings guidance. We anticipate that in constant currency terms our operating expense growth for the FY19 year will be broadly in line with underlying revenue growth.
Now, before passing the call over to Tony to discuss our balance sheet, cash flows and foreign exchange position, I'd like to acknowledge that after delivering over 30 of these results conference calls, this will be Tony's last given that he's retiring at the end of this month. Tony has been a key member of our leadership team for 22 years and he's been instrumental in the growth of this business. So Tony, my friend, over to you."
Tony Barclay,0,"Thanks, Lewis, and good morning, everyone. Looking first at cash flow. Operating cash flow was strong as expected at $248 million, reflecting good cash conversion and a modest reduction in working capital requirement, principally through supply chain optimization of inventory holdings. We expect operating cash flow to continue to track closely with earnings for FY '19.
CapEx including intangibles was $99 million for the year, somewhat below our forecast. However, this is primarily due to the timing of spend on our two building projects. The majority of CapEx for the current year was for increased manufacturing capacity in new product tooling, with $40 million spent on the building projects.
Cost associated with the SAP projects are included in intangible expenditure. SAP has now been implemented in our New Zealand and Mexico manufacturing facilities and a number of our global sales offices, with the rollout to continue over the next two and a bit years. We expect CapEx for FY '19 to be higher than FY '18 as a substantial proportion of the New Zealand building for expenditure will incur in FY '19. Our expectation for FY '19 CapEx is approximately $160 million to $170 million.
We have, as normal, included $5 million of other income in our income statement and cash flow from the Callaghan Innovation Growth grant. The current grant expires at the end of September 2018 and there has been a recent announcement by the New Zealand government proposing a change to the way R&D in New Zealand is incentivized.
We understand the intention is for our Callaghan Growth grant to continue through the end of March 2019. However, at this point the exact mechanism to do has not been made clear. A discussion paper on the R&D tax incentive has been circulated by government and we will shortly submit our views on the paper. If we assume the incentive will work in a similar way to 2008, the incentive should provide more assistance to the Callaghan grant for FY '20 and beyond. However, it is too early to quantify the size of that additional assistance.
We also recently made a submission to the tax working group on their paper, Future of Tax. We submitted that the fundamental challenge to the New Zealand tax system is to remain competitive and to continue to attract and retain investment in New Zealand in the face of lowering corporate income tax rates globally. We await developments with interest.
The recent U.S. tax reforms did not have a material impact on the wider operations of our business. While there was a reduction in the headline U.S. federal income tax rate from 34% to 21%, once state taxes are added to the equation, our effective rate will be now be very similar to New Zealand. We did benefit modestly from a lower blended U.S. tax rate from 1 January this year.
Our effective tax rate for the year was 29%, down very modestly from 29.1% for the prior year, due in part to the lower U.S. federal income tax rate just mentioned. We estimate that ignoring currency movements, the effective tax rate for the group should continue to be around 29% for FY '19.
Looking now at the balance sheet. The balance sheet is in very good shape, with working capital well managed. Debtor days are again at the lower end of our normal range, being 45 days, a modest improvement on the prior year. Inventory value has decreased, as described earlier, through the efforts of the supply chain team to optimize global holding levels. The proportionate manufacturing in Mexico remains largely unchanged in the mid 30% area.
Interest-bearing debt increased by approximately $20 million, principally due to the land purchase and building program in Mexico. Overall, we had a net cash balance of $50 million at the end of the year and gearing was minus 7%. With the larger building program in FY '19, we expect to end the year back within our target gearing range of minus 5% to plus 5%. We hold cash balances and short-term investments mainly in New Zealand dollars of approximately $130 million at the end of the year.
This balance will decrease upon payment of the final dividend and as payments for our new building in Auckland increase during the year. No New Zealand dollar debt was held at year-end, with the majority of debt held in U.S. dollars and euro as a balance sheet hedge, also benefiting from lower costs of borrowing. Next property, plant and equipment increased by approximately $50 million from the end of last year, mainly as a result of the land and building CapEx. Depreciation expense for the year was $35 million and amortization was $10 million. EBITDA for the year was $314 million compared to $279 million last year, an increase of $0.13.
Looking now at foreign currency. Over the last six months, we've continued to add longer dated Kiwi euro hedging from an average spot rate of 58.5 as forward points that remained beneficial. If we continue to see Kiwi euro here or slightly lower, we have the ability and intention to hedge a portion of our net exposure in the six to 10 year period at very favorable outright rates. Recent Kiwi U.S. weakness has allowed us to add a little more hedging in years one and two. However, at current spot rates and forward points being a cost, we currently have no real opportunity to hedge beyond two years forward.
We also have been able to top up our hedging levels on other currencies in the one and two years buckets. Our policy remains unchanged, and when there are opportunities to extend our hedging position, we're able to do so up to five years forward, and in some circumstances, up to 10 years forward. The cover levels and the rate of that cover in relation to the U.S. dollar and euro has again being provided in today's disclosures. These are the FY '18 average conversion rates.
Our hedging program again proved valuable in reducing earnings volatility and providing earnings support. Our pre-tax hedging gain is approximately $15 million a year. For the year, earnings were favorably impacted by less than $1 million from the New Zealand dollar being lower than last year. At the current exchange rates, we would expect to record a hedging gain, again pre-tax, of approximately $6 million for FY '19. Based on the FX rates used for guidance today, we forecast that FY '19 earnings will be favorably impacted by approximately $2 million compared to FY '18.
Ownership of the company continues to be a similar holding as previous, with 70% of shares held by institutional and 30% by retail investors. The most recent analysis of investor domicile has seen New Zealand and Australian holdings decrease. New Zealand holding now sits at 41% of shares on issue and Australia at 27%. The main increase has occurred in relation to investors in North America, now holding 20%, up another 3%. Shareholders from other countries hold the remaining 12%.
As Lewis mentioned previously, we'll be paying an increased final dividend of 12.5% per share payable on the 6th of July. The company will again be offering eligible shareholders the option to take all or a portion of their dividend in the form of fully paid ordinary shares under the dividend reinvestment plan. No discount will be offered again for this dividend. The dividend will be fully imputed, and a supplementary dividend of $0.022 per share will be paid to non-resident shareholders. So before handing the call back to Lewis, I would like to thank the team here at Fisher & Paykel Healthcare for a great 22 years.
We have achieved a huge amount over my time here and I know the company is well placed to execute on the exciting opportunities we have ahead. Also, thank you to all of those in the investment community for your attention, engagement and good humor most of the time when discussing the business with me. I will see many of you on the upcoming Australasian post results road show and look forward to that. It has been a pleasure.
Now, back over to Lewis, who will provide some more comments in relation to guidance for FY '19. Lewis?"
Lewis Gradon,0,"Well, thanks, Tony. On behalf all the team here at Fisher & Paykel, I'd like to acknowledge the outstanding contribution you've made over the last 22 years. We wish you all the best in this next phase of life and I can assure you, you will be missed.
So turning now to guidance. Our strategic direction remains consistent as we continue to develop new and innovative products, utilize our expertise to develop new therapies and change clinical practice and grow our international presence.
We expect similar constant currency revenue growth in our Hospital product group for the FY '19 year, and in our Homecare product group, we expect constant currency growth rates similar to the second half of FY '18. At current exchange rates, we expect full year operating revenue to be approximately NZD 1.05 billion and net profit after tax to be approximately NZD 210 million.
So with that, I think we can now open the call for your questions."
Operator,1,[Operator Instructions]
Marcus Driller,1,"All right. Thanks, Melinda. Our first question comes from Chelsea Leadbetter at Forsyth Barr. Please go ahead, Chelsea."
Chelsea Leadbetter,1,If I can start with the Hospital segment. And can you provide a little bit more detail on sort of the -- I guess the breakdown between some of the new applications and I guess what growth rates we're seeing particularly for Optiflow and non-invasive given you called it out a bit in the first half results?
Lewis Gradon,1,"Yes, I did. So with regard to non-invasive, in the second half what we can say there is Nivairo was released in the U.S. in November, so it's there most of the second half. Overall, in the second half Nivairo made a positive contribution to growth within new apps."
Chelsea Leadbetter,1,"And I guess some clarity on maybe what we're seeing as the growth rate for Optiflow in -- I mean, should we assume it's higher than what you're suggesting for the overall new apps growth rate?"
