type,name
Executives,Marcus Driller - General Manager
Executives,Lewis Gradon - MD & CEO
Executives,Paul Shearer - SVP of Sales and Marketing
Executives,Tony Barclay - CFO
Executives,Andrew Somervell - VP of Products and Technology
Analysts,Chelsea Leadbetter - Forsyth Barr
Analysts,Elyse Shapiro - Wilsons
Analysts,Tristan Joll - First New Zealand Capital
Analysts,Andrew Goodsall - MST Marquee
Analysts,Stephen Ridgewell - Craigs Investment Partners
Analysts,Marcus Curley - UBS
Analysts,Steve Wheen - Evans and Partners
