speaker,q&a,content
Company Representatives,0,"Pete Watson - President, Chief Executive Officer
Larry Hilsheimer - Chief Financial Officer
Matt Eichmann - Vice President, Investor Relations & Corporate Communications"
Conference Call Participants,0,"Gabe Hajde - Wells Fargo
Adam Josephson - Key Banc
Ghansham Panjabi - Baird
George Staphos - Bank of American Merril Lynch
Justin Bergner - G. Research
Kurt Yinger - Davidson
Dan Jacome - Sidoti"
Operator,0,"Good day. My name is Jack and I will be your conference operator today. At this time I would like to welcome everyone to the Greif's Second Quarter 2019 Earnings Conference Call. 
All lines have been placed on mute to prevent any background noise. After the speakers remarks there will be a question-and-answer session. [Operator Instructions] Thank you.
Matt Eichmann, you may begin your conference."
Matthew Eichmann,0,"Thank you, Jack, and good morning everyone. Welcome to Greif's second quarter fiscal 2019 earnings conference call. Joining us on the call today are Pete Watson, Greif's President and Chief Executive Officer; and Larry Hilsheimer, Greif's Chief Financial Officer. Pete and Larry are available to answer questions at the end of today's call.
In accordance with the Regulation Fair Disclosure, we encourage you to ask questions regarding issues that you consider material because we are prohibited from discussing significant non-public items with you on an individual basis. Please limit yourself to one question and one follow-up before returning to the queue.
Please turn to slide two. As a reminder, during today's call we will make forward-looking statements involving plans, expectations and beliefs related to future events. Actual results could differ materially from those discussed. Additionally we will be referencing certain non-GAAP financial measures and reconciliation to the most directly comparable GAAP metrics is contained in the appendix of today's presentation.
And now I turn the presentation over to Pete on slide three."
Peter Watson,0,"Thank you, Matt, and good morning everyone. I'll begin today's call by providing quarterly highlights and a review of our business segment. Then our CFO, Larry Hilsheimer will discuss our financial results and our fiscal 2019 outlook. Following the remarks we'll conduct a question-and-answer period.
Starting with our second quarter summary, we continue to make solid progress toward our strategic vision of becoming the best performing customer service company in Industrial Packaging. Our company wide customer satisfaction index score top 90% in the second quarter for the first time since we introduced the metric. 
We also complete our 8th NPS survey and registered our best ever score of 57, which is in line with top performers in the manufacturing space. We are allocating a significant part of both our human and financial capital to achieving our vision and great progress is being made. 
Our second quarter adjusted EBITDA and adjusted Class A earnings per share grew roughly 31% and 7% respectively versus the prior year quarter. A rigid business was challenged by a weak demand environment and uncertainty from trade tensions. Our flexible business performed the plan despite market softness in the Benelux, and our Paper Packaging financial results improved significantly with the addition of Caraustar, but we experienced weaker demand during the quarter. 
We completed the acquisition of Caraustar Industries on February 11 and integration is well under way. We’ve been highly impressed by the energy of our team in identifying new synergies not previously contemplated during the due diligence process. 
Please turn to slide four. Rigid Industrial Packaging & Services was challenged in the second quarter by persistent weak demand in certain global markets. Global steel drum volumes declined by roughly 4% versus the prior year quarter, while IBC volumes grew by nearly 12%.
Steel volumes were particularly strong in the Middle East, North Africa and both Southern and Eastern Europe, but more challenge in higher volume regions of West and Central Europe, APAC and the U.S. Gulf Coast due to trade uncertainty and reduced chemical import demand from China.
Global IBC volumes are strong across the entire portfolio as we continue to advance our pivot to plastic initiative, with double digit volume growth versus the prior year in North America, EMEA and APAC. Greif’s second quarter sales were roughly $30 million lower versus the prior year, however on a currency neutral basis Greif’s sales grew by roughly $2 million versus the prior year due to higher selling prices from strategic pricing decisions, partially offset by volume softness. 
Greif’s second quarter adjusted EBITDA was down roughly 4% versus prior year due to lower sales and partially offset by lower segment SG&A expense. Adjusted EBITDA was also negatively impacted by roughly $4 million of FX headwinds, by a $1.5 million bad debt write off tied to a customer bankruptcy which we expect to be recovered this year, and roughly $3 million less favorable opportunistic sourcing than in Q2 ’18. 
I’ll ask you to please turn to slide five. As previously mentioned we completed the acquisition of Caraustar Industries on February 11 and included the results and Paper Packaging financial results subsequent to that date. Paper’s second quarter sales improved by nearly $284 million versus the prior year, largely due to Caraustar’s contribution, partially offset by softer market conditions in our container board business where we took roughly 27,000 tons of economic downtime during the quarter. 
Second quarter adjusted-EBITDA rose by roughly $41 million versus prior year, largely due to Caraustar’s contribution, but also due to improved pricing cost mix. Looking ahead, we assume OCC prices of $38 a ton for the balance of the fiscal year and as a reminder, every $10 ton movement in OCC equates to a roughly $1.2 million change in EBITDA per month. 
I’d ask you to please turn to slide six. I want to highlight the great work of our integration team is doing to uncover synergies that will expand EBITDA and drive greater efficiencies in our business. We recall that we announced Caraustar’s acquisition on December 20th. We announced that at least $45 million in annual run rate synergies will be captured within 36 months of deal close. 
Over the last several months we've uncovered additional opportunities and we now expect run rate synergies will be at least $60 million over the next 36 months. The bulk of the incremental synergy relates to greater than anticipated freight lane savings and revenue synergies not initially contemplated during the due diligence. 
Please turn to slide seven. FPS delivered solid second quarter results despite ongoing market softness in Western Europe. Segment sales were roughly 8% lower than prior year, but excluding impact of FX, it fell only by 1%. Gross profit fell by roughly 6% versus the prior year quarter due to lower sales, partially offset by lower labor and manufacturing across the network. These improved efficiencies together with lower SG&A and a beneficial FX tailwind of $2 million helps flexible to generate slightly higher adjusted EBITDA versus the prior year. 
I'd like to now turn over the presentation to our Chief Financial Officer, Larry Hilsheimer."
Larry Hilsheimer,0,"Thank you, Pete. Good morning everyone; please turn to slide eight. Second quarter net sales excluding the impact of foreign exchange and gross profit were more than 29% and 27% higher respectfully versus the prior year quarter, primarily due to the Caraustar contribution, partially offset by softness in RIPS and our legacy Paper Packaging business. 
Second quarter Adjusted EBITDA rose by more than 31% versus the prior year quarter, again primarily due to Caraustar’s contributions and partially offset by the RIPS business headwind that Pete disturbed in his remarks. 
Below the operating profit line, second quarter interest expense rose by roughly $21 million while other expense was roughly flat to prior year. Second, our stronger adjusted-EBITDA and lower tax expense drove second quarter adjusted Class A earnings per share to $0.81 per share.
Our adjusted tax rate during the second quarter was 27.4%. As a reminder, the application that required a FIN18 reporting may cause fluctuations in our quarterly effective rates from time to time, and we continue to expect that are adjusted tax rate will range between 28% and 32% for fiscal 2019. 
Few additional words on earnings: Our initial estimates of purchase price accounting adjustments for our Q1 call and guidance discussions proved to be too low. The assets we acquired were determined to have a higher value than previously estimated, which resulted in incremental inventory costs, as well as depreciation and amortization charges that impacted our quarterly earnings. 
Second quarter earnings were reduced by a one-time $9 million inventory acquisition step-up charge, $2 million of which is incremental to our Q1 guidance and is now reflected in our anticipated full year results. 
Similar to discussion on our first quarter call and unlike some other acquisitive companies, we have not adjusted this one time item out of earnings. We also encountered $3.5 million of incremental intangible asset amortization and fixed asset depreciation during the quarter as a result of incremental valuation step-ups and shorter depreciable lives than originally contemplated. The impact of these increased valuation adjustments impact the current year, full year estimates and are captured in our revised fiscal 2019 guidance that I'll discuss shortly. 
Second quarter adjusted free cash flow improved by roughly $16 million versus the prior year quarter. Second quarter CapEx was roughly $9 million higher versus the prior year. Improvement in free cash flow is driven primarily by improved profitability related to Caraustar and stronger working capital performance in our legacy Greif’s business.
Please turn to slide nine and I’ll review our fiscal 2019 guidance and key modeling assumptions. 
We now expect to generate between $3.70 and $4 in adjusted Class A earnings per share in 2019. Our updated fiscal 2019 guidance incorporates a drag associated with the various purchase price accounting adjustments that I just mentioned, Caraustar's synergies previously discussed and lower forecasted interest expense. It also reflects the container board price decrease recently announced in May, offset by our updated OCC assumption of $38 a ton for the remainder of fiscal 2019. 
Final guidance incorporates the container board economic downtime and RIPS softness we experienced that we won't recoup this year. We assume that RIPS demand will improve slightly in the back half of the year in line with our chemical customers’ expectations and based on current Ag forecasts. We also contemplate sequential improvements in PPS though with demand remaining less robust than in the prior year. 
We’ve also tightened our fiscal free cash flow guidance range between $230 million and $250 million, which includes an anticipated CapEx of between $160 million and $180 million. CapEx has been slightly reduced as a result of poor weather and vendor related delays impacting several of our CapEx projects. 
Turning to capital priorities on slide 10: Our capital priorities were updated following completion of the Caraustar acquisition. Investing in our existing businesses through appropriate maintenance projects and organic growth opportunities remains our top priority, as that is what will allow us to find our aggressive deleveraging plan. 
We have no plans to alter our existing dividend which today pays a compelling yield of roughly 5%. Given our anticipated free cash generation, we expect to return to our target leverage ratio of 2x times to 2.5x within 36 months despite the recent softness we have experienced. 
With that, I'll turn the call back to Pete for his closing comments before our Q&A. "
Peter Watson,0,"Thank you, Larry, and please turn to slide 11. So wrapping up, it’s a really busy second quarter. We closed on the Caraustar acquisition, we commenced with business integration, identified new synergies that make the acquisition even more compelling. Our teams have responded well to the challenging market environment and are delivering a solid performance. This is a really exciting time at Greif and we look forward to sharing more about our future plans at the upcoming Investor Day in June. 
Details about Investor Day can be found on our website; we encourage you to attend. Thanks for participating this morning and we appreciate your interesting in Greif. 
Jack, if you could please open the lines for questions. "
Operator,1,Certainly. [Operator Instructions] Your first question comes from the line of Gabe Hajde with Wells Fargo. Your line is open. 
Gabe Hajde,1,"Good morning, gentlemen, and thanks for taking the questions. "
Pete Watson,1,Hi Gabe. 
