speaker,q&a,content
Company Participants,0,"Carlos Alberini - CEO
Sandeep Reddy - CFO"
Conference Call Participants,0,"Susan Anderson - B. Riley FBR
John Kernan - Cowen & Company
Dana Telsey - Telsey Advisory Group
Janet Kloppenburg - JJK Research Associates Incorporated"
Operator,0,"Good day, everyone, and welcome to the Guess', First Quarter Fiscal 2020 Earnings Conference Call. On the call are Carlos Alberini, Chief Executive Officer; and Sandeep Reddy, Chief Financial Officer.
During today’s call, the company will be making forward-looking statements, including comments regarding future plans, business and financial opportunities, strategic initiatives, capital allocation and short and long-term financial outlook. The company’s actual results may differ materially from current expectations based on risk factors included in today’s press release and the company’s quarterly and annual reports filed with the SEC.
I would now like to turn the call over to Carlos. Sir, you may begin."
Carlos Alberini,0,"Thank you, operator. Good afternoon and thank you all for joining us today. Now that I have just passed the milestone of my first 100 days in this role, I would like to comment on the progress that we have made since our last call.
Last month, we celebrated the 38th anniversary of Guess' with a wonderful global meeting in Barcelona that we referred to as the One World, One Brand Conference. The first conference of this kind took place back in 2006 and this one was our eight one. We invited a large number of our associates from all over the world to the conference as well as our product licensees, key joint venture partners, franchisees, and other key global colleagues and partners.
The energy and ideas that were shared at the conference were truly inspiring. While there were several important topics included in the three-day agenda, customer centricity and brand relevancy were the main focus of the meeting.
The venue was the perfect one to share my strategic vision for the company, which reads as follows; At Guess’ we are obsessed with our customers. Our customers represent multiple generations that are young, sexy and adventurous at heart. We inspire our customers to express their true selves through the people they relate to, the way they dress, how they spend their free time, the music they enjoy, the places they visit, the activities they engage in.
In an essence, we want to inspire them to express their true selves in the way they live their lives. We believe in inclusivity and inspire individuality, originality and authenticity. Building on its incredibly strong heritage and amazing global brand recognition, Guess' will continue to be one of the coolest brands in the fashion industry, leveraging celebrity partnerships, and unique go-to-market strategies with a growing global business, offering an incredible customer experience that includes amazing product inspired by the Guess' DNA and lifestyle, speed and flexibility, omni-channel capabilities and data driven personalized marketing.
Our ultimate goal is to delight our highly desirable and loyal customers through the best global team of associates, partners and licensees who work effectively together to achieve common goals, delivering best-in-class profitability, cash flow generation, and shareholder value creation.
Guess' is a conscious capitalist organization that cares about environmentally responsible practices and a great work environment. Guess' is a company that gives back to the world to make it a better place.
With the sharing of our vision statement with our entire team, we officially launched our strategic planning cycle this year. At the end of the conference, key members of our executive team stayed on to kick off the process. The team is already working hard to complete the project, and as I committed to you during our last call, we plan to come back to you with an update on it after the end of the summer.
In the meantime, we continue to make solid progress on key projects that we have launched applying the key principles that I mentioned before to take advantage of value creation opportunities for our company.
Let me start with capital allocation. As we reviewed the value creation opportunity relative to our operating performance and our expected future cash flows, it was clear to us that there is material incremental value in our company as we take actions to improve our operating performance. These represent changes that are completely under our control and we plan to attack in the short to medium term.
For this reason, we made a strategic decision to redeploy capital and return incremental value to our shareholders through significant share repurchases, while reducing our dividend by 50%.
As you know, our board approved the plan to raise $300 million in convertible debt, which we executed during the quarter, and the majority of the net proceeds have already been deployed or have been committed to repurchase stock. We expect the impact from the convert transaction and share repurchases to be accretive to our adjusted EBITDA EPS this year by $0.10 per share. We are really excited with the transaction as we achieved very favorable terms.
Our interest coupon is 2% and we were able to buy a bond hedge and warrants to eliminate the economic dilution unless the stock price exceeds $47. With the shares we purchased so far, and the completion of the ASR, we expect to buy about 17% of the shares that were outstanding at the beginning of the year, and we believe the incremental value to shareholders over time will be very material.
At the same time we'll continue to prioritize our capital allocation towards investments that support growth and infrastructure, based on their strategic significance and the return on invested capital expectations.
Additionally, we have already taken steps from an inventory management perspective to ensure that inventories are planned and managed in a very disciplined way. The results of these actions are already materializing in our inventory forecasts for the remainder of the year.
Second, product development and distribution optimization. As I mentioned last time, we have a number of key product categories such as denim, accessories, Marciano and Manz that if better sorted and represented in stores and online, can drive incremental sales for us.
For instance, we have already implemented plans to increase capacity for our denim product in 219 of our stores globally for foreign holidays. This includes 90 stores in the U.S. We are also working on introducing additional fashion styles to provide more variety in the denim assortment. Our marketing campaign for the summer and full seasons will feature denim prominently to reclaim our dominance in the category.
In addition, we now see significant opportunities to design and develop product for the key target customer groups and having the right product in the right place at the right time will become also a big priority. This involves speed-to-market and the use of analytics and technology for the digitalization of the supply chain.
We have also reorganized our Marciano team to address local customer preferences more effectively. Going forward, we will operate with two design teams as we do with a Guess' line, one team will be based in Los Angeles to serve the North America region, and the other one in Stabio, Switzerland to serve Europe.
Third, Global Strategies. I continue to believe that we have a tremendous opportunity to leverage and support our global business more effectively, by reorganizing accountabilities and strengthening our infrastructure, including the use of technology and data analytics in areas such as inventory management, logistics and distribution, sourcing and product development, storage site selection and product pricing.
And we are already evaluating options to invest in process improvement tools in all of this areas. Regarding functional accountabilities, we are approaching several operational and support areas with a consistent global focus. Some examples of functions with global responsibilities are finance, strategy, IT, logistics, sources and product development, inventory management, human resources and real estate.
Fourth, cost structure optimization. There are definite areas of opportunities for significant cost savings and operating efficiencies in our company. And we have already engaged a consulting firm to study and assess our cost structure and identify opportunities in the Americas and in Europe. I believe, the results of this assessment will give us a roadmap for executing improvements to our operation and cost structure, to drive incremental profitability.
And fifth, customer centricity, which as I have said in the past, consists of placing the customer at the center of everything we do, including, perfecting the omni-channel experience. We have strong customer files in the Americas, Europe and Asia that provide a lot of insight into the customer's product purchase history and their behavioral shopping patterns. By leveraging this data, we'll be able to map the customer journey and through predictive analytics be able to personalize marketing effectively and delight the customers by delivering the product and experience that they are looking for.
We are also reassessing our current systems and tools to deliver a seamless omni channel shopping experience, and we plan to implement new technology to perfect our capabilities globally.
Regarding our financial results. For the first quarter, we reported another quarter of strong revenue growth. We'd reported a 3% increase in revenues, 8% growth in constant currency. During the period, we increased gross margins by 50 basis points company-wide and we managed expenses well. Our adjusted operating loss finished within the range of our guidance and our adjusted loss per share finished at the high end of our guidance.
Our financial results this quarter represented strong performance in the Americas and Europe partially offset by weakness in Asia. Let me quickly comment on the situation in Asia. It has become clear to us during the course of the first quarter, that there has been a significant softening in the business and we see that in the form of lower traffic both, to our stores and to our e-commerce platforms, including T-Mobile where we sell our product on.
While in the short term this is painful for the business, we still see very good long term potential in the region as we don't believe that the current issues will impair our ability to capitalize on that potential.
Looking ahead, I want to talk briefly about tariffs on imports from China and Mexico into the U.S. As others in the industry have been doing, we have taking actions to mitigate the impact from the potential increase in tariffs. These actions include, cost sharing with our suppliers, shifting, sourcing to other countries of origin, raising prices if the pricing still delivers the value in the product of our customers looking for, and offsetting this increased cost with other cost saving initiatives.
Of course, if the list for tariffs go to 25% the impact to us will be meaningful, but the situation was still fluid, and we will continue to accelerate the mitigation actions as the situation evolves. Before I conclude, over the last three months, I have spent considerable time reflecting on my role at Guess' and on all the opportunities that I see for our company.
Today, I want to share with you how excited I am about my job and our company's opportunity to execute on the vision that I shared with you earlier. I will focus on four big points that make this opportunity extraordinary.
First, brand relevancy and attracting a new younger customer. I strongly believe that the Guess' brand continues to gain relevancy in today's retail marketplace on a global level. Our celebrity partnerships and collaborations continue to draw significant customer interest into our brands, attracting not only our traditional Guess' customer, which we call our heritage customer, but also Millennials and Generation C customers, which now represent more than half of our online customers in the U.S. I couldn't be more excited about our new partnership with Jennifer Lopez, “It's My Party Tour” to take place from June through August 2019.
As you know, Jennifer Lopez has an incredible reach across multiple generations all over the world, with over 94 million followers on Instagram. She also relates to the Latino community amazingly well, which represents a big part of our customer base, both inside and outside the U.S. Our previous campaign with her yielded significant benefits for the company, and I think that this is a perfect partnership for Guess'.
We see Millennials and Generation C customers as our biggest growth opportunity. They love the brand and shop us for street wear and vintage inspired trends, viewing Guess' as accessible luxury. They shop each collection launch and tend to purchase at full price. We have launched initiatives to personalize our marketing and merchandising to increase engagement and have seen improvements with [Indiscernible] Gen Z showing the highest conversion online. This is a generation that is almost 50% larger than Millennials and has a preference to shop in-store.
A recent Bloomberg study found that 95% of this Gen Z customer visited a store over a three month period, versus 75% percent of Millennials and 58% of Generation Xers. We are also conducting tests in stores to increase the presence of key products developed for the Gen Z customer and we have seen strong sell through as a meaningful productivity improvement when we did so.
Second, top line momentum and significant widespace to grow globally. We just closed our 15th consecutive quarter of comp growth in Europe and our fifth consecutive quarter of comp growth in the Americas. While Asia is experiencing weaker trends, we believe this softening to be market driven, and not brand specific and we still see very good long term potential in the region.
Regarding China specifically, I believe that we have an opportunity to build a big business there. We currently have stores in only 34 of the top 60 cities with 90% of the Guess' stores being directly operated. Our e-commerce business can also grow significantly, considering that Guess' ranked among the top 50 international brands doing business with Alibaba via Tmall 12/12 last year.
I see a big part of our growth to be organic growth. The company invested considerably during the last few years to open new stores and strengthen our country management infrastructure. I believe, we now have significant capacity to grow through productivity increases. In Europe, during the last three years, we added 218 owned and operated stores, and in Asia, we added 177 owned and operated stores in the same period, primarily in Greater China.
Looking at some specific countries, we have increased our position in key markets very effectively. Two good examples are Poland and Russia, where we now have 54 and 37 stores respectively. Most of the stores were opened in the last three years. We are growing in all channels in these countries, and we see opportunities in other countries to do the same.
Third, e-commerce penetration is still below best-in-class industry standards. While our e-commerce business in all regions is growing at a faster rate than the other channels, our penetration is still below industry standards. Last year, we did roughly 12% of our direct-to-consumer business online. Best-in-class companies are operating at between 30% and 40% penetration. With the right technology and a perfected omni-channel experience, we don't see issues to significantly improve from where we are. And with a bigger business, we see an opportunity for margin expansion in this business as well.
Fourth, operating earnings growth. During the last few years, Guess' has driven significant adjusted operating earnings growth in a retail environment that has seen meaningful contraction both, domestically and overseas.
Considering our updated guidance for this year, we expect to increase adjusted operating earnings again this year in the range of 13% to 22%. This would imply a compounded growth of adjusted operating earnings of 25% over the last three years. I see significant potential for margin expansion through cost reductions and operating efficiencies in our business and including the use of data analytics for inventory management, supply chain distribution and marketing, that number could continue to grow.
These are all very compelling opportunities that require tremendous effort and great execution. I am committed to building a great team to tackle our future together. We have amazing talent in our company and the commitment of our company, of our people, is absolutely extraordinary. I can't wait to go through the journey together.
With that, let me pass it to Sandeep to give you more details on the financial results and guidance for the period. Sandeep?"
Sandeep Reddy,0,"Thank you, Carlos and good afternoon. During this conference call, our comments reference certain non-GAAP or adjusted measures. Please refer to today's earnings release for GAAP reconciliations or descriptions of such measures. First quarter revenues were $537 million up 3% in U.S. dollars and 8% in constant currency versus the prior year.
I would like to highlight that this was our 11th consecutive quarter of revenue. Total company gross margin increased 50 basis points to 33.9% driven by higher IMUs and occupancy leverage. This was on top of a 160 basis points improvement in gross margins in last year's first quarter.
Adjusted SG&A as a percentage of sales increased by 80 basis points, primarily driven by the deleverage of expenses in Asia. Adjusted operating loss for the first quarter was $22 million a deterioration of 10% versus the adjusted operating loss last year, but within the range of our expectations.
Adjusted operating margin finished 30 basis points lower than last year at negative 4.2%. Our first quarter adjusted tax rate was 11% down from 23% last year, driven by the mix of statutory earnings. Adjusted diluted loss per share finished in the high end of our guidance at $0.25.
Now for some more color by segment. America's retail revenues for the quarter finished up 3% in U.S. dollars and up 4% in constant currency. Comp sales for the quarter including e-commerce were up 4% in U.S. dollars and 5% in constant currency, marking our fifth consecutive quarter of positive comps. The positive outcomes in the quarter were driven by better conversion and UPTs.
E-commerce increased the comps for the quarter by two percentage points. While the start to the second quarter was challenging, our businesses improved since the lead up to the Memorial Day weekend and our guidance for the quarter reflects this.
America's retail operating margins in the first quarter expanded 230 basis points marking our seventh consecutive quarter of operating margin expansion. This was achieved through positive comps and SG&A leverage partially offset by higher markdowns. Staying in the Americas region, I want to take a moment to talk about the Americas wholesale business.
Revenues grew 14% in U.S. dollars and 16% in constant currency and were driven by a continuing strong performance in our U.S. department store and specialty business. The Americas Wholesale operating margins in the quarter expanded 210 basis points, primarily through higher IMU and sales leverage.
European revenues for the quarter grew versus last year by 2% in U.S. dollars and 12% in constant currency and were driven by new store openings in positive comps. Comps including e-commerce finished down 1% in U.S. dollars and up 8% in constant currency.
E-commerce improved accounts for the quarter by 3 percentage points. The comp increase marked the fifteenth consecutive quarter of constant currency positive comps for the European region.
Our European wholesale business also continues to be very strong. We have closed our order book now for Fall/Winter 2019 and have concluded our fifth consecutive season of double digit growth.
The growth for the Fall/Winter season came from a combination of higher same door buys and new doors as we have resumed increasing our wholesale points of distribution. European segment margin improved by 210 basis points due to lower markdowns, higher IMUs and leverage from positive comps.
As a reminder, we expect European, a lower European logistics costs to contribute at least 100 basis points to margin expansion in Europe for the year.
Moving to Asia, first quarter revenues were up 1% in U.S. dollars and up 7% in constant currency. Comps including e-commerce were down 15% in U.S. dollars and down 10% in constant currency.
E-commerce improved comps by one percentage point. We experienced broad-based weakness in our major markets in Asia that is Korea, Japan, and China with a weak trend in traffic across all three markets in the quarter.
Operating margin for the Asia segment contracted 860 basis points in the quarter, primarily due to expense deleverage as a result of the negative comps. Moving onto the balance sheet, accounts receivable was $251 million up 3% in U.S. dollars and 9% in constant currency in line with our revenue growth.
Inventories for $478 million up 10% in U.S. dollars and 15% in constant currency versus last year. We are still carrying some excess inventory from the end of last year, but continued to make progress on our plans to move through this inventory through a combination of our own retail outlet stores as well as stock liquidation channels.
As communicated on our last call in March, we expect the inventory pressure to ease more in the back half of this year. Free cash flow was negative $115 million a deterioration of $28 million versus $87 million last year, primarily driven by $29 million lower operating cash flows.
As a reminder, the negative operating cash flows in the quarter include a $46 million payment for the EU Commission fine, so our free cash flows improved by $18 million excluding the impact of the EU Commission fine.
As Carlos mentioned in his prepared remarks, we were excited to execute our 5-year $300 million convertible debt offering at the end of April. The offering was combined with the bond hedge and warrant structure that enables us to protect against the economic risk of equity dilution up to a level of $47 on our stock price.
The cost of the bond hedge and warrant structure and transaction fees was approximately $38 million resulting in net proceeds from the offering of $262 million. The majority of the net proceeds have already been deployed to do share repurchases through a combination of privately negotiated and open market transaction as well as through $170 million ASR.
During the quarter, we repurchased 10.3 million shares at a cost of $202 million. One million of these shares were purchased on the open market prior to the planning and execution of the convertible bond transaction. Of the remaining 9.3 million shares, 4.2 million shares were repurchased through privately negotiated and open market transactions, and 5.1 million shares have already been delivered to us against the ASR with the balance expected to be delivered after the completion of the ASR by the end of the third quarter of this year.
We ended the quarter with cash and cash equivalents of $113 million compared to last year’s $232 million. Cash less debt at the end of the quarter was negative $210 million compared to $192 million last year.
Moving onto the guidance. I should point out that our outlook for the second quarter and full year of fiscal 2020 does not assume any acid impairment charges, or any potential impacts for the list for tariff increase on apparel and footwear imported from the -- into the U.S. from China and Mexico.
Also guidance for revenues in comp sales for the total company and by segment is included in the supplemental table attached to our earnings release.
For the second quarter of fiscal 2020, we expect revenues for the quarter to be up 7% to 8% in constant currency. At prevailing exchange rates we estimate that currency will be roughly a three percentage point headwind on consolidated revenue growth for the quarter.
Our gross margin is expected to be up primarily due to IMU improvement from our supply chain initiatives. The SG&A rate is expected to be up compared to last year primarily due to an increase investment in advertising as well as continued deleverage in Asia.
We are planning an operating margin for the quarter between 4.5% and 5% with the 20 basis point unfavorably impact from currency. The adjusted earnings per share is planned in the range of $0.27 per share and $0.30 per share including $0.02 of headwind due to currency.
The earnings per share guidance include $0.03 in accretion due to the impact of the convert transaction and share repurchases. Our adjusted EPS guidance includes an assumption of $1.7 million of cash interest expense and amortization of loan fees related to the convertible debt transaction. Our tax rate for the quarter is estimated to be 25%.
We expect consolidated revenues for year to be up between 6% and 7% in constant currency. At prevailing exchange rates we estimate currency to have a 2.5% negative impact on consolidated revenue growth for the year.
For the full year we expect gross margins to be up due to improved IMUs in both the Americas and Europe, as well as low logistics and distribution costs in Europe. The adjusted SG&A rate is expected to be up for the year due to an increase in investment in advertising, as well as performance-based compensation. Our adjusted tax rate for the year is estimated to be 25%.
We are planning an adjusted operating margin between 4.8% and 5.2% with minimal currency impact on operating margin, and our guidance assumes that foreign currencies will remain roughly at prevailing rates.
Adjusted earnings per share is planned in the range of $1.19 and $1.30 with a $0.03 headwind from currency. This includes $0.10 in its estimated accretion due to the share repurchases and convert transaction.
Our adjusted EPS guidance includes an assumption of $5.3 million of cash interest and loan amortization expense. As a reminder, our prior guidance for the year was $1.09 to $1.21 with the currency tailwind of $0.02. The high-end of our new guidance now represents a 33% increase over last year’s adjusted EPS.
CapEx for the year is expected to range from $55 million to $65 million to support store openings, key story remodels and investments in our technology infrastructure to support long-term growth. Please note that this is down from $108 million in the prior year.
The lower CapEx combined with our inventory and working capital management focus are expected to generate improve free cash for this year even after considering the $46 million EU commission fine payment we made in the first quarter. The Board of Directors has approved a quarterly dividend of $0.1125 per share payable to shareholders of record at the close of business on June 19, 2019.
With that, I would conclude the company's remarks and open the call up for your questions."
Operator,1,Thank you. We will now begin the question and answer session. [Operator Instructions] Our first question comes from Susan Anderson from B. Riley FBR. Your line is now open.
Susan Anderson,1,"Hi. Good evening. Thanks so much for taking my questions. I was wondering if you could maybe talk about the guidance given just inflection in the back half with the lower guidance in second quarter, maybe if you could kind of talk about by region where you’re expecting kind of the acceleration to come from as we look out to the back half?"
Sandeep Reddy,1,"Hi, Susan, this is Sandeep. So, I think you’re right. I mean, I think with the performance that we’ve had in the first quarter and the guidance that we are providing for the second quarter clearly to see the margin expansion of the year. There’s going to be some improvement in the back half. And what I would take you to is, I think from an underlying perspective the Americas business and the European businesses expected to continue being very strong all year. The only business where I think you’ve seen some softness really is the Asia business where we’ve definitely taken the numbers down relative to what we talked about last time.
But I think if you think about the full year guidance the most material impact that we would see is really in the fourth quarter where last year we had some pretty material inventory charges because of the level of excess inventory we were carrying. So, as we lap that, that should be a help to actually have margin expansion during the back half of the year. And that’s what embedded in the guidance for the full year."
Susan Anderson,1,"Got it. That’s helpful. And then maybe just a follow-up on Asia, it seems like there is just really weakness across all of the countries there. I guess, is it more – is there anything more than just macro going on there, I guess, in terms of product acceptance. And then also it looks like you’re accepting some improvement in the back half, so maybe just talk about what’s going to be driving that? Thanks."
Carlos Alberini,1,"Yes. Susan, this is Carlos. Hello. Asia is definitely showing some softening as I said in my prepared remarks. And the softening as you suggested has impacted those three big markets for us. We do not think that this is brand specific. Frankly when we see what the driver of that softening is primarily customer traffic both coming into our stores and visiting big website. So, we believe that this is probably goes beyond what is specific to us. Obviously, it’s very difficult to speculate what is that is driving that. There are some comments from people saying; well, just the trade war maybe having an impact. Definitely the government has made some changes and significant moves in China specifically to motivate the consumer to continue to spend. They have done some things with VAT, reducing the rate for companies from 13% -- from 16% to 13%.
So, there is some signs that that definitely there is incentives going on to try to really re-energize the economy. But it would be very speculative for us to say, oh, that's what it is. We have seen that in most cases the traffic is definitely what’s driving the changes, and this loan [ph] is slowdown. Now that being said, we plan to continue to do what we can control which is thinking about products. We are doing a lot of things globally to improve product and that includes from penetration, trying to emphasize denim assortment as we said during our last call. We are also putting a lot of effort into customer centricity initiatives and this again our global initiatives.
You know our team in China specifically has done a great job in growing the CRM database. And we feel that there are opportunities to continue to do that effectively. We have seen also an opportunity with the Tmall and of course we are talking to that team to benefit from those opportunities as well. And then last but not least is inventory. Last year we had a major issue with inventories especially in the fourth quarter we had a significant access that we're trying to work through and we are doing that effectively. But we feel that with the changes and with that excess inventory we really miss some opportunities especially in China and we think that we can do a better job in flowing inventory and having the right product at the right time in the right place. And that is the tall order, but we think that we have the tools to be able to do that much more effectively going forward."
Sandeep Reddy,1,"And Susan just to add to your last question on the guidance in the backdrop of improvement, one thing that’s going to be happening this year the Chinese New Year is going to the land earlier than last year and that benefit is embedded in our guidance. And that's why in the front half we’re really looking at down low double digits in constant currency. And the full year is down high single digit and embedded in that is the resumption of it earlier Chinese New Year.
And let me come back, you know, just I have talked quite a bit about China, but I think another area that is its worth pointing out is about Japan's performance. We were up against a phenomenal performance for the first quarter of a year ago in Japan. And we did expect that we were not going to be able to comp those kinds of numbers and sure enough that did happen. And some people may look at this and say, well, that’s a disappointment that you couldn’t comp. I look at it as a great opportunity honestly, because we now know what we need to do to win in that market.
And the way we were in last year was remarkable. It was a collaboration that we did with the group called Generations. And on we think that in the past this kind of events and collaborations were more test to prove the concept. I feel that now we have the concept proved and we have proven those time and time again. We had a list of successes doing this kind of collaboration. And we feel that this is going to be part of our business model going forward. So in a way it has been somewhat painful to the numbers and the financial performance this quarter, but I think that -- those kinds of examples are very inspiring to really pave a new path into how we build the business going forward especially attracting that younger consumer that we keep talking about."
Susan Anderson,1,"Got it. That’s very helpful. And then really quickly on the inventory front, are you guys still expecting I guess China and Europe, the excess to be cleaned up by the back half maybe just talk about kind of how much you think cleaned up so far and kind of where you are at with that? Thanks."
Carlos Alberini,1,"Yes. So, let me just start with that. I am very impressed with our teams and I say teams because I think that this required and effort across different channels and across different regions to really address this issue. And I think we have made great progress and when we look at our forecast, and we are now running the company with forecast in mind as opposed to looking at our rearview mirror and being much more actively looking at what's coming as opposed to what has been. And I think when we look at how we think about turning over the year. At the year end the numbers are very compelling. So, I feel that we are in great shape regardless inventory."
Susan Anderson,1,Okay. Thanks so much. Very helpful.
Carlos Alberini,1,"Susan, just to follow-up on your question on timing, on when they’re going to work through it. I think already in Q1 there was a bit of a sequential improvement to where we finished up in Q4, but we still have more work to do. The material improvement will come in the back half, but I think we -- you’re going to expect to see sequential improvement as we go along."
Susan Anderson,1,Great. Thanks so much. Good luck next quarter.
Carlos Alberini,1,Thank you.
Operator,1,Our next question comes from Omar Saad from Evercore ISI. Your line is now open.
Unidentified Analyst,1,"Hi, guys, this is Wescott on for Omar. Firstly, I just want to say congratulations and welcome. We look forward to working with you."
Carlos Alberini,1,Thank you. Hi.
