speaker,q&a,content
Operator,0,"Greetings, and welcome to the Griffon Corporation Fourth Quarter 2018 Earnings Conference Call.
At this time, all participants are in listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
I'd now like to turn the conference over to your host Brian Harris, Chief Financial Officer."
Brian Harris,0,"Thank you, Omer. Good afternoon, everyone. With me on the call is Ron Kramer, our Chairman and Chief Executive Officer. Our call is being recorded and will be available for playback, the details of which are in our press release issued earlier today.
As in the past, our comments will include forward-looking statements about the company's performance based on our views of Griffon's businesses and the environments in which they operate. In providing this guidance, we are also mindful of the risks and impacts of weather to AMES, the health of the economy on Home and Building products, the U.S. Department of Defense Budgets on Defense Electronics and foreign exchange fluctuations.
Such statements are subject to inherent risks and uncertainties that can change as the world changes. Please see the cautionary statements in today's press release and in our various Securities and Exchange Commission filings.
Finally, some of today's remarks will adjust for those items that affect comparability between reporting periods. These items are explained in our non-GAAP reconciliations included in our press release.
Now I'll turn the call over to Ron."
Ron Kramer,0,"Good afternoon, and thanks for joining us on today's call.
Our fiscal 2018 results begin to reflect the strategic actions we've taken to grow Griffon. Full year revenue increased 30% to $2 billion, reflecting the impact of our acquisitions, and our segment adjusted EBITDA from continuing operations was up 24% to $213 million. I'll come back to our operating performance in a moment, but first I'd like to take a few minutes to share some of our key takeaways as we focus on fiscal 2019.
It's been nearly two years since we began to strategically reshape our portfolio with the goal of providing increased cash flows and improving our profitability.
Our strategic actions included the acquisition of ClosetMaid in October of 2017, the sale of our Plastics business in February 2018 and the acquisition of CornellCookson in June 2018. These actions along with the five bolt-on AMES acquisitions made over the last 20 months have created an operating structure with stronger free cash flow and a diversified portfolio of highly attractive, leading brands in each of their respective categories.
The integration process is proceeding as planned. AMES and ClosetMaid have been combined under one leadership team and the integration of ClosetMaid into AMES is progressing. ClosetMaid's first year performance was right on target with our expectations. We're confident about the long-term prospects of this acquisition as part of AMES. We expect significant future improvement in the operating performance of these combined businesses.
CornellCookson, we're delighted with the integration that we've seen into Clopay. The CornellCookson acquisition has delivered the performance we expected since its acquisition in June. Our familiarity with the CornellCookson business and personnel prior to the acquisition along with the highly aligned strategic and cultural fit of the businesses are expediting this transition. We continue to see CornellCookson as a fantastic complement for our Clopay doors business.
Clopay is the leading residential garage door manufacturer in North America and it also serves the market for commercial panel doors. With the CornellCookson acquisition we've added to Clopay the U.S. leader in commercial rolling steel products. We expect this powerful combination to accelerate profitability in the years ahead.
Although we spend more time on our larger acquisitions, the bolt-on ones are also making an important impact. Over the past two years, we've acquired Kelkay and La Hacienda in the United Kingdom. With these businesses, we've now established the U.K. as our fourth home market.
We have a strong management team at AMES U.K., that has made tremendous progress in a relatively short period of time and we have high expectations for these businesses in the years to come.
Our other smaller acquisitions in the United States and Australia are helping to strengthen our position in those markets through expanding our product portfolio and increasing our market presence. We've been able to identify and acquire these businesses at attractive valuations and seamlessly integrate them into our operations.
As we continue to integrate these acquisitions and realize revenue and margin improvement opportunities, we expect to steadily increase Home & Building products' EBITDA margins. We remain positive on the outlook for our Home & Building product segment despite the concerns recently expressed by others about the U.S. housing sector.
We continue to grow revenues and improve our profitability through product innovation and category expansion, efficiency initiatives and acquisition integration. There's been no slowdown in these trends subsequent to our fiscal 9/30 yearend.
Moving to our capital allocation strategy, we take a multipronged approach with the goals of driving both organic and inorganic growth, deleveraging our business and returning cash to shareholders. As a result of our portfolio reshaping, we've enhanced our free cash flow generation and in fiscal 2019, we expect free cash flow to exceed 100% of net income, with a significantly reduced capital expenditure profile.
We are keenly focused on directing our capital to reduce our net debt to EBITDA leverage, from its current 5.5 times, calculated as defined in our credit agreement, to 3.5 times over the next few years.
As part of our growth strategy, we will continue to target strategic bolt-on acquisitions, while remaining disciplined with our valuation and hurdle rates. Further as we demonstrated throughout the years, we will continue to return cash to shareholders, primarily through our quarterly dividend program.
Earlier today our Board authorized $0.0725 per share dividend payable on December 20th to shareholders of record on November 29th. This is a 4% increase over the prior year quarterly dividend and our seventh consecutive year of increasing dividends.
Since its inception, our regular dividend program has grown at an annual compound rate of 20% per year and additionally in April of this year, we returned cash to shareholders via $1 per share of special dividend.
Next, I'd like to provide a brief update on our segments. So let's start with Home & Building product. Full-year sales increased 48% to $1.7 billion, driven both by the contributions from the recent acquisitions and 7% organic growth. Segment adjusted EBITDA grew by 40% to $177 million driven by the increase in revenue, partially offset by the effect of higher input costs, including tariffs and commodities and the incorporation of the acquisitions, initially operating at lower margins in our existing businesses as expected.
We continue to see strong demand for our products across the segment. It is important to note that as a result of our strategic repositioning and the steady evolution of our products, we have significantly diversified our businesses across product lines and markets.
As a result, the residential new construction market is not the primary driver of our door business. For AMES, our product portfolio continues to focus on professional and consumer tools and outdoor lifestyle products. We estimate that less than 10% of our combined Home & Building products businesses serve residential new construction.
The vast majority of the growth in Clopay sales and margins has been focused on repair and remodeling activity and our investments in product design and production capacity that enabled us to better serve existing homeowners who desire premium high-end doors as part of their remodeling.
Additionally, with the recent acquisition of CornellCookson, our doors portfolio now includes increased commercial door solutions, further diversifying our offering. Lastly, the addition of ClosetMaid to AMES has increased our reach into the home, with sales in that business is principally driven by the general health of the economy, rather than construction cycles.
Let's turn to Telephonics, our Defense Electronics business, fiscal 2018 revenues as expected decreased to $326 million compared to the prior year of $412 million. Segment adjusted EBITDA from continuing operations declined to $36 million from $46 million, backlog at the end of September was $345 million, which is slightly down year-over-year, book-to-bill for the full year was approximately one-to-one showing that bookings and sales are stabilizing.
Overall, we remain confident in the outlook of our Defense Electronics segment as we have a healthy pipeline of US and international opportunities to capture increased spending within the intelligence and surveillance sector, particularly as it relates to naval and army readiness, which has been increased under the budget appropriations.
Overall we're extremely positive about the untapped earnings potential across all of our businesses. I'll turn it over to Brian to go through the financials with a little more detail."
Brian Harris,0,"Thanks Ron. Beginning with a brief recap of our consolidated performance in the fourth quarter, revenue of $546 million increased 27% and gross profit increased 30% to $148 million, both in comparison to the prior year quarter, with the increase primarily due to acquisitions.
Gross margin increased 53 basis points to 27.2% compared to the prior year quarter. Fourth quarter selling, general and administrative expenses, excluding items that affect comparability, were $109 million or 20% of sales compared to the prior year period of $83 million or 19.3% of sales, with the increase in SG&A, primarily due to acquisition.
Fourth quarter GAAP 2018 income from continuing operation was $1 million or $0.02 per share compared to the prior period of $4.3 million or $0.10 per share. Excluding items that affect comparability from both periods, current quarter adjusted income from continuing operations was $15.7 million or $0.38 per share compared to the prior year period of $12 million or $0.28 per share.
For the fiscal year, revenue of $2 billion increased 30% and gross profit increased 30% to $530 million, both comparisons to the prior year, with the increase primarily due to acquisitions. Gross margin was 26.8% consistent with the prior year.
Full year selling, general and administrative expenses, excluding items that affect comparability were $418 million or 21.2% of sales compared to the prior year period of $324 million or 21.3% of sales.
Fiscal 2018 GAAP income from continuing operations increased to $33.3 million or $0.78 per share, compared to the prior year period of $17.8 million or $0.41 per share. Excluding items that affect comparability from both periods, current year adjusted income from continuing operations was $32.1 million or $0.76 per share compared to the prior year period of $19 million or $0.44 per share.
Our effective tax rate, excluding items that affect comparability for the current and prior year were 33.8% and 39.7% respectively. For the full year of fiscal 2019, we expect the normalized tax rate to approximate 33%. As is normally the case, geographic earnings mix and any legislative action, including new guidance on tax reform matters, may impact rate.
Capital spending net was $49 million compared to the prior year capital spending of $80 million, which included capital spending supporting the plastic business. For fiscal 2019, we expect capital spending to be approximately $50 million.
Depreciation and amortization totaled $56 million for fiscal 2018 and we expect the full year of 2019 depreciation and amortization to approximate $63 million of which approximately $10 million is amortization. The increasing D&A is primarily due to acquisitions.
As of September 30, 2018, we had $70 million in cash and total debt outstanding of $1.1 billion, resulting in a net debt position of $1.05 billion. We had $310 million available for borrowing under our revolving credit facility subject to certain loan covenants and we expect net interest expense of approximately $66 million for fiscal 2019.
Corporate and unallocated expenses, excluding depreciation, for fiscal 2018 were $45 million. For 2018, this included companywide equity and ESOP compensation expense totaling $16 million. We expect 2019 to be in line with 2018.
Finally regarding our guidance for fiscal 2019, we expect total revenue to increase 12% to $2.2 billion, compared to $2 billion in 2018. Our full-year contribution of the CornellCookson acquisition is expected to be 7% and organic growth is expected to be approximately 5%.
The Home & Building product segment growth is expected to increase approximately 14% with organic growth of between 5% and 6% and the defense electronics segment is expected to be consistent with 2018. Fiscal 2019 segment adjusted EBITDA is expected to be $230 million or better or 8% growth versus 2018.
The full-year contribution of CornellCookson acquisition is expected to be approximately 6% and organic growth is expected to be 2% regarding EBITDA. Our organic EBITDA assumes a lag of price realization in offsetting increased input costs, integration and innovation related investments for the ClosetMaid and CornellCookson acquisitions and Defense Electronics, EBITDA consistent with 2018 EBITDA levels.
Consistent with our acquisition expectations, we expect fiscal 2019 CornellCookson revenue and EBITDA to be approximately $200 million and $18 million respectively. Our guidance does not include the potential 15% increase in Section 301 tariffs expected in January 2019. We would expect to pass these through additional costs if and when they become effective.
Now with that, I'll turn the call back over to Ron."
Ron Kramer,0,"I'm excited about our future growth and want to thank our 7,000 plus employees for their dedication and perseverance. Our strategic actions represent the culmination of 10 years of hard work. During this time, Griffon has evolved from a decentralized holding company to a more strategic and focused buyer and builder of businesses.
We have a talented team, both at the corporate and operating company level, which is the key to the success of our company. We have the opportunity to improve margins further by leveraging procurement, distribution and warehousing, manufacturing and administrative functions, coupled with revenue enhancement opportunities.
We're just starting to see the benefits of these businesses together within our portfolio. We're committed to long-term value creation for our shareholders. Griffon has never been in a better strategic position.
Operator, we'll now take questions."
Operator,1,"At this time will be conducting a question-and-answer session. [Operator Instructions] Our first question comes from Bob Labick, CJS Securities. Please proceed with your question."
Bob Labick,1,Good afternoon. And thanks for taking my questions. It's obviously been a wonderful and transformational year for you.
Ron Kramer,1,Thank you.
Bob Labick,1,"I just wanted to start with that, obviously you are still in the process of integrating two exciting acquisitions in ClosetMaid and Cornell and then obviously the bolt-ons as well, but could you talk about some of the synergy opportunities and the timing for these? It seems like you have a lot of opportunity in hand for margin growth.
So give us a sense of how long that takes to play out and where your efforts are focused?"
Ron Kramer,1,"It's really four companies that are going become two and let's talk about them separately. So you have ClosetMaid going into AMES and you have CornellCookson going into Clopay. They are very different businesses that have some similarity in their customer base, but the opportunities for us are really separate.
The ability for the AMES business to be able to take the home organizational category and be able to provide the levels of service, the levels of innovation that we think we're able to do with that business really is about the longer-term revenue enhancement and the margin improvement story which for us has been about taking ClosetMaid, which was when we bought it was $300 million revenue business that was not performing nearly at the margin expectations that we wanted to.
This was meant to be a multiyear journey. We fully expect to be able to improve the margins of ClosetMaid as part of AMES and then separately the Clopay business, which is the leading U.S. residential garage door business and we went through hopefully in detail that people understand of how diversified that stream of revenue is and how uncorrelated it is to the new home construction business to be able to combine that with the leading commercial door business at a time where the growth of distribution centers and commercial and institutional demand for those types of rolling steel doors is a broader compliment.
So we're thinking about a multiyear ability to save on things like steel purchasing, wood purchasing, wire purchasing, that facilities rationalization in terms of distribution centers and all those things come from taking what we've proven we can do to a diverse businesses like plastics, manage through cycles and improve both revenues and reduce expenses.
So we're just getting started on the ability to grow the margins of those businesses. If I had to put a number on it, I would tell you, we want to get better than 12% at the EBITDA line and we think that's within our near-term capability that's far from what our long-term desire is, but it's a long way from where the acquisitions that we bought were running when we bought them. So hopefully that gives you some flavor as to how much upside we see within our control."
