speaker,q&a,content
Operator,0,"Good afternoon and welcome to our Guardant Health Third Quarter 2018 Earnings Conference Call. At this time, all participants are in listen-only mode. We will be facilitating a question-and-answer session towards end of today’s call. As a reminder, this call is being recorded for replay purposes.
I would now like to turn the call over to Lynn Lewis from the Gilmartin Group, for a few introductory comments."
Lynn Lewis,0,"Thank you, Armani.
Earlier today Guardant Health released financial results for the quarter ended September 30, 2018. If you’ve not received this news release or if you’d like to be added to the Company’s distribution list, please send an email to investors@guardanthealth.com.
Before we begin, I’d like to remind you that management will make statements today during this call that are forward-looking statements within the meaning of federal securities laws. These statements involve material risks and uncertainties that could cause actual results or events to materially differ from those anticipated. Additional information regarding these risks and uncertainties appear in the section entitled Forward-Looking Statements in the press release Guardant issue today. For a more complete list and description, please see the Risk Factors section of the Company’s third quarter report on Form 10-Q which the Company has filed with the Securities and Exchange Commission. Guardant disclaims any intention or obligation to update or revise any financial projections are forward-looking statements whether because of new information, future events or otherwise. This conference call contains time-sensitive information and is accurate only as of the live broadcast November 19, 2018.
With that, I’d like to turn the call over to Helmy Eltoukhy, Chief Executive Officer. Helmy?"
Helmy Eltoukhy,0,"Thanks, Lynn. And thank you everyone for joining us this afternoon. I’m pleased to welcome you to Guardant Health’s first earnings call as a public company to review our third quarter 2018 results. Joining me today is AmirAli Talasaz, my Co-Founder and Guardant’s President; and Derek Bertocci, our Chief Financial Officer.
The mission of Guardant Health is to conquer cancer with data. The mission is fueled by our commitment to the patients we serve. Our impact on patient care access both [indiscernible] to blaze our path forward in a yardstick by which we measure our progress. Accordingly, I would like to begin our call with a brief patient story.
We recently came across this 74-year old breast cancer patient, who was unfortunately at the end of her treatment road. She was in palliative chemotherapy and basically out of options. Just a week before, we had launched a new feature in Guardant360 that enables us to determine which tumors exhibit the property known as microsatellite instability or MSI-High; her clinician ordered our test and to his surprise found out that her tumor was indeed MSI-High. Why is that important? It turns out that MSI-High tumors are much more likely to benefit from a new class of breakthrough treatments known as immunotherapy, because of her physician and Guardant360 she now has a renewed potential of treatment path forward, which can have prolonged and life-changing impact.
Additionally, since launching this new feature, we now have identified MSI-High patients across 10 different cancer types. This is important because immunotherapies such as pembrolizumab are approved for all types of MSI-High solid tumors. This type of broad pan-cancer impact brought on by matching the right molecular information with the right intervention at the right time wouldn’t have been possible just a few years ago.
As was evident from this story, we believe the key to our mission of conquering cancer with data is through the creation of breakthrough precision oncology tools, tools that can vastly improve access to cancer’s underlying molecular information, not only in the metastatic setting, but even at the earlier stages of disease. We enable this unprecedented access by a routine blood draw or what is known today as a liquid biopsy. The liquid biopsy leverages the fact that tumors shed exceedingly low quantities of their unique genetic material or their DNA into the blood. However, inefficiencies and upfront sample preparation and the noise of sequencing technologies have made it extremely challenging to unlock these tiny signals with extremely high fidelity.
At Guardant, we have created a technology we call digital sequencing that enables us to overcome these previous challenges and capture these signals with extremely high sensitivity and high specificity. Our Guardant Health oncology platform builds on our digital sequencing technology and leverages our capabilities in clinical development, regulatory and reimbursement to drive commercial adoption and improve patient clinical outcomes and lower healthcare costs.
To-date, we have launched two commercial liquid biopsy tests for advanced stage cancer, Guardant360 and GuardantOMNI. Guardant360, which we launched in 2014, has been used by more than 5,000 oncologists over 40 biopharmaceutical companies and all 27 National Comprehensive Cancer Network or MCCN centers. And we believe it is the world's market leading comprehensive liquid biopsy test based on the number of test sold in 2017. 
With GuardantOMNI, we are helping pharmaceutical companies develop drugs much faster and deep biological insights into their programs. GuardantOMNI is built on the same technology platform as Guardant360, but it's a broader, 500-gene panel that really encompasses the entire biopharmaceutical pipeline, including biomarkers for immunotherapy, such as tumor mutational burden.
Leveraging data and deep biological insights we're gathering from these programs, we launched our LUNAR program in 2016 to develop tests for the two other main buckets in cancer care, recurrence monitoring for cancer survivors and early detection. There are about 20 times as many individuals who are cancer survivors as there are, who are advanced cancer patients.
These survivors are plagued with worries wondering which they will be the day that their cancer returns. And unfortunately, physicians do not yet have the right tools to give them what we call quantitative peace of mind.
Our LUNAR-1 program is developing tests that enable clinicians to detect recurrence at a stage when intervention may have a higher chance to cure the disease. It is also designed to help biopharmaceutical customers identify new opportunities in adjuvant drug development and therapies targeting earlier stage cancers. And we are very proud to announce that our first test from that program is still on track to be available later this year in 2018 for biopharmaceutical use. With our LUNAR-2 program, we're harnessing all the data that we've generated through Guardant360, GuardantOMNI and some of our LUNAR-1 data to develop tests for the biggest bucket in cancer care, which is early detection.
We are initially developing tests for asymptomatic individuals that have higher risk of developing cancer due to multiple factors including moderate to heavy smoking, hereditary risks, and preexisting infections or inflammatory conditions, and working to find cancer much earlier when it has a much higher chance of being cured for the long run.
We estimate the market opportunity for our current commercial and pipeline products is over $35 billion in the United States, comprising applications for both clinicians and biopharmaceutical customers, and addressing early detection to late stage disease.
As many of you know, we completed our initial public offering in October, raising approximately $249.5 million in net proceeds. I'd like to express my sincere thanks to all of the investors who participated in the offering and continue to support us today.
With that, let me briefly summarize our results for the third quarter of 2018. Revenue for the third quarter totaled $21.7 million, representing growth of 95% over the prior year quarter. Clinical volume grew 14% year-over-year to 7,027 clinical tests after excluding tests in the third quarter of 2017 from a customer that began processing tests in house in March 2018 based on a joint development agreement. Pharmaceutical volume grew 67% year-over-year to 2,505 tests. Based on these results, we are providing full-year revenue guidance for 2018 of $82 million to $84 million.
We are encouraged by the strong organic growth we have continued to see in our business, despite our constrained commercial investment ahead of broad reimbursement. Looking ahead to next year, we believe three elements will be key drivers for continued strong adoption of clinical Guardant360 testing. The first is FDA approval of Guardant360 with a pan-cancer tumor profiling label; the second is pan-cancer Medicare coverage, based on FDA approval that would be granted under the recently finalized National Coverage Determination for next generation sequencing test; and finally, the third is a readout from our NILE, which is a prospective clinical trial measuring Guardant360 head to head versus tissue in the first line non-small cell lung cancer study. We believe NILE, if it successfully demonstrates non-inferiority of Guardant360 for biomarker discovery, could enable a blood-first paradigm in clinical testing. We expect these three elements to read out in 2019, and we will be investing in expanding our commercial team ahead of that to fully capitalize on these anticipated upcoming catalysts. 
With that, I will now turn the call over to AmirAli Talasaz for more detail and our recent progress of our business and product portfolio. AmirAli?"
AmirAli Talasaz,0,"Thanks, Helmy.
As Helmy mentioned, we are continuing to build out proof points that we believe will serve as catalysts for continued adoption and frontline usage of liquid. The first proof point is movement for the blood-first paradigm for genotyping of advanced cancer patients. Traditionally, tumor tissue samples are used to capture the molecular information necessary to appropriately target a patient's cancer. We believe that shifting to this new blood-first paradigm will require a drumbeat of robust clinical data demonstrating the utility of Guardant360 as an option to be used first, ahead of tissue sequencing.
Some of these proof points have taken shape with encouraging data from the SLLIP study, which was presented at the European Society for Medical Oncology or ESMO, and recently compelling results from a landmark study published in JAMA Oncology. In that study, researchers at the University of Pennsylvania published the results of a prospective study describing the real world use of Guardant360 in the care of 323 consecutive metastatic non-small cell lung cancer patients at their institution, approximately half of which were tested at diagnosis versus at progression of therapy.
This study was important for several reasons and compromised many interesting observations. But, there are three key points we'd like to highlight here. First, in nearly a third, 29% of these patients that treating physician chose to use Guardant360 as the sole genotyping tests, which represents real world scenarios in which Guardant360 was able to obvious and invasive tissue acquisition procedure by providing the genotyping information necessary. Second, tissue genotyping failed in nearly half, 44% of the remaining 71% of the patients in home that physician elected to use tissue genotyping, which represents real world use of Guardant360 to provide genotyping and target therapy opportunities to patient that would have otherwise not benefited. And third, in those patients for whom both tissue on plasma results were available, the addition of plasma increased the proportion of patients with standard-of-care actionable biomarkers by 71% from 21% to 36%. Demonstrating that real world use of Guardant360 can substantially increase the number of treatment opportunities for patients. Importantly, Guardant360 increased the biomarker discovery rate in patients both at diagnosis and at progression on therapy.
These findings demonstrate that real world application of Guardant360 can improve the care of advanced non-small cell lung cancer patients. We are very encouraged by these results and their support of blood-first paradigm. We hope to continue building on these results with NILE, which is multi-site and purpose built to access Guardant360 versus treating first-line setting. 
Just as a reminder, NILE enrolled approximately 300 patients and the primary endpoint is the detection rate of 7 actionable biomarkers in advanced non-squamous non-small cell lung cancers using Guardant360 versus standard-of-care tissue testing. We expect the data from NILE to read out in the first half of 2019.
The second key proof point is FDA approval for Guardant360. Earlier this year, we were pleased to learn that Guardant360 was the first comprehensive liquid biopsy to receive breakthrough designation by the FDA. If and when FDA approval is obtained, we believe it will help with the adoption of liquid biopsy testing among those sitting on the sidelines, because of some of the noise that has been generated by low quality testing. We anticipate submitting to the FDA for premarket approval or PMA in the first half of 2019.
The third element is continued expansion of reimbursement coverage policies, given the perception among physicians of lack of reimbursement for such CGP tests. The clinical evidence we have generated so far has led to over 77 million covered lives. In August, we were pleased to hear that our local Medicare Administrative Contractor, Palmetto GBA finalized the Local Coverage Determination or LCD for Guardant360 for non-small cell lung cancer patients. Late in the third quarter, we began billing Medicare and early in Q4, we have already successfully received our first payments.
Finally, we believe FDA approval for Guardant360 with a pan-cancer tumor profiling label will expand Medicare coverage beyond lung cancer to all solid tumor types under the National Coverage Determination for next generation sequencing test that was finalized earlier this year.
Turning now to our product pipeline. As Helmy mentioned, we recently added reporting of microsatellite instability or MSI-High to the Guardant360 panel at what we believe to be market leading level of sensitivity and specificity. Guardant Health researchers demonstrated 95% analytical sensitivity for MSI-High status at variant levels down to 0.4% and a lower reportable cutoff of 0.1% using Guardant360.
In order to meaningfully improve patient outcomes using liquid biopsies, we believe that high clinical sensitivity and specificity of detecting such biomarkers should be achieved, especially at the low levels of tumor variants typically found in circulation.
Finally, I would like to briefly give an overview of our LUNAR program which is focused on recurrence monitoring for cancer survivors and early detection. Through our first two commercial products, Guardant360and GuardantOMNI, we have captured data over a number of years that provides us with deep insight into the circulating tumor DNA biology in blood sample of cancer patients.
We have deep targeted sequencing data in combination with low coverage whole genome sequencing from tens of thousands of cancer patients. This data has enabled discovery of novel epigenomic variations across multiple cancer types. We believe augmenting genomic with epigenomic signatures can enhance the clinical sensitivity and specificity of our tests significantly and yield critical insight into the tumor microenvironment.
Moreover, we developed a database of biological noise sources such as CHIP mutations which enables us to further enhance the clinical sensitivity and specificity of our tests. We also have an extensive blood biobank of tens of thousands of cancer samples that we use for discovery and more importantly biomarker verification and validation.
We are very encouraged by the progress we're making in our LUNAR program, and look forward to launching our first test from LUNAR-1for biopharmaceutical us later this year.
With that, I will now turn the call over to Derek Bertocci for more detail on our financials. Derek?"
Derek Bertocci,0,"Thank you, AmirAli.
Revenue for the three months ended September 30, 2018 was $21.7 million, 95% increase from $11.1 million in the same period of prior year. Revenue in the quarter increased strongly in clinical testing, biopharmaceutical testing and development services. Precision oncology testing revenue increased 78%, driven by higher testing volume and increases in revenue per test. In addition, increases in payments from commercial insurance payers were beneficially affected by the protecting access to Medicare Act of 2014. Furthermore, the average selling price of biopharmaceutical tests increased in the three months ended September 30, 2018 compared to the three months ended September 30, 2017 due to the introduction at the end of 2017 of the GuardantOMNI test which has the higher selling price than the Guardant360 test.
As Helmy mentioned, we received our first Medicare payment in Q4, and we expect to continue to book Medicare payments throughout the remainder of the quarter which will contribute to our revenues for Q4 2018.
Third quarter clinical volume grew 14% year-over-year to 7,027 tests due mainly to an increase in the number of physicians ordering Guardant360 tests. In calculating the period-over-period increase in clinical volume, we excluded tests in the third quarter of 2017 from a customer that began processing tests in-house in March 2018 based on a joint development agreement.
Third quarter biopharmaceutical volume grew 67% year-over-year to 2,505 tests due to an increase in the number of biopharmaceutical customers and their contracted projects. Development services grew to $3.4 million from $0.9 million due primarily to increased work with biopharmaceutical customers on companion diagnostic development and regulatory approval services.
Gross profit is total revenue less cost of precision oncology testing and cost of development services. Gross profit for the third quarter of 2018 was $11.6 million compared to a gross profit of $2.5 million in the same period prior year. The gross margin or gross profit divided by total revenue in the third quarter was 53.7% as compared to 22.2% during the third quarter of 2017. Gross margin improvement was due to several factors: Increases in commercial payer payments for clinical tests that were beneficially affected by the protecting access to Medicare Act of 2014; higher average selling price of biopharmaceutical tests due to introduction at the end of 2017 of the GuardantOMNI test which has the higher selling price than the Guardant360 test; and three, the overall increase in volume of tests which supports more efficient use of our production facilities.
Total operating expenses for the third quarter of 2018 $35.8 million, a 15% increase from $31.1 million in the third quarter of 2017. R&D expenses for the third quarter of 2018 were $14.3 million compared to $7.2 million in the third quarter of 2017. The increase was primarily attributable to development in clinical research and validation of products including our LUNAR, OMNI, G360 panels and work on submissions to the FDA.
Sales and marketing expenses for the third quarter of 2018 were $13.5 million compared to $7.8 million in the third quarter of 2017. The increase was due to expansion of personnel and programs to drive the growth in sales, adoption, and reimbursement of our products and services.
General and administrative expenses for the third quarter were $8.1 million compared to $16.1 million in the third quarter of 2017. This decrease was primarily due to compensation expenses of $9.7 million during the third quarter of 2017 for the repurchase of common stock from certain executive officers.
Net loss from operations for the period was $24.1 million, compared to a net loss of $28.7 million in the third quarter of 2017. We ended the third quarter of 2018 with $274.3 million in cash, cash equivalents and marketable securities, and raised approximately $249.5 million net of underwriting fees and other expenses from our IPO in early October 2018. We expect full-year 2018 revenue to be in the range of $82 million to $84 million. During the fourth quarter, we expect to record revenues on payments from Medicare of approximately $1.1 million to $2 million tests processed in Q3, and approximately $2 million for tests processed in Q4.
Biopharmaceutical customers use our services in drug discovery and development programs, and have significantly increased their activities with us in the last year. Biopharmaceutical drug discovery and development programs start and complete at various times. In preparing our revenue forecast, we recognize that revenue earned from biopharmaceutical customers can vary more than revenue earned from clinical testing.
At this point, I’d like to turn the call back to Helmy for closing comments."
Helmy Eltoukhy,0,"Thank you, Derek.
In closing, we believe we have unique opportunity at Guardant to spend unprecedented access to cancer’s molecular information throughout all stages of the disease. We are well-positioned for growth and look forward to what is ahead. I want to thank the growing team of Guardant employees for their enthusiasm and hard work, and continued drive to achieve strong and consistent patient outcomes.
With that, we will now open it up to questions. Operator?"
Operator,1,Thank you. [Operator Instructions] First question comes from Tycho Peterson with JP Morgan. Your line is now open. 
Tejas Savant,1,"Hey, guys. It’s Tejas on for Tycho. Congrats on a solid first quarter out of the gates here. I had a quick question that’s more on the housekeeping side of things. I mean, can you give us a sense of the split between clinical versus biopharma revenue for the quarter?"
Derek Bertocci,1,"So, the split was $9.6 million in clinical revenue and $8.7 million in biopharma revenue."
Tejas Savant,1,"And then, Helmy, has there been any change in sort of your conversations with private payers following the granting of the LCD? Any color you can share on that would be great."
