speaker,q&a,content
Operator,0,"Good afternoon, ladies and gentlemen, and welcome to today's conference call to discuss GenMark Diagnostics' Third Quarter 2018 Financial Results. My name is Chris, and I'll be your operator on this call. After the presentation, we will conduct a question-and-answer session. Instructions will be provided at that time. [Operator Instructions]. Please note that this call is being recorded today, Monday, October 29, 2018, at 1:30 p.m. Pacific time and will be available on the Investors section of GenMark's website at www.genmarkdx.com.
I would now like to turn the meeting over to Johnny Ek of GenMark. "
Johnny Ek,0,"Thanks, Chris, and thank you all very much for joining us today. Before we begin, I would like to inform you that certain statements made by GenMark during the course of this call may constitute forward-looking statements. Any statement about our expectations, beliefs, plans, objectives, assumptions or future events or performance are forward-looking statements. For example, statements concerning our 2018 financial guidance, the development, regulatory clearance, commercialization and features of new products, plans and objectives of management and market trends are all forward-looking statements. We believe these statements are based on reasonable assumptions.
However, these statements are not guarantees of performance and involve known and unknown risks and uncertainties that may cause the actual results to be materially different from any future results expressed or implied by such statements. Important factors, which could cause actual results to differ materially from those in these forward-looking statements are detailed in GenMark's filings with the SEC.
GenMark assumes no obligation and expressly disclaims any duty to update any forward-looking statements to reflect events or circumstances occurring after this call or to reflect the occurrence of unanticipated events.
I will now turn the conference call over to Mr. Hany Massarany, President and CEO of GenMark. Hany?"
Hany Massarany,0,"Thank you, Johnny. Good afternoon, and thank you all for joining us. Joining me on the call today is our CFO, Scott Mendel. We’re very pleased with our third quarter results which once again reflect continued strong execution across key aspects of our business. Total revenue in the third quarter grew 36% year-over-year to $15.8 million. Again, our top-line performance was largely driven by the solid pace of ePlex system adoption and continued high demand for our respiratory pathogen test cartridges. Fueled by the proven processing capacity of ePlex and its ability to optimize workflow, in Q3, we expanded our installed base by 45 additional analyzers and closed out the quarter with 312 ePlex placements in the US and international markets. Like recent quarters, the majority of Q3 placements were in the US, which continues to be the largest market for our testing platforms and panels.
As a reminder, the strategic objectives we established for growth in 2018 were based on driving ePlex market adoption and test menu expansion as well as improving manufacturing cost and yield efficiencies. We have made great progress delivering on these objectives so far this year and over the next few minutes I'd like to share some of our recent accomplishments. 
Starting with ePlex market adoption, I am pleased to report that the benefits of ePlex workflow continued to resonate very strongly with our customers. This was a major contributor of our strong placements in the third quarter, particularly towards the latter part of the quarter as customers began to gear up for the flu season. We were also pleased to achieve a meaningful number of placements in the quarter driven by the anticipated launch of our Blood Culture ID Panels in the US market. This is especially encouraging as it underscores the advantages of our approach to BCID testing compared with currently available panels. In Q3, we also continued to see strong placements of our ePlex NP platform which as a reminder is a three cartridge analyzer that can process up to 12 patient samples per shift with the same core ePlex functionality.
In Europe, the NP configuration is proving to be especially effective at helping us gain access to lower volume hospitals and decentralized test sites in less populated geographies. 
Expanding our direct sales force and distributor network is another key 2018 objective to drive market adoption of our ePlex system. In line with this we’re continuing to add top-tier sales talent in the US and expect to achieve our goal of reaching a sales force size in the mid 30s by year-end. Outside of the US progress towards improving our commercial processes in Europe is ongoing, including shortening the ePlex sales cycle and repositioning underutilized ePlex analyzers to maximize the annuity of our installed base in Europe. 
We’ve also made good progress expanding our distribution network to broaden our geographic reach globally, including underpenetrated regions outside of Europe. And I'm confident that we are establishing the right foundation for future growth outside the US but continue to expect domestic placements and annuities to be the primary drivers of revenue growth. 
Turning to our ePlex menu. I would like to start by making a few comments on the recent Palmetto and CGS Local Coverage Determinations or LCDs on respiratory panel testing. These two Medicare Administrative Contractors or MACs determined that respiratory panels of three to five pathogens will be reimbursed in specific clinical situations but larger multiplex panels such as our ePlex RP Panel will not be covered at previous levels. At this stage, these LCDs will only apply to Medicare and Medicaid patients who are built on an outpatient service within the nine states covered by these two MACs and will not have an impact on patients outside of these state, patients who are treated on an inpatient service or patients who have insurance other than Medicare and Medicaid. It is likely, however, that the remaining MACs and possibly some private payers with adopt a similar policy at some time in the future, and we would continue to monitor and address this situation as appropriate.
While we’re disappointed with these final coverage positions, they are largely consistent with the initial draft policies, so not entirely unexpected, we are now working with our customers to fully understand the potential impact of these LCDs and develop alternative strategies to enable continued patient access to the benefits of our multiplex technology. It’s important to note that the majority of our respiratory test volume is driven by inpatient testing. And while it’s difficult to accurately estimate, we expect that about 5% or less of our total revenue may be impacted if similar LCDs are adopted broadly. 
Now on to other test panels, and as we’ve previously, expanding our ePlex menu remains a top priority for our company. And I’m delighted with the significant progress that we've made so far in relation to bringing our three novel Blood Culture ID panels to the US market. During the third quarter was submitted to the FDA two new BCID Panels, Gram-Negative and Fungal Pathogen, which together with the Gram-Positive Panel previously submitted to the FDA in June of this year, complete our family of ePlex Blood Culture ID Panels for the diagnosis and disease management of bloodstream infections that can lead to sepsis. 
We are confident in many significant market opportunities for these panels in the US based on several factors including: One, our ability to provide the broadest pathogen inclusivity of any rapid molecular panel available today. Two, the critical importance of actionable resistance markers. And three, the ability to automatically link the diagnostic test results to localized antibiotics stewardship guidelines through the unique software capability and LIS connectivity of our ePlex system. 
Tomorrow, our team is heading to San Antonio for the 2018 Association of Molecular Pathology Annual Meeting where we will be -- we will present a major release of data related to our ePlex BCID Panels. Dr. Karen Carroll, Professor of Pathology at the Johns Hopkins School of Medicine and one of the principal investigators in our ePlex BCID FDA studies will present a summary of our clinical study results for all three ePlex BCID Panels. We are very pleased with the results of these studies and are excited for Dr. Carroll to share this data with the scientific community. At symposium we would also feature a presentation by Dr. Stefan Juretschko, Senior Director of the Division of Infectious Disease Diagnostics at Northwell Health Laboratories. Dr. Juretschko will present his lab experience with an ideal version of the ePlex BCID panels that were evaluated as part of our strategic early access program. This data will highlight the potential benefit of the ePlex BCID solutions’ broad pathogen coverage in a real-world setting and will also highlight the potential impact of several novel targets on the panels. These presentations will be the first of many ePlex BCID scientific presentations, posters and papers that we have planned over the next nine months to support this launch of this novel and exciting new product. 
Subject to FDA review timeline, we expect to receive FDA clearance for all three BCID Panels starting late this year and early next. We believe that the opportunity for our Blood Culture ID Panels could become as large as the multiplex respiratory pathogen testing market, which we estimate is now approximately $500 million globally and we’re currently focused on preparing the market and our organization for a successful US launch.
With the submission of all three of our BCID Panels now complete, we’re shifting more of our attention and internal R&D resources towards our next menu expansion opportunities, including GI and other novel panels for unmet clinical needs. As communicated previously, we’ve already designed our GI Panel to offer more reportable targets than competitive panels. As we finalize development and optimization of this panel, we are evaluating various panel configuration options to provide maximum clinical utility, while accounting for relevant market dynamics, including changes to reimbursement and other competitive factors. We plan to provide future updates as we evaluate these options and associated launch timelines.
Finally, on the manufacturing front, we are maintaining a significant focus on optimizing our manufacturing processes to improve yield, reduce variability and drive cost efficiencies, and I am pleased with the progress we've made so far across all of these areas and the positive impact this is having on gross margins. Our manufacturing capacity expansion plan is on track to support the 2018, 2019 flu season and our ongoing menu expansion efforts. Based on this and our continued focus on manufacturing cost efficiency, we remain confident in our ability to drive continued ePlex margin accretion over the long-term.
At this point, I’ll turn the call over to Scott for his financial review and additional details on our guidance for the remainder of this year. Scott?"
Scott Mendel,0,"Thank you, Hany. As previously mentioned, our third quarter 2018 revenue was $15.8 million, up 36% versus the third quarter 2017; with the US continuing to account for the vast majority of our sales. 
The average annuity for ePlex placement was $88,000 in the third quarter, primarily driven by typical respiratory panel ordering patterns, as we expand menu anticipating unit replacement to be less variable from quarter-to-quarter. We continue to expect the average revenue per ePlex placement to be in the top of our guidance range of $100,000 to $120,000 per year with the potential to increase in future years as our test menu expands. 
Third quarter gross profit was $5.6 million or 36% of revenue versus $4.2 million in the third quarter of 2017 or 36% of revenue. When compared to second quarter 2018, gross margin improved by 6 percentage points, driven by both our manufacturing improvement initiatives and a higher mix of XT-8 product sales versus the prior quarter. We are pleased to see results of our focused efforts in this area. However, we do not expect the sequential increase in overall gross margins in the fourth quarter due to anticipated mix shift to higher ePlex product sales relative to XT-8. We’re continuing to make progress on ePlex gross margin improvement and remain confident in our ability to drive margin accretion over the longer term. 
Until ePlex gross margins are more in line with XT-8, product mix will continue to be an important factor affecting the overall company gross margin. 
Total operating expenses were $16.2 million for the quarter, a decrease of $2.7 million compared to third quarter of 2017. This decrease was largely due to reduced ePlex development expenses. Our net loss per share for the third quarter was $0.20 compared to $0.28 in the third quarter 2017. 
Moving on to the balance sheet, we ended the quarter with $42.7 million in cash and investments. We used $12.6 million of cash in the quarter, which was a sequential increase of $2.4 million compared to the prior quarter. The cash usage increase was driven by an increase in accounts receivables due to the timing of orders and revenues and an increase in inventory in advance of the flu season, which was partially offset by the increase in gross profit. 
We were also successful in completing a debt restructuring that extended the interest-only period on our debt until January 1, 2020 and can currently extend to the final maturity date until January 1, 2021. This will give us greater financial flexibility as we continue to grow the business. 
We remain committed to reducing cash usage as we grow our revenue and improve margins, partially offset by continued investment in our commercial and R&D efforts as well as manufacturing capacity. Overall, our cash usage will be significantly reduced relative to the prior year and in line with our expectations. 
Turning to guidance for the full year 2018, we continue to expect total revenue to be in guidance range of $68 million to $72 million. Based on early indications, however, we are expecting a light 2018, 2019 flu season, which could impact our Q4 revenues. Therefore, we now anticipate revenues will be closer to the midpoint of our guidance and gross margins for the year to be in the range of 28% to 30%. Importantly, we are making progress in improving ePlex consumable gross margins, and this remains a top priority for us. And finally, we are refining our expected 2018 global ePlex placements to be in the range of 150 to 160 net new analyzers. 
In closing, GenMark continues to execute on the strategy we laid out for 2018, including driving ePlex placements, menu expansion and cost efficiencies. At the same time, we have been successful in laying the foundation for continued growth by expanding our US sales organization, as well as improving our sales execution outside the US. 
While we are expecting a lighter flu season this year, we remain confident that the strength of our respiratory panel combined with the anticipated launch of our BCID Panel in 2019 position us well for future revenue growth, gross margin improvement and shareholder value. 
We will now open the call to questions."
Operator,1,Thank you. [Operator Instructions]. And our first question comes from Brian Weinstein with William Blair. Your line is now open.
Unidentified Analyst ,1,"Hi, guys. Good afternoon, this is actually Andrew on for Brian. I wanted to first start with some questions on menu and Hany your commentary there was helpful. Maybe you could provide a little bit more color though on the alternative strategy that you're working through with BCID and the GI Panel, just a little bit more color there? Thanks."
Hany Massarany,1,"Alright. Thanks, Andrew. No alternative strategy for BCID, we’ve completed of course development of clinical studies and submission of all three panels to FDA, and we’re now working with FDA through the review and clearance process which we expect to sort of happen for one or more of the panels starting late this year and into early next year. We are working now to prepare the market and our organization for a successful launch in the US, including placing systems for early access, under sort of a strategic early access program. We’ve placed systems in US labs who are now working ahead of launch to evaluate, research uses on the configuration of these panels to prepare for when the panels are available post FDA clearance for routine clinical use. So that’s as far as BCID is concerned. 
Now for GI, we had said before that we actually already designed a panel, a very uniquely differentiated panel with broad inclusivity across multiple pathogens and we are now taking the opportunity to consider how we might configure this panel for maximum clinical utility as well as taking into account various factors as we always do in terms of market dynamics, some of the competitive activities that we’re seeing out there, but also recent sort of changes in reimbursement. 
It is our focus to ensure that we have syndromic panels that provide the maximum benefits to patients. We’ve technology that’s obviously very powerful and provides a lot of ability to sort of configure both in terms of panel content and software functionality that will give us a lot of options in terms of how best to bring to market the best panels while taking into account all of these factors."
Unidentified Analyst,1,"Great. Thanks. And then on the respiratory panel, your commentary on the Palmetto update there. Could you maybe talk about the market reaction to that, are you seeing any slowing down of utilization of these tests? Thanks."
Hany Massarany,1,"Thank you for that. No, we’re not, because the vast majority of the testing done with our panel, both actually ePlex but also XT-8 is on hospitalized patients under hospital DRG as opposed to outpatient. We and the market in general are disappointed with position -- with reimbursement position. We’re not in agreement with it, because we think that there is so much evidence with publications, with case studies that really demonstrate the clinical value, the economic value as well as the quality, the benefit of these panels and that’s why the customers are adopting them, right. Automated sample-to-answer rapid and providing all the relevant information upfront to manage critically ill patients typically hospitalized maybe be immunocompromised. So, we strongly believe in the approach for syndromic panel. We will continue to work with our customers to demonstrate the value in the future as well. 
In terms of the market reaction, like I said, the societies, the key opinion leaders, customers and suppliers are I would say, not in agreement with the reimbursement position and at the end its up to individual customers and institutions to decide on how to interpret the reimbursement sort of policies and positions, how to code for reimbursement based on the clinical utility in the context of how they interpret the law. And we don’t tend to advise on that but of course it’s up to individual customers to make that decision. "
Operator,1,Our next question comes from Mark Massaro with Canaccord. Your line is now open. 
