speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Gazit-Globe Third Quarter 2018 Results Conference Call. At this time, all participants are in a listen-only mode. There will be a presentation followed by a question-and-answer session. I advise you that this conference is being recorded today, Tuesday, November 20, 2018. The presentation that will be used in today's call and the financial statements can be found on Gazit-Globe's website at www.gazitglobe.com.
Before we get started, I would like to remind everyone that some of the statements today may be forward-looking in nature. Although we believe that such statements are based upon reasonable assumptions, you should assume that these statements are subject to risks and uncertainties and actual results may differ materially from those expressed or implied in these forward-looking statements.
Additional information about the risks and uncertainties that could cause actual results to differ may be found in our latest financial statements and our filings with the Israel Securities Authority, the U.S. Securities and Exchange Commission, and on SEDAR operated by the Canadian Securities Administrators.
Statements made during the call are made as of the date of this call. Facts and circumstances may subsequently change, which may limit the relevance and accuracy of certain information discussed. Except as required by applicable law, we undertake no obligation to update any forward-looking or other statements made herein, whether as a result of new information, future events, or otherwise.
I would now like to hand the conference over to Mr. Chaim Katzman, Founder and CEO of Gazit-Globe. Please go ahead."
Chaim Katzman,0,"Thank you very much, and good morning, everyone. Thank you for joining us for the third quarter 2018 conference call. I will begin, as always, with a brief review of our business and strategic developments, and then Adi will emphasize the main results of the quarter and then, of course, we’ll open up for questions.
If I had to summarize the quarter in one sentence, I would say the following. Our properties on all fronts generated more rental income, while occupancy rate in our properties which were already very high, continued to rise, along with our tenant sales, this is in a nutshell the essence of our business and the real test of our success and progress over the course of this last quarter. And now let me elaborate in more detail.
Our same property NOI grew by 2.3% over the comparable period last year. The growth came primarily from our private wholly-owned subsidiaries in Brazil and Israel, which grew by 9.9% and 2.3%, respectively, while same-store tenants have increased this quarter by 12% in Brazil and 2.5% in Israel.
Meanwhile, the occupancy rate in our portfolio on average increased by 1.1%, compared with last year and amounted to 96.5%. It is also worth noting that our occupancy rate was above 96% in every one of the group companies, with Israel leading with an occupancy rate of 97.5%.
New acquisitions of investment properties in our product portfolio totaled NIS 422 million during the quarter and through the date of publication of our results. Beyond these acquisitions, we continue to make progress in our development, expansion and renovation project and completed the addition of a total area of approximately 59,000 square meters, almost 600,000 square feet during the quarter through the – through and – through the publication date, of which Gazit's share is approximately 36,000 square meters, or close to 400,000 square feet.
In Israel, in September and October, we acquired several interesting properties, which we see as strategic acquisitions, which established a foothold in the heart of Tel Aviv city center. We invested approximately NIS 102 million on Dizengoff Street in Tel Aviv.
The Dizengoff corridor is one of the main public transport routes in Tel Aviv and a hub for four planned light rail stations, and the street is constantly bustling with pedestrian and is in the heart of one of the most dense areas in Tel Aviv. On Slide 8 and 9, I'm sorry, on Slide 7 and – I’m sorry, on Slide 6 and 7, you would see those two assets, as they are being presented on our presentation.
We also purchased 30 dunams, which is about 7.5 acres of land in Savyon. Savyon is probably one of the richest suburbs of Tel Aviv for NIS 170 million, which now houses a mixed-use commercial property, with a rental area of approximately 3,200 square meters, which is about 40,000 square feet of retail and office space and which has additional building rights approved as of rights for retail and office use and which is currently in the process of permitting for another 3,700 square meters. The remainder of the land will serve as a Landbank for the company for additional future mixed-use expansion projects.
To summarize my review of Gazit Israel, our occupancy rate for our portfolio is 97.5%, an increase of 0.7% compared with September 30, 2017. Same property NOI from asset period increased by 2.3% and same property tenant sales were up 3% compared to the corresponding period last year.
With that, let me move to Europe. During the fourth quarter, Atrium completed 26,000 square meters, about 300,000 square feet of expansion projects for existing assets. The most significant of which was the expansion of Atrium Promenada with a capacity of 13,200 square meters. And as a product of our development, Atrium Promenada has become the most dominant mall on the East Bank of the city of Warsaw and one of the three top shopping centers in the city.
Another one of our Norway [ph] expansion that was completed in October was Atrium Targowek, where we completed an addition of 8,600 square meters and increased both the numbers and size of the properties anchor tenants, adding another 27 tenants and in addition, we expanded the food court and established a newly created children’s creation – recreation, sorry, area.
In addition, at Atrium, as we see on Slide 9, the company reported in October that we acquired Wars Sawa Junior property in Warsaw, a truly unique dominant property in the center of the city with a GLA of 26,000 square meters, it’s about 300,000 square feet, we paid in excess of €300 million for this asset. This property has access – as an access of 60 million annual pedestrians walking by the shopping center every year.
We have about 24 bus lines serving the area, two metro station and six light rail – light tram rail lines. And, for example, I believe that every Israeli tourists at Warsaw visit H&M’s are among the stores in this property. This is a property, which I believe with a proper proactive management will produce substantial value.
In Citycon, the Molndal Galleria shopping center development was completed and had its grand opening. The property is located in Gothenburg, Sweden’s second largest city, with around 1 million people living in the metropolitan area. The property has a rental area of about 24,000 square meters and was the combination of an investment totaling about €120 million.
On the other hand, we continued to improve the quality of our portfolio in Europe and sold more than €110 million worth of properties in secondary regions in Hungary and Romania, actually completing our exit from these two countries. We had those sales at an average price, it was 9% above the property’s book values and we also sold a small asset in Norway.
Also another word about Citycon. We have a new CEO and COO. The CEO is coming from the United States and has 30 years worth of experience in the commercial shopping center business. The CEO is a determined young Finnish lady, who joined Citycon eight years ago as an analyst. I believe that this team will energize a company and bring new spirit to the company’s culture and believe that the blend of Nordic and American culture and management practices will be a winning combination.
Let me now move to Brazil. In Mais Shopping Center, Stage one of the 8,750 square meters second floor expansion has been completed, and the government services office will open at the end of the month. And we expect dramatic increase in the number of daily visitors to the property, which in turn will lead to an increase in rental income. But as it is today, the occupancy rate is already at a very high level of 97.5%.
In our other mall, Shopping Internacional, that we acquired earlier this year, we have since completing the acquisition leased already 22 stores, opened 39 kiosks, signed new advertising contract and have held 10 events in the property. This activity demonstrates our proactive management and ability to buy and dramatically upgrade an asset and create value through a wide range of operating activity, not solely from expansion and redevelopment.
In October, at the height of the election campaign in Brazil between the first and second round, we conducted a tour of our company in Sao Paulo with a group of Israeli Capital Market analysts. Attendance was strong and the feedback we received was very positive. We already have the market better understand what we have achieved so far in Brazil and the quality of our assets that we own.
Now less important, we hold the display the quality of the management team that we have built in Brazil and showcased the depth of our management team for the continuous improvement in assets that we have acquired.
And not to mention, we illustrated a tremendous steel on earth potential embedded in our properties in particular and in Sao Paulo, in general. Our – the occupancy rate of our properties in Brazil stand at 96.6%, an increase of 2.5%, compared to September 30, 2017. The same property NOI during the period increased by 9.9%, compared to the comparable period last year, and the company recorded an increase in same property tenant sales over the quarter of 12%.
Let’s talk about the U.S. Gazit Horizons continues to examine acquisitions in New York, Boston, Miami and maybe in other parts of the country in properties that where we see potential for improvement and the ability to generate excess returns. I want to point out that we continue to be very selective when it comes to acquisitions of new properties and are holding our ground when negotiating these transactions.
Yes, we are aware of the backdrop of a high interest rate environment, which has an undeniable effect on the values of real estate assets and the trajectory with regards to rental rates in the market, which in our opinion, has already reached the peak in many markets. And today somewhat weakness more broadly in the real estate market in the U.S., which are products, in our view, for many – of many consecutive years of strong rent growth and from somewhat increase in interest rates. It may take more time, but will not be tempted to do deals just for the sake of doing deals.
We are hyper-focused on generating value. And only when we identify those opportunities, we will act. As for the properties that we already own, our business plan for them are coming to fruition. And hopefully by the end of the year, we’ll have more updates.
More words on Canada. As a matter of fact, it was more than one word. First Capital continues to report good operating results. The occupancy rate increased by 1.2% to 96.5%. Same property NOI grew by 2.5%, compared to the corresponding quarter of last year and FFO increased by 3.8% compared with the corresponding quarter.
During the quarter, there was an 8.7% increase in rent spreads in renewals and the average annual rent increased by 3.4% compared to the corresponding period last year. No questions, First Capital is the leader in the Canadian real estate market and we’re expected to perform even stronger than its current performance.
And finally, it is impossible to summarize the quarter without referring to the very expensive financial activities that we carried out. I’ll give a brief overview in a few words and leave it to Adi to expand on the subject.
Since the beginning of the year, the company has repaid over NIS 2 billion in short-term debt at an average interest rate of 5.5% and substituted some of it for long-term debt at the lower interest rate of 2.79%, everything CPI adjusted, which resulted in savings of approximately NIS 40 million per year in interest expense, while expanding the duration of our debt from 4.1 years to 4.6 years, and in addition releasing another NIS 1.5 billion from our private asset portfolio.
Despite a temporary increase in leverage that is partly due to the weakening of the Brazilian real exchange rate on the day of the report, which by the way, since then risen by 9.9% and in part because of the loss due to early payments, the company is in much stronger financial condition today than it was at the beginning of the year and it’s really ready to take step – the right steps to implement its strategy.
If you take a look at Slide 11, and this is where I’m going to finish. This slide will illustrate what Gazit-Globe is all about. Today 70% of the value of our asset portfolio, excluding FCR is growing in crowded metropolitan area, Tel Aviv, Stockholm, Warsaw, Prague, Sao Paulo, New York and so on.
Our extensive experience in managing commercial properties, combined with the local market knowledge of our company’s regional teams, will continue to lead to significant asset value growth across our territories in the coming quarters and years.
And from here, I will give the floor to Adi. Adi?"
Adi Jemini,0,"Thank you, Chaim. Good morning, everybody in North America and thank you all again for joining us. As Chaim noted, we had a very busy quarter with quite a significant activity in the financing, which I’ll explain in further details later on. But I’d like to begin with our results and, in particular, with our private arms, which are becoming a major part of our portfolio, but also becoming a much larger contributor to our operating results.
With that, I’ll begin on Slide 13. As we progress with our strategic plan to increase the share of our private portfolio, we will start to report and focus more on proportionate NOI, as we believe is better reflecting our operating results.
As you can see from the slide, the – for the nine months period, the NOI proportionate increased by almost 4%. I think it’s very important and you’ll see that carry through the rest of the call that the majority of that push or the increase is driven by the private arm.
For example, if we peel back this number, we saw an increase in proportionate NOI of about 15% that came from the private subs versus the public subs that contribute 1%. Of course, as we still continue the transformation and giving that the public subsidiaries still 60% of our balance sheet, the blended increase was about 4%.
To the right-hand side, you can see that the moderate increase in the quarter about 0.5%. I just like to touch on that and explain that the moderate increase for the quarter was mainly as a result of the European disposition of its non-core asset as part of the recycling capital strategy.
Although that we’re projecting that both in Central Europe and specifically in Atrium and Citycon, these numbers will increase as these developments and other income-generating purpose will come in line.
I’d like to touch about the same-store NOI. In terms of the same-store NOI, we see growth of about 2.3%. As well as the proportionate NOI, you can see the most of that increase comes from Brazil and Israel. The same-store in Israel increased 2.3%, which was mainly from the shopping center in Israel, G City, G Kfar Saba, G Tel Baruch and G Horev Haifa.
In terms of Brazil, a lot of these efforts are coming from the stabilization of Morumbi that came out of the developing about a year ago and also due to top center and shopping like.
Moving to the second Slide. A little bit more drilldown on the private subs. As you can see in Brazil, we saw an increase of about 56% on the total NOI versus the quarter of about 33%. The increase in Brazil was mainly due to the acquisition of Internacional, but also due to the growth in the same-store NOI.
As I mentioned before, the increase in Israel is about 2.6 and – or 5.3 for the period, and we expect this was to continue in the following quarters with the completion of the redevelopment in GCD and the opening of the third floor as part of the G Kfar expansion.
As Chaim mentioned, the growth in the same-store NOI, the increase of the occupancy level and the growth in the same property operating sales is really the fundamentals that drive this engine growth for the business.
I’d like to move to the occupancy. In terms of the occupancy on Slide 15, the occupancy rate increased by 1.2% to 96.5% compared to the period – the prior period, and occupancy remains very high at 96% in all of our territories. We continue to see the growth in the same property sales in Brazil and Israel of approximately 9.7% and 3.5%, respectively. We believe that these are very impressive performance numbers, especially driven from our private subs.
Moving to Slide 16. In terms of FFO, as we mentioned in the last quarter due to the disposal Regency share, which fully realized in July, we began providing FFO, excluding Regency to better reflect the performance of our portfolio as of today. I’d like to pause here for a moment and explain the way we calculate that.
We basically taking out our proportionate share of the FFO that came from Regency, but we’re also neutralizing the effect of the proceeds from the sale and the benefit of reducing these financing costs. All in all, what we see is an organic growth of about 18.7% for the quarter and about 13% organic growth for the quarter – for the six months – for the nine months period.
I think the bottom line is what we see is the growth in FFO that coming from our current before, in particular, from our private subsidiaries. While at the same time, we disposed a significant investment of an excess of NIS 4 billion.
Moving on to the FFO bridge. We added the bridge in FFO to further illustrate the movement for the period. As you can see, this is the theme that repeating in this quarter. We can see the increase of 15 agora per share in FFO private subs. We see all the financing activities, which I will elaborate later on, that contribute about 10 agora per share.
Our cost reduction in G&A still continue and will continue as we – towards the end of the fourth quarter in 2019, that contribute about NIS 16 million. The movement on the FX and, of course, decreased due to the Regency sale.
In terms of the FFO for the public subs, as I mentioned before, we believe that the contribution from our public subsidiaries FFO is expected to grow taking to account the recent acquisition of Wars Sawa Junior in Warsaw and the completion of the parks that will come online in the fourth quarter in Warsaw, such as Reduta and Targowek and Gothenburg in North Europe.
Our guidance – our economic guidance for the year we narrowed the range from 3.58 to 3.62, where the midpoint implying the midpoint of 3.6. This accelerated disposal of registers earlier than expected lower the FFO per share, where we expect to grow compared with 2017. I’d like to also note that we have about NIS 1.6 billion of proportionate investments that are currently in development with a potential future growth in NOI that – as of the balance sheet date are about 60% complete.
Moving to Slide 18. In terms of our equity and our LTV. I would like to take a moment here to explain what happened and there were three main events when we expect to their equity decrease of NIS 900 million compared to the beginning of the year. One, we had about NIS 480 million revaluation due to the decrease in Regency shares that we carry from Q1, which obviously rematerialize already in July. Two, about NIS 153 million of prepayment for the result of the bonds prepayments that occurred in Q3, of which most of the benefit we’re going to see going forward. And three, we had the currency devaluation, as Chaim mentioned, of the BRL. The BRL as of the end of the period was 0.90 to the shekel that was right before the election – the first round of election in Brazil. And as of today, has increased by about 10%, which really implied another NIS 250 million back to our equity. This movement is very perilous to what happened in the LTV, which will get back to the same level at the end of Q4 as a result of the strengthening of the reais.
Moving to Slide 19. In the Slide 19, you can see the bridge highlighting the impact of the foreign currency exchange, as well as the loss and the buyback of the debenture.
Page 21. In terms of liquidity and financial strength. We’ve been very busy in the financing’s front. From the beginning of the period, we refinanced over NIS 2 billion, with a weighted average interest rate of 5.5%, while at the same time we recycled or raised about NIS 1.8 billion in average coupon rate of 2.78%.
We also – our company and its wholly-owned subsidiary also released an unencumbered asset in the algorithm in excess of NIS 1.5 billion. All in all, that’s implied a NIS 40 million saving in the interest expense going forward. As well as when we’re looking forward, we have about NIS 3.6 billion of outstanding debentures that due to mature by 2022 with the average coupon rate of about 5%.
That will also generate to close of – or accumulate NIS 80 million per share over the next four-year or an additional NIS 20 million saving in financing expense going forward. In addition, due to those release of unencumbered assets, our ratio of unencumbered assets to unsecured debt has increased an outstanding at $1.4 billion.
Moving to Slide 22. We continue to our financing activity in summary, we increased the maturity of our bond from 4.1 years to 5 years, while at the same time we reduced our average interest rate from 4.8% to 4.1%. We have a very well staggered debt maturity, as I said. And looking forward, we’re expecting a significant decrease in the financing expense due to the carry cost right now of our average coupon rate through 2022.
Assuming that the company will refinance all its debt based on the current yields of our current Serious 13 bond, we are expecting about NIS 20 million of additional saving finings expense for the next four years.
With that, I’d like to take you guys for the Q&A session."
Operator,1,"Thank you. Ladies and gentlemen, at this time, we’ll begin the question-and-answer session. [Operator Instructions] The first question is from Tavy Rosner of Barclays. Please go ahead."
Tavy Rosner,1,"Hi. Thanks for the presentation, and thanks for taking my questions. Maybe first very quick one for Adi. You talked about the guidance. Could you run me through what would be the growth rate if we were to exclude for Regency?"
Adi Jemini,1,"Well, I think you saw that in the organic growth, we had about 13% organic growth for the nine months period. The guidance right now still taking into account the two months of Regency for Q1 and Q2, because the disposal was in Q3 of the quarter for the most part.
What you see between Brazil double-digit same-store NOI growth and some of the completion of Gazit Israel and the development in Europe, like I said, reduce our entire weight. And, of course, some addition of the purchase of Wars Sawa Junior is that we’re going to lend probably midpoint of 3.60. Like I said, if you carve that out, then what we saw for the nine months period is about 13% growth."
Tavy Rosner,1,"Okay. Yes, that’s helpful. And then I guess, generally speaking, looking at Citycon, we had kind of a muted year so far, but you talked about new management coming in, bringing in new dynamics. I guess, how do you guys see the potential first of all at the macro level with the new team there? And then more generally speaking, when you bake in into the dynamics of the region?"
Chaim Katzman,1,"Okay, this is Chaim. Thank you for the question. I think that Europe – if you take a broader look at the peer group of the lives of Citycon and Atrium and I’m lapping it for a second year. All these are €2 billion to €5 billion companies, €2 billion equity market cap to €4 billion, €5 billion, whatever. They’re all trading at a very deep discount to NAV.
And as we pointed out when we sold the assets recently in Romania and in Hungary and other best assets, we have achieved IFRS of their. So there is a disconnect between the private market and the capital markets, as they reflected in a huge discount to NAV on this European peer group.
And by the way, this is is weighing on the Gazit’s stock price, because as we say, we miss about NIS 10 just the spread between where our European subsidiaries trade and their IFRS NAV.
As it relates to Citycon, Citycon is, I would say, 85% through its transition from a widely spread company in the Nordic region with more than 100 assets to a company with today, I guess, 50 something assets, of which about 10 assets make more than 50% of its portfolio and it is focused almost exclusively on the major metropolitan markets in the Nordics is – be it Helsinki, be it Stockholm, Oslo, we just completed a development in Gothenburg and so forth.
I think that in its last earnings call, Citycon presented the divergence of its portfolio between core, which is almost 90% of it and 10% is still considered non-core, and it will divest of it in the coming few years. And you can clearly see that the core portfolio is moving in the right direction, while, of course, the non-core is more challenging. But it’s the minority of the assets, it’s the leftover.
And I believe that, as always new management, when they come in, they come in with more enthusiasm and mainly as there would be also a little bit of a cultural change bringing a little bit more of U.S. culture into Europe, it’s not easy. But I think it’s worthwhile. And we believe that Citycon has the right assets to be successful. If you look at Iso Omena, our largest assets and it makes 15% of our portfolio.
We’ve seen a huge increase in foothold. We’ve seen a huge increase in the same-store NOI in net assets and I guess, received throughout the portfolio when you look at the core assets in Citycon. So, at least, we are very bullish on it. Again, the disconnect between the private and capital markets are – is beyond me. But I guess, this is not the first time we are seeing it and probably not the last."
Tavy Rosner,1,All right. Thank you. I appreciate the color.
Operator,1,[Operator Instructions] The next question is from Sam Damiani of TD Securities. Please go ahead.
