speaker,q&a,content
Operator,0,"Greetings and welcome to the Haynes International Inc. Fourth Quarter Fiscal 2018 Earnings Conference Call. At this time all participants are in a listen only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
I would now like to turn the conference over to David Van Bibber, Controller and CAO. Please begin."
David Van Bibber,0,"Thank you very much for joining us today. With me today are Mike Shor, Chairman, President and CEO of Haynes International; and Dan Maudlin, Vice President and Chief Financial Officer. Before we get started, I would like to read a brief cautionary note regarding forward-looking statements.
This conference call contains statements that are forward-looking within the meaning of the Private Securities Litigation and Reform Act of 1995 and Section 21E of the Securities and Exchange Act of 1934. The words believe, anticipate, plan and similar expressions are intended to identify forward-looking statements.
Although we believe our plans, intentions and expectations regarding or suggested by such forward-looking statements are reasonable, such statements are subject to a number of risks and uncertainties, and we could provide no assurance that such plans, intentions or expectations will be achieved.
Many of these risks are discussed in detail in the Company's filings with the Securities and Exchange Commission, in particular, Form 10-K for the fiscal year ended September 30, 2018. The Company undertakes no obligation to publicly update or revise any forward-looking statements, whether as a result of new information, future events or otherwise.
With that, let me turn the call over to Mike."
Mike Shor,0,"Thank you, Dave. Good morning everyone and thanks for joining us on the call. Now, that I've had almost six months in this role, I think it's important to provide my thoughts and perspectives on the business including where we've been and what we are doing to change our performance and improve significantly.
I move permanently into this role of President and CEO as of September 1st. When I agreed to fill in on an interim basis in late May, I honestly had no intention of making this permanent. What changed for me? The answer is that after looking at our recent past and understanding the issues we've encountered, some market related and some more under our control, and then looking forward seeing the potential of our people, our unique equipment, our increasing capacities in constrained areas and our ability to technically market air alloys. I became intrigued and enthused with the Company's potential and with what I believe our team can build.
Briefly looking backward at our recent financial performance, we are a company that has lost money or been slightly above breakeven for seven consecutive quarters before today's reported earnings. I see a company that has lagged our comparative group for too long. I believe there are five factors that have caused this performance. I review these five factors in detail with our team with a goal of addressing the issues and then focusing our team on improvement, which should lead to continuing gross margin growth. The five factors that have had the largest impact in our past performance are.
First, the rapid and significant drop in our power generation business for industrial gas turbines with the lowest quarter this quarter was nearly 800,000 pounds below the highest quarter last year. Next, the impact of low volumes on fix cost absorption in our plant. Third, the lower than expected return on investments to-date from the $120 million in CapEx spent over the last five years. Fourth, lower volumes of specialty application projects that tend to come into us in the lumpy manner, based solely on the fact that these projects are typically unique and not steady or consistently repeatable. And finally number five, cost that we continue to work to improve.
As I have said since I arrived at Haynes, I believe that we have the opportunity to improve our processes, performance and cost in everything that we do. I thought it was important to explain our past issues on this call, so we look forward with optimism you understand the base that we will build from. Obviously, gross margin will determine our level of success as we move forward. We started from a low base, but I believe it’s important to note that we’ve made steady improvement.
Over the past six quarters starting when we bottom down gross margin, our sequential quarters gross margins were 3.7% followed by 5.7%, 7.8%, 10.4%, 11.7% and today’s report of 13%. I’d like to point out that the gross net margin for the month of September was 14.3%. This is not the level we strive for, but given our very low starting point it’s a trend which is clearly noteworthy. Now, a very point to note, as mentioned on our last call, we have a planned significant outage on the final piece of the puzzle and our cold finished lives expansion, which is a 292-foot long bright annealed furnace, which was initially installed in 1980, that now requires extensive downtime for a rebuild and upgrade.
When the planned outage is complete, we finally have put the last piece of the cold finished flat expansion in place which is expected to generate incremental capacity and a high value cold finished flat business from our base of $13 million produced pounds up to 18 million produced pounds. The majority of product process through this equipment is focused on the aerospace market. Because of that, it’s a very difficult time to this equipment down. However, if we don’t, we will never consistently be over the 13 million pound market that we’ve talked about for years.
In our current capacity constraint state in cold finished flats, we have demand that consistent outstrips our capacity. We have laid orders that obviously do not make our customers happy. We have under liable equipment. We are not taking the advantage of the $22 million in this area and we have no ability to participate in the short lead time and therefore very profitable spot buys that occurred in this product form.
Therefore, we’ve made the decision to address this issue now, take this equipment down for 10 to 12 weeks, starting in mid October, and come out of the first fiscal quarter with an expected significant increase in our capacity. This down time mean short-term earnings pain for the long-term gain. Given this 10 to 12 week outage, we're expecting to be below breakeven for fiscal Q1 due to the reduced cold finished flat volume then come back and continue the trend of gross margin improvement previously mentioned.
Wrapping up this section, I am optimistic about the future of Haynes. My reasons are as follows. First, improved cold finished production capability as previously noted. Once this ferns upgrade is complete, it is expected to expand capacity significantly in our high-value differentiated products. This represents a significant opportunity to drive profitability. We want to stop talking about this capacity increase and begin to perform, which is the reason for taking the current 10 to 12 week outage.
Second reason for optimism, higher volume of plate products. We expanded our plate capacity by 50% or 3 million pounds a few years ago, but have yet to take advantage of this investment in this capacity expansion. While it's true that the plate products involved are at the lower end of our product profitability it's an easier to produce product returns quickly and most importantly allows us to have a steady base of business that create favorable asset utilization and absorption. We've initiated an effort to meaningfully increase plate volumes. We are in the early stages of this effort, but feel incremental volume is possible. Our goal here is simple, get that long talk about overall volume level of at least 5 million pounds a quarter even if one of our markets is not doing well as is currently the case today with industrial gas turbines.
Third reason for optimism, tubing. We are beginning to see a meaningful increase in capacity in our tubing facility. More improvement is in our sites as we move forward. Fourth, special projects are improving and the outlook looks positive for the next 18 months. We will not be a record volume, but we anticipate that we will at least be above prior two your average. Next, relentlessly focusing on cost, the opportunity is there. We brought in new people and therefore new perspectives to our largest manufacturing locations, including the addition of Dave Strobel as our VP of Operations. Dave's extensive experience and track record of success in this industry will be of great benefit to Haynes. Cost reduction and yield improve of our company is a must do and is very realistic and will make a difference in our company.
Continuing on number six, improved pricing. We are raising pricing within the aerospace market and are capturing bottom line increases without any significant loss of business to-date. Seven, promoting proprietary alloys. This as discussed in the past is our main competitive advantage. We continue to work with the end users to solve problems related to heat, corrosion, creep strength, cold efficient thermal expansion all to help customers solve their design and operational issues. In aerospace, we now have a proprietary alloys specified into both the Pratt & Whitney 1100 Series and 1500 Series engines. We also have two proprietary alloys expecting to the GE9X.
And finally, eighth reason a renewed and energized focus on safety. We are committed to improving our safety performance as we believe that everyone has the right to go home at the end of their day in the same condition as they reported to work. We do believe that a zero injury workplace is achievable and that remains our ultimate goal. Our team is now taking appropriate strengths -- steps to strengthen our safety culture.
Moving on to the result for the fourth quarter, we were pleased to meet our initial goal of 5 million pound shift for the quarter. This level of volume drove stronger top line revenue and expanded our gross margin and profitability. Fourth quarter net revenue was $122.3 million, up 21.4% from last year's $100.8 million. Volume in the quarter was 5 million pounds up 6% from last year's 4.7 million pounds. Average selling prices in the quarter were 20.46 per pound, inclusive of our other revenue up about 14.5% from last year's 21.36 per pound.
With that, let me move to our key markets revenue. Net revenue in the aerospace market for the quarter was solid at $61.4 million, representing approximately 50.2% of our total revenue. Sales were up about 22% from last year's $50.3 million. Volume shipped in this market was 2.6 million pounds up 12.9% over last year's 2.3 million pounds. Looking at volume for the full fiscal year, I'm happy to report that this was a record year in our volume shipped into the aerospace market at 9.8 million pounds beating the prior record level in fiscal 2015 up 9.2 million pounds.
Average selling price in the fourth quarter was up 8.1% to 23.63 per pound from last year's 21.86 per pound. We saw a backlog in aerospace increase sequentially from Q3 to Q4 by 0.3% during the quarter. We continue to see strength in this market primarily driven by new generation engine sales combined with the beginning stages of our enhanced capacity from all of our capital investments. I was just in Arcadia, Louisiana at our tubular manufacturing facility, and I was pleased with their plan to increase volumes especially in aerospace tubing. Also our recently expanded LaPorte, Indiana distribution and value-add finishing operations provide additional volume upside possibilities in aerospace.
In addition, we expect to improve volumes after the call finish upgrade is complete at the end of this quarter as we’ve already discussed in much detail. We remain optimistic regarding demand in aerospace. Net revenue in the chemical processing market for the quarter was $23.3 million, up 27.7% from last year's $18.2 million. CPI accounted for 19.1% of our revenue. Volume was 1.15 million pounds up 23.8% from last year's 929,000 pounds. The volume this quarter is the highest quarterly volume in 3.5 years in the chemical processing market. Average selling price was 20.26 per pound up 3.2% from last year's 19.64 per pound backlog in CPI decrease 5.5% sequentially.
We continue to see better levels of specialty application project shipments that utilize our proprietary and specialty materials compared to last year. The base business side of chemical processing has improved, but we have more opportunity to improve volumes from this base level. As I mentioned earlier, we've initiated strategies intending to meaningfully increase our fleet volumes, much of which relate to the CPI market. This effort is still in its early stages, but was successful in improving October order entry in our backlog which Dan will quantify in a minute. Overall demand in the chemical processing market has continued to improve.
Moving to the industrial gas turbine market, our sales in the quarter totalled $15.3 million, up 6.5% from last year’s $14.4 million. IGT accounted for roughly 12.5% of sales during the quarter. Volume shifted into this market was down 28.3% to 728,000 pounds from last year’s 1.02 million pounds. Average selling price per pound in the quarter was 21.03 per pound up 48.5% from last year’s 14.16 per pound.
Backlog and industrial gas turbines decreased 17.4% in the quarter. As was discussed on previous calls, the large OEM continued to highlight the weak demand in the large and medium frame turbine markets. We clearly see this weakness in our shipping levels and will likely continue for at least the next few quarters regarding smaller frame applications, our customers have reported solid demand in part to oil price rising. They’re starting to see oil companies investing and buying equipment for both onshore and offshore oil applications.
Smaller frame mentions are also used in large campus applications such as a factory, hospital or university which use their turbines for their own power generation. It was good to see volumes in this market pickup sequentially from last quarter. We still believe in the long-term demand in this market however patience will be required in the short run.
Finally, our other markets and other revenue accounted for $22.3 million during the quarter up 25.1% from last year’s $17.9 million. This area was roughly 18.3% of our revenue. Other markets increased $6.1 million with higher levels of specialty application projects hitting this market and higher demand in the flu gas to sulfurization market, but partially offset by $1.6 million decline in other revenue related to a decrease in total processing.
With that, let me turn it over to Dan for more details on our financials."
Dan Maudlin,0,"Thank you, Mike. This quarter represents continued progress of improving financial performance including strength in our top line net sales of a $122 million which represents a sequential improvement of 8.1% compared to the third quarter and a year-over-year fourth quarter improvement of 21.4%. This strength is driven by both improving pricing and improving volume as we see our focus initiatives producing results. Pricing has been a key focus initiative especially in areas of capacity constraints with longer lead times. Increasing volumes has also been a major focus initiative especially in areas of open capacity where we can increase our asset effectiveness.
We achieved the 5 million pound quarterly shipment goal that’s beginning to alleviate the margin headwind from poor fix cost absorption. Gross margin this quarter was 13% expanding 130 basis points, equating to $2.7 million higher gross margin dollars in the fourth quarter versus the third quarter of fiscal 2018. As I have mentioned in prior calls, this is moving in the right direction and we anticipate this continuing to further expand as we move pass the annealing line outage and upgrade in the first quarter. We are seeing some inflationary pressure and things like wages, fuel cost, graphite electrodes and mill rolls; however, these are expected to be offset by increasing pricing, combined with cost reductions and efficiency improvements in other categories.
Our specialty application project sales in Q4 were 8.7 million. This compares sequentially to Q3 of 8.2 million Q2 of 6.7 million and Q1 of 1.1 million. This fourth quarter is a significant increase from last year's Q4, which was only 1.3 million. For the full year fiscal 2018, we had 24.7 million of specialty application projects, compared to fiscal 2017 of 14.8 million. Mike provided detail on the planned outage and upgrade of the bright annealing line in our first quarter. You're expecting the impact of this to be a reduction of produced pounds and thus shipped pounds and revenue in our first quarter of fiscal 2019 ending in December.
In addition, this will have an impact on gross margins from last fixed cost absorption thus we are expecting a lower gross margin percentage than we attained in our fourth quarter and we are expecting to be below breakeven. However, once this planned outage is complete, we expect to gain capacity after the total of 18 million produced pounds in cold finished allowing for further sales growth of sheet and coil products for the balance of this fiscal year, primarily in the aerospace market.
SG&A cost including a research and technical costs were 11.3 million or 9.2% of net sales in the fourth quarter of fiscal 2018. This is 0.7 million lower than the same period of last year. The full-year SG&A amount was higher than normal due to the two events that took place in the third quarter related to the attempted strategic acquisition and the CEO transition both of which were discussed last quarter. We expect fiscal 2019 SG&A including research and technical costs to be approximately $48 million to $50 million.
This quarter included further tax charges related to the new tax reform act. Tax reform impacted net income significantly, primarily in the first quarter with the reduced rate devaluing our deferred tax assets. In the fourth quarter, there were further adjustments to the deferred tax assets, primarily due to the impact of the transition tax related to foreign sourced income.
Beyond fiscal 2018, assuming normalized market conditions and a solid income environment, our effective tax rate for fiscal 2019 is expected to be 26% to 27%. The quarter and full year impact of tax reform and the two special events in Q3 earlier noted in SG&A had an after-tax impact of $1 million for the quarter and 20.9 million for the full year. That is in earnings per share impact of an $0.08 charge for the fourth quarter and $1.68 charge for the full year. These are detailed in Schedule 4 of our earnings press release.
Net income for the fourth quarter was 2.1 million, or $0.17 per diluted share. However, excluding the unusual charges noted above fourth quarter net income was 3.1 million, or $0.25 per diluted share. As we progressed beyond the planned outage and bright annealing and we further implement the initiatives Mike outlined in his comments, further growth and profitability is expected. The pension and retiree healthcare evaluation at 9/30/2018 resulted in a favorable reduction in our combined liability of 38.3 million compared to last year.
The reduction was driven by the discount rate increasing, better than expected return on pension assets and to a lesser degree favorable demographic and mortality tables changes. The U.S. pension plan funding level improved to 76.7%. A few notable smaller actions that we taken to manage the net liability include three projects; first, annuitizing small balance pensioners to reduce future volatility and reduce PBGC premiums. This action reduced the liability by 13.6 million and removed 397 participants from the plan, which is approximately 40% of the pensioners or a bit more than 25% of the total plan participants.
Second, after a buyout to vested participants that are no longer employees of the Company, but not yet in retirement age. This terminated vested project reduced the liability by approximately 9 million and remove roughly 145 participants from the plan. And third, accelerated the U.S. pension findings in fiscal 2018 to take advantage of the higher tax rate generating a higher tax deduction, we were on a monthly funding pattern of 500,000 per month or 6 million per year. But during the year, we made an accelerated payment and temporarily discontinued the monthly payment set to resume sometime in fiscal 2019. As a result, the U.S. pension funding in fiscal 2018 was $8 million.
Turning to backlog. Backlog at September 30, 2018 was 216 million, a decrease of 2.1% over the quarter, but a significant increase over fiscal 2018 increasing 38.7 million or 21.8% from 177.3 million at September 30 2017. Beyond the quarter and backlog significantly increased with October 31, 2018 backlog at 231.2 million a solid increase of 15.2 million for the month of October, driven by high order entry.
Outlook for next quarter. Due to the planned outage associated with the upgraded of the bright annealing line combined with the historical weakness of the first quarter due to holidays and customers delaying deliveries past calendar year-end, we expect revenues in the first quarter of fiscal 2019 to be lower than the fourth quarter of fiscal 18 and earnings are expected to be a net loss for the quarter. However, we expect revenue and earnings in the first quarter fiscal 19 to be higher than the same period of fiscal 18. After the completion of this planned outage in the first quarter, we expect the impact of these issues to be elevated.
Liquidity, cash was 9.8 million at September 30, 2018 represented a 36.5 million decreased during fiscal 2018. This decrease was driven by working capital primarily inventory increasing 32.5 million or 12.5%. This is increase in conjunction with backlog pounds also increasing 12.5% over the fiscal year. Due to the long production cycles for high-performance alloys when backlog increases, we increase inventory in the production and cash is typically consumed.
During the quarter, we did borrow from our credit facility but paid it back down by quarter end, our revolver had a zero balance at September 30, 2018 with the size of the untapped credit facility at 120 million with an accordion feature to 170 million. Capital spending was 11.1 million in fiscal 2018 compared to 15 million last fiscal year. The forecast for capital spending in fiscal 2019 is approximately $16 million which includes the completion of bright annealing upgrades of $2 million.
In conclusion, the improvement in financial performance is encouraging as we continue to focus on execution and implementing the focus initiatives Mike has described. We believe volume increases and pricing strength are possible to drive a growing top line revenue. We also believe expansion of margin as possible with these actions as well as focus on cost reductions and improving efficiency and production yields. Our goal is to move to meaningful growth and profitability with corresponding meaningful growth in shareholder value.
Mike, I will now turn the discussion back over to you."
Mike Shor,0,"Thank you, Dan. The fourth quarter volume, revenue, and margins increased sequentially and increased above last year's fourth quarter. As we mentioned last quarter, while these trends are pointed in the right direction, continued focus on accelerating improvement is our priority. The improvement initiatives that have been launched are just beginning to gain traction. We expect this positive trend to continue after the planned outage this quarter. With that, Sherry, let's open the call to questions.
With that, Sherry, let’s open the call to questions."
Operator,1,Thank you [Operator Instructions]. Our first question is from Edward Marshall with Sidoti & Company. Please proceed.
Edward Marshall,1,"I’m curious, can you quantify maybe the impact either to margin or EPS of the furnace that you have on the cold finishing line now? I understand it's kind been shaky yet best as far as uptime this past quarter. Maybe you can give us some digits around kind of what that might cost you from efficiency perspective?"
Mike Shor,1,"We have been in the -- looking backwards struggling to get above 1 million pound produced maybe a little more per month. Our demand is greater than that. We’ve got late orders because of that as I said in my comments. So, it’s been fairly significant for us and Ed most importantly, well, we’ve disappointed customers, but behind that there is always in this market especially with aerospace a significant opportunity to go after transactional business shortly time, where delivery time is more important than price. And we’ve not been able to go after that business and that’s something we should be doing.
Moving forward, since we’re on the furnace when you look at what we are able to build as far as inventory ahead, but offset that with what we will not be able to manufacture in the quarter, just looking at top line and Q1, I’d say somewhere in the $9 million to $10 million range of revenue is what we will miss in that quarter. Last point, I want to make on that, we have gone to extreme line to make sure we protect our long-term agreement customers, so what that will mainly impact is the transactional side of the business."
Dan Maudlin,1,"And I can quantify just a bit more on the cold finished production, Mike, had mentioned that little over a million in the month, in the quarter of Q4, we’ve produced 3.1 million pounds in cold finish. And to give you an idea in Q3 we produce 3.7 million, so it’s kind of been up and down and we have had some trouble keeping that line running smoothly and that's another reason why we really needed to take it down. Once the cap line the new line that was put in is running strong, which it is, it's time to take that down and take the outage."
Edward Marshall,1,"And you have three equivalent lines just about, is it right to assume that each can produce roughly 6 million pounds annually? Is that the right way to think about it?"
