speaker,q&a,content
Company Participants,0,"Jennifer Bewley - IR
Helena Foulkes - CEO
Ed Record - CFO"
Conference Call Participants,0,"Sabahat Khan - RBC Capital Markets
Patricia Baker - Scotiabank
Oliver Chen - Cowen & Company
Mark Petrie - CIBC"
Operator,0,"Good day, ladies and gentlemen, and welcome to the Hudson’s Bay First Quarter Financial Results Conference Call. At this time, all participants are in a listen-only mode. Following management’s prepared remarks, we will a question-and-answer session and our instructions will be given at that time. [Operator Instructions] As a reminder, today’s conference call may be recorded for reply purposes.
It is now my pleasure to turn the conference over to Jennifer. Ma’am, you may begin. "
Jennifer Bewley,0,"Good morning, everyone, and thank you for joining us. This morning we issued our first quarter results. In a moment, I’ll pass the call over to Helena Foulkes, HBC’s Chief Executive Officer; and Ed Record, our Chief Financial Officer to make a few comments on our results. And then, we’ll open the call up to questions.
Before doing so, allow me to provide a disclaimer regarding forward-looking statements. Certain statements made in this conference call regarding HBC’s current and future plans, expectations and intentions, results, levels of activity, performance, goals or achievements, or any other future events or developments and other statements that are not historical facts constitute forward-looking statements. Forward-looking statements are based on current estimates and assumptions made by management in light of its experience and perception of historical trends, current conditions and expected future developments, as well as other factors that management currently believes are appropriate and reasonable in the circumstances. However, there can be no assurances that such estimates and assumptions will prove to be correct.
Many factors could cause HBC’s results to differ materially from those expressed or implied by forward-looking statement. For a discussion of these factors, we refer you to the risk factors set forth in the Company’s annual information form dated May 3, 2019, our recent MD&A, as well as HBC’s other public filings available on SEDAR at sedar.com, and our own website, hbc.com. Listeners should not place any undue reliance on forward-looking statements made on this call.
Before we discuss our results, I would like to briefly comment on the process we announced in early May to review strategic alternative for Lord & Taylor. As always, Helena and Ed will provide an update on Lord & Taylor’s first quarter operational performance. And as you can appreciate, we cannot comment on the review process underway.
In addition, the Company now announced earlier this week that our Board of Directors has formed a special committee of independent directors to review and evaluate a non-binding proposal of take-private transaction received from a majority shareholder group. As you would expect in these circumstances, we’re unable to comment while the special committee and the Board conduct a review. And there can be no assurances that any definitive agreement of the take-private proposal will be executed or that the transaction will be consummated.
With that, I will turn the call over to Helena to discuss our first quarter."
Helena Foulkes,0,"Thank you, Jennifer, and hello, everyone.
As we began this year, we are weighing all of our strategic actions through the lens of our top priority, driving growth at Saks Fifth Avenue and Hudson’s Bay, enhancing the customer experience across all channels, fixing the fundamentals of our business, and capitalizing on the value of our real estate.
On that last point, we determined the best opportunities to capitalize on the value of our German real estate and retail assets was to sell our remaining ownership to our joint venture partner, marking a complete exit from Germany. The transaction totaled $1.5 billion, which betters the real estate market established in September 2018 and is another win that enables us to strengthen our balance sheet through further debt reduction and to fully focus on our greatest growth opportunities in North America, Saks Fifth Avenue and Hudson’s Bay.
Our largest business Saks Fifth Avenue had breakaway performance in the first quarter. Industry leading comps of 2.4% resulted in a two-year stacked comp of 8.4%. Saks’ long-term strategy to elevate the brand through a differentiated, fashion-forward offering is driving widespread gains across the fleet, online and in every major merchandise category. Saks stands out from the competition by driving excellence in merchandising, marketing and by providing high-touch service and unique customer experiences.
At our New York City flagship, customers are embracing the new main floor, which opened in February with a one of a kind handbag assortment, featuring exclusive products and brands only available through Saks. This summer, we will unveil our new men’s shoe experience. The men’s category was one of our strongest performers during the first quarter and footwear is often an entry point for men when it comes to luxury fashion. Our dominant category presentation will provide the male visitors and residents of New York City another compelling reason to shop at the flagship.
This fall the, the vault will open on the flagship lower level, where we will provide customers with a unique, high-touch luxury shopping experience, featuring ultra fine jewelry. This newly reclaimed area will connect to the main floor via our Rem Koolhaas-designed state-of-the-art escalator, creating seamless shopping through three floors on one of the most valuable real estate locations in New York City.
The Saks Fifth Avenue ecosystem is a combination of the physical and digital experience. More and more, our associates are leveraging technology and social media to initiate and grow client relationships. As we are infusing our customer experience with personalization individuality and ease, we will continue to redefine luxury shopping and move the business forward.
At Hudson’s Bay, our top line performance picked up steam as the quarter progressed, despite the fact that merchandise targeting former Sears customers was still in our Metropolitan stores and online. The better performance was due to quick wins in improving customer service at top stores and implementing the more modern marketing mix.
As we reinvigorated our sales associate training to emphasize service and selling, our NPS scores jumped from the fourth quarter. And we continue to launch a number of pilots, which apply simple, low-cost solutions to address customer pain points. These solutions can fall outside the traditional department store model, including open sale shoes and jewelry, or more fundamental enhancements, such as improved store navigation and centralized customer service desks.
Hudson’s Bay strategy is focused on top stores, top categories and top customers. We are more confident that our previous diagnosis is accurate, and we’re encouraged by the fast progress and excited for what is to come.
As Saks OFF 5TH, we implemented a new strategy in 2018, which included shifts in our buying, marketing and service model. We want to operate less like a small department store and more like our version of an off-price retailer, providing fashionable, on-trend items at a great value.
As we shared last quarter, we expected that our progress at Saks OFF 5TH would become more apparent in 2019. While there’s still more work to do, we delivered. The business returned to growth with a 4.4% comp in Q1.
We grew the right way, using new marketing tactics at better targeted recommendations to potential customers, driving our top-line performance without sacrificing profitability. Our customer count grew in-store, online and for those customers using all of our channels. This quarter’s performance serves as a powerful example of the positive impact new management, new strategies and fundamental fixes can have on a business.
On our last call, we shared that we have prioritize profits over growth at Lord & Taylor. With an emphasis on continuous improvement, the team tackled the top line challenge by exercising financial discipline, which limited losses. This team continues to find ways to be creative and deliver pockets of growth. They’re also helping to ensure that relevant lessons learned from their work are imported and piloted in other business units.
Wrapping up the first quarter, HBC’s comparable sales increased 0.3% and digital sales increased 13.9%, excluding Lord & Taylor and Home Outfitters. We’re pleased with our momentum and believe there’s even more opportunity to drive digital performance.
For Hudson’s Bay, the team launched a new mobile app with functionality that improves the online and in-store experiences. For example, customers can use the app in store to scan barcode for product details and to make a purchase that will shift straight to their door. The continence of Hudson’s Bay is one of our competitive strength with 50% of the Canadian population living within 16 kilometers of one of our stores. In conjunction with the app launch, we’ve been able to provide customers with a three-hour window for ordering online and picking up in our stores, giving us another opportunity to deliver the convenient service customers love.
For Saks, our personalization efforts are focused on tailoring our services based on personal style, effortless luxury experiences and exclusives our customers will value. One example is preorders, where customers have the opportunity to select next season’s hottest items, well before there is wide availability and sellouts. In Q1, we fixed the fundamentals embedded in our preorder process, resulting in a sharp improvement in fulfillment as compared to last year.
Before I turn the call over to Ed, I want to reiterate what I said done last quarter. Financial discipline is not a onetime event for us, it’s a strategic imperative. We have an unwavering focus on continuing to improve our cost structure while making strategic investments in technology, marketing, digital and our stores, all designed to benefit our existing customers and attract new ones.
Everything I’ve described comes with significant work. And I’d like to thank our leadership team and all our associates for their efforts to grow our business and delight our customers.
I will now turn the call over to Ed to provide additional detail on the Q1 financials. Ed?"
Ed Record,0,"Thank you, Helena, and good morning, everyone.
This quarter HBC implemented U.S. GAAP reporting. As we told you on the last call, we have taken this change as an opportunity to refresh the way we communicate our financial results to our shareholders. The major changes include providing retail sales and comparable sales information by each brand and updating our definition of adjusted EBITDA and adjusted EBITDAR to better reflect the contributions from our North American retail business and our real estate joint ventures.
We hope this step helps you understand and act -- and assess HBC, both as a whole and by our most valuable businesses. For historical results, please visit the Investor Relations section of our website, where we provided 8 previous quarters of downloadable financial results in U.S. GAAP.
Now to the first quarter.
SG&A totaled $822 million, down $54 million year-over-year, resulting in an SG&A rate of 38.8%, an improvement of 120 basis points. Controlling spending allows us to make smarter investments in technology, digital, and marketing, while maintaining financial discipline. In Q1, SG&A expense reductions were widespread with corporate, store operations and closed stores contributing to the year-over-year improvement.
While SG&A reflects the benefit from stores already closed, our current rationalization negatively impacted our gross profit. First quarter gross profit declined year-over-year by $48 million and gross profit margin was down 90 basis points to 39%. Approximately half the decline is due to liquidation sale and the balance due to our higher promotional environment at Lord & Taylor and Hudson’s Bay.
In terms of streamlining our retail portfolio, we have three programs that are currently underway. First, we announced that we’d be shutting Home Outfitters, which has 37 locations throughout Canada. In 2018, Home Outfitters had sales of $138 million and negatively impacted our adjusted EBITDA by $9 million under U.S. GAAP reporting. Liquidation sales have begun at Home Outfitters and we anticipate closing the business units at the end of the second quarter.
For Saks OFF 5TH, we estimated closing 20 locations in the U.S. during fiscal 2019. Since the review was announced, we have identified 15 stores that will be closing on a rolling basis throughout 2019, with the vast majority to be closed at the end of the third quarter. Impacted stores had sales of nearly $50 million and lost approximately $7 million in adjusted EBITDA.
Finally, in 2018, we announced the closing of upto 10 Lord & Taylor stores with five already completed. We will begin liquidation in four additional stores shortly, two of which are Lord & Taylor outlets. And we expect to close all four in the third quarter. We do not anticipate these closures will have any impact on the outcome of the strategic alternatives process as they’ve been planned for some time.
In the first quarter, our transaction and restructuring costs totaled $36 million. We have targeted inventory efficiency to be a key component of strengthening operations and improving free cash flow. At the end of the first quarter, comparable inventory declined by 7%. Saks OFF 5TH, Hudson’s Bay and Lord & Taylor are all holding less inventory. And Saks Fifth Avenue’s inventory was essentially flat. Our Q1 performance is ahead of our full year expectation for inventory declines in the low-single-digits.
In addition to new tools and processes to support data-driven decisions by our merchants, the team has been working to make sure that we are holding inventory in the most advantageous location for our customers. And while we are in the early stages of improving our planning, allocation and supply chain, our customers notice the change. We experienced notable increases in our U.S. digital NPS scores, tied to improving our out of stock position, with zero impact to the store experience we deliver for our customers. We are proud of the team for aggressively reducing the level of inventory while improving our in-stock position.
Inventory effectiveness is even more important in front of potential changes our industry is facing related to tariffs. Hudson’s Bay and Saks Fifth Avenue account for over 70% of our revenues and we anticipate very little change, thanks to the respective position in Canada on luxury retail. For the remaining less than 30%, we have a small amount of direct imports from China and have been proactively transferring production to other countries where it makes sense. However, we could have secondary exposure, particularly at Lord & Taylor and Saks OFF 5TH through suppliers that may source in China.
As you know, the first level of tariffs for handbags, cosmetics, luggage and leather goods was just increased to 25%. We’ve not yet seen an impact, and we expect we will be able to mitigate this change. As for the proposal to increase tariffs on the remaining categories imported from China, our merchants are prepared to work with the vendor community to lessen the impact on HBC and our customers. We hope the tariffs don’t go in place, but if they do, we think we are well positioned given the more than 70% of revenue we have in Canada on luxury retail. 
The North American retail, we still believe adjusted EBITDA will be higher this year than last year. As we said on our last call and based on our strategic plan, we expect adjusted EBITDA will be lower in the first half of the year in comparison to the previous year. There is not one caveat. Our expectation does not include any potential impact from the recently proposed expanded tariffs.
On the real estate side, we anticipate real estate adjusted EBITDA will be impacted by approximately $40 million if the German real estate deal is completed in the fall. Adjusted EBITDA totaled $44 million in the first quarter with North American department stores contributing $6 million and real estate joint ventures adding $38 million. In Q1, adjusted EBITDA was lower by comparison to the previous year due to the late start to spring selling, in part driven by the later Easter holiday and the timing of the expected benefits from our strategic initiatives.
In addition to our merchandise planning, allocation and supply chain programs that we’ve already discussed, further optimization in our in-store scheduling to best meet our customer demand and advancing our digital operations and marketing mix continue to be key priorities in delivering strong profitability in the second half of the year. On the real estate side, our lower adjusted EBITDA is primarily driven by the previous sale of our European assets, which closed in fiscal 2018.
Net income was $275 million in Q1. In February, we closed on the sale of the Lord & Taylor Fifth Avenue flagship building for a total transaction value of $1.1 billion, resulting in an $817 million gain. On a normalized basis, we posted a net loss of $209 million. The Lord & Taylor building sale had a positive impact on our balance sheet too. On a year-over-year basis, we lowered our debt balance by nearly $1 billion. At today’s exchange rate, we permanently reduced our U.S. term loan by $206 million. We have eliminated the $504 million Lord & Taylor mortgage and we ended the quarter with $303 million in lower outstanding borrowings on our ABL, which included $171 million in European related draws last year.
With the pending sale of our German real estate and retail operations for $1.5 billion, we anticipate eliminating the balance of our $436 million term loan at the deal close. We continue to be comfortable with our leverage ratios, and we have ample liquidity and flexibility to support our strategy.
Capital investments were $68 million during the first quarter of 2019, down $119 million from the same quarter a year ago. While work is still being completed on this year’s Saks grand renovation, the spending last year was substantially higher. In addition to the work at Saks and the strategic improvements at Hudson’s Bay stores, we continue to modernize and cloud-enable our technology platform, fix the fundamentals of our digital operations, including improving site speed, order processing and checkout, order fulfillment and delivery speed. 
Our CapEx expectations for the year are unchanged to $300 million to $325 million, net of landlord incentives as compared to $346 million in 2018 on a like-for-like basis. We entered fiscal 2019 with momentum to build upon the progress we’ve made streamlining the operations, simplifying the business and unlocking the value of our real estate. We’ve continued to exercise our financial discipline while making key investments, and we anticipate that many of the benefits of this work will be apparent in our results in the back half of 2019.
That concludes my remarks. Operator, we will now open it up for question."
Operator,1,[Operator instructions] And our first question will come from the line of Sabahat Khan with RBC Capital Markets. Your line is now open. 
Sabahat Khan,1,"Thanks and good morning. As you look at the Hudson’s Bay business in Canada, you noted some of the operational and e-commerce changes you are making. I guess, how do you think about the merchandise mix, some of the competition here from maybe global apparel retailers, some of the fast fashion folks? How do you I guess feel about the merchandise and the apparel mix, whether it’s in some of your flagship locations, or just across entire network?"
Helena Foulkes,1,"Sure. I think, you’re hitting on the essence of our opportunity, as we think about the second half of the year and beyond. So, we’re very pleased with the progress we’re making at the Bay. But one of the things we highlighted in the last quarter call was the impact that we had, self-inflicted wounds around buying merchandise for the full chain focused on the Sears closing. And instead of just focusing on the stores, the 53 stores we have that are located within Sears malls, we really took that product offering across the whole chain.
And I think to your point, what we missed was the customer, particularly in our metropolitan stores but even more broadly than that, was really still looking for a better more fashion-forward mix. And we took our average unit retails down too much and missed on the mix side. So, feel very confident that the team has corrected that for the second half of the year. And the improvement that we did see in the quarter was due to changes that were made around our marketing mix, our service. But I would even highlight that our strongest categories in the quarter were beauty, home and children’s. And so, that speaks to the fact that those businesses were doing well and really our opportunity was in the apparel category."
Sabahat Khan,1,"Okay. And then, as I guess the Saks, the flagship renovation gets completed, are there other opportunities from across the network in any of your major locations across all banners where you do think there’s some opportunity to put in capital and see a lift or do you think that was probably the left to the major one?"
