speaker,q&a,content
Company Participants,0,"Charlotte McLaughlin - Investor Relations
Joe DeAngelo - Chief Executive Officer
Evan Levitt - Chief Financial Officer"
Conference Call Participants,0,"Deane Dray - RBC Capital Markets
Jason Makishi - Barclays
Evelyn Chow - Goldman Sachs
Ryan Merkel - William Blair
Luke Junk - Baird
Andrew Obin - Bank of America
Hamzah Mazari - Macquarie Capital
John Inch - Gordon Haskett
Patrick Baumann - JPMorgan
Keith Hughes - SunTrust"
Operator,0,"Good day, ladies and gentlemen. Welcome to the HD Supply First Quarter Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, there will be a question-and-answer session and instructions will follow at that time. [Operator Instructions] As a reminder, this conference call is being recorded.
I would now like to turn the conference over to Charlotte McLaughlin, Investor Relations. Ma'am, you may begin."
Charlotte McLaughlin,0,"Thank you, Shannon. Good morning ladies and gentlemen and welcome to the HD Supply Holdings 2019 first quarter earnings call. As a reminder, some of our comments today may be forward-looking statements based on management's beliefs and assumptions and information currently available to management at this time.
These beliefs are subject to known and unknown risks and uncertainties; many of which may be beyond our control, including those detailed in our periodic SEC filings. Please note that the company's actual results may differ materially from those anticipated and we undertake no obligation to update these statements.
Reconciliations of certain non-GAAP financial metrics with their corresponding GAAP measures are available at the end of our slide presentation and in our 2019 first quarter earnings release, which is available on our IR website at www.hdsupply.com.
Joe DeAngelo, our CEO will lead today's call, while Evan Levitt, our CFO will provide additional color on our recent financial performance and our expectations for the reminder of 2019. There will be an opportunity for Q&A. For those participating, please limit your remarks to one question and one follow-up if necessary. Thank you for your continued interest in HD Supply.
And with that, I will now turn the call over to Joe DeAngelo."
Joe DeAngelo,0,"Well, thank you, Charlotte. Good morning everyone. Thank you for joining us today for our first quarter 2019 earnings call. As always, it is my privilege to share our company's results with you on behalf of the over 11,000 HD Supply associates who work hard every day as one team driving customer success and value creation.
Turning to page 3, the team delivered a strong performance in the first quarter after a particularly weak February. We delivered exactly what we predicted when we communicated the market back in March.
Sales and earnings performance were in line with our expectation. We delivered 7% sales growth for the first quarter fiscal 2019, 6% sales growth on an organic basis, and a 7% adjusted EBITDA growth in the period, while continuing to generate strong free cash flow of $540 million on a trailing 12-month basis.
During the period, we faced several external events that were beyond our control. February brought significant weather disruptions, particularly to our Construction & Industrial business. As many in our industry have pointed out this was the second wettest February on record and as a result, much of the construction activity in California and the Pacific Northwest came to a halt.
We worked diligently with our customers to ensure that we provided them with the support needed to get them back to work, but we continue to see projects pushed out as many of our customers faced a shortage of skilled labor required to recover from weather delays.
In the non-residential construction market, which comprises the majority of our construction business, we continue to see strength across our priority districts with our Northeast, Central, and Southeast regions performing particularly well. As others have previously noted, while the pipeline of projects continues to remain strong, we are hearing increased customer concern around shortages of skilled labor.
Our May numbers were weaker than expected, primarily due to unfavorable weather in certain markets and weather catch-up becoming more challenging in other markets as a result of skilled labor constraints.
The residential construction market continues to underperform with weaker year-to-date activities than one year ago. As a reminder, residential construction comprises about 25% of our Construction & Industrial business. Overall, we have not changed our expectations for the construction market for the year, but we are seeing some choppiness.
In early May, the U.S. administration announced a further increase in Section 301 tariffs from 10% to 25% on Chinese imports. Evan will talk more about the financial impact shortly. Although, we are still in the very early days of the market absorption of these costs, we continue to believe that we have the best talent in place to navigate this disruption.
Our category management team will continue to execute on plans previously in place to negotiate lower prices on Chinese products by taking advantage of the strength in the U.S. dollar and incentives provided by the Chinese government to the manufacturing base.
As a reminder, HD Supply does not have any permanent investment, joint ventures, or buying offices in China. Additionally, as part of our continuous global supply chain enhancement, we are always evaluating the best locations from which to source our products.
We believe this elevated tariff environment is manageable, where we can maintain our gross margin dollars and overall profitability, although holding gross margin rates for the year may prove difficult. We will continue to monitor the environment closely. We'll take swift actions as they become necessary.
As part of our continual effort to improve our capability in May 2019, we opened our new 1 million square foot Atlanta distribution center. The facility serves the Southeast region and is expected to support future growth. Despite having a rigorous transition plan in place, the Facilities Maintenance team experienced vendor system issues, which in certain instances created delays in the fulfillment of customer orders.
Throughout the course of the transition, the teams have communicated with our customers, to ensure that they are aware of the order status, and have worked to remedy the situation. We believe that this disruption impacted Facilities Maintenance May sales by around 300 to 400 basis points. Our next-day delivery service is returning to normal.
Taken together, and in light of ongoing uncertainties around trade and skilled labor availability. We are lowering our full-year guidance. Evan will discuss in more depth later on in this call. But in summary, it's been a challenging start to the year. We are focused on helping our customers succeed throughout our selling season.
I'll provide some closing comments following Q&A. We'll now turn the call over to Evan, who will provide an update on the key areas of investor interest."
Evan Levitt,0,"Thank you, Joe, and good morning everyone. On page 4, we highlight areas of recent investor focus. First is the Section 301 Tariffs on Chinese imports. The increase in Section 301 Tariffs from 10% to 25% was imposed on Chinese imports shipped on or after May 10, 2019.
We have yet to see a substantial impact from the increase in Section 301 Tariffs, as it takes some time for these costs to work their way through the supply chain. As a result, we are in the very early stages of any potential impact.
As we did with previous tariffs, we began working to offset the increased costs through vendor negotiations and productivity as soon as the tariffs were announced, although there was a shorter a shorter period between announcement and implementation than in previous rollouts.
As a reminder, around three quarters of our Facilities Maintenance proprietary brands are sourced from China with somewhat less than 50% of those products included in the Section 301 tariffs. This accounts for less than 4% of total company cost of goods sold.
As market conditions allow, we intend to pass on the unavoidable cost increase from the rise in tariffs through price increases, but may be unable to pass along enough of a price increase to maintain prior year gross margin rates. The anticipated impact will be that we earn the same or slightly more gross margin dollars than prior year for each unit sold and our overall profitability is maintained, but there may be some gross margin rate compression on an annualized basis.
As for Mexico, it looks like the Mexican tariffs have been suspended for now. However, it's been a question on investors' minds that we can share that we have limited direct exposure to imports from Mexico.
Next is weather, as we highlighted on the March earnings call, February 2019 saw significant parts of the country experience unusually harsh winter weather including considerable rain throughout California and cold and wintry weather with snow and ice in areas such as the Pacific Northwest, the Midwest, and the Northeast.
The weather lasted into the early part of March and our Construction & Industrial business was particularly impacted. The team spent much of March and April helping our customers recover from the slow start to the year. We did incur additional expenses ensuring our facilities and associates were available to support our customers with extended hours.
Despite a return to a more normal weather pattern by the end of the first quarter, we subsequently saw a return to colder, wetter weather in May, particularly in the Northeast and the West. We also saw flooding throughout the Midwest. This late start to spring impacted our May HVAC sales in Facilities Maintenance, which were weaker than expected and wet and cool weather also continued to delay the recovery in our Construction & Industrial business.
The construction end markets. Non-residential construction markets continue to be productive with many existing large multibillion dollar, multiyear projects continuing and several large new projects either in the planning stage or recently announced.
As Joe shared, while the pipeline of projects remains strong, we have seen an increase in skilled labor shortages that has resulted in some projects progressing slower than our customers would like.
Although a smaller part of our business, we continue to see the pace of residential construction growth slowing. As Joe said, residential construction comprises about 25% of the Construction & Industrial business and is focused on the West Coast and Southeast portions of the United States.
Capital allocation, since the fourth quarter of 2018, we have reduced our financial leverage from 2.6 times to 2.4 times net debt to adjusted EBITDA, well within our two times to three times targeted range. We continue to generate substantial free cash flow and remain committed to allocating capital towards the highest return investments. Those investments include organic investments in our business, selective M&A opportunities, and returning cash to shareholders currently through our share repurchase program. We have significant flexibility around our capital structure and intend to take full advantage of any market disruptions that may occur.
Turning to page 5. Before I get to the results, I'd like to begin by reminding everyone that we've adopted the new accounting standard for leases under the cumulative adjustment transition method, which resulted in a new right-of-use asset and a new lease obligation on our balance sheet. This adoption had no meaningful impact on our statement of operations or cash flows.
Now, I will review our first quarter results. In terms of highlights, we delivered sales of $1.5 billion, an increase of $104 million, or 7.5% over the first quarter of 2018. Our organic sales in that period increased 5.8% over the first quarter of 2018. Our gross margin rate of 39.2% was down 50 basis points from the first quarter of 2018. I will discuss that gross margin breakdown shortly. Adjusted EBITDA for the first quarter of 2019 was $203 million, up $13 million or 6.8%.
On page 6, I'll discuss the specific performance of our individual business units in more detail. Net sales for our Facilities Maintenance business were $772 million during the first quarter of 2019, up $49 million, or 6.8%, from the first quarter of 2018.
We estimate that the MRO market grew approximately 2% in the first quarter of 2019. Facilities Maintenance gross margins declined 50 basis points from the first quarter of 2018. Strong first quarter performance in appliances and HVAC, which are both higher-ticket lower-margin categories, created a mix headwind to gross margin.
As a reminder, we were also faced with a difficult comparison against the first quarter of 2018 where we saw gross margins expand by 110 basis points year-over-year as a result of a late break in spring that negatively impacted HVAC sales, leading to a favorable first quarter 2018 product mix. We have previously indicated that the Facilities Maintenance gross margin rate would be flattish to slightly up for the full year of 2019.
As we shared, we now expect to hold gross margin dollars, but may see some rate compression as we work through the impact of the increase in Section 301 Tariffs from 10% to 25%. Facilities Maintenance adjusted EBITDA for the first quarter of 2019 was $134 million, an increase of $11 million or 8.9% from the first quarter of 2018.
Net sales for our Construction & Industrial business were $721 million during the first quarter of 2019, up $55 million or 8.3%. On an organic basis, our Construction & Industrial business grew 4.7%, with the overall market growing approximately 3% for the quarter. We estimate that first quarter 2019 weather unfavorably impacted sales by approximately $18 million or 300 basis points.
Construction & Industrial gross margins decreased approximately 40 basis points. Rebar margins drove 30 basis points of this decline, while the mix associated with the acquisition of A.H. Harris contributed an additional 10 basis points of this decline. March 2019 marks the one-year anniversary of the A.H. Harris acquisition and that business is substantially integrated into the Construction & Industrial business.
The rebar market continues to stabilize and we expect the unfavorable gross margin impact to lessen in the second quarter of 2019. Excluding A.H. Harris and rebar impacts, the gross margin rate at Construction & Industrial was essentially flat as the team continues to focus on category management initiatives.
Construction & Industrial's adjusted EBITDA for the first quarter of 2019 was $69 million, up $2 million or 3%. We estimate that first quarter 2019 weather unfavorably impacted Construction & Industrial’s EBITDA by around $4 million.
Turning to page 7. In the last 12 months, we generated $540 million of free cash flow. We expect full year 2019 cash flow generation of around $525 million to $550 million, inclusive of an increase in cash taxes later in the year, as we exhaust our net operating loss carryforwards and become a regular taxpayer.
We invested $26 million in capital expenditures in the first quarter of 2019 in line with our ongoing annual capital expenditures of approximately 2% of annual sales. In the first quarter of 2019, we paid cash taxes of approximately $4 million.
We expect to pay around $7 million of cash taxes in the second quarter of 2019, while we continue to benefit from our federal net operating loss carryforwards. We currently expect the net operating loss carryforwards and other federal income tax credits to be fully utilized mid-year, at which time we will become a regular federal income taxpayer.
Our current forecast estimate income tax payments of approximately $60 million to $70 million during fiscal year 2019. Again, fiscal year 2020 will be the first year in which we are a regular taxpayer for the full year. We expect our ongoing GAAP tax rate will be approximately 26%.
During the first quarter of 2019, we repurchased 170,000 shares of common stock for a total of $7 million at an average price of $42.24. We had approximately $367 million remaining under our most recent authorization at the end of the first quarter of 2019. Including the completion of our two previous $500 million share repurchase authorizations, we reduced our outstanding share count by over 16% since the beginning of 2017. We will continue to opportunistically repurchase shares.
As of the end of the first quarter of 2019, our net debt to adjusted EBITDA leverage was 2.4 times comfortably within our targeted range of two to three times. Our capital allocation strategy remains the same. We will opportunistically deploy capital to the most attractive return opportunities available. These include organic investments in the business, selective bolt-on or tuck-in acquisitions, and return of cash to shareholders currently through our existing share repurchase authorization.
On page 8, we provide first quarter 2019 monthly sales trend performance as well as the 2018 comparable. In February 2019, we delivered sales of $423 million, an increase in average daily sales of approximately 8.1% versus February 2018. Organic sales growth in the same period was 2.2%.
In March 2019, we delivered sales of $460 million, an increase in average daily sales of approximately 8.1% versus March 2018. Organic sales growth in the same period was 8.6%.
In April 2019, we delivered sales of $610 million, an increase in average daily sales of approximately 6.1% versus April 2018. There were no inorganic sales in April. In both years, there were 20 selling days in February and March and 25 selling days in April.
Now, we experienced a calendar shift in fiscal 2019 due to the 53rd-week reported in fiscal 2018. This calendar shift resulted in two 1st of the calendar month included in our fiscal April 2019. This is significant because many of our Facilities Maintenance customers work off of a maintenance budget that resets on the 1st of each calendar month. And therefore, sales during the first few days of a calendar month are particularly strong.
We believe the calendar shift benefited our Facilities Maintenance business's April sales by approximately 170 basis points and our total company April sales by approximately 90 basis points. This benefit reversed in fiscal May, where we do not benefit from the 1st of a calendar month.
May of 2019, the first month of our fiscal second quarter 2019 ended Sunday, June 2 and we have provided our preliminary sales results. We will not provide information on May results beyond sales. May sales were approximately $464 million, which represents average daily sales growth of approximately 0.2% versus 2018. Average sales growth versus prior year, by business, was approximately 2.8% for Construction & Industrial and approximately minus 2.4% for Facilities Maintenance.
Facilities Maintenance May sales were unfavorably impacted by approximately 300 to 400 basis points from the order fulfillment delays in our Atlanta distribution center, 300 to 400 basis points by a weak HVAC sales month in May, due to unusually cool weather and a difficult comparison with May of 2018 and by 170 basis points from the calendar shift caused by 2018's 53rd week.
On page 9, we reiterate our end-market outlook for 2019. We believe the MRO market will continue to grow approximately 1% to 2%. We view the non-residential construction end-market estimate as up low to mid-single digits and the residential construction market will remain flat or grow approximately low single digits. These specific end-market estimates imply an approximate 2% to 3% end-market growth estimate for HD Supply's markets in 2019.
Turning to page 10. I want to first draw your attention to our enhanced guidance disclosure. As we have previously indicated, we expect to become a full cash taxpayer in the second half of 2019. And as such, our GAAP performance metrics are becoming more comparable to our peers.
In order to aid in this transition, we will be providing additional guidance for net income and net income per diluted share. You will find reconciliations between our GAAP and our non-GAAP metrics in the appendix of the presentation and the press release.
We begin by updating our full year fiscal 2019 guidance, which has been revised to take into account a weaker than expected May and an increasingly unpredictable tariff environment. We now believe net sales will be in the range of $6.250 billion to $6.350 billion. This translates to a 6% growth at the midpoint adjusted for the impact of the 53rd week in fiscal 2018.
We expect adjusted EBITDA to be in the range of $890 million to $930 million. This reflects a 6% growth rate at the midpoint adjusted for the impact of the 53rd week in fiscal 2018.
We expect full year 2019 net income per diluted share calculated in accordance with GAAP to be in the range of $2.77 and $2.95. We also expect full year 2019 adjusted net income per diluted share to be in the range of $3.52 and $3.70.
Our net income per diluted share range and our adjusted net income per diluted share range assumes a fully diluted weighted average share count of 171 million and do not contemplate additional share repurchases.
For the second quarter of fiscal 2019, we anticipate sales to be in the range of $1.620 billion and $1.670 billion, adjusted EBITDA to be in the range of $240 million and $255 million, net income per diluted share calculated in accordance with GAAP to be in the range of $0.77 and $0.83, and adjusted net income per diluted share to be in the range of $1.04 and $1.12.
Our net income per diluted share range and our adjusted net income per diluted share range assuming weighted average diluted share count of 171 million and do not contemplate additional share repurchases.
In summary, we believe that we delivered solid performance in the first quarter of 2019, we consider ourselves well-positioned to deal with the current demand of unpredictable environment, and we remain focused on delivering our full year numbers.
Thank you for your continued interest in HD Supply and I would now like to turn the call back over to Shannon for questions."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Deane Dray with RBC Capital Markets. Your line is open.
Deane Dray,1,Thank you. Good morning everyone.
Joe DeAngelo ,1,Good morning Deane.
Deane Dray,1,"Hey, I'm not sure you're going to be able to comment, but at least we can address it right upfront. Is there any color you can provide regarding the news of the SEC subpoena on Facilities Maintenance?"
