speaker,q&a,content
Operator,0,"Good morning, and welcome to the Henkel Conference Call. With us today are Hans Van Bylen, CEO; Carsten Knobel, CFO; and the Investor Relations team. [Operator Instructions]. Please note that there will be a live webcast of today's conference call, including the Q&A session. In addition, a replay of the conference call and the Q&A session will be available on our website, www.henkel.com/ir, for a certain period of time.
By asking a question during the Q&A session, you agree to both the live broadcasting as well as the recording of your question, including salutation, to be published on our website. Here, we will briefly mention your name and the company you are representing.
At this time, I'd like to turn the call over to Mr. Van Bylen. Please go ahead, sir."
Hans Van Bylen,0,"Thank you. Dear investors and analysts, good morning from Dusseldorf, and welcome to our earnings call for the third quarter of 2018. I would like to begin by reminding everyone that the presentation, which contains the usual formal disclaimer to forward-looking statements within the meaning of the relevant U.S. legislation, can be accessed via our website at henkel.com/ir. The presentation and discussion are conducted subject to the disclaimer. We will not read the disclaimer but propose we take that read into the records for the purpose of this conference call.
Today, I'm going to lead you, firstly, through the key developments of the third quarter in 2018, then Carsten will comment to the detailed financials. After that, I will close my presentation with the guidance for fiscal year 2018 and the key takeaways. And finally, Carsten and I will take your questions. Let me start with an overview on key macroeconomic developments impacting our businesses. Henkel operates in a continuously heterogeneous environment. The overall economy is characterized by a moderate global GDP growth. The industrial production index remained strong also in the third quarter of 2018. However, against the background of increasing geopolitical and economic risk and as a result of trade tensions, we have faced an environment of higher uncertainty and volatility.
In the consumer goods market, there are first indications of a slight improvement in underlying demand, however, with continued high competitive intensity and ongoing price and promotion pressure, especially in the mature markets.
Looking at FX. We see continued headwinds from key emerging market currencies, such as the Turkish lira or the Russian ruble, which devaluated significantly compared to the prior year quarter. U.S. dollar, in contrast, slightly appreciated against the euro. At the same time, we faced intensifying direct material price pressure, including market shortages and force majeure. Furthermore, markets continued to be highly volatile, as can be seen by the strong movement in crude oil prices. In this environment, Henkel achieved good profitable growth in the third quarter of 2018, further increasing sales, adjusted EBIT and adjusted earnings per preferred share. The good organic sales growth at 2.7% was driven by the strong performance of Adhesive Technologies. Beauty Care and Laundry & Home Care improved their performance year-over-year, thanks to very strong growth in the emerging markets. Group sales were also supported by ongoing double-digit increase in digital sales, with a particularly strong performance in our consumer businesses. Overall, sales amounted to €5 billion, nominally 1.1% above the prior year. Also in the third quarter, FX headwinds had a strong negative impact on our top line with minus 3.2%.
Adjusted EBIT came in at €926 million. We continued on our profitable growth path, increasing the adjusted EBIT margin to a new high of 18.4%, up 40 basis points. This was supported by our strong cost management focus as well as the strong improvement of Adhesive Technologies. Despite continued negative FX headwind of minus 2% as well as increasing direct material price pressure on the bottom line, we grew the adjusted earnings per preferred share by 2.6% to €1.58. Excluding FX, we continued to deliver a strong operational EPS performance of 5.2%. Carsten will talk about the ongoing FX headwinds and direct material price pressure on our P&L later on.
Let me now go through our business units, starting with Adhesive Technologies. The business unit continued its profitable growth path and once again delivered a strong performance both on top and bottom line. In the third quarter of 2018, Adhesive Technologies achieved strong organic sales growth of 3.8%. All business areas contributed to the strong momentum. General Industry and Electronics in particular delivered very strong growth. In a challenging environment with intense direct material headwinds, the business unit accelerated the implementation of pricing measures. Q3 was the fifth consecutive quarter with rising price increases, positively affecting the business unit's gross margin. Together with the execution of our Fund Growth initiatives, this led to a record-high adjusted EBIT margin level of 19.6%.
Let me highlight some examples among the initiatives that contribute to the continued strong performance of Adhesive Technologies. We achieved significant growth with high-impact solutions for industrial maintenance. For example, our efficient solutions for the repair and overhaul of pipes and machines helped our customers to save cost while at the same time ensuring high safety and performance standard. In the semiconductor packaging business, we delivered significant growth, thanks to our broad technology and application know-how. Our solutions enable our customers to quickly react to market trends toward ever-smaller devices, higher functionality and improved reliability. In the aerospace business, we achieved double-digit growth. This was in particular driven by our new high-performance solutions for the latest generation of narrow-body aircraft and the increasing demand for commercial air travel.
Beauty Care achieved positive organic sales growth of 0.5% in the quarter. The Hair Professional business continued its successful development and achieved very strong organic sales growth. The top line in the retail remains under pressure, especially with organic sales development in North America below expectation. At the same time, we increased profitability and achieved an adjusted EBIT margin of 18.3%. Also here, our Fund Growth initiatives had a positive impact.
Let me highlight some Beauty Care categories and the regions that showed compelling performance. The Hair Professional business showed a very strong growth momentum, further enhancing its market position in both mature and emerging markets. Growth was especially driven by our Schwarzkopf Professional brands such as BLONDME as well as Kenra. In Eastern Europe, we delivered very strong growth, driven by our key hair and body category. Successful existing brands such as Syoss Color and new brands such as Nature Box contributed to this development. Also, we achieved double-digit growth with our strong got2b brand, thanks to the successful launches in both styling and color.
Laundry & Home Care delivered good organic sales growth of 2.5% in Q3, driven by double-digit growth in the emerging markets. Organic sales growth in laundry was good. Home Care had a positive strong growth. In a continuously highly competitive environment, the business unit faced intensifying direct material headwinds. Thanks to the good progress in the Sun integration as well as the implementation of our Fund Growth initiatives, the adjusted EBIT margin level remained at prior year level at 17.9%.
Let me come to the highlights of our Laundry & Home Care business unit. Middle East/Africa continued its very strong momentum in the third quarter of 2018 with double-digit growth. It was driven by the ongoing success especially of the premium detergent business across the region. The hand dishwashing business also delivered double-digit growth, thanks to the successful global relaunch of Pril. In Latin America, we achieved double-digit growth as well as market share expansion, driven by successful relaunches, for example, under the local Viva brand. Within the region, our continued success in the important Mexican market was a major contributor.
With this, I hand over to Carsten."
Carsten Knobel,0,"Thank you, Hans, and good morning to everyone. Let us now have a look at the financials of the third quarter of 2018 in more detail. In the third quarter of '18, Henkel showed a good growth momentum. Overall, we generated €5,037,000,000, 1.1% up from previous year level in nominal terms, still negatively impacted by FX. We delivered an organic sales growth in good terms of 2.7%. Thanks to our successful pricing initiative, and I will comment on that later, we could compensate for intensified direct material headwind. And as a result, the adjusted gross margin was roughly flat at 46.8%. We continued to increase the adjusted EBIT margin now to a new high of 18.4%. This is 40 basis points up compared to the prior year level. And we delivered €1.58 in adjusted earnings per preferred share, an increase by 2.6% and this despite significant FX and direct material headwinds. Adjusted for currency effect, Hans has mentioned that we showed another strong operational EPS performance of 5.2% in the quarter.
Looking at our cash KPIs. The ratio of net working capital to sales increased to 6.6%. This is 100 basis points up versus the prior year quarter, and I will comment on that later during the presentation. The free cash flow at €484 million remained strong but was below the prior year level due to working capital effect. Lastly, our net financial position remained robust at minus €3.2 billion, roughly flat compared to the year-end of 2017.
With that, let's have a closer look at our sales bridge in the third quarter of 2018. Organically, we delivered a good growth of 2.7%, with volume growth of 0.4% and a strong pickup in pricing of 2.3%, and here, important, with all three business units contributing to the positive pricing development.
We continued to pursue a balanced approach to price and volume growth. And given the highly volatile environment, this balance, of course, can vary from quarter-to-quarter. Looking at year-to-date, we see an overall good balance of price and volume growth. The net effects of our acquisitions and divestments had a positive impact of - on sales of 1.6%. So adding organic plus inorganic growth, this amounted to 4.3%, a very strong increase. This was largely offset by a strong currency headwind also in Q3 with an amount of minus 3.2% in percent of sales. And as a result, as already indicated, sales increased nominally by 1.1% now to €5,037,000,000.
Taking a closer look at currencies as we have done that over the last couple of quarters. While FX effects in the third quarter overall were lower than in the first six months of '18, key emerging market currencies remained very volatile, negatively impacting our results. Headwinds in Q3 were driven by key emerging market currencies, in particular the Turkish liras, the Russian ruble, the Mexican peso and also the Brazilian real. The U.S. dollar, in contrast, appreciated against the euro and turned into a slight tailwind. Looking ahead, we continue to expect negative FX effects on our top line in the full year in the mid-single-digit percentage area. With that, going a little bit more into details and looking here on the organic sales performance of our regions. The organic growth of the group continued to be driven by the emerging markets with very strong growth of 6.8%. Sales amounted to €2 billion, representing about 40% of our Henkel Group sales. In the mature markets, sales came in at €3 billion organically, roughly on the level of the prior year. This was driven by a slightly negative organic sales development in North America with minus 0.8%. Here, adhesive showed a very strong performance in the region. Our consumer businesses were below the prior year quarter. We continue to operate at normal service levels. However, in a continuously intense competitive environment, we did not yet recover the market share losses we experienced in the beginning of the year. We are not satisfied with this development, and we are putting, as you can imagine, high emphasis on improving our performance in North America in the consumer businesses.
Looking at Western Europe. Sales were organically positive at 0.6%, held back by ongoing price and promotion pressure in the consumer goods businesses. Eastern Europe recorded a significant organic sales growth of 7.1%. Latin America recorded a double-digit growth of 11.5%, here mainly driven by a double-digit improvement and increase in Mexico. Africa/Middle East, for sure impacted by a fragile political and economic environment, we achieved a double-digit growth of 13.1%. And Asia Pacific showed a positive organic sales growth of 1.2%.
Let me now move on to our business units, as you are used, and we are starting here with Adhesive Technology. The business unit once again posted a very strong organic net sales growth of 3.8%, driven by a price component of 3.6% and a volume growth of 20 basis points. Thanks to the accelerated implementation of price increases, and you know that we are always - or that I always comment on that. And to remind you, Q3 of last year was 0.5%; Q4, 1.0%; Q1 of this year, 1.1%; Q2, 2.5%; and now the growth of 3.6% clearly shows that we are able to bring prices to the market, and we managed to offset the ongoing pressure from direct materials as well as transactional FX headwinds, resulting in an improved gross - adjusted gross margin in the quarter. Divestments slightly reduced the growth by 40 basis points. Currency effects amounted to minus 3.4% of sales, thus resulting in net sales of €2.4 billion, nominally on the level of the prior year quarter. Important to note that all business areas contributed to this strong organic sales growth. The performance was driven by a very strong increase in General Industry and the Electronics business. Packaging and Transport and Metal business each delivered a strong growth, while the consumer and craftsmen business contributed with a good growth.
From a regional perspective, Adhesive Technologies recorded a good organic sales growth in the mature markets, driven by a very strong development in North America and good growth in Western Europe. The emerging markets showed a very strong organic sales growth. The key drivers behind that significant growth were in Eastern Europe and the double-digit increase in Latin America. The emerging markets of Asia contributed with a good growth.
Moving to the profit. A very positive development, we reached a margin of 19.6%. The adjusted EBIT margin reached was at a new all-time high, being 50 basis points up compared to the prior year where we reached 19.1%. Here, the accelerated implementation of the price increases, as I described it before, as well as our Fund Growth initiatives on Henkel level, contributed to this very strong increase.
Moving on to Beauty Care. The business recorded a positive organic sales growth of 0.5% with a composition of 40 basis points in price and volume at 10 basis points. Currency effects for the division were minus 2.3%. Especially here, thanks to our Hair Professional acquisition, which contributed 7.3% to the growth, we achieved a sales of about €1 billion in nominal terms, 5.5% higher year-on-year.
The Hair Professional business continued its successful development and achieved a very strong organic net sales growth. In retail, sales were organically slightly below the prior year, especially with the organic sales development in North America being below our expectations, which I already commented on the overall situation.
Performance in Western Europe was mixed. We had an ongoing high competitive and pricing pressure in the key markets. Overall, the mature markets displayed a negative development.
Looking at the emerging markets. Here, we posted a very strong growth, mainly driven by a significant organic growth in the Middle East/Africa region. Despite the challenges, Beauty Care maintained its consistently high profitability level, increased the adjusted EBIT margin by 20 basis points now to 18.3%. Here again, also, as I mentioned it with adhesives, thanks to our Fund Growth initiatives, which we have - which we are implementing on Henkel level and where, I think, in the past I have commented quite in detail on.
With that now, finally, let us move to our Laundry & Home Care division. Here, the business unit showed a good growth momentum. We have organic sales being up by 2.5% in the quarter, driven by an increased volume of 1.1% and also positive pricing of 1.4%. Acquisitions added 1.1% to the growth. Like in adhesives, we see a quite similar negative currency effect for the division. This amounted to minus 3.3%. So therefore, in nominal sales, we were slightly up by 0.3%. Looking at Laundry & Home. Laundry recorded a good organic sales growth, and Home Care delivered a strong growth.
Looking also here in the regions and first at the mature markets. While Western Europe was positive and the mature markets of Asia showed a very strong growth, the situation in North America was below the prior year quarter, like I commented that for Beauty Care. The emerging markets showed a double-digit organic net sales growth development, here driven by Africa/Middle East and Latin America.
On to the margin development. In a continuously high competitive environment, the business faced intensifying direct material headwinds. Thanks to the good progress in the Sun integration and the implementation of our Fund Growth initiatives, the adjusted margin reached the level on the prior year quarter, so in other words, 17.9% in relation to net sales.
With that now, let us move back to the Henkel Group and here in particular to our adjusted income statement. Thanks to our successful pricing initiatives, especially in adhesives, and I commented on that, our continued savings from cost reduction measures, we could compensate for intensified direct material and the transactional currency headwinds. As a result, the gross margin was roughly flat at 46.8% compared to the prior year quarter.
Also, in our consumer goods businesses, we implemented price increases and further saving initiatives. Here, we were able to partially compensate for increasing direct material prices and that particular impacted our Laundry & Home Care business.
Looking now at marketing, selling and distribution expenses. In percent of sales, we came in with 22.4%, and this remained almost on the level of the prior year quarter. We continue to benefit from the realization of efficiency gains through our ONE!ViEW initiative and also some mix effects. Both our R&D and also our admin expenses remained stable on prior year's level.
At €20 million, the balance of our other operating income and expenses remained on a low level and on par with the result in Q1 and also in Q2 of this year. It is above the prior year quarter, which was at minus €17 million, mainly as a result of higher other operating income.
Overall, the adjusted EBIT came in at €926 million. And the adjusted EBIT margin continued to increase, as pointed out before, now to a level of 18.4%. And this is 40 basis points up to the prior year quarter and, as already indicated, a new all-time high for the group.
Now as you are used to, let me show you the bridge, the detailed bridge from reported to adjusted EBIT. The reported EBIT came in at €833 million. We had no onetime gains in the quarter. We incurred €46 million in onetime charges, which relate to our acquisitions and the optimization of our IT infrastructure related to our One!GSC Horizon project.
Restructuring charges at €47 million in the third quarter were significantly below the levels recorded in the first two quarters this year. The focus was on further optimizing our structures in admin and in operations, for example, by reducing the number of layers in the organization and adapting our production and logistic footprint.
We continue to expect restructuring expenses of €200 million to €250 million in 2018 as we spend a relatively high number in the first nine months. And also, already indicated also in last quarter's - in Q2 call, we will end the year at the higher end of this range. Early on, I highlighted the continuously strong impact of FX on our sales growth, driven by the key emerging market currencies. This, of course, also negatively impacted our adjusted EPS. We have commented on that, Hans and myself, with an FX headwind of minus 2.6%. So excluding the FX, we delivered a strong operational EPS performance of 5.2%. So overall, adjusted earnings per preferred share came in at €1.58, and that's 2.6% higher than in the Q3 of 2017.
Coming back now and moving to our cash KPIs, starting, again, here with net working capital. Net working capital of Adhesive Technology came in at 12.7%, with an increase of 120 basis points, mainly as a result of temporary operational effects, which have led to higher inventory levels. Definitely not a satisfying situation, and we are very keen on - to change that going forward.
In Beauty Care, the net working capital increased by 100 basis points to 6.6%. This increase was mainly driven by the impact of the acquisitions we integrated - we are just integrating. And by that, as you know, over the course of the integration, this effect will fade away. That means we will adapt the net working capital of the acquisitions to the level which are used in our divisions.
Laundry & Home Care reported and recorded an increase of 70 basis points to a level of minus 1.8%, while still above the prior year, a subsequent improvement quarter-by-quarter. So our consumer goods business in the North America remains, as I stated before, on normal service levels. In the third quarter, we have further progressed in reducing the negative impact to about now 1/3 of the original impact. And I will also give you know a comment how this increase of the 100 basis points to 6.6% is composed. As indicated, 20 basis points of this increase are related to M&A, mainly due, what I said, to the M&A of Beauty Care. And 40 basis points are the remaining effects from the logistic difficulties in North America. And the residual 40 basis points are operational impact. So we are putting high emphasis, as indicated, on getting to a lower net working capital level, and we will continue to report on the progress we make.
With that, coming to our free cash flow. We continued to be very strong at €484 million in the third quarter yet remained €52 million below the prior year. The free cash flow in the first nine months is at the level of €1,123,000,000, which was approximately on the level of the prior year. And if you adjust for the extraordinary €200 million of the technology investment we did in the first quarter, we would have an increase on operational or like-for-like topics by roughly 15%. The free cash flow in the quarter was mainly driven by a lower operating cash as a result of adverse net working capital movements.
We continue to invest in our business, and we have spent €172 million on capital expenditures. And thanks to our strong free cash flow, the net financial position remained largely flat at minus €3.2 billion versus year-end '17 despite the dividend payout in April and the higher CapEx in the first nine months.
With this, we continue to have a strong balance sheet. And I'm handing back to Hans."
Hans Van Bylen,0,"Thank you very much, Carsten. Let me now conclude with our performance year-to-date, our guidance for the full year and the key takeaways before we move on to the Q&A. Starting with our performance in the first nine months. Henkel generated sales of €15 billion and achieved good organic sales growth of 2.4%. Strong FX headwinds of minus 6% reduced sales. In absolute terms, negative currency effects amounted to more than €900 million. Adjusted operating profit grew by 1.3% to €2.7 billion. And we increased the adjusted EBIT margin by 30 basis points to 17.9%.
Looking at the business units. In the first nine months of 2018, Adhesive Technologies generated very strong organic sales growth of 4.6% and a continuously high adjusted EBIT margin of 18.9%. Thanks to the accelerated implementation of price increases and our Fund Growth initiatives, we were able to largely offset the significant direct material and FX headwinds.
Sales in our consumer goods businesses were adversely affected by the difficulties in North America. The Beauty Care business unit showed a negative organic sales development of minus 0.2%. With 17.7%, adjusted return on sales was roughly on par with the prior year level. The Laundry & Home Care business unit generated organic sales growth of 1.6%. Adjusted return on sales showed a very strong increase from 17.6% to 18.1%.
Summing up, despite severe FX and direct material headwinds, we delivered an adjusted EPS growth of 2% to €4.59 in the first nine months of 2018. Excluding FX, we grew our adjusted EPS by 6.9%.
As you can see in the first nine months of 2018, we continue to operate in a business environment that is characterized by high and increasing volatility and uncertainty. GDP forecasts indicate a moderate growth. The positive momentum of industrial production is expected to continue, although we see a slight softening of growth momentum in the second half of the year. We anticipate challenges in the consumer goods environment to prevail. Currencies are expected to continue to negatively affect our results, with key emerging market currencies in particular anticipated to remain very volatile. Also, for direct material prices, the pressure is expected to remain high. In this environment, we confirm our guidance for fiscal year 2018, which underlines our continued focus on sustainable profitable growth and our commitment to further drive the implementation of our strategic priorities.
And we have clear focus areas going forward. In Adhesive Technologies, we are working hard to maintain our strong growth momentum, implementing further price measures in order to strengthen our profitable growth path. We are driving growth in both Beauty Care and Laundry & Home Care, with full focus on innovations and winning execution. We are leveraging the full synergy potential from our acquisitions. We are advancing with the implementation of our Fund Growth initiatives to support investments and our bottom line. And we continue to focus on reducing net working capital. With this, we are committed to driving profitable growth.
Let me summarize the key takeaways we wanted to convey to you today. In the third quarter, Henkel delivered good organic sales growth, driven by a very strong organic growth in emerging markets across all three business units and the strong performance of Adhesive Technologies. Thanks to the acceleration of pricing measures as well as our continued cost management focus, we continue to improve our adjusted EBIT margin and increase adjusted earnings per preferred share despite adverse currency effects as we are fully committed to deliver on our guidance for 2018.
With this, let's move on to the Q&A."
Operator,1,[Operator Instructions]. The first question comes from the line of Christian Faitz from Kepler Cheuvreux.
Christian Faitz,1,"Two questions, please. First, can you please share with us your insights into trends in your customer industries in adhesives? Many market participants are talking about significant disruptions in car production, for example, both trade war related as well as pertaining to the WLTP regulation, yet your sales seem to have grown strongly in transport. So what are you seeing specifically in transport but also in Electronics and adhesives? And then second question, can you elucidate a bit the competitive situation in the U.S. market? I mean, you mentioned it a couple of times. But can you give us some beef to the bone what's happening in laundry and to Beauty Care in the U.S. competitive-wise?"
Hans Van Bylen,1,"Thank you very much, Christian. First, on your question on the trends in - and the different developments in our adhesive technology market, as we have been also reporting, the growth in our Adhesive Technology businesses has been broadly based, which means all our different business units have been contributing to the growth. And also, as we described, I mean, we see some slight trends of some weakening of some markets, different by region, but the way we are positioned, I mean, we are able to compensate. We also have good pricing power. What we do see, as you indicated, transportation in some regions, although we have a very good quarter in transportation.
So in this, we see some slight weakening of markets. And of course, as you say also, the whole trade conflicts and so on, I mean, do not help for that. But in general, we feel very well positioned here. On your question on the competitive situation in U.S., I mean, what we do see, I mean, in all consumer markets, I mean, we see some markets, I mean, some better momentum in some markets, but competitive intensity is continuing. And there, you see from both sides, you see further trade consolidation, trade pressure. I mean, also the topic of e-commerce affecting our trade partners. And on the other hand, of course, specifically for U.S., we see that we had and we reported on that some in Q1, our transportation challenge, which we overcame. I mean, service levels at the moment are excellent. But because of those issues, of course, we lost some promotional slots. We - and with trade partners, of course, we do the maximum to come back to that. But we lost in the beginning of the year some market share, and we're fighting hard to get back to that, and we're not completed there yet. Hope this answers your question."
Operator,1,The next question comes from the line of Alain Oberhuber from MainFirst.
Alain Oberhuber,1,"Alain Oberhuber, MainFirst. Two questions from my side. You mentioned regarding the pricing, we saw very strong pricing in Q3. Did I get you correctly, Carsten, that we will see lower pricing in Q4 and onwards but better volume? Second is regarding the Home Care business, what we have currently seen, this good trend. Do we expect that will continue? And on the other side, when have we seen in laundry the bottoming out of the development, in particular in the U.S.?"
Carsten Knobel,1,"So thanks for your question. I don't know exactly why you come to the point how pricing would change. I think what I tried to bring across and I think that what we are reporting since a couple of quarters, I think it shows really the great business model we have and superior business model we have in Adhesive Technology. That was the reason why I was also giving you once again the track record over the last couple of quarters. As I said, I started in Q3 of last year with 50 basis points of pricing, in Q4 of last year with 100, starting the year with 110, in Q2 with 250 basis points and now at the high of 3.6%. And we will continue to see price increases because we are continuously impacted by material impacts. And for sure, what you always have to take into account, and that's for sure very difficult on the quarter to see, is to have the right balance between pricing and volume. For sure, you can say now 3.6% in pricing and 20 basis points in volume is maybe not the right optimal balance, but this is something which we experience when we are working with our customers, when we are working to bring price increases through. So we also expect that this continues going forward. At which level, I'm not guiding on a quarterly level. But I think what I have shown before is, on the one side, that we are significantly able to bring prices through - to the market, but on the other side, you can be for sure that we are also taking the point that we want to have a balanced approach between the two components. Hope that answers your question."
