speaker,q&a,content
Company Participants,0,"Jennifer Smith – Director-Investor Relations
Sebastien St-Louis – Chief Executive Officer"
Conference Call Participants,0,"Erica Eiler – Oppenheimer
Oliver Rowe – Scotiabank
Chris Carey – Bank-America
Brett Hundley – Seaport Global
Graeme Kreindler – Eight Capital
Matt Bottomley – Canaccord Genuity
Robert Fagan – GMP
David Kideckel – AltaCorp Capital
John Chu – Desjardins Capital Markets
Krishna Ruthnum – CIBC"
Operator,0,"Good morning, and welcome to HEXO Corp's Third Quarter Fiscal 2019 Earnings Call. After the presentation, we will conduct a question-and-answer session. All lines have been placed on mute to prevent any background noise. [Operator Instructions] Please note that this call is being recorded today, June 13, 2019 at 8:30 a.m. Eastern Time.
I would now like to turn the call over to Jennifer Smith, Director of Investor Relations at HEXO Corp. Ms. Smith, you may proceed."
Jennifer Smith,0,"Good morning, everyone, and welcome to HEXO's fourth quarter earnings call. We will start with a presentation by our CEO, Sebastien St-Louis, who will recap the company's third quarter results, the recently completed acquisition of Newstrike Brands Limited and our financial outlook, before opening the floor to questions from financial analysts.
Before we begin, I would like to remind you that today's presentation contains forward-looking information that involves known and unknown risks and uncertainties and other factors that could cause actual events to differ materially from current expectations. These statements should not be read as assurances of future performance or results. Such statements involve known and unknown risks, uncertainties and other factors that may cause actual results, performance or achievements to be materially different from those implied by such statements.
A more complete discussion of the risks and uncertainties facing the company appears in the company's annual information form and the company's management discussion and analysis for the three and nine month periods ended April 30, 2019, which are available under the company's profile on SEDAR. You are cautioned not to place undue reliance on these forward-looking statements, which speak only as of the date of the presentation. The company disclaims any intention or obligation, except to the extent required by law, to update or revise any forward-looking statements as a result of new information, future events or for any other reason. Sebastien?"
Sebastien St-Louis,0,"Thank you, Jennifer. Q3 was a busy quarter. Our vision to become top three global cannabis company and top two in Canada is based on three pillars: operational scalability, product innovation and brand leadership. Our investments in our resources, technology, infrastructure and especially human capital is critical to achieving that goal and through this quarter we've made meaningful progress. Under the direction of our Chief Innovation Officer, Veronique Hamel, we're continuing to expand our R&D and innovation team with top scientists, chemists, who have extensive experience in CPG companies such as Kellogg's, Church & Dwight, Coca-Cola, Philip Morris, Campbell Soup, Smuckers that's just to name a few.
We now have 25 PhDs on staff. They're focused on developing new and innovative products for the market, best-in-class technology for our powered by HEXO experiences. Building on our innovative technology is critical in building brands. We believe that brand will be the final moat by which CPG cannabis companies are differentiated, but in the meantime, those products and that moat will be built on distribution and technology, having consistent quick on and quick off cannabis experiences that includes sleep, sport, focus, diets, sex and fun, delivered through a full range of powered by HEXO products is what we're striving to create.
Developing these experiences and partnership with Fortune 500 partners through our hub and spoke is how we're going to achieve that goal. We've added three people to the team with extensive leadership and CPG experience including our new COO, Donald Courtney, notable experience at Mars, Pepsi Bottling Group and also as the head of MedReleaf. As well we've recently welcomed Michael Monahan as our newly appointed Chief Financial Officer. Michael’s guidance will help the company to drive our global strategy moving forward based out of the U.S. and he brings his wealth of experience from privately held and public companies such as Nutrisystem, where he had a very successful exit.
We recently secured about 200,000 kilograms of hemp supply for CBD and non-THC cannabinoid extraction in fiscal 2020 and a closer term we've done a secondary supply agreement of approximately 60,000 kilograms of hemp to be supplied in the next two quarters as we prepare for the upcoming demand in edibles and concentrates pending legalization in October in Canada. Our hemp supply chain is a critical element to our strategy to be an eight U.S. states in 2020 legally through traditional non-MJ channels. We're looking forward to the following month, so that we can elaborate on that strategy.
We've signed a multi-year extraction agreement with Valens to extract a minimum of 30,000 kilograms in year one and 50,000 kilograms in cannabis and hemp biomass in year two. So this helps to smooth out our operating ramp-up and curves as we expand our production to our near-term target of 150,000 kilograms and prepare for the legalization of edibles in October. Note that our Belleville site that I'll speak about later in the call will actually be built to support the extraction using all types of extraction technologies for about 375 tons of processing capacity annually.
We're the first cannabis company to join Food and Consumer Products of Canada, which is the largest voice of the Canadian food, beverage and consumer products industry. We welcome the addition of 374 new employees, which brings our headcount to 822 employees at the end of Q3, and today, I'm very proud to say that the team has grown to 1,100 and everyone is working very hard. I thank them very much.
We continue to expand our CSR initiatives, focused on being good corporate citizens. Our support has helped to ensure that those who depend on the services of Moisson-Outaouais and the Ottawa Food Bank will continue to receive the necessary access to fresh sustainable food using environmentally sound technology. Our customers remain our focus.
To date, we have sold over 7.5 million grams of adult-use in medical cannabis to Canadians who depend on our safe reputable and high quality products. Adult-use grams and grams equivalent sold increased 9% to 2,700 from last quarter as we continue to expand our distribution across Canada.
Q3 2019, we produced approximately 9.8 tons of dried gram equivalent, so 9,800 kilograms, a 98% increase from the previous quarter. That was due mainly to our increased yields in our 250,000 square foot B6 greenhouse and also our first harvest of 1 million square foot B9 greenhouse.
First harvest, I remind everyone, that happened five quarters out from us announcing that we would build that facility, one of the fastest build-outs of a large scale modern cannabis facility on the planet.
We're preparing for Phase two of the Canadian adult-use market with the legalization of edibles and concentrates, which is expected in October 2019, although there is some timing risk to that date, we may see a delay from a regulatory perspective of up to 60 days pushing us into December. We are developing gummies, a premium vape line and a line of cannabis-infused beverages with Truss, our joint venture with Molson Coors Canada. We remain focused on delivering net revenue in fiscal 2020 of over CAD400 million and that of course excludes Truss Beverages.
Subsequent to the end of Q3 2019, we completed the acquisition of Newstrike, providing us with the near-term increase in production to a 150,000 kilograms annually, expanding our cultivation to three campuses, giving us resiliency and redundancy and giving us access as well to nine provincial agreements, so now reaching over 95% of the Canadian population and increasing the HEXO family by approximately 250 employees.
I mentioned Bellville earlier on the call, very proud to say we are on track. Phase one was online in May as planned and we plan on having the building fully operational by the fall. That will include not only HEXO core operations in about 580,000 square feet but also the Truss, Molson Coors joint venture which we are expecting to have a full line of bottling and canning made available to be ready for October legalization should regulations allow.
A 1.5 million square foot facility will also allow future Fortune 500 partners a licensed, centrally-located facility optimized for their specific manufacturing requirements. Looking forward to sharing the future on our future partners.
It was very exciting announcement this morning. We announced that HEXO was now officially international, licensed in multiple jurisdictions with our Greece update. So, we announced that HEXO MED has received its medical cannabis installation license in Europe and that's another step towards our plan of providing regulatory access to Fortune 500 companies, so that we can use their existing distribution networks in countries such as the UK, France and all supplied from a European domicile.
Financial results. Our total gross revenue was 15.9 million for the third quarter, an increase of 11.8 times over the same quarter in the prior year. As I guided, last quarter gross adult-use revenue remained flat at 14.6 million in comparison to the same period in 2018, it increased by almost a 1,000% which included only medical sales last year. We expect revenues to double this quarter with realized sales from the first harvest from B9 and our one million square-foot facility and also as we start to shift flower outside of Quebec, which we're very excited to do.
Sales volume increased 9% to 2,700 kilograms from 2,500 kilograms in Q2. Flower and dry products, accounted for about 84% of gram and gram equivalent sold during the quarter, oils accounting for the remaining 16%.
We achieved adult-use revenues per gram of CAD5.29, a CAD0.54 decrease over last quarter, due to a shift in product mix and 94% of our sales were done in Quebec, with 9% coming from Ontario and BC, reminding everyone that we had not begun selling flower in Ontario and BC. 
Cost of sales remains consistent with the prior quarter, about CAD6.6 million including the cost of dry flower and the transformation costs related to oil and value-added products. The fair value adjustment on the sale of inventory was CAD4.7 million, which has increased from CAD572,000 in Q3 2018 due to an increase in sales, which was offset by lower fair value per gram on the adult-use market.
The fair value adjustment on biological assets was CAD20 million compared with CAD2.5 million in Q3 2018. This is due to an increase in the number of plants on hand, the result of bringing B6 and B9 fully online. So B9 is full of plants today, you can see that in a video that was publicized on Tuesday. I'd invite everyone on the call to go Google for that HEXO reel, you can see our staff hard at work and B9 full of plants. We also drove higher yields this quarter on a per plant and per square foot basis, and we expect that to continue meaningfully as we ramp through our 150-ton a year production capacity. 
Our gross margin before fair value adjustment on biological assets was $6.4 million, yielding a 49% gross margin on net revenue. So holding towards the 50%, we do expect over the next 24 months as there is significant pricing compression that the flower might gradually gross margins towards the 40%. We do expect that as we introduce more and more advanced products, we'll be able to pull that gross margin back towards the 50%, but do expect some turbulence on gross margin in the short-term. 
Operating expenses, our G&A increased to $10.5 million in Q3 from $2 million in Q3 2018. This reflected the growth in operations as we continue to strengthen our general, finance, administrative staff an increase of $3 million. Rental expense increased by $790,000, related to rent on the Belleville facility.
Professional listing and legal expenses increased by $900,000 as a result of corporate development initiatives, and increased financial reporting and regulatory requirements from the TSX and the New York Stock Exchange American and insurance increased $1.8 million due to an increase in property plant and equipment being covered and D&O premium increased as a result of listing on the New York Stock Exchange. G&A is expecting to trend with revenues over the remaining quarter in 2019. 
On marketing and promotion, we had an increase to $5.1 million in Q3 from $2.1 million in Q3 2018. And this reflects the implementation of our adult-use marketing and promotion events to build brand recognition and establish HEXO in the adult-use market. We expect this to trend with revenues in the final quarter of 2019. Our long-term goal on our marketing spend is to be roughly around 5% of revenue and we believe we're on target looking at forward revenue of $400 million or $20 million for the year, excluding sales and operations of course, so just on pure marketing spend.
Our stock-based compensation increased to $8.1 million in Q3 2019 from $783,000 in Q3 2018. This relates to an increase in the number of options outstanding and represents our increase in headcount as a result of a significant increase in the underlying market prices of those options, granted during the period.
Net loss from operations were $2.2 million in Q3 2019 compared with a $2.7 million loss in Q3 2018 and this was offset by higher revenues and increased biological fair value adjustments as our production increases. Net loss from operations decreased 61% over last quarter, due to an increase in fair market value adjustment on biological assets, based on increased scale of operations and the additional plants in our B9 greenhouse. Other income and expense of $5.5 million loss in Q3 2019 compared with $682,000 in Q3 2018, was due to re-evaluation of financial instruments of about $1.1 million and a fair value loss on a convertible note receivable of $4.1 million.
Now I'll turn it over to our analysts on the call, looking forward to taking your questions. Thanks for being here."
Operator,1,"Thank you. Ladies and gentlemen, we will now begin the question-and-answer session. [Operator Instructions] Your first question comes from Rupesh Parikh of Oppenheimer. Please go ahead."
Erica Eiler,1,"Good morning. This is actually Erica Eiler on for Rupesh. Thanks for taking our questions. So, first I wanted to touch on the CAD400 million revenue target, we were just curious, the sensitivity and ability to hit this target if we do see the regulatory delays in advanced products. And also, maybe you could talk about some of the risks you see to potentially achieving this target?"
Sebastien St-Louis,1,"Thank you, Erica. Yes. There are two key risks to the CAD400 million. So the first one is of course the – as you pointed out, the regulatory risk. So, if we don't get the advanced products that would put – and I believe the risk of not getting it is negligible. I think the risk is really in delays. As I mentioned on the call, I think a delay to December would be prudent to expect a delay potentially in the December. But if it's further delayed that could put upwards of CAD100 million of that CAD400 million at risk as that that we're planning advanced products to be about 25% of that number.
The second risk is an execution risk, so much more in our control relating to our Belleville facility. So to achieve that CAD400 million target, we do need Belleville to be operational in the fall. And we are on track for that. But if something should happen outside of expectations, I would put that number at risk. We are confident we will deliver an operational facility in time."
Erica Eiler,1,"Okay, great. That's very helpful. And then I just also wanted to quickly touch on market share. Is there any update on your sense of what your market share is currently?"
Sebastien St-Louis,1,"We believe that we're holding pretty strong as one of the top Canadian LPs. We're not sure exactly where, put us somewhere between top three and top five is probably a good guess. But we have some more work to do on those numbers."
