speaker,q&a,content
Operator,0,"Welcome to the Q3 2018 Harmonic Earnings Conference Call. My name is Candice, and I’ll be your operator for today’s call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session. Please note that this conference call is being recorded.
I will now turn the call over to Nicole Noutsios, Investor Relations. Nicole, you may begin."
Nicole Noutsios,0,"Thank you, operator. Hello, everyone, and thank you for joining us today for Harmonic’s Third Quarter 2018 Earnings Conference Call. With me today are Patrick Harshman, our CEO; and Sanjay Kalra, our CFO. Before we begin, I’d like to point out that in addition to the audio portion of the webcast, we’ve also provided slides to this webcast, which you can see by going to our IR website.
Now turning to Slide 2. During this call, we will provide projections and other forward-looking statements regarding future events or future financial performance of the Company. Such statements are only current expectations and actual events or results may differ materially. We refer you to the documents Harmonic files with the SEC, including our most recent 10-Q and 10-K reports, and the forward-looking statements section of today’s preliminary results press release.
These documents identify important risk factors, which can cause actual results to differ materially from those contained in our projections or forward-looking statements. And please note that unless otherwise indicated, the financial metrics we provide you on this call are determined on a non-GAAP basis. These items, together with corresponding GAAP numbers and on a reconciliation to GAAP, are contained in today’s press release, which we’ve posted on our website and filed with the SEC on Form 8-K.
We will also discuss historical, financial and other statistical information regarding our business and operations and some of those information is included in the press release. But the remainder of information will be available on recorded version of this call or on our website.
And now, I’ll turn the call over to our CEO, Patrick Harshman."
Patrick Harshman,0,"Thanks, Nicole, and welcome, everyone, to our Q3 call. We’re pleased to again be reporting a positive quarter with solid year-over-year financial and business progress enabled by the ongoing success of our strategic CableOS and Video software and SaaS transformation.
Specifically, continued CableOS progress delivered 153% year-over-year revenue growth for our Cable Access segment while the combination of solid over the top streaming and ultra-high-definition sales drove 7.2% operating income for our Video segment. Other notable corporate financial highlights include 11% year-over-year revenue growth 5.6% operating income and 7.6 million cash increase to our balance sheet.
Taking a closer look at our Cable Access segment. CableOS success continues to steadily build. We expanded the combined number of commercial deployments and field trials to 25 customers up from 20 reported last quarter. Among these we probably announced last week our deployment with Buckeye Broadband who have migrated 100% of the greater than 120,000 subscriber broadband service footprint from competitive systems to CableOS. This is a compelling case study, as CableOS enabled both the introduction of new gigabit services for Buckeye's residential and business customers. And behind the scenes significant operational efficiencies to the consolidation of approximately 15 former CMTS sites to a single CMTS operational center where CableOS software is running in dense commercial off-the-shelf servers. Buckeye has been a great business partner communicating openly about the benefits of this CableOS powered DOCSIS 3.1 upgrade garnering a lot of positive attention in last week's annual cable industry conference in Atlanta.
Including this Buckeye Broadband deployment CableOS is now actively delivering broadband service to over 480,000 cable modems worldwide up 20% from last quarter. So let me be clear this is over 480,000 live 24 x 7 consumers and business customers who are paying for and receiving broadband service that is being delivered through CableOS. The key takeaway here is the CableOS's virtualized software architecture can and is being successfully deployed and operated at scale, delivering significant benefits to our early customers.
Another positive milestone attained during the quarter was the commencement of volume shipments of our new Remote 5 nodes for distributed access architectures also known as DAA. Specifically no shipments were up 174% from Q2 contributing materially to Q3's record CableOS revenue. The nodes were in the process of being deployed in the field by our customers and once installed will be followed by companion CableOS software license sales.
Coming out of last week's cable industry conference there is no question that DAA is going to become a major part of cable's future and that we are establishing ourselves as the industry leader in DAA. All of this activity continues to drive a positive financial trajectory. Segment revenue was $28 million up 153% year-over-year and 39% sequentially. And operating profit was 1.5% our second consecutive cable access segment profit. And our strategic design wins and project pipeline continue to support the payment of approximately 100 million of revenue in 2018, and continued growth in 2019.
So looking ahead global customer feedback during the recent cable events in Atlanta made it clear that the combination of our technology leadership, our initial wave of wins with influential customers, increasing market understanding of the advantages of both virtualized and distributed access solutions and our growing expertise in successfully deploying these solutions all position Harmonic uniquely to be the market leader in the next generation of scalable cable access.
Okay, so turning now to our Video segment. Here also we’re seeing continuing evidence of our strategic initiatives gaining momentum in the marketplace driving consistently improved financial performance. Video segment operating income was 7.2%, making Q3 the fifth consecutive quarter of positive segment operating income, enabling this operating profit consistency segment gross margin was 57%, reflecting an improving mix of software sales.
Looking ahead, we continue to carry forward strong Video segment backlog and deferred revenue enabling segment visibility and performance consistency. Underpinning this more consistent financial performance is the transformation of our historically broadcast centric appliance business to more profitable and predictable over-the-top streaming software and SaaS business, demonstrating that the strategic transformation is on track Harmonic is now deployed over 35,000 high quality live in linear over-the-top streaming channels worldwide. Up 4% sequentially and 23% year-over-year further strengthening our position in the growing live premium video streaming space.
The same with the team of quality. During Q3, we also saw a continued demand for ultra high-definition solutions. UHD related sales in the third quarter were up 138% sequentially, which is particularly impressive when we recall that Q2 UHD sales were up 200% year-over-year. We’re well positioned to take advantage of growing worldwide interest in deploying and monetizing high-quality ultra high-definition programming. Also key to our video strategy is expanding our addressable market for our new cloud-based SaaS offerings. Raising our visibility in the screening world and leveraging the combination of a market-leading ultra high definition and Saas capabilities we recently partnered with NASA and Roku to launch a new streaming channel based on stunningly beautiful NASA content. Since this channel was launched in September the app on Roku has been installed over 58,000 times.
Leveraging this video technology leadership positioning and following a land and expand approach to new business development. We’re pleased to report the number of active revenue-generating video Saas customers has grown to nearly 20 up to a 100% year-over-year. So look in summary in both our cable access and video business segments. We continue to make excellent progress in bringing truly differentiated and relevant solutions to market and as a result in improving our financial performance.
And on that note I will now turn the call over to Sanjay for more detailed discussion of our financial results and outlook."
Sanjay Kalra,0,"Thanks, Patrick. And thank you all for joining our call this afternoon. Before I share with you my detailed quarterly remarks, I will like to remind you and the financial results as we referring to are provided on a non-GAAP basis. As you just heard from Patrick our third quarter performance was solid. We’re pleased that we sequentially delivered a profitable quarter in both of our segments supported by strong results across a number of key financial metrics.
Revenue and gross margins were at high end while our operating expenses came in below our guidance range. This resulted in a profitable quarter with EPS exceeding expectations. This was coupled with strong balance sheet and an improved cash position. This performance marks five consecutive quarters of solid financial and strategic execution.
As we turn to Slide 6, to review our Q3 results. Revenue was 101.4 million near the high end of our guidance. This is compared to 99.4 million in Q2 ’18 and 91.6 million in Q3 ’17. Resulting in 2% quarter-over-quarter growth and 11% year-over-year growth.
This top-line growth is primarily due to our Cable Access segment. Cable Access revenue was 28.1 million, compared to 20.2 million in Q2 and 7.5 million in the year ago period. Presenting in a 39% quarter-over-quarter and 153% year-over-year growth. As you have seen, activity in our Cable Access segment has been progressing steadily throughout 2018. Of particular note, in Q3 was a sequential increase of 174% in shipments of CableOS nodes for new Distributed Access Architectures underscoring and expanding addressable market opportunity for our Cable Access segment. Video revenue was 73.3 million, compared to 79.2 million in Q2 and 84.2 million in the same quarter last year.
As a reminder, Q3 is typically a weaker quarter seasonally. The last year being an exception when we saw Video revenue catch up after a very slow first half of the year. Consistent with the past two quarters. In Q3, we had one greater-than-10% revenue customer, Comcast, who contributed 16% of total revenue. Gross margins were 52.1% in Q3 compared to 54% in Q2 and 53.4% in Q3 ’17. Cable Access gross margins were 38.7% in Q3 compared to 50.3% in Q2 and 9.2% in Q3 ’17.
The sequentially decrease in gross margin reflects the increased mix of DAA no shipments which go out the door before corresponding CableOS software licenses, which customers prefer to take just in time after the node have been deployed in the field. So to be clear as field installation of nodes ramp up and as enabling CableOS core software is turned on the blended Cable Access margins are expected to improve.
Video segment gross margin was 57.2% in Q3 versus 55% in Q2 and 57.4% in Q3 ’17. The sequential increase reflects an improved mix of video software as expected in our ongoing video business transition. We maintain strong access controls without compromising our strategic growth investments. As a result, our Q3 operating expenses are 47.2 million below our guidance range of 49 million to 50 million. Consistent with recent operating expenses of 47 million in Q2 and 47.7 million in Q3 ’17. Q3 operating income of 5.7 million was primarily driven by our Video segment it's contributed 5.3 million and 7.2% operating margin in the quarter.
This marks five consecutive quarters of video operating profitability. Also we are pleased that our Cable Access segment was sequentially profitable, generating approximately $400,000 of profit this quarter, compared to $500,000 profit in the prior quarter despite increasing our Cable Access R&D spending during the quarter. Total Q3 operating income of 5.7 million, compares to 6.8 million in Q2 and 1.3 million in Q3 ’17.
Q3 EPS was $0.04 compared to Q2 EPS of $0.05 and a loss of $0.01 in Q3 '17. This year-over-year EPS improvement was driven primarily by our cable segment turning around from an operating loss to an operating profit and overall vision and cost management. We ended Q3 with a weighted average diluted share count of 87.8 million compared to 85.8 million in Q2 and 81.4 million in Q3 '17. The increase of approximately 2 million shares in mainly due to the issuance of approximately 1 million shares of ESPB and performance based employees' RSUs and of approximately 1 million shares of previously granted RSUs, options and warrants becoming in the money this quarter. Note this quarter we also saw some dilutive effect due to Comcast warrants which vested as we successfully achieved a critical Philly trial acceptance milestone for which we filed an 8-K in early August.
Q3 bookings were 79.5 million compared to 107.9 million in Q2 and 96 million in Q3 '17, resulting in a book to bill ratio of 0.8. This booking result was in line with our expectations since as mentioned previously Q3 is typically seasonally slow especially internationally due to summer vacations and due to timing of support contract renewals. We ended the quarter with backlog and differed revenue of 207.6 million down 10% sequentially but still up 3% year-over-year and near the high end of what have seen historically.
I would like to now provide some context regarding the impact of SaaS activity on our Video segment results. Specifically total contract value or TCV of Q3 SaaS bookings was 4 million compared to 6 million in Q2. Total ARR for our SaaS views was 9.7 million at the end of Q3 compared to 9.6 million at the end of Q2. Our ARR is comprised of subscriptions and related professional services. Subscription related ARR increased from 8.6 million in Q2 to 9.3 million in Q3 and subscription related professional services decreased from 1 million in Q2 to 400,000 in Q3. This 8% increase in subscription based ARR reflects both an increasing SaaS customer base and increased usage of SaaS offerings. As Patrick pointed out earlier on the call our SaaS customers grew by 200% year-over-year.
Looking ahead for the full year 2018 we believe that total SaaS bookings will continue to be approximately 3% to 4% of total bookings. We believe we are still in early stages of our SaaS evolution as we continue to grow and expand our install base. As I alluded on our previous calls we enhance the financial transparency of two operating segments during the fourth quarter of 2017. Historically we employ and execute a location methodology based on total revenues to attribute professional services revenue and sales expenses between our video and Cable Access segments. Beginning in the fourth quarter of 2017, we adopted a more precise attribution methodology as activities relating to selling and supporting our CableOS solutions have become increasingly distinct from those of our video solutions.
Since this change was made starting Q4 2017, our sequential operating segment results have been directly comparable without any need of adjustment. However for year-over-year comparison of operating segments results, we need to retroactively apply the new attribution methodology to Q3 2017 results, which decreases the reported Q3 '17 operating income of our Video segment by $2.7 million while narrowing the operating loss of our Cable Access segment. Without of course any impact to total combined company results, therefore with this adjustment of our Cable Access segment revenue and margins both increased 153% on a year-over-year basis.
I will now move to our liquidity position and balance sheet on Slide 7. As mentioned previously at the end of Q3, backlog and deferred revenue was 207.6 million. This compares to 230.4 million in Q2 and 200.9 million in Q3 '17. We ended Q3 with a cash of $1.7 million this compared to 54.1 million at end of Q2 and 50 million at end of Q3 '17. The sequential increase in cash of $7.6 million primarily reflects cash generated from operations of 2.4 million and net cash generated from financing activities of 5.2 million. Our day sales outstanding at the end of Q3 were 70 days as compared to 75 days in Q2 and 70 days at the end of Q3 '17.
Our days inventory on hand were 43 days at the end of Q3 compared to 45 days at the end of Q2 and 67 days at the end of Q3 '17. In summary, while we have a lot of work ahead of us, overall I’m encouraged by our third quarter results and our year-to-date performance which we have delivered while remaining committed to our mid to long-term value creation opportunity.
Now let’s turn to Slide 8 of our Q4 non GAAP guidance. For Q4 '18, we expect revenue in the range of 105 to 118 million with Video revenue in the range of 80 million to 83 million and cable access revenue in the range of 25 million or 35 million. Gross margin in the range of 49% to 50%, operating expenses to range from 49 million to 50 million, operating income to range from 2.2 million to 9.6 million, EPS to range from $0.01 to $0.07 and effective tax rate of 16%, a weighted average diluted share count of 89.2 million. And finally, cash at the end of Q4 is expected to range from 55 million to 65 million.
I want to pause here and provide a little more color on our cable access revenue range. Consistent with the trend of past two quarters, we expected shipments of DAA nodes to steadily grow again sequentially in Q4, which is positive news. What is somewhat lesser than is the quantity of nodes which need to be shipped as demand is dependent on the pace at which previously shipped nodes will be deployed in the field and correspondingly then associated CableOS core software licenses will be purchased and turned on. Hence, this beginning ramp of volume DAA deployment and associated learning curve demands wider cable access guidance range that in the prior quarters. As DAA becomes more mature, we expect revenue timing visibility to improve.
Moving to Slide 9. For our full 2018, we now expect total revenue in the range of 396 million to 409 million with Video revenue in the range of 304 million to 307 million and cable access revenue in the range of 92 million to 102 million. This compares to our prior guidance of 388 million to 411 million where Video revenue contributed 296 million to 309 million and Cable Access contributed to 92 million to 102 million.
Gross margins in the range of 52.5% to 53%, marginally, better than our prior guidance of 52% to 53%; operating expenses range from 192.5 million to 193.5 million improved from our prior guidance of 195 million to 197 million, primarily due to strong expense management. Operating profit to range from 15.1 million to 22.5 million, improved from our prior guidance of 6 million to 24 million primarily due to improved gross margins and reduced operating expenses.
EPS to range from a profit of $0.09 to the profit of $0.16, improved from our prior guidance of a loss of $0.01 to profit of $0.15. An effective tax rate of 15% and a weighted average share count of 86.9 million value added shares. We expect cash to range from 55 million to 65 million, improved from our prior guidance of 50 million to 60 million. As a result, the only notable changes to full year guidance which we provided in our last earnings call in July, our narrowing our Video revenue range by 8 million at the low-end and 2 million at the high-end, narrowing operating income by 9.1 million at the low-end and 1.5 million at the high-end.
Improving our EPS low-end by range of $0.10, with no change at the high-end and increasing our cash guidance range by 5 million. As a reminder, there is no change to our annual Cable guidance of 92 million to 102 million. Before I conclude, I would like to inform you that with our proactive planning around potential tariff, we do not expect any significant impact from tariff to our financial results.
I’d like to conclude by stating that we have delivered five strong consecutive quarters both strategically and financially and the outlook for Q4 remains positive. We remain focused on executing our strategic initiatives and delivering long-term profitable growth and shareholder value.
So with that, thank you all and back to you Patrick."
Patrick Harshman,0,"Okay, thanks Sanjay. I want to wrap it up by again highlighting our strategic priorities. For our Cable Access business objective number one is to continue to successfully scale our first wave of CableOS deployments. Leveraging our growing CableOS market momentum, objective number two is to secure new design wins with additional operators, both Tier 1 and midsized customers such as Buckeye Broadband. And as cable operator investment plans in DAA solidify, objective number three is we establish ourselves as the clear technology and market share leader in DAA.
Turning to our Video segments, objective number one is to continue to grow our over the top streaming solutions across media and service provider verticals. Objective number two is to leverage our SaaS offerings to expand our addressed market, tapping into new higher growth customers and business models. And objective number three is to deliver consistent segment profitability as we have done over the past five quarters.
Our commitment to these priorities has enabled clear strategic and financial progress through the first three quarters of 2018 and continuing confidence in driving renewed growth, profitability and shareholder value. I would like to thank our global employees for their creativity and commitments, our strategic customers for their partnership and our shareholders for their continued support.
Let's now open up the call for questions."
Operator,1,Thank you. We will now begin the question-and-answer session. [Operator Instructions] And our first question comes from James Kisner of Loop Capital Markets. Your line is now open.
James Kisner,1,So I just want to clarify first your comments regarding the guidance for Q4 in Cable Access and that wide range. Is that wide range more related to just the size of inter-quarter bookings? Or are there some significant slugs of revenue in there that are winning revenue recognition as I kind of understand those dynamics?
Sanjay Kalra,1,"I think there are two things which I pointed out in my prepared remarks and I'll provide a little bit more color. The range of 10 million entails two things which we are going to get clarity on as we progress in the quarter, but we believe it's going to fall within this range. One is the quantity of nodes which we will ship for the DAA nodes we talked about. We have seen sequentially the quantity is going up from Q1 to Q2 and Q2 to Q3. Q3 to Q4 also we expect that to go up, but how much that’s going to go up is that something which we are still trying to nail down to the precision. At the same time that’s also dependent on the way our customers are going to deploy those nodes in the field. And once the deployment continues at a certain pace, we will shift more nodes and then the corresponding software license which will follow it would also come after that. So, this range of 10 million entails both these things, the quantity of nodes as well the CableOS software which will kick in only after deployments are completed."
James Kisner,1,"Also you sort of I guess I'm wondering too about the gross margin retention, it seems like they are going to modeling the video margin flattish that you could have something that's up 35% in the cable edge business and it sounds like that’s really temporary given that you don’t have a lot of experience in CableOS. I mean it seems like this should be an anomalous quarter. Is that correct? Like from here, could it stay at this level for several quarters until CableOS ramps? How should we think about that CableOS gross margin given your guidance for Q4 just sort of on a longer term basis?"
Sanjay Kalra,1,"Yes, James, so, you are right. In terms of total margins for the quarter, we are guiding 49% to 50%, and you know video is close to 55% in that calculation. And as we have seen throughout Q1 to Q3 getting 57.5% to 57.2% and 55% in Q2, I think a range of 55% for video is totally reasonable. But in terms of cable, the mix shift and together with the guidance range of revenue we entail which includes nodes as well as software. Currently, we are anticipating close to high 30s because that’s what we experienced in Q3 as well. And you are right, this is temporary we believe as far as software component is not in this. But as software component starts digging in over a period of couple of quarters, we would expect the gross margins to return or rebound and get back to what we’ve shown earlier in Q1 and Q2."
