speaker,q&a,content
Company Participants,0,"Angie Yang - Director, Investor Relations
Kevin Kim - President and Chief Executive Officer
Alex Ko - Chief Financial Officer
Peter Koh - Chief Credit Officer"
Conference Call Participants,0,"Matthew Clark - Piper Jaffray
Chris McGratty - KBW
Aaron Deer - Sandler O'Neill and Partners
Gary Tenner - D. A. Davidson
Don Worthington - Raymond James"
Operator,0,"Good afternoon, and welcome to the Hope Bancorp First Quarter 2019 Earnings Conference Call. All participants will be in listen-only mode. [Operator Instructions] After today’s presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note this event is being recorded.
I would now like to turn the conference over to Angie Yang, Director of Investor Relations. Please go ahead."
Angie Yang,0,"Thank you. Good morning, everyone, and thank you for joining us for the Hope Bancorp 2019 first quarter investor conference call. We will be using a slide presentation to accompany our discussion this morning. If you have not done so already, please visit the Presentations page of our Investor Relations website to download a copy of the presentation, or if you are listening into the webcast, you should be able to view the slides from your computer screen as we progress through the presentation.
Beginning on Slide 2, I’d like to begin with a brief statement regarding forward-looking remarks. The call today may contain forward-looking projections regarding the future financial performance of the company and future events. These statements are based on current expectations, estimates, forecast, projections and management assumptions about the future performance of the company, as well as the business and markets in which the company does and is expected to operate. These statements constitute forward-looking statements within the meaning of the U.S. Private Securities Litigation Reform Act of 1995. These statements are not guarantees of future performance. Actual outcomes and results may differ materially from what is expressed or forecasted in such forward-looking statements.
We refer you to the documents the company files periodically with the SEC, as well as the Safe Harbor statements in our press release issued yesterday. Hope Bancorp assumes no obligation to revise any forward-looking projections that may be made on today’s call. The company cautions that the complete financial results to be included in the quarterly report on Form 10-Q for the quarter ended March 31, 2019, could differ materially from the financial results being reported today. In addition, some of the information referenced on this call today are non-GAAP financial measures. Please refer to our 2019 first quarter earnings release for the reconciliation of GAAP to non-GAAP financial measures.
Now, as usual, we have allotted one hour for this call. Presenting from the management side today will be Kevin Kim, Hope Bancorp’s President and CEO; and Alex Ko, our Chief Financial Officer; Chief Credit Officer, Peter Koh is also here with us as usual, and will participate in the Q&A session.
With that, let me turn the call over to Kevin Kim. Kevin?"
Kevin Kim,0,"Thank you, Angie. Good morning everyone and thank you for joining us today. Let's begin with Slide 3. Our first quarter results reflect our consistent financial performance despite challenging conditions for generating loan and deposit growth in our markets. Our focus on producing loans with more attractive risk adjusted yields, as well as our disciplined expense management helped us to deliver solid bottom line results for the quarter. We generated $42.8 million in net income during the first quarter or $0.34 per diluted share. We believe this demonstrates the relative effectiveness of our expense controls, which helped offset the headwinds of the higher deposit cost environment. Alex will speak to this in more detail as part of his presentation.
Moving on to Slide 4, our business development efforts in the first quarter reflect a shift in strategy that we outlined on our last earnings call namely transitioning our residential mortgage loan production to originating for sale rather than for our retained portfolio, being more selective in CRE loan originations and focusing on growing our C&I and SBA loan portfolios.
In the past, our residential mortgage business had been producing about $160 million in originations per quarter, mostly for our retained portfolio. So the shift in strategy will make comparisons with our production numbers in the prior quarters largely irrelevant. We booked $462 million in new loan commitments and funded $442 million during the first quarter. At this level of loan fundings, our total loan balances remained essentially flat in the quarter. But, first quarter loan production was representative of our targeted mix of higher yielding new loans, which ultimately had a positive effect on our average loan yields.
Looking at the breakdown of our loan production by major category, commercial real estate loans, including our SBA CRE originations comprised 53% of total production in the quarter. Commercial loans, including our SBA C&I production accounted for 31%; and consumer loans comprised primarily of residential mortgage loans accounted for 16%. We originated $236 million in CRE loans for the quarter, which is lower than our recent production volumes. This was due to a combination of factors. First, we continue to see investors taking a cautious approach to new CRE investments given uncertainty about the macro economy and the impact of trade tensions. This is resulting in a lower level of CRE transactions available in the market and impacting the demand for loans. Second, the first quarter is typically a seasonally slower period for CRE loan production; and third, given our emphasis on protecting our net interest margin, we are focusing new CRE loan production on just those opportunities that present the most attractive risk-adjusted yields.
Looking at our C&I originations, we had $135 million in new production in the first quarter, down modestly from $155 million in the prior quarter, which also reflects the seasonal effect on loan demand in the first quarter. As prior fiscal year end financials typically are not available until the second quarter, C&I originations are normally the slowest during the first quarter. With that said, the relatively consistent level of C&I loan production we are seeing on a quarterly basis is indicative of the stronger commercial banking platform we have built and our improved ability to develop relationships with middle market commercial borrowers. As a percentage of new loans, we are pleased to see the increasing contribution of C&I loans to the total originations, which improved to 31% from 23% in the fourth quarter of 2018. With our focus on originating higher yielding loan products, we would expect to see a continuation of this positive trend.
Turning to SBA business. We saw some impact from the government shutdown in the first part of the year. We originated $48 million in SBA loans compared with $81.5 million in the preceding fourth quarter. The average rate on new SBA originations was in excess of 6.5%, and now that we are retaining this production, we are seeing the positive impact on our average loan yields. In terms of residential mortgage originations, we originated $64 million of new production, down considerably as expected from $163 million in the preceding quarter due to our shift in focus to originating residential mortgage loans for sale rather than holding them in our portfolio.
Given our more selective approach to new loans, as well as the strategic reduction in the production of lower yielding residential mortgage loans, we saw a strong increase in our average yield on new loan originations. During the first quarter, our average yield was 5.52%, up 30 basis points from the prior quarter. This represents an increase from the 25 basis points increase that we had in the average yield of new loans in the preceding fourth quarter when compared with the third quarter.
With that, as an overview of our business development efforts, I will ask Alex to provide additional details on our financial performance for the first quarter. Alex?"
Alex Ko,0,"Thank you, Kevin. As I review our financial results, I will renew my discussions with just some of the more significant items in the quarter. Beginning on Slide 5, I will start with our net interest income, which totaled $119.6 million compared with $121.9 million in the preceding fourth quarter. The reduction was primarily due to an increase in our interest expense associated with deposit costs, which we were able to largely offset with the benefits of higher loan yield.
Our average rate on loan receivables increased 10 basis points quarter-over-quarter to 5.31% and demonstrates in parts of positive effect of our strategic initiatives. This increase reflects on improvements from the five basis point increase in the average rate on loans that we saw in the 2018 fourth quarter versus the third quarter.
Our net interest margin declined by two basis points to 3.39%, or by five basis points on a core basis, excluding purchase accounting adjustments and nonaccrual interest reversals of $769,000 in the first quarter of 2019. The decline in our core margin was driven partially by a 17-basis-points increase in our cost of deposit, reflecting higher balances of time deposits and a higher average rate on those deposits.
As another example of the positive effects of our key priorities for 2019, the increase in our cost of interest bearing deposits moderated, up 18 basis points in the first quarter versus 21 basis points in the preceding quarter. We believe this also demonstrate that we are beginning to make some progresses with our deposit strategies. Although we fully appreciate that it will take more time before we see more meaningful progress.
In the first quarter, the rate on new time deposits declined for the first time since interest rates began rising. Consequently, the repricing gap on time deposit renewals or the delta between a CD expiring rate and the renewal rate declined by 19 basis points during the first quarter. Assuming no rate changes in 2019, we expect a repricing gap on time deposits to continue to decline as the rate of maturing time deposit is increasing each quarter, while our time deposit offering rates have stabilized. As a result, we would expect to see the increases and interest bearing deposit costs continue a positive dollar trend in the next few quarters.
The overall increase in deposit costs was partially offset by seven basis points increase in our average loan yield, excluding purchase accounting adjustments, which reflect the benefits of repricing the variable rate loans in our portfolio and the higher rates on the new loan originations that we are seeing.
Now, moving on to Slide 6, our non-interest income was $11.4 million, just a bit lower than the preceding fourth quarter. The primary variance from the preceding quarter was attributable to the net gains on loan sales. Consistent with our strategy to retain all of our SBA loan production, we did not record any gain on sale of SBA loans this quarter compared with $447,000 in net gains in the preceding quarter. This was offset by higher gains on sale of residential mortgage loans. During the quarter, we sold $70 million of residential mortgage loans to the secondary market. The majority of which represented the sales from our seasoned mortgage portfolio. We recorded $741,000 in net gains this quarter versus $381,000 in the preceding quarter. All of our other major sources of non-interest income were relatively consistent with the preceding quarter.
Moving on to non-interest expenses on Slide 7. Our non-interest expense was $70.8 million in the first quarter, up slightly from the prior quarter. The most significant variances from the preceding quarter was an increase in our compensation expense, which reflects the seasonal impact of higher payroll taxes and bonus accruals.
On a year-over-year basis which excludes a seasonality factor, our compensation expense increased by a modest 3%. Aside from compensation expense, we had a decline in number of our other major expense line items, including lower data processing and communications expense as a result of our proactive cost management initiatives. We believe this result also underscores effective control we have implemented for cost containment. Our annualized non-interest expense to average assets was 1.85%, unchanged from the preceding quarter, which generally reflects our successful efforts with cost management.
Now, moving on to Slide 8, our total deposits increased approximately 1% from the end of the prior quarter with the growth coming from money market and time deposits. With the increase in our total deposits and the slight decline in our loans, our net loan to deposit ratio improved to 97.6% at the end of the first quarter versus 99% at year-end.
Now moving on to Slide 9, I will review our asset quality. We had a noticeable increase in nonaccruals and criticized loans, but we are confident that, one, the potential loss exposure is small given the circumstances, which of those loans that draws the increase; and two, these trends are not indicative of pervasive deterioration in our portfolio.
Looking at our nonaccruals, we had a $33 million increase in nonaccrual loans from year end. $30 million of this increase was due to one relationship totaling $32 million whereby the bank has proactively elected to exit the relationship solely due to issues with the common individual guarantor. As a result, three of the CRE loans in this relationship that matured during the quarter will not renewed. These loans were downgraded to substandard and placed on nonaccrual status.
Appraisals on these properties are current and weighted average LTV is in the low 50s. Because all of these loans exhibit low LTVs in prime locations, the downgrade did not require any specific reserve and the bank expects any potential loss exposure on this credit to be minimal.
We also saw increase in our total criticized and classified loans. This was entirely driven by a total of four relationships, including the one previously mentioned relationship, along with three other unrelated larger credit relationships that I will provide some additional background on. One is a $31 million relationship comprised of two CRE loans for properties that are again in prime locations. Although the loan payments continued to remain current on both of these loans, the debt service coverage has fallen below our requirements. So we had proactively downgrade the relationship to special mention. With a strong guarantor supporting this relationship, we expect any potential loss exposure on this credit to be nominal.
Next, we had a $16 million CRE loan for mixed use condominium that is being repositioned for higher rents, but had some delays in stabilizing. LTV is on this property is in the low 50s, which is based on current appraisal. Given the low loan to value and the prime location of the property, again no specific reserve was required. And we believe the prime location and the financial strength of the guarantor mitigates any potential loss exposure on this property.
And finally, we have a $50 million commercial loan for a company in the automotive industry. While this is a strong company supported by an even stronger parent company, and we expect to see improvement over the course of this year, we believe it is appropriate to proactively downgrade the loan to special mention at this time due to some weaknesses in their interim financials. In aggregate, these four relationships increased our criticized loans by nearly $90 million. Excluding these four relationships, we would have had a modest reduction in our criticized loan balances.
In summary, although the size of these loans had a noticeable impact on our problem asset balances, overall, we believe the potential loss exposure from this credit is relatively nominal given the details that we discussed.
Furthermore, all of these loans exhibit unique issues. We not believe they are indicative of any broader systemic trends in our loan portfolio whether from our industry vertical or geographic market perspective.
In terms of actual losses, we had another quarter of a very low level of losses. We had $462,000 in net charge-offs, which represented two basis points of average loans on an annualized basis and this is down from $872,000 in net charge-offs in the fourth quarter of 2018. Our provision for loan losses of $3 million more than covered our net charge-offs in the quarter and increased our allowance to total loans ratio to 78 basis points from 77 basis points.
With that, let me turn the call back to Kevin."
Kevin Kim,0,"Thank you, Alex. Let's move on to Slide 10. I would like to wrap up with a few words about our outlook. On our last earnings call, we outlined a number of priorities for 2019, and I think we made good progress in many key areas during the first quarter. Most notably, we are seeing the more favorable mix of loan production that we're targeting, and we are doing a relatively good job of controlling expenses. Although we had a slight drop in our loan balances during the first quarter, we still feel comfortable that we can meet our full-year target of 3% to 5% loan growth, particularly as we move into the seasonally stronger quarters for loan production. We are succeeding in generating higher loan yields that are a part of our strategy for protecting our net interest margin.
On the liability side, the initiatives to better manage our deposit costs will take longer to gain traction, but we feel good about the only progress we're making. And now, it looks as though the Fed will keep short-term rates stable for a period and perhaps even lower them. So we may not be facing such a stiff headwind in terms of the rising interest rate environment that has put pressure on our margin over the past three years.
In summary, we continue to focus on driving improvement in three key areas that is deposit cost management, better loan yield and better efficiencies. And as Alex discussed in depth, we fully believe any potential loss exposure from the newly downgraded assets as minimal. However, you can be assured that we will certainly be focused on working through these credits.
Taking a step back, I believe we will recognize that we may be in the late innings of the credit cycle. Over the past three years, we have been preparing for the eventual downturn and we have taken important measures to establish a strong credit culture at Bancorp Hope that is underscored by disciplined underwriting, constant monitoring and proactive action. In other words, we believe we are well prepared whether the downturn is imminent or several years from now.
As we continue to execute on all of our initiatives, we are confident that we will be able to deliver more profitable growth for our shareholders.
With that, let's open up the call to answer any questions you may have. Operator, please open up the call."
Operator,1,[Operator Instructions] And our first question will come from Matthew Clark of Piper Jaffray.
Matthew Clark,1,"On credit, did you identify these relationships as part of a portfolio review or some of these credits just coming up for renewal?"
Peter Koh,1,"Hi. This is Peter. So just one thing before I address that question. I just wanted to make a minor correction on the prepared scripts. The $33 million of nonaccrual increase, the increase from one relationship was $20 million impact, not $30 million, just a minor error in the presentation. So I just wanted to correct that for the record. In terms of the four relationships that we described here, we have a constant monitoring process here and some of these loans did come from updated financials, but I will look at it just in terms of looking at just as ongoing active monitoring of the portfolio. I think over the last several years, we had really prepared the Bank to really be able to monitor the portfolio very closely and really get into the potential problem of credits very early on. And I think that's kind of what you're seeing right now. As we mentioned here, we really don't see much loss potential in any of these four identified credits. And I think a lot of these credits actually are a special mention. So we are getting in front of these credits and identifying the issues and working out very early on."
