speaker,q&a,content
Company Participants,0,"Richard Putnam - VP of IR
Jon Kessler - President and CEO
Steve Neeleman - Founder and Vice Chair
Darcy Mott - EVP and CFO"
Conference Call Participants,0,"Jamie Stockton - Wells Fargo
Sandy Draper - SunTrust
Greg Peters - Raymond James
Donald Hooker - KeyBanc
Mohan Naidu - Oppenheimer
Stephanie Demko - Citi
Allen Lutz - Bank of America"
Operator,0,"Welcome to HealthEquity's First Quarter of Fiscal 2020 Earnings Call. Please note that this event is being recorded.
Go ahead Mr. Putnam."
Richard Putnam,0,"Thank you, Jimmy. And good afternoon everyone. Welcome to HealthEquity's first quarter earnings conference call.
With me today, we have Jon Kessler, President and CEO; Steve Neeleman, Founder and Vice Chair; Darcy Mott, our Executive Vice President and CFO. Before I turn the call over to Jon, I would like to remind those that are listening, that there is a copy of today's earnings release, an accompanying financial information posted on our Investor Relations website which is ir.healthequity.com.
We also claim safe harbor concerning this forward-looking statements included in today's earnings release and that will be made during this conference call. They include predictions, expectations, estimate and other information that might be considered forward-looking. Throughout today's discussion we will present some important factors relating to our business which could affect those forward-looking statements. These forward-looking statements are subject to risks and uncertainties that may cause our actual results to differ materially from statements made today. As a result, we caution you against placing undue reliance on these forward-looking statements. We encourage you to review the discussion of these factors and other risks that may affect our future results or the market price of our stock detailed in our Annual Report on Form 10-K filed with the SEC in March 2019, along with any other subsequent periodic concurrent reports filed with the SEC. We are not obligating ourselves to revise or update these forward-looking statements in light of new information or future events.
With all that out of the way, I'll turn the call over to Mr. Jon Kessler."
Jon Kessler,0,"Thank you Richard, and thanks everyone for joining us on a lovely late spring day out here in Utah for our first quarter 2020 earnings call.
I will speak to Q1 operating results of key performance metrics. Our celebrity spokesman Darcy Mott will provide a more detailed review of our financial results and update our guidance. He is our CFO as well. And then Steve Neeleman will join us during the Q&A.
So looking first to the four key metrics that drive our business. HealthEquity continued the trend of outperformance on year-over-year measures of profitability and custodial assets, on top of robust revenue and HSA member growth.
Revenues of $87.1 million were up 25% year-over-year, adjusted EBITDA $38.9 million was up an even larger 31% year-over-year. HSA members at quarters' end reached $4.1 million, up 17% year-over-year and custodial assets at quarter's end grew to $8.3 billion up and even larger 21% from a year ago.
Custodial, interchange and service fees all exceeded our expectations. Strong gross margins resulted from a team effort to finish the annual busy season as well as it began in Q4. Adjusted EBITDA margins expanded by more than 230 basis points year-over-year to 45% and all of that occurred notwithstanding the ramping up of the investment program that Steve detailed on our last call.
The sales team also got off to a strong start. HealthEquity opened 89,000 new HSAs in the quarter. Custodial assets increased by $223 million or more than 3 times the growth seen in the comparable period a year ago. And that was the result of increased contributions as well as market gains. Invested assets grew 42% compared to last year. The number of HSA members investing was up 32%.
Although, there was no portfolio acquisition activity in Q1, the pipeline of smaller portfolio acquisitions, regained some health with the softening of the macro interest rate environment and we hope to have good results over the rest of the year. So we believe that HealthEquity continues to substantially outpace the market, our largest competitors and all of this adds up to a terrific start to FY '20.
What enabled this outperformance? We often describe HSAs as being at the intersection of four established industries: managed care, banking, retirement and benefits administration. Firms in each of these industries have chosen to partner with HealthEquity as part of a complete solution. Our focus on partnership, the proprietary technology that enables it and the Purple - and our Purple service culture are what makes HealthEquity unique relative to our largest competitors. One a health insurer, another a bank and a third an asset manager.
With our partners, HealthEquity has the tools and the incentive to meet every member and employer where they are today, establish trust and help them take the next steps in connecting health and wealth.
Q1 featured a number of interesting examples of the power of technology enabled partnership and Purple, that's a lot of peace. The team went live with the first integrated 401(k) HSA clients under our new retirement record keeper partnerships. We saw a strong year-over-year renewals and wins among employer clients associated with our health plan partners and we grew custodial margins despite the softer rate environment and that's thanks in part to the strength of our relationships with a dozen depository partners.
The investment and consumer directed benefits or CDB capabilities that Steve has talked about in the past, also saw promising early results during the quarter. HealthEquity grew its FSA HRA business by 4% year-over-year which we believe is ahead of the market and was essentially all taken from competitors and sold its first COBRA clients in partnership with benefits brokers and advisors seeking a single HSA-centric consumer directed solution for their clients and members.
To achieve our investment goals faster and to go further, HealthEquity also during the quarter proposed to acquire WageWorks a leading provider of FSA HRA, COBRA, commuter benefits and other CDB services to employers. Prior to making the proposal, HealthEquity acquired approximately 1.6 million shares of WageWorks common stock or about 4% of the company through open market purchases. We continue to evaluate this and other alternatives to accelerate our progress in connecting health and wealth.
Now let's return to the strong performance during the quarter upon which Darcy is here to shine a brighter light. Darcy?"
Darcy Mott,0,"Thanks Jon.
I will discuss our results on both the GAAP and a non-GAAP basis. A reconciliation of non-GAAP results that we discuss here to the nearest GAAP measurement is provided in the press release that was published earlier today.
I will first review our first quarter financial results of fiscal 2020 and then I'll provide an update to our guidance for the full fiscal 2020. Revenue for the first quarter grew 25% year-over-year to $87.1 million. Breaking down the revenue into our three categories, we continue to see growth in each of service, custodial and interchange revenue during the quarter.
Service revenue grew 8% year-over-year to $26.8 million in the first quarter. Consistent with the strategy we have outlined over the last five years, service revenue as a percent of total revenue declined to 31% in the quarter down from 36% of total revenue that it represented in the first quarter last year.
As custodial revenue has become more predominant, service revenue growth was attributable to a 17% year-over-year increase in average HSAs during the quarter, partially offset by an 8% decrease in service revenue per average HSA.
Remember HSA service fees are paid primarily by employers on behalf of their employees, and so by bringing these down over time, we deliver more value to our employer and network partners. As we indicated last quarter, we expect a decrease in service revenue for HSA to be towards the high end of our historical 5% to 10% guidance for fiscal 2020.
Custodial revenue was $42 million in the first quarter, representing an increase of 48% year-over-year. The increase was the result of the 21% growth in average custodial assets and a higher annualized interest rate yield on average custodial cash assets of 2.53% during the quarter compared to 2.04% in Q1 last year. We expect that the yield on custodial cash assets for fiscal 2020 will be in a range consistent with our first quarter approximately 2.5%.
Interchange revenue grew 10% in the first quarter to $18.3 million compared to $16.6 million in the first quarter last year. Interchange revenue benefited from the 17% year-over-year increase in average HSAs in the quarter, compared to the first quarter last year, offset by a decrease in spend per average HSA.
Gross profit for the first quarter was $57.8 million compared to $44 million in the prior year, increasing the gross margin level to 66% in the quarter from 63% in the first quarter last year. The higher gross margin was the result of the increasing mix to custodial revenue and a higher yield on custodial cash assets.
Operating expenses were $30.1 million or 35% of revenue compared to $23.8 million or 34% of revenue in the first quarter last year. Income from operations was $27.7 million in the first quarter, generating an income from operations margin of 32% during the quarter.
We expect that as the investments in sales, technology and development that were discussed in our March fourth quarter conference call continue to ramp up through the year, operating margins will be lower through the rest of fiscal 2020.
We generated net income of $41.8 million for the first quarter of fiscal 2020 compared to $22.6 million in the prior year. Net income included $17.9 million, net of tax of unrealized gain on the equity investment in WageWorks that Jon mentioned earlier.
Our GAAP diluted EPS for the first quarter of fiscal 2020 was $0.65 per share compared to $0.36 for the prior year. Excluding stock compensation net of tax, the tax impact of stock option exercises and the equity investment adjustment, our non-GAAP net income and net income per share for the first quarter of fiscal 2020 were $26.2 million and $0.41 per share. Our non-GAAP adjusted EBITDA for the quarter increased 31% to $38.9 million compared to $29.6 million in the prior year. Adjusted EBITDA margin in the quarter was 45%.
Turning to the balance sheet as of April 30, 2019, we had $329 million of cash and cash equivalents with no outstanding debt.
Turning to guidance for fiscal 2020, based on where we ended the first quarter of fiscal 2020, we are raising our revenue guidance for fiscal 2020 to a range between $339 million and $345 million. We expect non-GAAP net income to be between $83 million and $87 million. Non-GAAP diluted net income per share between $1.28 and $1.34 per share and adjusted EBITDA between $135 million and $140 million.
Our non-GAAP diluted net income per share estimate is based on an estimated diluted weighted average shares outstanding of approximately 65 million shares for the year. The non GAAP outlook for fiscal 2020 includes a projected statutory income tax rate of approximately 24%.
Before I turn the call back to Jon, I would like to highlight two items reflected in our guidance. First, now that all of this year's custodial cash deposits are placed in interest rate contracts, we expect our interest rate yield for the fiscal 2020 on the custodial cash assets to be in the range of what we reported in this quarter approximately 2.5%.
Second, as we have done in recent reporting periods our full year guidance includes a detailed reconciliation of GAAP and non GAAP metrics. This includes management's estimates of depreciation and amortization of prior capital expenditures and anticipated stock compensation expenses. But this does not include a forecast of stock option exercises for the remainder of the fiscal year and excludes any additional mark-to-market adjustments for our equity investment.
With that I'll turn the call back over to Jon for some closing remarks."
Jon Kessler,0,"Thanks to team Purple and our partners for a quarter in which you stayed focused and once again exceeded expectations. I want to close by mentioning that on June 19 we will briefly celebrate five years as a public company by ringing the NASDAQ opening bell, and then we turn our focus forward. We'll host an Investor Day from 10:00 am to 1:00 pm again also on the 19th at the NASDAQ market site in Times Square. If you would like to join us and have not done so already, please get in touch with Richard through our Investor Relations site. The entire HealthEquity leadership team Steve, Ted, Darcy and I, we all hope to see all of you there.
With that let's take some questions."
Operator,1,[Operator Instructions] Our first question comes from Jamie Stockton with Wells Fargo. Your line is now open.
Jamie Stockton,1,"I guess maybe the first one on the yield, because I know there'll be a lot of focus there. Darcy, the yield curve is obviously well inverted right now or at least part of it. Can you talk about as we kind of think about the cash that you're likely to put toward next year? Would you guys come in from a duration standpoint or a maturity standpoint on how long you're putting the cash to work to maybe enhance the yield that you would be getting versus the historical kind of three year-ish timeframe you've used? And if you did that, do you think you could get the same kind of let's say premium over where a comparable treasury is with a jumbo CD or with the partners not be willing to give you the same level of premium for a shorter duration?"
Darcy Mott,1,"Yes. Good question, Jamie. And we've talked about this before. Our approach to the placement of funds and the duration and the yields has been fairly consistent. We don't actually try to maximize the yield necessarily. What we're trying to do is deliver consistency and predictability and to manage the laddering off of custodial assets. As you know, every year we roll some of the expiring contracts into new contracts and we bring new depository agreements on every year.
And so generally we've followed this practice of - at the beginning of the year we're generally at about a three year duration and then it works its way down to closer to two years throughout the year. And then we kind of bump it back up into a three year duration. And so we are managing that at the same time, we're managing expirations that will happen in any given year.
We don't want to be caught in one year with a whole bunch of expirations and be limited to whatever the rates are at that particular point in time. So we have a great deal of confidence that that strategy has worked well for us in the past. It gives us a great deal of predictability, not only for to tell you what we expect to do on a revenue basis, but also on yields and on duration.
I would also add that as we go through this process, we have a great deal of confidence in the guidance that we've given today, because we have contracts in place that will cover capacity for the remainder of this year and going into January, yes, we'll add some more capacity and we'll roll some contracts.
But given the contracts that we'll roll and even given the current rate environment, if it remain even flat with what it's at - what our rate environment is today, we would still see an uplifting in going into 2021 as a result of new placements this next year. So we're confident in that approach. We like it. We like the laddering effect that it does and it's very easy for us to manage through that."
