speaker,q&a,content
Company Participants,0,"Lisa Li - Senior Manager, IR
Sammy Hsieh - Chief Executive Officer and Co-Founder
Jie Jiao - Chief Financial Officer
Terence Li - SVP, Finance"
Conference Call Participants,0,"Fawne Jiang - Benchmark
Darren Aftahi - ROTH Capital Partners
Bo Pei - Oppenheimer
Nelson Cheung - Citibank"
Operator,0,"Hello, ladies and gentlemen. Thank you for standing by for iClick Interactive Asia Group Limited's First Quarter 2019 Financial Results Conference Call. At this time, all participants are in listen-only mode. After management's prepared remarks, there will be a question-and-answer session. Today's conference call is being recorded.
I will now turn the call over to your host, Ms. Lisa Li, Senior Manager of Investor Relations. Lisa, please go ahead."
Lisa Li,0,"Hello, everyone, and welcome to iClick's first quarter 2019 financial results conference call. The company's results were issued earlier today and are posted online. You can download the earning press release and sign up for our distribution list by visiting the IR section of our website at ir.i-click.com.
Sammy Hsieh, our Chief Executive Officer and Co-Founder, and Jie Jiao, our Chief Financial Officer will provide an overview of the quarter and then we will turn the call over to Q&A.
Before we continue, please note that today's discussion will contain forward-looking statements made under the Safe Harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. Forward-looking statements involve inherent risks and uncertainties. As such, the company's results may be materially different from the views expressed today. Further information regarding these and other risks and uncertainties is included in the company's 20-F as filed with the U.S. Securities and Exchange Commission. The company does not assume any obligation to update any forward-looking statements, except as required under applicable law.
Please also note that iClick's earnings press release and this conference call include discussions of unaudited GAAP financial information, as well as unaudited non-GAAP financial measures. iClick's press release contains a reconciliation of the unaudited non-GAAP measures to the most directly comparable unaudited GAAP measures.
I will now turn the call over to our CEO and Co-Founder, Sammy Hsieh. Sammy, please go ahead."
Sammy Hsieh,0,"Thank you, Lisa. Hello everyone, and thank you for joining us today. We had a good start to 2019 with strong first quarter results despite a challenging macro environment. In addition to making significant progress with our Enterprise and CRM solutions, we achieved another quarter of record high gross profit and generated substantial growth in adjusted EBITDA. 
2019 marks iClick’s 10th anniversary and reflects on all the hard work to get us to this point. I am proud of what we have accomplished and excited about the company’s prospects as a fully integrated CRM and Marketing Cloud Platform. 
Terence will discuss our financial results in greater detail later in the call, but I would like to point out that generally speaking, our results in the first half of the year are historically, seasonally slower than the second half. This year, this seasonality has been compounded by extraordinary macro forces. That being said, I am very pleased with the robust performances we achieved and the traction we have made with our Enterprise Solutions business which I will now discuss. 
You may have noticed that in our earnings announcement, we broke out reference for our Enterprise Solutions and Marketing Solutions business for the first time. As you may recall, we launched the strategic growth initiative to provide SaaS-based Enterprise Solutions last year. 
The change in our reference reporting is reflect our progress in moving beyond the Online Marketing business as we have begun to generate solid contribution from Enterprise Solutions business. 
We took a big leap forward in Enterprise Solutions earlier this year with the acquisition of a controlling interest in Changyi, a leading independent software vendor that provide smart retail and CRM solutions with the capability of consolidating online and offline customer data. 
China is an inflection point with more offline business going online, while generating online traffic is getting more expensive. Brand marketers are eagerly looking for cost-effective ways to improve their sales performances. 
Therefore, managing relationship with customers during this transition is imperative and brand marketers are facing the challenging of integrating their online and offline customers’ data to generate useful insights for successful marketing campaigns, customer retention and increased sales performances. 
As China undergoes this significant digital transformation in smart retail, we believe that iClick is in the right place at the right time to help this business with our fully integrated Marketing and Enterprise Solutions which enable brand marketers to unlock the full potential of online to offline business. 
Earlier this month, we announced strategic partnership with BTG WELINK, the online servicing arm of Beijing Tourism Group and Tencent Holdings, China’s leading provider of internet value-added systems. 
The partnerships represent great opportunities for our Enterprise Solutions business as we help BTG establish a new customer relationship management system for a network that currently spans across more than 7,000 retail outlets including hotels, and lodging facilities, retailers, travel and transportation providers, restaurants, and caterers and entertainment venues.
Under the new partnership, customers of the BTG business who have assets to a wide range of mobile services powered by iClick and Tencent including reservation, quick pay, spending notification via the Official WeChat Account, Mini Programs and WeChat Pay et cetera, et cetera. With iClick’s integrated marketing and CRM Cloud Solution riding on Tencent ecosystems, we hope to support BTG to achieve more targeted marketing and equip BTG’s frontline staff with a more personalized customer servicing tool. 
We are pleased with the BTG partnership and consider this relationship to be a milestone achievement for our Enterprise Solutions. Additionally, we expect to see strong demand from a number of top-tier clients for our Enterprise Solution in the quarters ahead. We believe that iClick’s strength in data and technologies will help unleash the enormous potential of the smart retail market which is estimated to reach U.S. $8 trillion by 2022. 
Furthermore, we strongly believe that iClick is a natural fit for implementing a SaaS-based CRM solutions for three distinct reasons. The first one, we have ten years of experiences in advertising, marketing and data analytics, which clearly differentiate us from our peers. 
The second one, we provide an efficient total solution that allows marketers to target new customers and increase sales from existing customers. The third one, and iClick’s experienced account sourcing team have worked with more than 2000 top-tier accounts. 
Now that I have provided a robust picture about the early success and potential of our Enterprise Solutions business, I would like to discuss our core Marketing Technology business, which is always our bread and butter. We remain fully committed to view our core business where we foresee organic growth from the total addressable market. 
Last month, we announced a joint venture with VGI Global Media, a leading online to offline solution provider across advertising, payment, and logistic platforms in Thailand. The joint venture will give us better access to a geographic region with a rapidly growing digital market. 
Our ability to bring effective flexible and targeted mobile and new media products to the joint venture while at the same time, align with one of the most successful media companies in South Asia, open up the door to significant cross-border marketing and investment opportunities. 
Recently, we started take into China multi-channel network ecosystem, which has been expanding rapidly due to the growing significance of key opinion leader, marketing and brand communication in the country. iClick is poised to deliver an integrated marketing solution to local and international brands that supports both data-driven brand marketing and KOL marketing. 
We have established a network of over 300 mid and top-tier KOLs who are actively on Xiaohungshu, more commonly known as RED, one of the fastest growing integrated social media and e-commerce platforms in China with over 200 million active users. 
Moving forward, our priorities for our Marketing Solutions business are to continue to focus on the Chinese markets to generate stable organic growth and enhance profitability within that market while simultaneously expanding our geographic reach and collaborate with complementary platform such as VGI, when those opportunities arise. 
As we approach the second half of the year, we are cautiously optimistic about our outlook for growth due to the current macro environment supported by strengths and stability of our business model. We view ourselves as well positioned for continued top-line growth as our addressable market continues to grow rapidly.
In addition, our core competency in marketing technology and data capabilities set a great barrier to entry and there is huge potential for our Enterprise Solutions business and its ability to enhance gross margins. Our healthy balance sheet, coupled with an experienced management team and strong track record of execution from an excellent foundation from which we continue to aggressively seek opportunities. 
With this, I would now like to turn the call over to our CFO, Terrence Li to review the first quarter financials. "
Terence Li,0,"Thank you, Sammy, and hello everyone. I will start with a few key financial highlights for the first quarter. Please note that all figures given are in U.S. dollars unless otherwise noticed. 
During the quarter, revenue growth was solid. We generated another gross profit record and adjusted EBITDA improved both year-over-year and on a sequential basis. Importantly, we made significant progress in our Enterprise Solutions business which positions iClick for continued growth this year and into the future. 
As Sammy mentioned, given the importancy of our Enterprise Solutions business to the company’s future, we are now working out our revenue results between two areas. Marketing Solutions, and Enterprise Solutions is to provide you with a much better indicator of our ongoing evolution and how we are now looking at the business internally. 
We will no longer be providing revenue result for Mobile Solutions and other solutions in our earnings release, because Mobile Solutions always get a dominant 90% share of our marketing budget now and we expect that we will continue to grow and stay at a very high percentage. 
Total revenue grew 11% in the first quarter to US$39.2 million, from US$35.2 million last year despite of continued weakening of the Renminbi which negatively impacted the top-line, excluding the foreign exchange impact we could see how we grow trend in our top-line, on a currency neutral basis, total revenue ended increased by 19% to US$41.8 million. 
Revenue from marketing solutions grew to US$37.8 million for the first quarter of 2019, up 7% from US$35.2 million for the first quarter of 2018. On a currency-neutral basis, revenue increased by 15% to US$40.4 million for the first quarter of 2019, compared with the same period last year.
Additionally, we generated US$1.5 million in sales from our new Enterprise Solutions business. As a reminder, we began to see revenue from Enterprise Solutions in the first quarter of 2019. So there was no revenue from this business from last year’s first quarter. 
Gross profit once again improved to a record US$12.4 million, up 53% from US$8.1 million from last year’s first quarter. The growth was mainly attributable to contributions from our Enterprise Solutions business and an improvement in Marketing Solutions margin. 
During the quarter, we continue to invest in high margin new business in both Marketing Solutions and Enterprise Solutions. To drive adoptions, we increased marketing activities for both expanding the sales force and providing high incentives for sales personnel. As a result, our total operating expenses increased to US$14.6 million for the first quarter of 2019, compared with US$9.9 million for the first quarter of 2018. 
We expect to enforce further improvement with the good mix of high margin business will outpace the higher operating expenses increase in the short-term and ultimately be reflected positively in the bottom-line. 
Our balance sheet remains healthy with cash and cash equivalents at US$44.7 million as of March 31, 2019. We have no short-term investment deposits as of the end of March. As of December, 31, 2018, cash and cash equivalents equaled US$39.8 million. 
The rest of my discussion will focus on our non-GAAP results. You can find reconciliations of these non-GAAP results in the press release we posted earlier today and which can be accessed at our Investor Relations website. 
Adjusted EBITDA grew to US$538,000 from US$408,000 for the last year’s first quarter. We also improved from an adjusted EBITDA loss on a sequential basis. This improvement primarily resulted from a gross profit improvement and again through our ability to generate profits operationally on a sustainable basis. 
In addition, adjusted net loss attributable to iClick shareholders which excludes share-based compensation expenses, fair value losses on convertible notes and other gains narrowed to US$1.2 million for the first quarter of 2019 from an adjusted net loss of US$1.4 million one year ago.
You can find additional financial results in the press release we issued earlier today. I will end my prepared comments with our outlook for 2019 second quarter. Our revenue outlook is based on current market conditions and reflects our preliminary estimate of the market and operating conditions expected foreign exchange rate and customer demand, all of which are subject to change.
For the second quarter of 2019, we estimate revenue to be in the range of US$46 million and US$50 million, which would translate to growth of between 8% and 17%. On a currency-neutral basis, this would translate to growth between 15% and 24%. 
Gross profit margin expected to be between 26% and 28%. Based on current market conditions and assumptions, we are maintaining our full year guidance and continue to expect revenues between US$200 million and US$220 million and gross profit margin between 28% and 30% based on stable growth in Marketing Solutions and faster ramp up from Enterprise Solutions in the second half.
In closing, the online and offline marketing environment may still face challenges. But we believe that we are well positioned to continued growth and financial improvement in 2019. Our Enterprise Solutions business is adjusting significantly in China and iClick is expect to strongly benefit from providing effective and efficient solutions to marketers current challenges. 
We remain focused on becoming the CRM and marketing cloud of choices for global brands looking to capture significant opportunities with Chinese consumers. And we are looking forward to the continued healthy development of both our Enterprise Solutions business and our Marketing Services business. 
I would now turn the call back to Sammy for closing remarks. "
Sammy Hsieh,0,"Thank you, Terence. We are proud of our accomplishments in the first quarter, especially the progress we have made with our Enterprise Solutions business. In our 10th anniversary year, iClick will continue to move forward to become a fully integrated CRM and marketing cloud platform which has been a long-term goal for the company. 
There are tremendous opportunities for our company and we are in a solid position to continue to grow our business and take market share. 
This concludes our prepared remarks. Thank you for joining us on today’s call. We will now open the call to questions. Operator, please go ahead."
Operator,1,[Operator Instructions] Our first question comes from the line of Fawne Jiang from Benchmark. Please ask the question. 
Fawne Jiang,1,"Hey, Sammy, Terence. Thanks for taking my questions and congrats on a very solid quarter. My first question is actually regarding the gross margin or gross profit. It has been on a very positive trajectory. Just wonder whether you can elaborate on the drivers behind it as a more, in particular I think the margin, the different margin profile for your Marketing Solutions business and Enterprise Solutions front? 
And secondly, in relate to that clearly you had made a very solid heavy Enterprise Solutions part. Just wonder whether you can give us with more color on the pipeline in the coming quarters and how should that shape up into the guidance of second quarter and from a second quarter as well as for the full year? That will be helpful. "
Sammy Hsieh,1,"Okay, thanks for your questions. So I will let Terence to answer the gross margin question first and then I will address the second part on the pipeline and also a number of customers sign up on the Enterprise Solutions so far. Okay, Terence, can you give some color on the margin profile question?"
