speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen, and welcome to the Ideal Power Third Quarter 2018 Results Conference Call. Today's conference is being recorded. At this time, I would like to turn the conference over to Chris Tyson, Managing Director of MZ North America. Please go ahead, sir."
Chris Tyson,0,"Thank you and good morning. I'd like to thank you all for taking time to join us for Ideal Power's third 2018 conference call. Your hosts today are Dr. Lon Bell, Chief Executive Officer; Dan Brdar, BTRAN Chief Commercial Officer; as well as Tim Burns, the Company's Chief Financial Officer.
A press release detailing these results crossed the wires this afternoon at 8:30 a.m. Eastern today and is available on the Company's Web site idealpower.com. Following Management's prepared comments, we will open the floor to questions for those of you who are dialing in for today's call. Before we begin the formal presentation, I'd like to remind everyone that statements made on the call and webcast including those regarding future financial results and industry prospects are forward-looking, and may be subject to a number of risks and uncertainties that could cause actual results to differ materially from those described in the call.
Please refer to the Company's SEC filings for a list of associated risks. And we would also refer you to the Company's Web site for more supporting industry information. At this time, I'd like to turn the call over to Ideal Power's Chief Executive Officer, Dr. Lon Bell. Lon the floor is yours."
Dr. Lon Bell,0,"Thank you, Chris, and welcome everyone to our third quarter 2018 conference call. The third quarter of 2018 was highlighted by our largest installation in company history with BCI in China. This high-profile demonstration project is now being commissioned, and creates the opportunity for additional solar-plus-storage installation in the region. Our BCI win represents our first large scale deployment of a solar-plus-storage solution in the Chinese market. We are encouraged to see a large international market such as China embrace solution utilizing solar-plus-storage.
Our partnership with NEXTracker continues to move forward. And in October, we shipped our second largest single site installation in our history of NEXTracker for a SunDial Plus solution. During the third quarter, we commenced shipping in a new vertical EV charging for stability power conversion systems.
We shipped additional systems, eCAMION for a network of EV class charging stations in Canada. In the same market vertical, we also shipped additional units to Coritech as their OEM supplier for their electric vehicle by directional DC chargers. Most notably, we shipped over 500 kilowatts of stability PPS for inclusion in Sharp SmartStorage behind the meter energy storage system. Unfortunately, due to a delay in timing of the NEXTracker project, the shipment was moved from the third quarter to October. And we will recognize revenue from this project in the fourth quarter 2018. This product delay was the primary reason for our lower sequential revenues in the third quarter of 2018. We expect similar revenue in the fourth quarter of 2018 with revenue growing in 2019. I'll provide additional updates on these customer activities later during the call.
As a result of the slow and sporadic growth in commercial energy storage, we are focusing on tightly restricting our cash usage. We believe the right path in energy storage is the integration of our flexible PPSA technology into a full energy storage system with a focused approach to the market. We are in discussions with company that can either bring PPSA into their company as part of a fully integrated technology offering or working with parties that can provide nonrecurring engineering funding for application specific product to our customer. This effort is something that we have worked on and are continuing to develop. While we can't go into much detail, the last few weeks have proven to be productive in this front. We are looking forward to providing an update on this front in the weeks to come.
Now let's discuss in more detail our power conversion system division. First, start with solar-plus-storage. During the third quarter installation was completed for the two-megawatt project I mentioned earlier with BCI and BCI is a global leader in mechanical construction, design, engineering, and global manufacturing. BCI is the engineering procurement and construction contractor for a high-profile demonstration project in China to integrate ideal power SunDial Plus inverters and then advanced solar-plus-storage solution into the first large scale deployment of its kind.
As I mentioned earlier, this represents our first large scale deployment of a solar-plus-storage fluids in the Chinese market and we are encouraged to see a large international market such as China Embrace Solutions utilizing solar-plus-storage. We expect to provide additional updates on this project later this year as BCI is currently expecting to completing commissioning of the system in the fourth quarter. The successful commissioning of this high-profile demonstration project could lead to material follow-on purchase opportunity.
In October, we shipped a 1.1-megawatt order from NEXTracker for a power plant at the Maharishi University of Management or MUM in Fairfield, Iowa, a state that according to the National Renewable Energy Laboratory has relatively high demand charges, typically above $20 per kilowatt. This project will represent the first large scale deployment of the NX Flow integrated solar-plus-storage system by NEXTracker. The project is expected to produce enough energy to cover nearly a third of the university's annual electric usage and we use peak shaving to significantly reduce month's utility bill during high demand time.
Based on recent discussions with NEXTracker, the estimated installation timing of the large projects in their pipeline is generally early to mid-2019 and next subject is electric vehicle charging. During the third quarter, we shipped additional stability multi-port power conversion systems to eCAMION for use in their electric vehicle fast charging stations. They will construct a network of 34 stations across the Trans-Canada highway beginning in 2019.
eCAMION is a privately held provider of modular smart energy storage solutions that finds innovative uses in community storage, EV charging, auxiliary power unit and storage for renewable energy projects as well as in custom applications. The project is designed to encourage the adoption of electric vehicles and Canada entails and investment a $13.6 million and is being partially funded by a $6.2 million repayable contribution from the National Resources Canada under the Canadian Energy Innovation Program. We also shipped additional units to core tech services as the OEM supplier of power electronics for their product line of bidirectional DC chargers for electric vehicles in the United States.
Coritech, VGI 30 charger is compliant with both the SAE CCS North American charging standards as well as the corresponding standards in Japan with its bidirectional charging capability the VGI 30 allows an electric vehicle to provide reverse power flow back to the grid, also known as vehicle-to-grid or V2G.
Turning now standalone storage, moving to standalone storage we shipped 500 kilowatts of our power conversion systems for sharp standalone storage installation. We are encouraged by the increased pace of installation and start -- and sharp storage business that began with the 1.1-megawatt order for a solar-plus-storage project in California School District that we receive late last year.
Smart storage behind the meter energy storage system reduces peak demand usage for commercial and industrial buildings. Sharp's energy system business was previously rated by Navigant research as a top 10 distributed scale energy storage system integrator for the U.S. market and it has an active project pipeline in excess of 60 megawatts of commercial and industrial storage installations in U.S. We see continued evolution of business models and participants, as system integrators respond to market conditions. The most recent example of this is the purchase of sharp smart storage by Manta Energy.
Manta Energy formally fluidic energy designs, manufacturers, and markets energy storage solutions globally, providing reliable backup power to critical wireless infrastructure roll electrification, microgrids, and distributed commercial and industrial energy management systems, adding Sharp sizable on world-class energy storage business to the Manta energy service portfolios and important step in their mission to accelerate the worldwide transformation to plain reliable energy to intelligent energy storage solution. The acquisition of Sharp's energy systems business and the smart storage brands immediately create a foothold for Manta energy in the U.S. particularly an important California market.
Manta energy will continue to promote the smart storage system, the technology and software capabilities. So the smart storage products are complimentary to Manta energy proved -- proven technology and product and telecom and microgrid markets and enable them to become a leader not only in behind the meter applications, but also in the broader stationary energy storage market. Sharp is what's been one of ideal customers longest repeat customers and we look forward to building those relationships and those efforts to continue with the team at Manta energy.
In addition, we have now shipped over one half of a megawatt of our stability PCS this year to Amber Kinetics and International Energy Storage Company focused on flywheel technology. Amber is a new customer for us, this new vertical is another example of versatility for our technology paired with other storage technology.
We will provide more details on Amber Kinetics once we begin commissioning system, later this year at the project side from the Philippines, Nigeria, Quebec, and Taiwan. While recent project sizes have grown considerably. The market for our sub systems for commercial energy storage has not developed to the point where it is producing regular order flow. It is still a lumpy business for us.
Conclusions on PPSA, the BCI and NEXTracker installation, along with a previously announced 35-unit order from Sharp for a school district in California, we will provide valuable operating data from large multi-unit sites that cannot be replicated laboratory in the laboratory and file environment. With installations in China, St. Croix, Africa, Canada, and the other previously mentioned sites.
Our PPSA, these products are offering in a wide variety of climates, grid conditions and applications from standalone energy storage, to solar-plus-storage to microgrids. This diversity of demand real-world operating conditions is helping to evolve our product designs to mature our new technology.
In terms of our PPSA Patent Estate, we now have 43 issues. PPSA Patent with five of those patents issued outside the United States, including coverage in China and Europe. In addition, our pending PPSA patent for a portfolio includes nine patent filings and will potentially provide coverage in India.
In conclusion, the third quarter represented a quarter of active exploring of new business model that incorporates our PPSA technology into an integrated storage system offering with a broad market focus. This will require a partnership with another organization to execute and we are pursuing discussions with multiple parties.
I'd like to now hand the call off to Dan Brdar to discuss our highlights from our B-TRAN division. Dan?"
Dan Brdar,0,"Thank you, Lon. Our B-TRAN division made notable operational progress highlighted by producing wafers to our collaboration with the university wafer prototyping facility.
In addition, we upgraded our wafer testing equipment for our Austin, Texas engineering labs to test these prototype wafers and second-generation prototypes being produced by our commercial fabrication partner. I'll drill down more on these items shortly, but I want to quickly provide an overview of our disruptive solid-state switch technology B-TRAN for those who are new to the value power of storage.
B-TRAN is a bidirectional low loss power switch that offers the potential for reduction in conduction and switching losses of 50% to 90%. Depending on the device design and configuration, today, we have produced two double sided versions of the device. The first version and the focus of our current efforts is what we refer to as the standard B-TRAN, it's a thicker double side die with fewer features, making it simpler and quicker to fabricate requiring about one-third of the manufacturing process steps as the full feature device. Since it is thicker, it also does not require the complex wafer bonding and de-bonding process steps to handle and process both sides of a very thing wafer. The standard B-TRAN has the potential to reduce switching and conduction losses by more than 50% compared to conventional power switches. This level of performance was validated, and our most recent testing. The second version is the full feature B-TRAN, which is thinner with more complex features and has the potential to reduce switching and conduction losses by more than 90%.
Both B-TRAN designs have addressable markets for the respective performance levels, and both versions can be made with conventional silicon manufacturing fabrication equipment. Based on our manufacturing success and early performance data on the standard B-TRAN, we are already partnering with third parties to pursue government funding for further B-TRAN development and demonstrations and critical applications to showcase its performance.
Increased energy efficiency and advanced semiconductor development are considered critical objectives in the core R&D programs within the Department of Defense, Department of Energy, National Science Foundation, and other related agencies. Ideal Power in collaboration with application partners can bring a unique high-performance solution that addresses many of the efficiency and semiconductor development objectives for these federally funded programs.
In addition, B-TRAN leverages the existing semiconductor infrastructure of silicon power switches, providing a clear path to technology commercialization and a area where many government funded development programs stop.
During the quarter, we collaborated with other organizations to miss, to submit the first of what we expect to be several multi-million-dollar proposals intended to demonstrate the performance potential with B-TRAN and high value applications we are specifically targeting applications where B-TRAN can become an enabling technology to address power control and conversion applications not satisfied by conventional power switching technologies. But it's too early to tell what level of support we can capture.
Our efforts are raising the awareness of B-TRAN to potential uses of the technology and creating an ecosystem of application partners and potential market channel partners. Also, our collaboration with the university wafer prototype facility has curated and double-sided wafers that will undergo testing in the coming weeks. These devices include a variety of die designs enabling us to explore variations in the B-TRAN design and assess their manufacture ability and impact on device performance. We also initiated production of larger quantities of wafers at our new domestic semiconductor fabricator for our standard, B-TRAN design incorporating the learning from earlier wafers produced at the university prototype fabrication facility.
We did this to enable us to complete prototype fabrication runs more quickly by using smaller diameter wafers for our development efforts. The use of smaller wafers avoids the complexities of handling and processing both sides of thin, large diameter wafers. This result in faster production runs, much fewer manufacturing, processing steps, and most importantly, significantly lower technical risk.
In addition, in preparation for being able to evaluate larger volumes of prototype devices, we also upgraded our equipment to be able to conduct automated wafer testing in our engineering lab. This equipment will allow us to test a full wafer of B-TRAN dies of various designs prior to taking further steps in the manufacturing, packaging, and device testing process. This will shorten the time it takes to get device manufacturing and initial performance data into our development activities, shortening the longer-term development process.
With respect to our B-TRAN Patent Estate, we now have 41 issued B-TRAN patents, with nine of those patents issued outside of the Untied States, in China, Europe, and Australia. Our pending B-TRAN Patent portfolio includes approximately 35 patent filings, and will potentially provide coverage in Japan, South Korea, and India.
In summary, we continue to see significant commercialization potential in our proprietary B-TRAN technology. We expect to have laboratory engineering samples of packaged devices, complete with the device driver, with which we will perform more comprehensive characterization, and we'll begin sharing this information with target customers and potential strategic partners for their evaluation in late Q4 or early 2019.
I'll now turn the floor over to our CFO, Tim Burns, to discuss the financial results. Tim?"
Tim Burns,0,"Thank you, Dan. I will run through the third quarter 2018 financial results. Revenue for the third quarter was $300,000, a decrease of 45% compared to the preceding quarter, and down from $400,000 in the third quarter of 2017. This decrease in revenue in the third quarter of 2018 was primarily due to the rescheduling of a large SunDial Plus shipment to October, and lower sales of our Stabiliti product as we were faced with supply chain delays caused by extended wait times for electronic components. Gross margins were negative 61% in the third quarter of 2018, compared to positive 6% gross margins in the third quarter of 2017.
In the third quarter of 2018, gross margins were impacted by an unfavorable adjustment to the company's product warranty accrual, and higher component costs partly due to tariffs. Research and development expenses decreased 21% in the third quarter of 2018, to $900,000 from $1.1 million in the third quarter of 2017. The decrease was due primarily to the impact of cost reduction activities, including lower personnel, development, and certification costs, as well as the timing of semiconductor fabrication expenditures. For the balance of 2018, we expect a modest increase in research and development spending on the B-TRAN, and relatively flat research and development spending on our more mature PPSA technology.
SG&A was flat, at $1.2 million in the third quarter of 2018, as compared to the third quarter of last year. The impact of cost reduction activities was offset by higher legal fees and consulting costs due to the evaluation of strategic alternatives. We continue to see the positive impact of the cost reduction program we began implementing in the second quarter of 2017, accelerating our path to cash flow breakeven. As noted, the cost reduction program aligns with the product roadmap simplification efforts that we communicated in 2017, including our focus on our 30 kilowatt product families.
The benefits from this cost reduction program were demonstrated again in the third quarter, as we reported a cash burn of $1.4 million, 13% lower than during Q3 of 2017. Operating expenses for the third quarter of 2018 totaled $2 million, yielding a net loss of $2.2 million or $0.16 per basic and fully diluted share. On September 30th, our balance sheet included $5.5 million in cash and cash equivalents, and no debt.
In summary, we experienced a low quarterly cash burn rate of $1.4 million due to aggressive cost-cutting initiatives. Cash used in operating activities for the nine months ended September 30, 2018, was $4.3 million, compared to $5.9 million in the nine months ended September 30, 2017, a reduction of 27% year-over-year. The combination of the impacts of our cost reduction plan, continued, strong cash management and no debt provided Ideal Power with a stable financial runway well into 2019.
I will now turn the call back over to Lon for closing remarks. Lon?"
Dr. Lon Bell,0,"Thank you, Tim. To conclude, the B-TRAN division is progressing to having prototype devices available for customer sampling. And in the PPSA division, we have entered into strategic discussions which utilize our PPSA as part of a fully integrated system offering. We believe the level of interest is encouraging, and look forward to communicating additional details in the coming months.
At this time, I'd like to open the call to questions from our listeners. Operator?"
Operator,1,"Thank you, sir. [Operator Instructions] We'll take our first question from Colin Rusch with Oppenheimer. Please go ahead."
Colin Rusch,1,"Thanks so much. Guys, can you give us a sense of how long these strategic discussions have been underway, just wanted to get a sense of maturity on that, and how quickly something might come to fruition?"
Dr. Lon Bell,1,We've had strategic discussions underway for about two-and-half months at this point.
Colin Rusch,1,"And are you getting to the point where you've got real plans in place that you're discussing or really a more, I guess I would call it, more in the abstract about potential collaboration?"
