speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by. Welcome to the Ituran Third Quarter 2018 Results Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. You should have all received by now the company’s press release. If you have not received it, please contact Ituran’s Investor Relations team at GK Investor & Public Relations at 1-646-688-3559 or view it in the News section of the company’s website at www.ituran.co.il.
I would now hand the call over to Mr. Kenny Green of GK Investor Relations. Mr. Green, would you like to begin?"
Kenny Green,0,"Thank you, operator. Good day to all of you and welcome to Ituran’s conference call to discuss the third quarter 2018 results. I would like to thank Ituran’s management for hosting this conference call.
With me today on the call today are Mr. Eyal Sheratzky, CEO; Mr. Udi Mizrahi, Executive CEO, and Mr. Eli Kamer, CFO. Eyal will begin with a summary of the quarter’s results, followed by Eli with a summary of the financials. We will then open the call for the question-and-answer session. I would like to remind everyone that the Safe Harbor statements in today’s press release, also covers the contents of this conference call.
And now, Eyal, would you like to go ahead please?"
Eyal Sheratzky,0,"Thank you, Kenny. I would like to welcome all of you and thank you for joining us today. We are pleased with both the financial results of the third quarter as well as the significant strategic progress that we made in the quarter. Of course, I would be happier if the currencies would not move against us, but this is something well out of our control. While I will start with a brief general discussion of the financial results, I want to stress that our company today, in the fourth quarter of 2018 looks very different to what this roll number present.
As you all know, we closed the acquisition of Road Track Holdings in mid September, the last 2 weeks of the third quarter, so while it had a significant impact to our balance sheet, there was a minimal impact to the P&L of the third quarter. However, currencies and primarily the weakness of the Brazilian real before the elections and the Argentinian peso had a very significant impact on the translation from local currencies in which operates the U.S. dollars, which is our reporting currency on our P&L. In addition, the New Year holiday season in Israel, which fell in the third quarter fully this year, while it was divided between Q3 and Q4 last year, also had a negative impact meaning that in Israel, our business would experience a relatively weaker Q3. However, the fact that our gross operating and net margins throughout the P&L are at good levels shows that our underlying business is healthy and is a demonstration of the inherent leverage in our business model. As our subscriber base continues to grow, we can bring more of the revenue down to the bottom line. Eli will discuss the third quarter financial results in a few minutes.
Since mid September, we have been working hard to integrate Road Track into Ituran. As you know, Road Track has been our partner in our Brazilian joint venture, IRT, for a number of years. IRT has an OEM agreement in Brazil and Argentina with one of the world’s major auto carmakers providing their customers with telematics services on various new car models they sell for the first 6 months. Until the acquisition closed, we were not the majority owner in IRT. So we didn’t consolidate the results into our own and did not include the subscriber in our reported subscriber numbers. After consolidating the share, IRT subscribers as well as the new subscribers we gained from our acquisition which together amounted to a little over 0.5 million subscribers. Ituran now has well over 1.7 million subscribers.
While our subscribers were predominantly in Israel and Brazil with a portion in Argentina and the U.S., we now also have subscribers in Ecuador, Mexico and Colombia. As the largest global independent telematics company, we now also had a much stronger platform to penetrate additional car manufacturer OEMs beyond the two that we are already working with. Beyond that, the acquisition gives us many potential areas of synergies to grow our business. It bring us the ability to grow and penetrate with our services into new countries in which we previously didn’t have foothold. In fact, we are already looking to launch additional services in our new geographies.
In summary, we are pleased with our business performance in the third quarter as well as significant strategic steps that we took and we look forward to continuous growth over the quarter and years to come. I will now hand the call over to Eli for the financial review. Eli?"
Eli Kamer,0,"Thanks, Eyal. The acquisition of Road Track was closed on September 13, 2018. So there was minimum impact on the consolidated profit and loss statement, but the balance sheet and subscriber base as of the end of the quarter does include the full impact of the Road Track acquisition.
Revenues for the third quarter of 2018 were $53.4 million compared to revenues of $60.6 million in the third quarter of 2017. 73% of revenues were from location based services subscription fees and 27% were from product revenues. Between Q3 2017 and Q3 2018 the weakening against the U.S. dollar of the Brazilian real which lost 25% of its value as well as the Argentinian peso which lost 84% of its value significantly impacted the U.S. dollar values of our revenues, gross profit, operating profit and net profit.
Revenue breakdown for the quarter was $39.1 million coming from subscription fees versus $43.8 million last year and product revenues were $14.3 million versus $16.8 million last year. In local currency terms, subscription revenue grew 3.4% year-over-year while product revenues fell 13% year-over-year. The geographic breakdown of revenues in the third quarter which also includes 2 weeks of Road Track’s results was as follows: Israel 52%; Brazil 37%; and the rest of world 11%.
Gross profit for the third quarter of 2018 was $28.9 million amounting to 54.1% of revenues compared with $38.5 million to 50.4% of revenues in the third quarter of 2017. The gross margin in the quarter on subscription fees were 65.3% compared with 66.7% in the same period last year, while the gross margin on products were 23.4% compared with 7.6% in the same period last year. While due to the mix, the gross margin on product sales this quarter was higher than usual and in the past few quarters, it was lower than usual, we expect the rate to generally average at the 10%, 15% rate.
Operating profit for the third quarter of 2018 was $13.7 million compared with an operating profit of $13.9 million in the third quarter of 2017. In the local currency terms, operating profit grew 15%. During the quarter, Ituran had a one-time other income of $13.8 million. It was related to an accounting gain from an acquisition following the gains of control of the Ituran joint venture that Ituran has with Road Track Holdings in Brazil and Argentina which under GAAP rules, it accounted for the market value and was therefore re-evaluated. The total gain is net of the transaction related expenses.
EBITDA for the quarter was $17 million representing a margin of 31.8% compared to the EBITDA of $17.4 million in the third quarter of 2017 representing a margin of 28.7%. In local currency terms, the EBITDA increased 13%. Net profit was $26.1 million in the third quarter of 2018 or fully diluted EPS of $1.24. This is compared with a net profit of $10.5 million or a 17.4% of revenues which is fully diluted EPS of $0.50 in the third quarter of 2017.
Cash flow from operations during the quarter was $14.8 million. As of September 30, 2018, the company had cash including marketable securities of $57.4 million. The company also had short and long-term debt of $84.9 million. On a net basis, the net debt of the company was $27.5 million compared with a net cash of $40.4 million as of December 31, 2017.
Let me also provide you with our pro forma numbers in order to help you understand how to model Ituran following the acquisition. Our pro forma numbers consolidate Road Track’s numbers from the beginning of 2018. The consolidated non-GAAP pro forma revenues for the first 9 months of 2018 were $217 million. Operating income was $59.2 million and net profit was $41.9 million. When assuming the constant exchange rates which is based on the average rate of 2017, our pro forma revenues were $286.8 million, operating income were $65.9 million and net profit were $46.6 million. For the third quarter, a dividend of $5 million was declared in line with the company’s dividend policy. The dividend’s record date is December 26, 2018 and the dividend will be paid on January 9, 2019. Net of taxes and levies at the rate of 25%/
And with that, I would like to open the call for the question-and-answer session. Operator?"
Operator,1,Thank you. [Operator Instructions] The first question is from David Kelley of Jefferies. Please go ahead.
David Kelley,1,"Good morning. Thanks for taking my questions. Just a couple of quick ones. And I think you referenced maybe a little over 0.5 million subscribers in the quarter from Road Track, but just wanted to a) double check on that number and maybe if you could give us the underlying subscriber growth for the core business for the quarter? That would be great."
Eyal Sheratzky,1,"Actually, since this is the first quarter that we are consolidating the Road Track subscribers which overlapping some of our subscribers from the JV that we didn’t publish in the past and thanks to competitive situation. We will from now on provide the total changes in subscribers only in – like in the past only in the annual reports we will differentiate between geographies and this is a quarter which is a bit foggy, but from the next what you will see the changes that will happen through the quarter, we will never divide it between different segment and it’s what we are advised to do."
David Kelley,1,"Okay, great. I understand. Well, thank you. And I guess another follow-up, could you provide a little bit more color on the big jump in the product sales gross margin. I think you referenced it should normalize somewhere in the 15% range, but I guess what with the product mix, regional mix what drove the big jump in the quarter and how soon should we see that kind of down shift back to that normalized margin rate?"
Eyal Sheratzky,1,"As we saw in the past, the product mix between quarters and between seasons along the year and just reminding you that most of the product sales are done in Israel. In the future of course, we will have product sales from the Road Track segments. But regard Israel, the mix of product seasonality and in this case, even declining in sales because of the holidays still on the margins, we had a mixture, which allowed us to have a high gross margin. Just to be clear, this does not represent a constant gross margin, as well as having some quarters with a 5% is not constant. I would like to look on something around 15% as an average gross margin for the product line."
David Kelley,1,"Okay, great. Thank you. I appreciate you taking my questions."
Eyal Sheratzky,1,Thank you.
Operator,1,The next question is from Sasha Karim of IPI. Please go ahead.
Sasha Karim,1,Hi. Could you please give us the rough organic growth rate for Road Tracks business in the third quarter?
