speaker,q&a,content
Operator,0,"Thank you and good afternoon everyone. Thank you for participating in ImageWare Systems Third Quarter Financial Results and Corporate Update Call to highlight the company's progress since its last quarterly update in August.
Joining us today are ImageWare Systems Chairman and CEO, Jim Miller; and the company's CFO, Wayne Wetherell. Following the remarks, we'll open the call for questions.
Any statements made on this call that are not historical facts are forward-looking statements as defined in the U.S. Private Securities Litigation Reform Act of 1995. Words such as anticipate, believe, estimate, expect, forecast, intent, may, plan, project, predict, if, should, and will, and similar expressions as they relate to ImageWare Systems Incorporated are intended to identify such forward-looking statements.
ImageWare may from time to time, publicly update these forward-looking statements, but it is not obligated to do so. Any projections of future results of operations should not be construed in any manner as a guarantee that such results will, in fact, occur. These projections are subject to change and could differ materially from final reported results.
For discussion of such risks and uncertainties, please see Risk Factors in the ImageWare's Annual Report on Form 10-K for the fiscal year ended December 31, 2017. Its quarterly report on Form 10-Q for the quarter ended September 30, 2018, and other reports filed with the Securities and Exchange Commission under the Securities through Exchange Act of 1934 as amended.
Readers are cautioned not to place undue reliance on these forward-looking statements, which speak only as of to-date on which they are made.
I would like to remind everyone that this call will be available for replay starting at 7:30 p.m. Eastern time tonight. A webcast replay will be available for 90 days on the company's website at iwsinc.com. Any redistribution, retransmission, or rebroadcast of this call in any way without the expressed written consent of ImageWare Systems Incorporated is strictly prohibited.
I'll now turn the call over to Wayne Wetherell, CFO. Please go ahead."
Wayne Wetherell,0,"Thank you, operator, and welcome to those of you joining our call today.
Our quarterly financial results are available in the recently published news release and on the Form 10-Q. The context on today's call, I'll provide a brief summary of those results.
Revenue for the third quarter of 2018 totaled $736,000, that's down 32% from $1.1 million for the same quarter of 2017. The decrease was attributable to lower identification project related revenue of approximately $271,000 and lower royalty revenue of approximately $63,000.
As we stay in the past, our government revenue is subject to significant swings due to the nature of the government project business. Gross profit for the quarter was $576,000 as compared to $853,000 in the same quarter of 2017. Gross margins decreased a 78% in the third quarter compared to 79% in 2017.
The third quarter net loss was $3.5 million compared to $2.4 million for the same quarter in 2017. Net loss per share for the quarter was $0.04 compared to $0.03 in 2017. We ended the quarter with cash of $9.1 million. This concludes my financial review, I'll now turn the call over to Jim for the progress update on our business strategy."
Jim Miller,0,"Thanks, Wayne. Good afternoon to everybody. And I appreciate the opportunity to speak with you all today and provide you an update on our marketing and sales efforts as well as those of our partners. But first, for those of you who'd like to know more about our biometric technology and learn about what our game-changing patented multi-factor, multimodal technology does and how it's different from and superior to other competing technologies and why it's needed. I invite you to either visit our website at iwsinc.com or contact our IR team directly to discuss.
I'll begin with an update on projects previously discussed before I address new opportunities that have come to us since our last call. It's important to keep in mind that updates and expectations regarding our partner projects come to you by way of what information and expectations our partners provide to us.
Our partners tell us what they expect at any given time in the life of a project and in the interest of transparency. We share that information where we can with our shareholders. Unfortunately, in some cases, they've been off on their timing. Much of that is understandable as there are numerous moving parts in several layers of management in any purchasing decision particularly one involving new technology.
Regrettably, when they are off it leaves the IWS management team looking [that] as well as if we missed the mark. That said, we continue to believe in the partner model as given our size and number of employees, it's the best way to approach global markets.
Now on our August conference call, we discussed the award granted by the veteran's administration to our partner Four Points were $3.6 million multiyear order for services and licenses in connection with the biometric authentication system deployed by the VA. We continue our service to the VA, one of our largest and longest customers while we discuss their needs for additional licenses and growth of the system.
By way of our partnership with Fujitsu, we’ve received an order from a Canadian financial institution for our GoVerifyID product. Since the completion of the agreement, we have begun the install process which will lead to the enrollment of identities in the biometric authentication system in December.
Updating you on the pending Fujitsu service now helped us product as mentioned before we are comfortable for this is an extremely large piece of business with the base in the 100s of millions of potential customers. In order to ready the Fujitsu branded services now product for the market, the product must be tested and certified.
This is a rigorous process that runs the new product through its paces and certifies that it meets standards for sale and will be interoperable with a large number of other software products used by the customers. When that work is satisfactorily completed and retested, there will be a product announcement and Fujitsu will begin offering service with our embedded GoVerifyID technology.
Thus offering a smoother and more secure user helpdesk experience at a meaningfully discounted price to the customer. We are advised at this sales effort will start in this quarter. Our partner, CDW, tells us it'd expect to complete several new GoVerifyID additional sales in this quarter as well.
Our work continues with one of IBMs largest ISAM customers, last quarter we told you that we'd advanced to the procurement discussion stage and for the moment, that is where that discussion remains. More recently, ForgeRock, a leader in identity and access management and ImageWare announced the partnership that involved the integration of our GoVerifyID product which allows for both two and three-factor authentication into the ForgeRock identity management platform.
At a major industry event, Identity Live, just two weeks ago in London, ForgeRock debuted our product fully integrated into their identity management platform which allows their customers to quickly and easily obtain the security advantages of additional authentication. We in ForgeRock are now working together to follow-up on the significant interest from that event as well as target specific ForgeRock customers with two and three-factor authentication needs.
Now, some of you have wondered why it is that a longtime pioneer in biometrics is now offering the frankly lesser security of two-factor authentication. Simple reasons, first we've always offered two-factor authentication on our products, so why not make sure all of our customers know this.
Second, some customers are hesitant to jump right into biometrics, after all it's a big change from over 50-years of passwords and pins. So, two-factor authentication offers an easy first step into the journey towards more secure authentication of your identity and with the IWS platform we can start a customer on two-factor authentication or 2FA as we call it and graduate them to full biometric authentication in one very easy step and all on the same platform.
Finally, and bluntly, we all saw the $2 billion plus valuation given to a two-factor company in recent acquisition by Cisco. We however, can take our customer on this authentication journey by supplying first steps with the ability to seamlessly and effortlessly upgrade to full biometric authentication.
Because we have all these capabilities on the IWS platform, a customer can move from two-factor to full biometrics with a literal flip of the switch, a capability not provided by anyone else in the market. And two, and two or three-factor, the customer gets the same highly scalable authentication enjoyed for a number of years by our government customers such as the state of Arizona, the Canadian TSA and the VA.
Turning to the burgeoning healthcare market which is expected to support a higher per person per month price point at the end of our first quarter Fujitsu announced that it had expanded our sales and marketing agreement and was bringing their MedClick platform into the market. MedClick is an OEM version of our FDA approved pillphone product for biometrically secured patient engagement, medical adherence, and authentication of e-prescription ordering and clinical trial.
In Q2, we told you that we and Fujitsu had successfully integrated MedClick into the Epic electronic healthcare application. The Epic electronic record solution for healthcare provides records for over 200 million patients. So, we're very excited about the ability to market MedClick into this space. In Q2, we also told you that Fujitsu had just commenced its marketing and sales activities to add resellers who will target the chronic disease management markets with the product.
The Q3 update is that we are told that MedClick is being well received. Fujitsu is working on securing a reference customer for the product and is having discussions, senior management types in various companies to secure that vital reference account which can then be used to drive additional sales.
Turning to our partners at Contactable, we have executed a 5-year license agreement with them and tomorrow you will see an announcement about our new product for on-boarding which is based on our agreement with them. This is not only fills a hole in our product offering but opens up a very lucrative market segment for our product. As many companies desire identity verification prior to enrolling in identity into a consumer or enterprise database.
Now, with this new product, we can offer confident assurance that the individual who enters our customers database has their identity validated against the government issued ID. We could also offer customers the service of a digital vault to biometrically protect important documents and to facilitate digital transaction, all of this seamlessly integrated into our GoVerifyID product.
More importantly, we can create for all users a secured digital identity that is compliant with the new GDPR requirements, compliant with new banking requirements and allows the individual who created that fully invented identity to use it in a federated fashion. That is, with other merchants, governments or service providers or and this is really important: remove that identity from use all together by revoking its use.
This identity can be created face-to-face in a brick & mortar location or done mobile'ly via use of a smart device. We are already engaged in several exciting discussions about its use and you will be hearing a lot more from us about this exciting new product. In our last call, we also talked about a new market. The internet of things. Defined as a group of standalone devices controlled or monitored from a remote location, which market is larger than any of the individual markets we have been selling into.
We are at work with several companies in this space ForgeRock among them and here we're also completing an exciting new product that will work to add biometric and device authentication in the IoT space. You'd be seeing a lot more from us on that in the coming weeks. As you saw from our public announcements, we were awarded a $2.7 million agreement from IBM Canada for software that will be used for building the next generation identity management system for the Canadian government.
Work has started on that project and there will be revenues in this quarter. We're also pleased that IBM has asked us to consider other opportunities where we can sell in market other IWS products alongside of them as well. Some of you may have seen recently an announcement from Fujitsu and Microsoft regarding their agreement that Microsoft will resell Fujitsu software as a service products on the Azure Cloud platform.
And going forward, the plan is to include biometrics as a service in that group. Microsoft has not historically offered a cloud-based biometric authentication product or service. So, it's very promising that they plan to be selling Fujitsu's Software as a service solution. We continue to create new technology and improve our existing technology. As we do, we continue to file new patents around our new innovations.
Most recently, we have created new and exciting advances in two-factor authentication which will be -- we will be introducing early next year and for which we have patent applications in the works. We have altered our marketing approach to the market by more graphically showing potential customers how we can supply both two and three-factor authentication seamlessly on the same platform. So, when a customer wants an upgrade, they can go from two to three-factor with absolute ease.
Many of you've seen the recent Duo sale for $2.3 billion to Cisco based solely on a two-factor business model. So, we think our strategy --. For the Fujitsu Forum event held last week in Munich, Germany, Fujitsu integrated our biometric technology into their blockchain product. Our R&D folks have come up with a great new way to more efficiently use biometrics in the blockchain arena and we filed a new patent on this new technology.
Also demonstrated the use of our technology in the smart-car application at that show, so you can see how biometrics can operate to supply security in that space. Finally, we're pleased to tell you that the state of Arizona has recently awarded ImageWare a multi-year indefinite delivery, indefinite quantity contract for the supply of biometric authentication capability to all of the state agency.
As many of you know, Arizona was our initial customer many years ago and we're very proud to be able to offer our products and services to additional agencies over and above our traditional focus in public safety agencies. A list of active potential customers continues to grow and a list to potential significant transactions is also growing but as I'm sure you all recognized, the entire process is not as simple as flipping-on a light switch and as we've all seen, the process takes time.
Every project that we have been and will work on, progresses at its own space but it is progressing. In fact, things are significantly different in the last nine months. Prior to that time, we were attempting to make in road and sales the three major customers ourselves. We recognize several years ago that attempting to sell directly was not meeting with any success. So, we changed direction to instead of tracks and major companies to be our partner and salesforce space.
And after several years of effort, that was successful with Fujitsu, IBM, CDW, now ForgeRock and others. For about the past nine months, these companies have been our sales front and we are now seeing a totally different reaction at a higher level by potential customers. Our partners have had some early successes. They and we see major successes developing, significant strides have been made to establish a pipeline that they believe will impact, bring home major revenue for them, and for us.
As said before, it's important for me to remind all of you that the process we take with each and every partner is unique to that specific partner. Each partner has its own set of objectives, market forces and processes that need to be navigated internally prior to ever going to market. Sometimes these processes especially those that involved very large companies move at a glacial pace. But I remind you they are all in fact morning and moving towards very large markets.
I would also like to note that throughout the year to-date, we've increased our sales with partners. At the end of the last few months, we've closed 11 new deals for our GoVerifyID product in addition to significant new orders for Cloud ID and law enforcement products. The fact that the end of nine months, we closed the total of 12 new deals for GoVerify and four for Cloud ID in the biometric engine.
For perspective view, may recall that GoVerifyID orders were zero, starting in Q1. So, progress is being made, in fact over 60% of all of our orders for the first three quarters are new business deals.
Now, I'd like to turn our call over to our operator to begin the question and answer session."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Paul Penney of Northland Security.
Unidentified Analyst,1,"Good afternoon. This is Greg on for Paul. Thanks for taking my questions. First, can you provide some color on the $4.5 million in orders that you were seeing and maybe like cadence on when that will be recognized as revenue?"
Wayne Wetherell,1,"Yes, there is. Hi Greg, thanks for the question. Yes, we were obviously pleased that it was the number like $4.5 million and that's a good month or a good quarter for order intake for us. Some of those things weren’t were mixed. They were licenses for immediate delivery, so you can recognize revenue at the time that those products are delivered. Others were longer-term government contracts where we had actually initially thought that we might see some immediate license revenue and those in the final negotiations that the contract got moved to a more extended development process, our delivery process I mean to say.
So, we have revenue that on those moved in from the third quarter because in the case of the Canada CSA, the deal was signed late in the quarter which moved the revenue that's just be starting to recognize in Q4. The other, where various GoVerifyID projects that we have out as I said in my remarks, we have 12 GoVerifyID deals that we have done. So, we're out selling the product. It moves at various stages, folks move to implement differently.
Good example is the Canadian financial institution I mentioned, that deal was signed a few months back but they just now green-lighted the implementation. So, the revenue expectations on our side slip because the customers' saying we have an agreement, in some of these cases they've even paid an advance for the licenses but the fact is we haven’t made the delivery yet because the customers not ready to accept. And that's as I said, hence my comment, every one of these is a little bit different in the way that the customer and we have to navigate.
And sometimes when a customer's not ready to take delivery, even though we're very ready to deliver, you can't do anything but obviously see to their wishes in terms of the delivery schedule. So, it's a mix of government orders from more traditional products and happily in that mix is also a number of GoVerifyID and newer products orders as well."
Unidentified Analyst,1,"Great, that's a lot of good color, thanks for that. Again secondarily, can you provide an update on Mexico opportunities that you're seeing given the on-deck biometrics managing?"
Jim Miller,1,"Yes. There is a number of activities that are ongoing currently in Mexico. You were referring for all the rest of our listeners to a federal law in Mexico that is mandating additional security and privacy protections and one of the ways that you can attain compliance with that law is by using technology such as biometrics.
So, we and particularly through our partners at Fujitsu have a number of banks located in Mexico and opportunities in that country that were rapidly trying to get to closure. There is a need for the product, negotiations are never easy, if any kind a lot of paperwork involved in dealing with institutions like financial institutions. But there is I think some reason for optimism that there will be some deals there.
A lot of the Mexican banks had available fingerprint technology that they could utilize as an initial step towards getting compliance with this law. But there were also a handful of them, decent sized good banks in terms of size that had not availed themselves of that. So, that's really the opportunity there is to be able to offer those folks the ability to come into compliance in time for the end of February 2019 deadline. So, we are as I said we're hot on the trail there on right in the middle of those discussions."
Unidentified Analyst,1,"Got it. And then, it was great to see the addition of the sales office in Japan back in July I believe. Can you maybe give us an update on progress with Fujitsu following those like personal changes and the addition there?"
Jim Miller,1,"Yes. It has been a tremendous thing to have representation in Japan; the gentlemen that handles that for us, a veteran Japanese, fluent Japanese speaking sales executive with a lot of experience in Asia Pacific and particularly in the Japan market. So, we not only have someone that has spent their careers selling in that market successfully but also a fluent native speaker which is a tremendous help. Not just in Japan in day-to-day sales activities but as we need as we have periodically with Fujitsu executives from Japan.
It's always very helpful to be able to speak in someone's native language and be understood. So, that’s been terrific. And in part of his responsibility is to shepherd this global agreement that we've had under discussion with Fujitsu for some time and we continue to make progress on that although it's been slow. Fujitsu's had a few reorganizations, they've had one very recently. So, sometimes that causes you as I said in my remarks it's a process and you just have to navigate it no matter how frustrating it might be and believe me some days it is.
But new people come in and they need to get up the speed. That's just part of all of our lives, things change, we need to adapt. But it's I think going very well. In addition to that though, not just with in terms of Fujitsu, we are making I think really good progress with our new partner at Two-Five who we also announced, in going into some additional opportunities with companies like Hitachi for example which is an existing customer of Two-Five.
So, we're -- it's still a little bit early in the process but really happy with the progress that we're seeing there and there are some just some really exciting opportunities as we start to move out to add companies that get them acquainted with our abilities and capabilities in addition to Fujitsu, larger companies as well who have access to that market. So, pretty happy with actually where it is and things that -- we'll be seeing some dividends in terms of revenues here pretty soon on that."
