speaker,q&a,content
Operator,0,"Good day, everyone, and welcome to the Jack in the Box Incorporated's Fourth Quarter Fiscal 2018 Earnings Conference Call. Today's call is being broadcast live over the Internet. A replay of the call will be available on the Jack in the Box corporate website starting today. [Operator Instructions] At this time, for opening remarks and introductions, I would like to turn the call over to Carol DiRaimo, Chief Investor Relations and Corporate Communications Officer for Jack in the Box. Please go ahead."
Carol DiRaimo,0,"Thank you, Amber, and good morning, everyone. Joining me on the call today are Chairman and CEO, Lenny Comma; and Executive Vice President and CFO, Lance Tucker.
In our comments this morning, per share amounts refer to diluted earnings per share and operating earnings per share is defined as diluted earnings per share from continuing operations on a GAAP basis, excluding gains or losses on the sale of company-operated restaurants, restructuring charges and the impact of tax reform on the company's deferred tax assets, as well as the excess tax benefits from share-based compensation arrangements, which are now recorded as a component of income tax expense versus equity previously. Adjusted EBITDA represents net earnings on a GAAP basis, excluding discontinued operations, income taxes, interest expense, gains or losses from the sale of company-operated restaurants, impairment and other charges, depreciation and amortization, and the amortization of franchise tenant improvement allowances. Free cash flow is defined as cash flow from operations, including tenant improvement allowances less capital expenditures.
Our comments may include other non-GAAP measures such as restaurant operating margin, restaurant-level EBITDA, franchise margin and franchise EBITDA. Please refer to the non-GAAP reconciliations included in the earnings release.
Following today's presentation, we'll take questions from the financial community. Please be advised that during the course of our presentation and our question-and-answer session today, we may make forward-looking statements that reflect management's expectations for the future, which are based on current information. Actual results may differ materially from these expectations based on risks to the business. The Safe Harbor statement in yesterday's news release and the cautionary statement in the company's most recent Form 10-K are considered a part of this conference call. Material risk factors, as well as information related to company operations, are detailed in our most recent 10-K, 10-Q and other public documents filed with the SEC. These documents are available on the Investors section of our website at www.JackintheBox.com.
A few calendar items to note this morning, our first quarter of fiscal 2019 ends on January 20, and we tentatively plan to announce results on Wednesday, February 20, after market close. Our conference call is tentatively scheduled to be held at 8:30 AM Pacific time on Thursday, February 21.
And with that, I'll turn the call over to Lenny."
Leonard Comma,0,"Thank you, Carol, and good morning. Before Lance recap some of our fourth quarter highlights and reviews guidance for the coming year, I'd like to provide some perspective on how we've evolved as a company and as a brand. It was very different than we did just a few years ago on understanding how we've evolved and help you better understand how we plan to achieve continued success.
It is 15 years since we launched our refranchising initiative, we sold hundreds of Jack in the Box restaurant franchises, and our system has gone from being more than 80% company-operated to 94% franchise. This has resulted in higher and more predictable levels of franchise revenues in the form of royalties and rental income while lowering our cost structure. We grew Qdoba from 85 locations when we bought it in 2003 to over 700 locations at the time we sold it for $305 million in March. Our sales performance has been very consistent, fiscal 2018 marking the eight straight year of the system same-store sales growth at Jack in the Box.
We’re in the final stages of transforming our business model to an asset-light single brand entity. We'll be completing this process this year when we roll out the last of the transition services agreements we have at Qdoba, and adjust our G&A accordingly. As part of this transformation of the business model, we expect our G&A expenses will continue to decline. In fiscal 2018, we lowered our G&A expenses by 20 basis points to 2.2% of sales. In addition, our model will be less capital intensive, leading to higher free cash flows. We've been committed to enhancing shareholder value, and 2018 was our fifth consecutive year of returning more than $300 million to the shareholders via stock buybacks and dividends which have totaled nearly $1.8 billion over those 5 years. Once our new capital structure is in place later this year, we expect to return more than $1 billion to shareholders through 2022 in the form of share purchases and dividends.
This year we strengthened our leadership team with the addition of two seasoned industry executives; Chief Operating Officer, Marcus Tom; Chief Financial Officer, Lance Tucker; and we're actively interviewing candidates for the Chief Marketing Officer position. In the interim, our marketing activities are in the very capable hands of two VPs leading our Marketing Communications and Product Development teams. With Marcus and Lance onboard, we updated our long-term future plan which we shared with you in August. We recognized that our brand must continue to evolve to remain relevant, so the objectives of that plan are centered around meeting evolving consumer needs with an emphasis on improving operations consistency, and making investments designed to grow sales and maximize our returns. In developing the plan we are mindful to balance the interests of all our stakeholders, including franchisees, customers, employees and shareholders.
For our menu, we'll continue innovating around burgers and sandwiches which comprise the core of our menu, while also adding uniquely flavorful culturally relevant and affordable food. Our marketing calendar which covers the entire fiscal year will continue to balance value offers and premium products to help protect our brand equity and our margins. And we'll be unashamedly us when it comes to promoting those products by leveraging our brand's unique irreverent sense of humor that our restaurants will simplify operations by reducing redundant SKUs and streamlining operating procedures. We're currently testing what that might look like at more than 150 restaurants that are primarily franchised, and we plan to rollout the final program across the system later this fiscal year.
We're currently testing new equipment in our kitchens, modifying operating procedures, and leveraging digital platforms to efficiency and consistency towards meeting numerous expectations of a near-zero wait time. Quick update on our mobile app; we launched it across our system in October. And finally, we'll target investments in restaurants where we can optimize returns like re-modeling many of our oldest locations, enhancing the drive-thru experience, 42 restaurants were remodeled in fiscal '18 and we estimated completing roughly twice that in fiscal '19. For a drive-thru of the future initiative, we're testing the initial elements of what we expect will be a major overhaul of the drive-thru experience. By the end of fiscal 2021, we believe that we can touch more than 80% of our systems.
To promote consistency across the system, new restaurant construction will reflect the same look and feel of the remodel which you can see in our newest restaurant prototype which are franchise opened in October in San Diego and Riverside, California. Our goal for this prototype was to develop a smaller restaurant that could allow the brand to expand on smaller pieces of real estate at lower overall development costs.
Before turning the call over to Lance, I want to take this opportunity to thank those who have been most responsible for the success of Jack in the Box brand; the hardworking employees and franchisees. Restaurant employees once again grew sales in a hyper-competitive environment. Our employees at the corporate level persevered through a lot of distractions during fiscal 2018 for the organization and the Jack in the Box brand. Their efforts also enabled us to complete the sale of Qdoba and to continue supporting that brand once Qdoba sets up in numerous areas.
As for our franchisees, we appreciate the unwavering passion they have for the Jack in the Box brand. Even with the increase in franchise ownership over the past several years, the size of our franchise community is still modest compared to that of the larger competitors. Strategically, this allows us to be nimble which can give us an advantage in this dynamic industry. Despite their modest size, our franchisees [indiscernible] with our brand is arguably unparalleled by industry standards, that's because a large percentage of operators in our system are former Jack in the Box employees. In addition, some of our more tenured operators are beginning to turn over restaurants to their children. We're very excited about the influence the next-generation of franchisees will have on the brand. Together we all share a passion for Jack in the Box that bodes well for its continued success.
Although we're currently managing through some issues raised by the Association representing most of our franchisees, we believe our mutual interests are very much aligned. We understand their concerns about issues our industry is facing such as rising labor costs, finding traffic and market share in a hyper-competitive environment. We know that Jack in the Box cannot be successful if our franchisees aren't successful. We often have spirited debates with our franchise community about how we we'll achieve our goals and objectives; there has never been any question in our minds that our ultimate goals are fully aligned.
With that, I'll turn the call over to Lance for a more detailed look at the fourth quarter and our expectations of the new fiscal year. Lance?"
Lance Tucker,0,"Thank you, Lenny, and good morning, everyone. I'll hit a few high points from the fourth quarter, and the fiscal year 2018 and then move into guidance for fiscal year 2019.
Operating EPS for the fourth quarter were $0.77 as compared to $0.73 last year. The increase was driven primarily by lower G&A costs, the impact of tax reform and share repurchases, which selectively more than offset dilution from refranchising. Our system-wide comparable sales increased 50 basis points from the fourth quarter. Company comparable sales increased 80 basis points comprised of pricing of approximately 2%. Mix increased 80 basis points and transactions declined 2%.
Franchise comparable sales increased 40 basis points for the quarter. Company restaurant-level EBITDA margin increased by 300 basis points to 26.1%, restaurant-level EBITDA margin for the 137 stores we were now keeping upon the completion of the refranchising initiative was 26.4% in the quarter, down from 28.2% last year due mainly to higher labor costs, utilities, and repairs and maintenance. Average unit volumes for these stores were 2.42 million in fiscal year 2018.
Franchise EBITDA increased about $3 million to $58.9 million in the fourth quarter due primarily to refranchising. Rent and royalties were both higher offsetting the lower franchise fees in the prior year due to a lesser number of stores being refranchised. G&A in the fourth quarter decreased to approximately 2.3% of system-wide sales as compared to 2.4% last year. The decrease was partially due to $3.2 million in transition services income related to the sale of Qdoba, which is reflected as a reduction to G&A. In addition, G&A benefited from lower share-based compensation, workforce reductions related to refranchising, and a decrease in pension costs. These decreases were partially offset by higher bonuses from last year and mark-to-market adjustments.
Advertising costs which are included in SG&A were $6.8 million in the fourth quarter, compared to $7.2 million in the prior year quarter. This decrease was due to $3.2 million from refranchising which was partially offset by incremental advertising contributions of $2.8 million in the quarter. Tax Act reduced our federal statutory tax rate from 35% to 21% effective January 1, resulting in a blended statutory federal rate at 24.5% for the fiscal year. Including state taxes, our adjusted Q4 effective tax rate was 22%, below our typical tax rate due to the onetime utilization of certain tax credits and loss carry-forwards following the sale of Qdoba and the completion of our refranchising program. Also the effective rate excludes a $0.02 unfavorable impact related to the Tax Act. Our effective tax rate for the full fiscal year was 27.5%, again excluding the impact of onetime adjustments from the Tax Act and the accounting change.
We repurchased 1.6 million shares of stock for $140 million during the quarter and weighted average shares outstanding decreased by nearly 9% versus last year. During 2018, we returned over $385 million to shareholders including share repurchases of $340 million and dividends of $45 million. Including last week's authorization, we currently have approximately $100 million available for share repurchases and our leverage ratio was approximately 4 times at the end of the quarter. In the fourth quarter, we refranchised 8 units, bringing our total number of refranchised units in 2018 to 135, and competing our refranchising initiative. As of the end of fiscal year 2018, we are now 94% franchised.
Now, we'll move on to guidance. We have one change we're making to the guidance we've historically provided consistent with the long-term view we used to manage the business, we have decided to move away from giving quarterly same-store sales guidance. We will however, continue to provide updates on quarter-to-date sales trends on our quarterly conference calls. And on the topic of our long-term view, we are also reaffirming all of the long-term guidance we issued in August of this year, and we remain confident in our ability to hit those long-term targets. Note, that if at some point we decide to address our long-term guidance, we would communicate it to them.
Moving to the specifics around 2019, full year same-store sales guidance is flat to up 2%, with our expectation for improvement throughout the year. For the first 7 weeks of our first quarter, same-store sales are down between 1% and 2%, sales got off to a bit of a slow start this quarter but we have pivoted to a more value-oriented methods in the last 2 weeks and have seen a change in the trends. Restaurant-level EBITDA guidance for fiscal year 2019 is 26% to 27% of company restaurant sales, which just seems commodity inflation of approximately 2% and wage inflation in the mid-single digits. We expect adjusted EBITDA of $260 million to $270 million in 2019, as compared to $264 million in 2018 and the expected drag from refranchising will largely be offset by SG&A reductions.
We provide some EBITDA sensitivity measures for 2019, every 1% change in the company same-store sales impacts EBITDA by an estimated $1.1 million and every 1% change in franchise same-store sales impacts EBITDA by an estimated $4.7 million. Every 50 basis point change in company restaurant margins impacts EBITDA by $1.06 million, and every 10 basis point change in G&A as a percentage of system-wide sales impacts EBITDA by approximately $3.5 million.
We expect capital expenditures of approximately $30 million to $35 million, tenant improvement allowances of approximately $25 million in 2019, each of which is in line with a long-term guidance released in August. Effective fiscal 2019 we adopted the new GAAP revenue recognition standard using the cumulative effect transition method. We expect the new standard to primarily result in an increase to franchise revenues, and a corresponding increase to franchise expenses related to the reclassification of marketing fees received from franchisees. In addition, certain amounts previously classified as G&A will be reflected as franchise expenses, this impact has been included within our guidance for fiscal 2019.
Including amortization of franchise fees, the new revenue recognition rules should have minimal impact on EBITDA. Please see the slides on our website for more detail on this change, including a pro forma P&L for fiscal year 2018. We expect SG&A of 8.5% to 9% of revenues reflecting the new revenue recognition standards according to 11.5% to 12% using the prior methodology. We expect G&A as a percentage of system-wide sales of approximately 1.8% to 2% reflecting the new revenue recognition standards which equates to 2% to 2.2% using the prior methodology. Types of our G&A reduction [indiscernible] projections included in our long-term plan. We continue to work towards implementing a new leverage structure and remain confident that we will complete this process in the first half of 2019, fiscal 2019 I should say as we previously communicated.
While the decision is not 100% locked-in, we are currently putting in place the structure to accommodate a securitization should we determine to go this route. We will provide more details around the specifics of the structure we ultimately decide upon as we get closer to it's implementation.
Finally, while we have not guided to interest expense for 2019 we recommend you take a look at the interest rate assumptions in your models given current market conditions.
That concludes our prepared remarks. I'd now like to turn the call over to the operator to open it up for questions. Amber?"
Operator,1,[Operator Instructions] Our first question is for John Glass of Morgan Stanley.
John Glass,1,"I guess if you could just first maybe talk about current sales trends, and what's changed; is this an industry slowdown you're responding to that or do you think maybe you just missed the mark on a promotion, any color around that? What have you done to -- what are the tactics you're using now that are different maybe than you've used in the past or they just sharper discounts or greater or maybe more direct offers? And can you talk about franchisee alignment with those offers? Is this something that they're embracing, that they're recommending that you do or how consistent is value across your franchise system?"
Leonard Comma,1,"So let me handle that in a couple of different pieces; the first is, what we changed here in Q1. And I'll talk a little bit about how we see value throughout the remainder of the year, and then finally, how our franchisees see value. So first, we went into Q1 with a combination of value below $5 in the form of bundle, and also premium item in the form of Ribeye hamburger, that's typically a strong combination of value and premium for us but what we didn't see was the take rate on the hamburger that we would traditionally see, typical of something like a Buttery Jack hamburger. And so we pivoted from that premium item to a burger-related value bundle which is the BLT bundle, and we feel that has worked well for us. The Ribeye was not price pointed in 70% -- 75% of the system actually switched to the new BLT which is more than we actually anticipated would make the switch that quickly, but nonetheless, our franchisees were very aligned with the need to make that change and then put more value into the marketplace.
What really drove or was a catalyst for this change was really what was happening with competition; so you look into the marketplace during this timeframe and even through today you're seeing everything from $1 French fries at some of the more quality oriented fast food players to premium items that show up once a year that are now priced at 2 for 5 [ph], you also can get yourself 10 chicken nuggets for $1; and when you move into casual dining, we've even seen entrée for as low as $3. So across the entire industry there seems to be almost a desperation for same-store sales and transaction to the degree that a lot of things that are happening in the market are hyper-competitive and you might argue at times or even a little irrational, but nonetheless, Jack in the Box doesn't need to play in that space if we're going to maintain our customer accounts and recapture some of what we lost that's below the $5 price point.
So moving forward what you should expect to see from us is, for the remainder of the year we’ll have value bundles that cover in and around $4 to $6 that are complete meals; and then you'll see hovering between the $2 and $4 range will have more indulgent snack-related items that can be used as either add-on sales or value in and of itself. So you'll see that type of line-up pretty much throughout the remainder of the year, at almost everything throughout the remainder of the year whether it's a premium -- more premium-oriented bundle or a value-oriented offer will in large part be priced. We see a sensitivity from the consumer that they not only want to understand value that we typically have in our space below $5 but they also -- when they're buying a meal deal, want to understand what the overall value would be and it doesn't need to be priced at this point. So that's what you can expect from us and our franchisees seemed to be very aligned with the need to do this and evidenced by them opting into BLT. I think we've got great alignment about how we'll address this going forward."
Operator,1,Our next question will be from Brian Bittner of Oppenheimer.
Brian Bittner,1,"First off, just candidly, why not put the same-store sales guidance for the year, more kind of in line with where you're trending, why put yourselves in a position where you do have to pretty meaningfully improve the comps moving forward to hit the guidance? And can you talk about, if you do fall short of your same-store sales guidance are there any levers in your EBITDA model to offset that? And then I have a follow-up."
Leonard Comma,1,"Yes, I think what I spoke about -- Brian, this is Lenny by the way. When I spoke about just a moment ago it's part of the reason why we put guidance out there from last two for the year. When you look at the lineup for the remainder of the year, it is a pretty aggressive a lineup from a value perspective and it is significantly more aggressive than what we did last year; and so that's the first piece of it, we feel comfortable that what we're going to present to the consumer is more compelling but also if you look at multi-year roll overs since the first part of the year as compared to the remainder of the year, it does get a little softer rollovers throughout the remainder of year. So we feel like that's the right place for us to be.
And then from an EBITDA standpoint we do think there are some levers, we can pull off -- Lance, you want to jump in on that one?"
