type,name
Executives,Carol DiRaimo - Chief Investor Relations & Corporate Communications Officer
Executives,Leonard Comma - Chairman & CEO
Executives,Lance Tucker - EVP & CFO
Analysts,John Glass - Morgan Stanley
Analysts,Brian Bittner - Oppenheimer
Analysts,David Tarantino - Robert W. Baird
Analysts,Chris O'Cull - Stifel Nicolaus
Analysts,Jeffrey Bernstein - Barclays
Analysts,Gregory Francfort - Bank of America Merrill Lynch
Analysts,Dennis Geiger - UBS
Analysts,Karen Holthouse - Goldman Sachs
Analysts,Andrew Charles - Cowen & Company
Analysts,Matthew DiFrisco - Guggenheim Securities
