speaker,q&a,content
Company Participants,0,"Adam Berry - VP, IR
Mark Mondello - CEO
Mike Dastoor - CFO"
Conference Call Participants,0,"Adam Tindle - Raymond James
Steven Fox - Cross Research
Paul Coster - JPMorgan
Ruplu Bhattacharya - Bank of America Merrill Lynch
Matt Sheerin - Stifel Nicolaus
Steve Milunovich - Wolfe Research
Mark Delaney - Goldman Sachs
Jim Suva - Citi"
Operator,0,"Greetings, and welcome to the Jabil Third Quarter Fiscal Year 2019 Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] Please note this conference is being recorded.
I would now like to turn the conference over to your host, Mr. Adam Berry, Vice President, Investor Relations. Thank you, sir. You may begin."
Adam Berry,0,"Good afternoon, and welcome to Jabil's third quarter of fiscal 2019 earnings call. Joining me on today's call are Chief Executive Officer, Mark Mondello; and Chief Financial Officer, Mike Dastoor.
Please note that today's call is being webcast live, and during our prepared remarks, we will be referencing slides. To follow along with the discussion and view the slides, you will need to be logged into our webcast on jabil.com. At the end of today's call, both the presentation and a replay of the call will be available on Jabil's Investor Relations Web site.
Please note that during today's conference call, we will be making forward-looking statements, including, among other things, those regarding our outlook for business and our expected fourth quarter and fiscal '19 net revenue and earnings.
These statements are based on current expectations, forecast, and assumptions involving risks and uncertainties that could cause actual outcomes and results to differ materially. An extensive list of these risks and uncertainties are identified in our Annual Report on Form 10-K for the fiscal year ended August 31, 2018, and other filings. Jabil disclaims any intention or obligation to update or revise any forward-looking statements whether as a result of new information, future events or otherwise.
With that, it's now my pleasure to turn the call over to CEO, Mark Mondello. Mark?"
Mark Mondello,0,"Thanks, Adam. Good afternoon. I appreciate everyone taking time to join our call today. As usual, I'll begin by offering our people a warm thanks for their hard work and continued dedication. I'm proud of the fact that keeping our people safe is a top priority for all of us here at Jabil. Before I get into our financial results, I'll offer a few thoughts around what we're seeing in terms of trade and tariffs.
Today, very few customers are moving existing production out of China. I believe this decision made by those customers is based on three factors. One, the deep-rooted mature supply chain that's foundational to China; two, many of our customers don't see a reasonable payback associated with such a move; and three, a decent percentage of our China revenue is for final consumption in geographies other than the United States. With that said, if the landscape shifts and customers change their mind, Jabil is well-positioned to author and implement safe and practical solutions which best serve the needs of our customers. In fact, I believe Jabil is positioned better than most especially when considering the commonality of our IT systems embedded throughout our seamless network of factories around the globe.
Now, turning to slide four, let's take a look at our third quarter results. The team generated core operating income of $186 million on revenues of $6.1 billion, and core earnings per share of $0.57. This was in line with our guidance, and 24% higher than last year, Q3-to-Q3. Within our EMS segment, we saw 26% revenue growth year-on-year, which was driven by cloud, point-of-sale, 5G and wireless, and our industrial sector. Our DMS segment delivered a core operating margin of 2.6% for the quarter, representing a 130 basis point improvement year-on-year. When I step back and I look at the first nine months of the year, I see further demonstration of our financial stability; all in all another fine quarter. Mike will provide more detail around our quarter and speak to our forward guidance during his prepared remarks.
So moving to slide five, you'll find the specific areas that currently have management's attention. These priorities are the foundation from which we serve our customers and our shareholders. With that, let's take a look at slide six, where you'll find the first area of focus, which is market and product diversification. This colorful pie chart represents a wonderful building block of our story. Within the company, we speak frequently about the importance of diversifying our business, but diversification for the sake of diversification has little relevance. What is relevant is knowing that as we become less dependant on any single product or product family we realize much improved reliability around our cash flows. With this improved reliability comes greater simplification of the business, enhancing our ability to execute. Our results in fiscal '18, and thus far in '19, gives us confidence that our approach is working.
I'll now turn your attention to slide seven, where a key element of our strategy is the natural growth of our new business wins. Today, our execution has been sound and our performance is ahead of plan. This gives us a high degree of confidence that this $2.4 billion in new business will have a favorable financial outlook in fiscal year '20, just as we committed at the beginning of the year. For today's call, I want to provide an update on our collaboration with Johnson & Johnson Medical Devices Company. But before I speak to the slide, I'm pleased to welcome our new team members from the cities of Elmira, Brandywine, and Monument, the three J&J factory locations we transferred over to Jabil during the quarter. These new colleagues now join their peers from Torres and Albuquerque in becoming an integral part of our team, and again, welcome to all.
In terms of the collaboration itself, I'm happy to report that both Wave 1 and Wave 2 are now complete, and completed on time. Wave 3 will be next, and we trust that it'll also be very successful and completed on time. Our revenue forecast for this business remains in the range of $800 million to $1 billion for fiscal year '20. Thanks to everyone involved, the teamwork between Jabil and J&J has been sensational.
Now, turning to slide eight, if you consider the midpoint of our Q4 guidance provided today, fiscal year '19 remains intact, and consistent with the commitments we made at the beginning of the fiscal year. Specifically, revenue looks to be $25.3 billion for the year, core operating income would expand to $875 million at the midpoint of the guidance, up 14% from a year ago. And we're on target to deliver $400 million of adjusted free cash flow, and uplift of 60% when compared to fiscal year '18. Altogether, fiscal '19 is shaping up to be another nice year. As we move through the fourth quarter, our goals remain unchanged, putting us in good light for next year.
Speaking of fiscal year '20, let's jump to my final slide, slide nine. When I think about the tremendous progress we've made, I conclude that our business is solid and on firm ground financially, operationally, and commercially. Much like last September, we plan to have another investor briefing as we head into fiscal year '20. This briefing will be held on September 24th via webcast. We'll open the session by reporting our fourth quarter and full-year results, followed by a review of our priorities, and highlighting how they'll positively impact fiscal '20. Add to this a discussion on end markets and observations specific to the macro environment as it presents itself at that time. Mike will conclude the September session by offering a fiscal '20 financial outlook as we prioritize margins and cash flows. Mike will lay out how we plan to increase free cash flow roughly 25% year-on-year, fiscal '19 to '20, expand core operating margins, and provide another year of double-digit core EPS growth.
Mike will also break down the shape of the year by quarter in terms of expected core EPS contribution. Finally, we'll wrap up the September session by sharing a well balanced capital return framework for which we remain fully committed. 
In closing, I like our strategy. We're clear on our mission and our priorities, and what we're doing is working. Our team is experienced, and the discipline we're showing is reflective in our results. I'd like to once again extend my thanks to everyone here at Jabil and all our new employees from J&J and to all of those on the call today.
With that, I'll now turn the call over to Mike."
Mike Dastoor,0,"Thank you, Mark, and good afternoon. I'm very pleased with our performance in both segments during Q3. During the quarter, our teams executed extremely well, delivering solid year-over-year core operating margin expansion on strong double-digit revenue growth.
Our solid Q3 results are yet another proof point that our diversification strategy is working. Net revenue for the third quarter was $6.1 billion, an increase of 13% year-over-year. GAAP operating income was $140.9 million and our GAAP diluted earnings per share was $0.28. Core operating income came in $11 million better than the midpoint of our guidance during the quarter at $185.8 million, an increase of 24% year-over-year, representing a core operating margin of 3%.
Turning to interest and tax, net interest expense during the quarter was approximately $58 million, above previous expectations, driven mainly by the timing and scale of our ongoing new business awards. Our core tax rate for the quarter was 30.4%, approximately 300 basis points above expectations driven by the geographical mix of earnings. In summary, core operating income came in stronger than expected, offset by higher interest and tax expense which negatively impacted the quarter by approximately $0.04. Altogether, this resulted in core diluted earnings per share of $0.57 in line with expectations.
Now turning to our third quarter segment results, revenue for our DMS segment was $2.1 billion, down 6% year-over-year. This was mainly due to continued weakness in mobility demand offset by strength in our healthcare and packaging businesses. In Q3, core operating income for the segment nearly doubled on a year-over-year basis to $54.9 million, and as a percentage of sales improved 130 basis points to 2.6%. These impressive results highlight our improved business mix, and once again underscores the tremendous progress we've made in our diversification efforts.
Revenue for our EMS segment increased by 26% year-over-year to $4 billion. We continue to see exceptional growth in EMS associated with our new business wins in 5G wireless, cloud, and automotive. Core margins for the segment declined 50 basis points year-over-year to 3.3% due primarily to continued softness in the semi-cap space and costs associated with our new business awards.
Next, I'd like to outline our updated expectations for revenue in fiscal year 2019 by end market. Within DMS, we now expect slightly higher growth within edge devices and accessories. Our expectations for mobility and healthcare and packaging remain consistent with our outlook in March. Given our updated outlook, we now expect core operating margin for DMS to come in at 3.9%, a 20 basis point improvement from a quarter ago on slightly lower revenue of $9.9 billion.
Turning to EMS, we anticipate stronger revenue in our print, point of sale, 5G wireless and cloud end markets. Within our semi-cap business, we now anticipate the weakness to persist into the second half of calendar year 2020.Given our updated outlook we now expect core operating margins of 3.2% on slightly higher revenues of $15.4 billion.
Turning now to our cash flows and balance sheet, during the quarter, our days in inventory remained elevated mainly due to timing differences and came in below expectations at 64 days, a decline of only one day sequentially. I'm confident as we move into Q4 and beyond, inventory levels will contract to below 60 days as growth moderates and the component market continues to normalize.
Cash flows provided by operations were $5 million in Q3 and net capital expenditures totaled $229 million. Core return on invested capital for Q3 was 14.7%, an improvement of 180 basis points over the prior year. We exited the quarter with a total debt to core EBITDA level of approximately 1.9 times and cash balances of $694 million.
Turning now to our capital return framework, since the inception of our capital return framework in June of 2016, we have returned approximately $1.4 billion to shareholders including repurchases and dividends. We remain committed to balance capital returns and look forward to outlining our capital allocation framework for FY 2020 in September.
Turning now to our fourth quarter guidance, DMS segment revenue is expected to increase 4% on a year-over-year basis to $2.5 billion while the EMS segment revenue is expected to increase 22% on a year-over-year basis to $4.1 billion. We expect total company revenue in the fourth quarter of fiscal 2019 to be in the range of $6.3 billion to $6.9 million for an increase of approximately 14% at the midpoint of the range. Core operating income is estimated to be in the range of $215 million to $275 million with core operating margin in the range of 3.4% to 4%.
GAAP operating income is expected to be in the range of $169 million to $235 million. Core diluted earnings per share is estimated to be in the range of $0.76 to $0.96. GAAP diluted earnings per share is expected to be in the range of $0.47 to $0.71.
The tax rate on core earnings in the fourth quarter is estimated to be in the range of 27% to 29%. As we move into the final quarter of FY 2019, I'm confident in our team's ability to execute and efficiently manage working capital and generate strong cash flows. Working capital improvements will come mainly through the combination of improved inventory levels as growth moderates and the component market continues to normalize.
These factors give me confidence in our ability to deliver adjusted free cash flows of $400 million for the year. In summary, fiscal 2019 is shaping up to be a great year, and we hope to build upon this positive momentum in FY 2020. Moving forward, I expect growth in both earnings and free cash flow will come through meaningful margin expansion and improved working capital efficiency.
I'll now turn the call back over to Adam to begin Q&A."
Adam Berry,0,"Thanks, Mike. Before we begin the Q&A session, I'd like to remind our call participants that per our customer agreements, we will not address any customer or product-specific questions. We appreciate your cooperation. Operator, we're now ready for Q&A."
Operator,1,Thank you. [Operator Instructions] Our first question comes from the line of Adam Tindle with Raymond James. Please proceed with your question.
Adam Tindle,1,"Okay, thanks, and good afternoon. I just wanted to start, Mark, it looks like you're on track for the $3 EPS target that you talked about around three years ago based on this quarter-end guidance. At the end of last fiscal year you gave a navigational beacon of $4 of EPS and a free cash flow number per share that implied a similar amount. So the question is I'm just hoping that maybe you can reflect on the obstacles related to the $3 that looks like you're on track to achieve and how the path that $4 navigational beacon may be similar or different. It sounds like Mike kind of mentioned obviously margin improvement and cash flow improvement for the $4 whereas the $3 is more revenue growth. So if you could just touch on those dynamics to start that'll be helpful?"
Mark Mondello,1,"All right. Well, good multi-question for question one. I think the best way to think about it, Adam, is as follows. I think all year back starting in September, we've been talking about $400 million of free cash flow, margins at about 3.5%, core EPS in the neighborhood of $3. If you take the midpoint of our guidance, sum everything together, I think it sums at like $2.97 or $2.98, which I think puts us squarely in the neighborhood of $3, so check the box to that.
What I'm pleased with is at the beginning of the year we thought operating income would be about $850 million. I think we took that up either in the second quarter call -- first or second quarter, December-March call we took it up to like $865 million, and now if you take the midpoint of our guidance it's all the way up, at $875 million. So, one of the things I'm really pleased with is, is the operational earnings power of the company is stronger than we thought. And I thought we had some pretty aggressive numbers at the beginning of the year. As I think about where the company is headed in fiscal '20 and '21, maybe a really simplistic way to think about the company financially.
Our tax rate overall for this year is higher than I'd like. That's just a direct calculation in which both geographies', jurisdictions' incomes generated. I think that'll normalize back to a more normalized level as we move forward to '20 and '21. In addition to that, our interest expense is a little more fluffy, for lack of a better word, than we thought it would be. Beginning of the year we thought interest expense would be in the $210 million, maybe $215 million range. It's probably going to be more like $225 million for the year. That'll normalize as well if I think of one of the -- or one of the ways I look at interest expense for the company is kind of as a percentage of EBITDA. We're probably 150-200 basis points higher than what I'd call normal. But that's a bit intentional.
And what I mean by that is, is we've taken on what I think is very, very good new business wins that's come very naturally to us. I use the term in the slides this time, kind of natural growth. It wasn't forced. And so what I think of is very short-term, it's a bit of tradeoff of interest expense on a temporary basis being a little higher than we thought. But it really sets the foundation nicely for fiscal '20 and '21. If I think back to the navigational beacon, I think I shared two slides back in September. One was the navigational beacon where I thought we'd get to or on a path to 4% operating margins, and then I showed kind of a fiscal '21 outlay where I thought we'd get to $3.80 in earnings, also with very good margin.
So, I think what we'll be able to share with you in September is, our plan is a little bit ahead of schedule, and I think we'll be able to share with you that by taking on a little bit more interest expense in '19, as you start seeing where we're going in '20 and then '21, as I said in my prepared remarks, one is as I think you're going to see -- continue to see double-digit growth on the core EPS line. I think free cash flow next year will be in the range of about $500 million, and again we'll continue to press on margin. So, again, all in all, if I think about what we said we'd do at the beginning of the year, where we're at today really, really pleased with the earning power on our core op line. And certainly the journey for us is to get the company to $4 a share in earnings, as well as 4% margins."
