type,name
Executives,Ruiyu Li - IR
Executives,Richard Liu - Chairman and CEO
Executives,"Lei Xu - Chief Marketing Officer, and CEO, JD Mall"
Executives,Sidney Huang - CFO
Executives,Jianwen Liao - Chief Strategy Officer
Analysts,Eddie Leung - BAML
Analysts,Alicia Yap - Citi
Analysts,Ronald Keung - Goldman Sachs
Analysts,Alex Yao - JP Morgan
Analysts,Jerry Liu - UBS
Analysts,Thomas Chong - Credit Suisse
Analysts,Jin Yoon - New Street Research
Analysts,James Lee - Mizuho Securities
Analysts,Wendy Huang - Macquarie
Analysts,Jialong Shi - Nomura
Analysts,Natalie Wu - CICC
Analysts,Tian Hou - T. H. Capital
Analysts,Binnie Wong - HSBC
Analysts,Hans Chung - KeyBanc Capital
