speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you for standing by, and welcome to Quarter Three 2018 JinkoSolar Holding Company Earnings Conference Call. At this time, all participants are in a listen-only mode. There will be a presentation followed by a question-and-answer session. [Operator Instructions]
I would now like to hand the conference over to your speaker today, Mr. Sebastian Liu. Thank you, sir. Please go ahead."
Sebastian Liu,0,"Thank you, operator. Thank you, everyone for joining us today for JinkoSolar’s third quarter 2018 earnings conference call. The Company’s results were released earlier today and available on the Company’s IR website at www.jinkosolar.com as well as on the newswire services. We have also provided a supplemental presentation for today’s earnings call, which can also be found on IR’s website.
On the call today from JinkoSolar are Mr. Chen Kangping, Chief Executive Officer; Mr. Cao Haiyun, Chief Financial Officer; Mr. Gener Miao, VP, Global of Sales; and Mr. Sebastian Liu, IR Director. Mr. Chen will discuss JinkoSolar’s business operations and Company’s highlights, followed by Mr. Miao who will talk about the sales and marketing, and then Mr. Cao, who will take through the financials. We will all be available to answer your questions during the Q&A session that follows.
Please note that today’s discussion will contain forward-looking statements made under the Safe Harbor provisions of the U.S. Private Securities Litigation Reform Act of 1995. Forward-looking statements involve inherent risks and uncertainties. As such, our future results may be materially different from the views expressed today. Further information regarding this and other risks is included in JinkoSolar’s public filings with the Securities and Exchange Commission. JinkoSolar does not assume any obligation to update any forward-looking statements except as required under applicable law.
It is now my pleasure to introduce Mr. Chen Kangping, CEO of JinkoSolar. Chen, will speak in Mandarin, and I will translate his comments into English. Please go ahead, Mr. Chen."
Kangping Chen,0,"Thank you, Sebastian. Good morning and good evening to everyone, and thank you for joining us today.
Module shipments hit record high of 2,953 megawatt during the quarter, an increase of 5.7% sequentially, and an increase of 24.4% year-over-year. Total revenues were $974.8 million, an increase of 10.5% sequentially and an increase of 4.3% year-over-year. Gross margin increased to 14.9%. Excluding the CVD reversal benefit, gross margin was 12.8% compared with 12% of last quarter.
While Chinese demand softened following the May 31st policies, our business continued to grow, thanks to our diverse global customer base and strong brand recognition. Overseas module shipments accounted for almost 80% of our total shipments during the quarter. Our products are now in short of supply with shipments to increase another 27% to 30% in Q4. This contrasts with most of our peers who are seeing their business slow down during the second half of the year or are cutting their full year guidance.
Despite the negative impact from May 31 polices, China installed 34.5 gigawatts by the end of September, which is already higher than some analysts’ forecast for the entire year. Recent positive changes from policy side are providing support for a possible rebound in Chinese demand for next year, especially the Solar Industry symposium held by the NEA at the beginning of November, which has the possible huge increase in the current five-year plan target and the statement that the cutoff of solar subsidy will not be once for all, and to support the smooth transition from a policy-driven to a grid parity driven one. More detailed policies are also expected to be announced in the near future. As the industry leader, we will continue to focus on the top runner projects and poverty alleviation projects, and will take advantage of the increasing opportunities for grid parity projects. We are firmly confident that Chinese demand will return next year.
Turning to the U.S., the IRS recently issued safe harbor rules for the new solar project. Developers who began building solar energy project by December 31, 2019 and put them in service before 2024 will be eligible for 30% investment tax credit, which is expected to further drive U.S. demand for next year. We will leverage our overseas manufacturing capacity including our U.S. production facility, as well as our strong brand recognition and advantages of our products and services to fully expand our presence in the U.S. The safeguard duty in Indian market had a short-term impact, but the government’s ambitious solar plan is still moving forward, which will heavily rely on the supply of Chinese solar products. We will adjust our strategy accordingly and increase our market share there. Southeast Asia and Oceania markets are growing fast, especially in Vietnam and Australia, where JinkoSolar products are sweeping the markets where we are prepared to generate sustainable long-term growth as the market continues to grow. Driven by grid parity, European and the Latin American markets are also showing new opportunities. I will let Gener go over this in more details later.
On the technology front, we continue to locate resources toward application of high-efficiency technologies. We’re constantly optimizing the cost structure of our products. On the wafer side, we continue to make progress in improving wafer efficiency and reducing both oxygen content and light induced degradation. At the same time, we lead the industry in developing thinner wafers, improving efficiency of diamond-wire cutting and reducing wire consumption.
On the cell side, we made breakthroughs with the new generation of N type HOT cell and optimized the structure of our P type PERC cell to further improve its efficiency. On the modules side, our Cheetah series are selling rapidly and in-short of supply. Our 72-piece mono PERC Cheetah hit above 400 watts in total output during mass production. We’re also rolling out high efficiency products of fine-finger double glass and shingling technology to meet clients’ varying demands. We’re happy to say that the constant technology development has not only enabled us to provide our clients with competitive high efficiency products but also allow us to sustainably cut costs. We’re confident in our ability to further optimize our cost structure going forward and are fully prepared to enter the era of grid parity in near future.
Turning to the manufacturing capacity. Our internal wafer cell and module capacity reached 9.2 gigawatts, 6.5 gigawatts and 10 gigawatts, respectively, at the end of third quarter. We expect to reach 9.7 gigawatts, 7 gigawatts and 10.8 gigawatts, respectively by end of the year, of which approximately 5.7 gigawatts will be mono wafers and approximately, 4.2 gigawatts will be PERC cells.
Overall, we’re feeling confident about Chinese and global demand next year as solar energy becomes more and more competitive. This trend is irreversible. We’re now ideally positioned to benefit from the growth in solar energy. And I am confident in our ability to further expand our market share, distinguish ourselves from the competition and consolidate our leading position in industry.
Before turning the call over to Gener, I will quickly go over our guidance. Based on the current estimates, total market shipments will be in the range of 3.7 to 4 gigawatts for the first quarter and remain 11.5 to 11.8 gigawatts for the full year.
Thank you, Sebastian. With that, I will turn it to Gener."
Gener Miao,0,"Thank you, Mr. Chen.
In the third quarter Jinko’s products were selling well and have penetrated over 80 countries worldwide. Strong quarterly performance helped module shipments reach a record high volume of 2,953 megawatts. We expect this momentum to continue to grow in the fourth quarter. 2019 is looking promising as well as a big portion of our order book has already been filled.
In terms of the shipment distributions by geography. During the third quarter, most shipments went to emerging markets followed by Asia Pacific, China, North America and Europe. We continue to see a steady expansion of our global footprint which actually further reduces the risk of over-relying on a single market. We are able to successfully achieve this due to our continued efforts on offering localized services along with a full range of product options tailored to clients’ needs. 
As Mr. Chen mentioned, we remain optimistic about the global demand growth next year. And we are confident in our ability to generate a sustainable growth as we strengthen our leadership positions in the industry. Business in China’s solar market improved following the National Energy Administration meeting in early November 2018. The market now expects that the original 13th five-year solar target to be adjusted upwards and is waiting for the government to announce new policies, supporting new installation targets and subsidies. Jinko plans to take advantage of this opportunity by focusing on the next round of top runner projects, poverty alleviation projects as well as newly announced grid parity projects.
China is fast approaching grid parity in many provinces. We will expand our market presence and promote the latest products and technologies to the world’s number one market. The U.S. market continues to show good growth and high potential. Market ASPs remained stable during Q3.
Internal Revenue Service’s safe harbor rule guidance that took effect in June, gave developers additional 4 years to complete their projects in order to receive investment tax credit. The new law determines tax credits based on construction and the commission date. Developers can enjoy up to 30% investment tax credit if they start construction before 2020 and the commission before 2024. This policy is expected to further stimulate demand in U.S. next year and beyond. Jinko’s 2019 U.S. product growth is looking very healthy with big orders already secured.
Switching to Asia Pacific region. We forecast a good demand in the Japanese market with 2019 installation target in the 6 to 7 gigawatts range as PV market gradually transition from a feed-in tariff to an auction model.
JinkoSolar’s products have been well-received in several emerging markets in Southeast Asia and Oceania, especially in Vietnam where the market is expected to install over 2 gigawatts next year. We anticipated and planned for the growth in Vietnam and are confident that we’re ideally positioned to benefit from the long-term growth opportunity there. In the region, markets such as Malaysia and Thailand are also growing, showing good market potential next year.
While the Indian safeguard duty announced in September created some turbulence for the market, the government remains committed to its ambitious solar plans. According to the market intelligence, India is aiming for adding 10 to 11.5 gigawatt and 14.7 to 16.2 gigawatt installation target for 2018 and 2019 respectively and reach the 2022 cumulative installation target from 175 gigawatt to 227 gigawatt.
The depreciation of the local currency is creating some short-term pressure for developers. But, we are optimistic about the long-term future of the Indian market and will closely monitor the situation there, while adjust our strategy accordingly.
European markets are doing well, despite the short-term fluctuation of module prices after the expiration of minimum import price. With these investments, we’ll actually accelerate the sales grid parity, resulting in an increased demand, especially in the UK, Italy, Spain and Greece. In fact, many European countries are very close to grid parity or have already achieved it. Grid parity will bring about more demand across European countries.
Emerging markets are gradually becoming the main drivers of global demand and accounted for the biggest portion of JinkoSolar’s total shipment in Q3. This growth was driven by manufactures including large scale applications of new technologies and products in Latin America, rapid growth in Mexico, and expansion of Brazil’s GT market.
JinkoSolar retained its market leadership in a number of Latin American, the Middle East and African markets. We will leverage our cutting edge products and extensive self distribution network to promote our products in these regions.
ASPs in Q3 decreased slightly compared to the previous quarter, while as Mr. Chen just mentioned, our continued efforts to develop highly efficient products is helping us to cut cost and stay ahead of the market. As solar efficiency increases and cost decreases, the competitiveness of solar energy versus other energy sources will improve and help increase the pace towards grid parity. 
JinkoSolar continues to demonstrate that our product quality, technology and reliability are leading the market. As a strong testimony of our efforts, Bloomberg New Energy Finance again in this quarter named the JinkoSolar as the most bankable PV manufacturer for the second consecutive year. Also, for the first time, we received the best brand of the year award by the World Brand Forum. The growing list of accolades awarded to JinkoSolar reflects the recognition of our brand, our products and our strong position in the market.
We continued to build and develop new marketing and technical capabilities during the quarter. After lunching our new flagship Cheetah series in Q2, JinkoSolar attended 9 exhibitions and 35 conferences worldwide as part of our promotional efforts in Q3. We also hosted 15 major customer events and 115 co-marketing events with key partners across the globe. These global marketing events allowed us to reach new and existing customers and educate them on our high quality products with cutting edge technology.
With that, I will turn it over to Charlie."
Haiyun Cao,0,"Thank you, Gener. I would like to walk you through our Q3 results.
Total solar module shipments were 2.95 gigawatts, up 6% sequentially, and up 24% year-over-year. Total revenue was $975 million, up 11% sequentially. The sequential increase was due to a strong solar module shipment. Gross profit was $145 million, compared to $110 million in Q2. Thanks to the increase in shipment of solar modules and a CVD reversal. The gross profit in Q3 includes the benefits of CVD reversal of $20 million based on the final results in the administrative review, published by the U.S. Department of Commerce.
Gross Margin was 14.9% or 12.8% excluding the CVD reversal benefit, compared to 12% in Q2. We achieved a higher gross margin through a combination of our diversified, strong global sales and continued cost reduction. The operating expenses represented 12.1% of total revenue compared to 10.4% in Q2; the increase is due to the increase of shipping costs as a percentage of revenue with lower ASP and more module shipments out of China. We also invested more efforts on sales and marketing efforts to solidify our leading brands.
Next exchange gain was $14 million, compared to $3 million in Q2, due to the continued RMB depreciation against the U.S. dollar. EBITDA was $74 million compared to $59 million in Q2. Net income significantly increased to $27.5 million compared to $15 million in Q2. Non-GAAP net income was $30 million; this translates into non-GAAP diluted earnings per ADS of $0.76.
Now, moving to the balance sheet. The Company had $442 million in cash, cash equivalents and restricted cash compared to $387 million at the end of Q2. The accounts receivables were $955 million, down from $1.1 billion at the end of Q2. Inventories were $810 million, down from $890 million at the end of Q2. The total debt was $1.4 billion, compared to $1.4 million at the end of Q2.
Overall, we closed Q3 with strong results. Our leading market position, outstanding products and strong execution continued to strengthen our competitiveness. At this moment, we’re happy to take your questions. Operator?"
Operator,1,[Operator instructions] Your first question comes from Maheep from Credit Suisse. Your line is now open. Please go ahead.
Maheep Mandloi,1,"Good evening and thanks for taking questions. So, to start with, could you talk about the earnings impact from the CVD reversal in the quarter and how should we think about CVD reversal in Q4 and 2019?"
Haiyun Cao,1,"So, Maheep, this is Charlie. And for the CVD reversal, in general, it’s no specific one-time situation; it’s related to the 2015 regarding our Countervailing Duty we paid. And based on the final results announced by U.S. Department of Commerce in July this year and which after would after the impact -- the impact to the Q3 is around $20 million. But, if you look at the impact to net income, you need to think about the tax impact, which is around 25% in U.S. So, in general for Q3, the impact is -- to the gross profit, the impact is $20 million and to the net income impact is around I think $15 million.
And looking to the Q4, it’s a very special situation, since the U.S. Department of Commerce has cut down the rates, they added down Counter Veiling rates again in October. So, the impact is around $9 million in Q4, and we’re going to record an impact in Q4 this year. But, looking to the 2019, we don’t expect any -- same kind of the long-term Counter Veiling Duty reversal next year."
Maheep Mandloi,1,"And that’s $9 million gross profit impact, right, in Q4?"
Haiyun Cao,1,"Yes, in Q4 and -- yes, you’re right."
