speaker,q&a,content
Robert MacLeod,0,"Good morning, everybody, and welcome to Johnson Matthey's full year results presentation. We had a good year, this year, delivering what we promised a year ago for both sales and operating profit. Our return on invested capital was down slightly, which we will cover in a bit more detail shortly.
We increased the final dividend by 7%, reflecting our confidence in the prospects of the group for the medium and long term. And we've also made significant progress in executing our strategy. And I'll come in -- on to this shortly, but as very brief word from me now, but then I'll hand over to Anna to go through the financials in more detail. Anna?"
Anna Manz,0,"Thank you, Robert. Good morning, everyone. We had a good year. We delivered results in line with our expectations at start of the year. Sales were up 8% and underlying operating profit was up 2%, with a slight translational FX benefit. At constant rates, sales were up 7%. Underlying operating profit at constant rates was flat, impacted by the comparison against last year's post-retirement medical benefit credit.
Excluding this, underlying operating profit was up 4%. Underlying EPS was flat as translational FX benefits were offset by higher net finance charges and higher underlying tax rate. Sales grew 7%, which was slightly ahead of our full year guidance of 6% and an acceleration in the second half. It was led by strong growth in Clean Air, supported by continued growth in Efficient Natural Resources and Health. And for the group as a whole, I expect this strong momentum to continue into the next year.
Now turning to operating profit. Operating profit was in line with guidance, flat at constant rates. We also benefited by £9 million from translational FX. As I've said to you already, we lacked a £17 million credit on our U.S. post-retirement medical benefit plan, and throughout this presentation, I will refer to our performance excluding it. During the year, we've taken action to improve the quality and efficiency of our business, which has delivered cost savings but has also, in some cases, come with some additional costs in the short term.
I'll go into these in more detail as I go through the sectors, but for example, in Efficient Natural Resources, we delivered cost savings through restructuring to simplify our organization, whilst incurring costs through improving our inventory management and destocking, while in Health, we started to optimize our manufacturing footprint. Also, costs in relation to group initiatives have increased, some of which are part of corporate costs, while others are within sectors.
We continued to invest in group efficiency initiatives such as our global procurement program and in addition, had increased legal costs. So while these actions impacted profit this year, they are creating the platform for us to deliver the strategy that we laid out at our Capital Markets Day last year. Clean Air performed strongly, delivering sales growth of 9%, outperforming global vehicle production in both light and heavy duty in a year with minimal benefits from legislation.
I'm pleased with the performance of our European Light Duty business, which was flat for the full year. Here we saw growth of 3% in the second half, having been down 3% in the first half. Growth in gasoline was ahead of our expectations, up 23%, with increasing sales to customers with large and more complex platforms. It was offset by a 4% decline in diesel sales. The diesel market was flat year-on-year.
And our sales declined due to lower pass-through substrate costs, which we talked about at the half year. We did not see the half two growth we expected in diesel, as one customer slightly delayed a platform launch from December to March, but we do remain on track to reach our 65% share of European Light Duty diesel vehicles by March 2019. Our Light Duty business in both Asia and the Americas outperformed their respective markets.
In Heavy Duty, we saw a continuation of the trends from the first half with continued double-digit growth, and we outperformed the truck production in every region. The recovery in the U.S. Class 8 trucks came through in the year, with Class 8 truck production up 30%. And whilst we expected continued growth in 2018, '19, it will moderate significantly. Our Chinese business continued to grow strongly from a low base, supported by strong growth in the Asian truck market, the Chinese truck market, as it continues to adjust to the enforcement of the truck loading weight limits, though growth was lower in the second half. Our European Heavy Duty business also outperformed the 5% growth in the market, helped by the continued ramp-up of our business wins. Margin in Clean Air was maintained, and operating profit grew in line with sales.
Turning to the outlook. Sales growth in 2018, '19 will continue to be strong, led by the share gains in the European Light Duty diesel, which will ramp up throughout the year. We have previously expected that the margin could be negatively impacted by up to one percentage point due to that quick ramp-up of these share gains. However, due to the ongoing efficiency initiatives, including procurement, margin is now expected to be broadly stable.
Efficient Natural Resources. Sales here were up 4%, with good growth across the majority of the business. As expected, within Catalyst Technologies, our licensing business was significantly down. Demand here is driven by new plant builds, and that has been subdued. Licensing income has now reached the bottom. And while there are early signs of improved activity in some markets in which we operate, we don't forecast a recovery in licensing income in the near term. Sales of refill catalysts and additives into existing plants were strong, and we outperformed our markets in aggregate. Pgm Services was also strong, benefiting from higher precious metal prices.
Operating profit was down 2%, and margin was down 0.7 percentage points. As guided, the decline in high-margin licensing business did impact our profitability. We also had various additional costs in the year associated with improving the efficiency of our business, principally in relation to destocking as we better manage our inventory. These more than offset the benefit of higher precious metal prices, transactional FX as well as the expected cost savings associated with the de-layering across our business.
Significant action has been taken this year to improve the quality of our business, simplifying our organization and our investment and aligning it behind the customers and products which will deliver both higher growth for the future and improved margins. In 2018, '19, we expect slight sales growth. And operating profit will grow ahead of this. In addition, we will see a full year of cost savings in relation to the restructuring program.
Sales in Health were up 6%, with most of the key trends from the first half continuing through the second half. In Generics, sales were flat. Sales of controlled APIs were down as expected, driven by APIs for ADHD treatments. However, sales of noncontrolled APIs grew strongly as we continued to benefit from the increased contribution of dofetilide. The innovator business also grew strongly, with improvements in both pricing and volume.
Operating profit was down 9%, and margin declined 2.9 percentage points. Whilst sales of APIs increased margin, we saw a manufacturing cost increase in the period. These costs were driven by the optimization of our manufacturing footprint as we build a more efficient platform to support breakthrough growth. They included starting to commission a new Annan plant and preparations for the closure of our riverside plant in the U.S. This optimization had associated costs in the short term but will deliver a significant saving once Annan is fully operational in 2020, 2021.
For '18, '19, as we guided previously, we're expecting operating profit to be down. Several API products with higher profitability move into decline in '18, '19, while launches of new API products only have a small contribution in the year. We will see a small net benefit in relation to our footprint optimization. We expect performance to be weighted to the second half, given the life cycle of current portfolio and existing APIs and the visibility we have on those customer launches.
Looking at New Markets. LFP battery materials sales continued to be lower, impacting New Markets overall. This was principally due to changes in electric vehicle tax incentives in China, which has led to the increased substitution of LFP with high-energy materials. We continued to make really good progress in the development of our next-generation, ultrahigh-density battery material, eLNO, and Robert will talk more about this later.
Other parts of the business performed well, with sales from fuel cells growing more than 50% in the year and Medical Device Components growing 8%. Operating profit grew 60%, as we lapped a £5 million impairment charge last year. Excluding this, operating profit was broadly flat, despite increased investment in eLNO. Looking to '18, '19, New Markets will deliver sales and operating profit growth.
Moving down the income statement. As flagged, finance charges increased in the second half, with higher costs to fund metal across the group. This was led by higher metal prices and reduced liquidity in the palladium market, which resulted in higher lease rates. Finance charges are also expected to be slightly higher again next year. Although metal funding costs will reduce, this will be offset by higher interest rates. The underlying tax rate increased from 17% to 17.7%, as we had guided. And for '18, '19, the tax rate will reduce to around 16%, following the lowering of the U.S. corporate tax rate.
Underlying EPS is broadly flat, as the benefit of translational FX was offset by higher finance and tax charges. The board is recommending a final dividend of 58.25p. This brings the total dividend per share to 80p for the year, a 7% increase. This reflects our confidence in the strong future prospects for the group. Our reported results were impacted by some one-off items. We've made great progress as we drive efficiency in the business and optimize our manufacturing footprint.
We incurred £90 million of impairment and restructuring charges, of which £43 million related to the program which I announced to you this time last year. Additionally, as I mentioned, we're closing our Riverside plant, which had a £36 million charge associated with it. Cash costs associated with this impairment and restructuring were £13 million in the year, and there'll be a further £10 million in '18, '19. We also had a legal settlement during the course of the year, of which around 2/3 was cash, paid during the year and made a small loss on disposal of our automotive battery systems business.
Free cash flow was £136 million compared to £230 million last year, with the reduction reflecting higher working capital, which I'll explain to you in more detail on the next slide. Our focus on working capital this year has led to an improvement in our working capital days, excluding precious metal, from 54 days last year to 50 days this year. Sales grew strongly in the year. And although precious metal working -- non-precious metal working capital was an outflow, disciplined working capital management constrained the increase, but what is really important is the ongoing levels of working capital in the business throughout the year.
Here we've also seen a significant improvement in the average working capital days by seven days to 62. Whilst managing precious metals across the group is a core competence and a key competitive advantage, movements in metal working capital can be volatile, as they are a function of our customers' choices rather than our own. Precious metal working capital was higher throughout the year, given the higher metal prices and reduced liquidity in the market.
In this environment, we held greater safety stock, and our customers stored less metal with us. And we saw an increase in refinery backlogs as customers sought to refine more scrap. We've made improvements in our metal working capital cycle, although this was not sufficient to offset the external pressures we faced. Overall, our focus here has enabled us to restrict growth in total working capital to below that of sales growth despite the movement in metal. We will continue to drive underlying improvement in working capital throughout the year.
We continue our disciplined investment to support future growth, with CapEx of £217 million in the year. This was below our previous guidance for two reasons: firstly, lower-than-expected spend on our Clean Air plant in Poland due to permitting delays; and secondly, more rigorous capital allocation across the group. For '18, '19, I continue to expect a significant increase in CapEx, up to £390 million, as we increase our CapEx on growth projects. In Clean Air, we will invest in Poland and China.
We will continue to invest in the Health pipeline and on our eLNO demonstration and commercial plants. Spend on improving business systems continues, with the first go-live of SAP scheduled for later this summer. This, of course, will be the trigger for us to start depreciating our investment. And overall, we expect the group depreciation charge to increase next year by around £7 million. Rigorous resource allocation and, within that, CapEx spend remains a key focus for me. Whilst CapEx-to-depreciation will be higher than 2x in '18, '19, this will average out to around 1.8x over the medium term.
Moving to the balance sheet. Net debt has increased £37 million since the prior year-end, a £212 million decrease since the half year. Our balance sheet remained strong, with net debt-to-EBITDA at 1.1x. We target net debt-to-EBITDA of 1.5 to 2x, allowing us to invest in value-enhancing opportunities which accelerate our growth and meet our criteria. Whilst rigorous -- while currently below our target range, it ensures that we have the flexibility to invest further for the future growth, as I outlined earlier.
Our return on invested capital declined to 16.4%. The higher U.K. pension asset and precious metal working capital were the key drivers. As I've already talked about, precious metal working capital has been volatile and was higher on average throughout the year. Excluding the movement on the U.K. pension asset, return on invested capital would have declined to 17.1%. Also, as I've mentioned, we're continuing to invest for the future, both in terms of capital expenditure and additional costs relating to improving the quality of our business. The investments we are making drive growth in the future, and so we will see our return on invested capital improve as these investments bear fruit.
I outlined three focus areas when I started: rigorous resource allocation, disciplined management of working capital and increasing the efficiency of our business. These remain key and will support our ambition for sustained improvements in our return on invested capital. I'm really pleased with the significant progress across these areas in the year.
Our focus on rigorous and transparent resource allocation will drive ROIC to 20% over the medium term. For example, we've accelerated R&D spend in areas of high potential such as eLNO. And we've taken a rigorous approach to stopping spend in areas where we're either failing to hit milestones or where the opportunity is not meeting our criteria. Disciplined management of working capital, as I talked to you about earlier, we've made significant improvements in this area, and I'm really pleased with our progress.
Increasing business-wide efficiency is something that is delivering results across a number of the sectors already. And there's more to come over the medium term as we start to see the benefits of the manufacturing optimization, the procurement program and the implementation of SAP. These will help us maintain our margins in Clean Air next year. The margin in Efficient Natural Resources will improve. And Health margin expansion will take a little longer but will benefit from the actions that we've taken on our manufacturing footprint.
On SAP, we're moving from over 40 ledger systems to one global system. We won't see the benefits of this for a few years as SAP rolls out gradually. However, we are incurring the costs now, but this is all part of investing for future growth. Specifically on procurement, we've identified new opportunities. This has increased our expected savings to around £60 million, of which roughly 3/4 will directly benefit the P&L over the next three years.
We're progressing ahead of schedule, having already secured our first £13 million of savings to benefit '18, '19. We will be reinvesting some of these benefits in the early years as we catch up on a period of underinvestment in parts of the group. Over the longer term, this gives us a huge opportunity to create efficiency, but we have to get the platform right first.
So moving to the overall outlook for the next year. For '18, '19, we expect to deliver mid to high single digit growth at constant rates. This will be led by Clean Air, which will continue to be strong as diesel share comes through in Light Duty Europe. We will deliver this group performance despite an increase in costs associated with group efficiency programs, some of which sit in corporate costs and some of which are within the sectors.
We will see a stronger second half with our normal seasonality as well as Health being weighted to the second half, as I mentioned. Currently, we expect a £6 million adverse impact on underlying operating profit from foreign exchange translation. I will continue to focus on working capital, targeting a further reduction in average working capital days. And as mentioned, CapEx will be up to £390 million. I'm looking forward to another exciting year as we continue to deliver on the strategy that we set out at the Capital Markets Day.
And I'll now hand back to Robert to take you through this in more detail."
Robert MacLeod,0,"Thank you, Anna. Now to give you some further detail on how we're progressing on our strategy. This slide sums up what JM is all about. We're a world-class technology company, and our core is our chemistry. Our world-class chemists use their expertise to solve complex problems for our customers. Our skills in chemistry and our ability to scale it up to solve problems is our main competitive advantage, enabling us to build close, collaborative relationships with current and future customers.
We focus on high-margin, technology-driven growth markets and in those markets where the combination of our chemistry and customer focus gives us leadership. We invest heavily in R&D and extend those leadership positions, which in turn keeps us close to our customers. All of this is underpinned by a relentless focus on operational efficiency. We deliver our strategy through our four sectors, where we have clear visibility for sustained growth in Clean Air, where share gains in Europe and tighter legislation across the world will provide good growth while we navigate the changing powertrain landscape.
Focused investment and an improved business will allow our Efficient Natural Resource sector to grow ahead of its markets, and our focus on efficiency will enable profit to grow ahead of sales. We are positioning ourselves for breakout growth in Health, taking action in the year to build the platform that will deliver the growth in our pipeline and around an additional £100 million of operating profit by 2025. And we are progressing well with our exciting plans to deliver breakout growth in Battery Materials through our next-generation eLNO materials. I'll go into this in more detail shortly.
Of course, all of this growth is supported through our focus on efficiency across the group, where Anna already talked you through some of the great progress we're making there, so now I'll move on to our progress by sector. And what we are showing here is how we are progressing against the milestones we set out last year. Not all are green, but on the whole, we're making huge strides in improving the company to deliver what we promised.
In Clean Air, we deliver our strategy through our global leadership, working closely with our customers to meet tightening legislation. For example, our agility and technical leadership enabled us to move quickly to serve our customers at a key point in time when the market was going through a lot of change. This technical leadership and agility was a key driver for the share gains we have made in Europe and continues to be one of our key differentiators. And of course, we have to have a highly efficient manufacturing footprint behind this.
Some specific milestones are laid out here on the slide, and you can see that we are progressing well. As we've outlined, our growth in Light Duty Europe will be driven by a combination of share gains and increasing value per catalyst over the next few years. Firstly, on the share gains in European Light Duty diesel, we expect to gain around 20 percentage points of share over the next year, to reach around 65% share by the end of '18, '19. It's worth talking here to the share of diesel for the market as a whole in Europe.
Our strategy for Clean Air, as set out on our Capital Markets Day, assumes a decline in Western European Light Duty diesel sales to 25% in 2025, but looking at cars alone, that equates to 20% in 2025. In the last year, diesel sales of new cars in Western Europe declined from 49% to 42%. And in April, the first month of our new year, diesel sales were just 37%. The current period of volatility has required the OEMs to rapidly adjust their platform mix, but it's important to note that these recent trends are consistent with our assumptions on diesel share. And you will have seen that we're also doing well in gasoline.
We still expect to gain around five percentage points in gasoline as the adoption of Euro 6c ramps up. The business we've won gives us confidence that we will deliver these gains, though they come through over time by 2021. In China, we are continuing to help customers meet the upcoming China 6 legislation, which is anticipated to come in from 2021, for both cars and trucks. We expect to maintain our share in light duty as China 6 comes in, and we're on track with the businesses -- business we have won to date. There may be some opportunity for us to grow share in the heavy duty segment, but at the moment, we're planning a consistent share.
The final milestone shown here is to expand and enhance our capability and capacity to support this growth. We need a larger manufacturing footprint, and we're building in more flexibility, important for agility and also to support margins in the sector over the period. We've started our investment in Poland, and while there's been a small delay due to permitting, we're on track to see a production ramp-up in line with our business expansion. And we've approved the building of a plant in China to serve the mass expansion of our business from China 6. In addition to these, there are further value drivers, including good growth in Heavy Duty and significant growth in both light and the heavy segments in India.
So good progress for Clean Air, reflecting the momentum for delivery we have in this business. All of this delivers mid-single-digit CAGR sales growth over the next 10 years, while keeping margins broadly stable. On margins, I'm very pleased with the work that John and his team have done on efficiencies. Plus, procurement benefits will enable us to keep margins broadly stable next year, ahead of our original expectations.
In Efficient Natural Resources, we deliver our strategy through our leadership positions in almost all of our sub-segments, our targeted investment by segment and region, focused R&D in areas of high returns and a continued focus on efficiency. You can see here four key milestones, and we're making good progress, with more benefits to follow as the work Jane is doing continues to improve the business.
Firstly, sales growth ahead of our markets. Over the medium term, we expect to grow about one percentage point above our markets, excluding PGMS, where we expect low single-digit growth. Next year, sales growth will be modest and thus slightly behind our longer-term plan but broadly in line with the growth in our markets. This partly reflects the impact of our focus on quality business, which hits the short term but delivers greater value in the medium and long term. In addition to sales growth, we will deliver operating profit growth ahead of sales. We are on track to deliver this as the efficiencies we are driving in the business are helping us to expand our margin.
Jane and the team have completed a detailed review of our product portfolio this year. The actions from that review will be implemented over the next two years as we focus on the higher-quality parts of the business, delivering improved value. And we continue to look at additional opportunities within this space, looking at new and adjacent areas that can benefit from our chemistry and technology. One example here is the work we've done on turning waste into aviation fuel. Early days, but this could be an interesting area for licensing catalyst income in future years. There are plenty of other examples, and we look forward to providing more updates in time.
So mainly green as we continue to improve the quality of our business. Some of the benefits from our actions take a while to come through. In fact, some incur additional costs in the short run, but we're setting out the platform for the medium and long term. So we're on track in Efficient Natural Resources to deliver the sales and operating growth we have promised.
In Health, we deliver our strategy through driving value from our existing business; focusing on operating efficiencies and targeted high-value products; delivering growth from our new API product portfolio; and enhancing through ongoing R&D investment our position as a technology partner of choice to both innovator and generic customers alike. We recently appointed Jason Apter to lead the sector and deliver this strategy. Jason is here this morning to take any questions you may have and, of course, meet you all.
There are a number of milestones for us in Health, particularly in commercializing our pipeline. And we put on this slide the biggest three for the sector. Firstly, looking at our manufacturing footprint, we announced the closure of our Riverside plant. This is in line with our focus on complex, high-value, low-volume APIs rather than the bulk quantity manufacturing Riverside is designed for. Furthermore, we continued to develop our site in Annan, and this will provide the efficient platform to deliver value for our existing global product portfolio.
At the Capital Markets Day, we also talked about delivering growth from our existing business. This year, our sales of ADHD APIs in bulk opiates in Europe were lower, although sales of specialty opiates grew strongly. The third milestone is the continued development of our new product portfolio, which remains on track to deliver around £100 million of additional operating profit by 2025, as I will show you on the next slide.
This top chart is an update to the chart shown in our Capital Markets Day last September. As you can see, we're still on track to deliver around £100 million of additional profit by '24, '25. This is based on the output of a detailed Monte Carlo model we continually run and is risk adjusted. Below this, we are giving some additional detail on how the pipeline is progressing. Our API products move from development to market through key stages: from the early stage to formulation development, to filing and obtaining regulatory approval, through to launch, all of which involves working closely with our customers.
And so the timings are a function of our delivery, our customers' timings and the time it takes to get regulatory approval and launch, so what about our progress in the year? As you can see, no launches yet, but that was what we expected, three have moved into the regulatory stage to bring this total to 5. And these are all expected to be launched in the next three years. There is no net movement in the formulation development stage, reflecting the three that have moved into the regulatory -- sorry, four that have moved in -- three that have moved into the regulatory phase, being replaced by those moving in from earlier stages.
And a net reduction of two in the early stage is reflecting those products moving along the process, some things stopped and some new ones being added. So on to Battery Materials and our progress in developing and commercializing our next-generation eLNO materials. I'll spend some time on this topic, as it's such an exciting opportunity for us. I will update you on our focus on the market for ultrahigh-energy-density materials that will help enable the mass adoption of pure battery-electric vehicles. And I'll provide some further evidence of the leading qualities of eLNO.
We're making good progress working with our customers, and feedback continues to be excellent. We are also progressing well with our scale-up plans. The board has approved the building of a 1,000 ton demonstration plant in the U.K., and this is larger than we originally planned and should come onstream in late 2019. Our plans for our full-scale commercial plant are also on track. And we are working towards full board approval this summer, as we previously outlined. And of course, we're already thinking about capacity beyond our first plant, above 10,000 tons, though the detail on that will follow in more -- in time.
eLNO is the next-generation material. It is beyond what's in the market today and will help enable the mass adoption of pure battery-electric vehicles. Most materials today end up in the mild to plug-in hybrids. We want to help customers move to the next stage. The chart on the left illustrates how the market is moving to higher energy densities. The current landscape is dominated by NMC532, 622 and NCA. eLNO competes against materials not yet available in the markets, including NMC811 and advanced NCA.
These form the ultrahigh-energy-density market. We've given on the right here some indication of the size of market. By 2030, we expect the ultrahigh-energy-density market to be around 500,000 to 1.8 million tons per year, amounting to around 1/3 to 2/3 of the total cathode market. This is our focus. We're not seeking entry into today's market. We could easily produce a copycat product and move faster, but what -- we are doing what JM does best, maximizing the value of our chemistry. This should enable us to earn higher margins and returns.
eLNO offers a step change in energy density over current materials and lower cobalt content. I know many of you know -- many of you want more validation of its performance. And obviously, we're limited in how much we can give you, for commercial reasons, so what we are showing you here today is the results of independent testing carried out for us by QinetiQ. This shows the performance of eLNO compared with the current materials in the market and the next-generation materials. eLNO's relative performance improves when we look at cycle life and how it performs over time, a key metric used by our customers.
So not only do we have the material with a highest energy density today, but eLNO's performance continues for longer and helps enable a lower total cost over the useful life. It is this overall performance that is attractive to our customers. We have firm plans to commercialize eLNO. Having a leading material, we're able to be thoughtful about which customers we work with first. And we're working with large multinational automotive and cell OEMs that will play an active role in specifying cathode materials and who will benefit most from eLNO.
As I've mentioned previously, the customers we are working with have been very positive by the characteristics of eLNO. So here's a summary of the route to market. We are currently in the validation cycle and making great progress. Customer feedback, as I said before, remains excellent. The next stage is moving to providing A samples, typically up to 10 tons per platform, which we will start supplying in 2019. Then we progress up to B samples, typically up to 200 tons per platform and involving more extensive testing and then C samples, again with more material. This is the stage you bid for and win platforms
 Now throughout the sampling process, we will see sales, as these are sizable quantities that we will be providing to customers, and they are prepared to pay for that. Supporting all of this is the scale-up of our manufacturing capability, including completing the expansion of our pilot plant this summer, and this will give us the capacity to make up to 10 metric tons per year, building our demonstration-scale plant, which will be in the U.K. and, as I've said, have 1,000 tons capacity, double the 500 tons that we originally intended, which should be completed by late 2019. We're also building our first customer application center here in the U.K., and plans for our commercial plant are progressing well.
We will build this plant in Europe, in line with the development of the supply chain there. So a very exciting area for JM and lots of good progress. The key point here is that we're moving as fast as we can. The timelines are partly a function of how fast our customers move. And building our first plant to a size of 10,000 tons is the quickest route to market for us. As I said, we're all, of course, thinking about our plans beyond the next -- the first 10,000 tons of capacity. And we'll be building our first plant, with expansion plans in mind.
So to recap on eLNO. We are focused on the ultrahigh-energy-density market, a market that doesn't exist today but one that will be a key enabler of growth in the BEV market in the future. Customer testing and early validation is progressing well. Our demonstration scale plant has been approved by the board and is on track. We are progressing the commercial plant, and formal approval is expected by the board this summer, and as I said, we're building that in Europe. And we're developing our plans beyond 10,000 tons.
So to conclude for the group, I'm pleased with our performance in the last year. Overall, we had a good year. Progressing, our strategy while delivering results in line with our expectations. We see a strong year ahead with mid to high single digit growth, further progress on operational efficiency and stepped up capital investment to deliver growth. And we're on track to deliver in the medium term too, mid to high single digit EPS CAGR, expanding our return on invested capital to 20% and continuing our progressive dividend.
So thank you for your time this morning. I'll now invite join to -- John to join Anna and myself on stage. And we have Jane, Jason and Alan in the front row, all ready to take your questions."
A - Robert MacLeod,1,"So who would like to go first, if anybody? Andrew. Who's going to -- somebody bring a mic. Victoria [ph]? Thank you."
Andrew Stott,1,"Andrew Stott, UBS. A couple questions, both on Health. The underlying performance of Health in the second half, I'm after. There was two impacts on where -- there was inventory write-down and then the impact of Annan rollout. So can you give me an idea of the underlying EBIT number if you strip out those two things? And then if I look at the chart, you repeated, in effect, on the pipeline. When you -- it's hard to scale to the naked eye, but it looks like about £10 million for 2020 FY. Do we take that as a net number? Or are you still going to have contracts expiring on the original slate as we are this year?"
Robert MacLeod,1,"Okay, Anna, do -- the inventory write-down and Annan, do you want to give the color on that?"
Anna Manz,1,"Yes. So if you look over the full year in Health, we saw strong sales growth of 6%. If you exclude the manufacturing costs, we would have seen profit growth ahead of that because that's -- we saw some good pricing, but we had an inventory write-down and the costs in Annan, which is why you then see a profit decline. So operating profit growth would have been ahead of sales growth. I won't tell you exactly how much."
Robert MacLeod,1,"Okay. And on the pipeline, you're right. It's -- I'm not trying to trick you by having the scale and making it difficult for you to see for the naked eye. There is some range in these things, so we can't be so precise. These numbers are net of the costs of taking the pipeline through to the conclusion, the sort of £100 million that we'll get to in 2025. There are, of course, as you know, some of the products that will -- the existing products will sort of decline a little bit, and so that is not factored into that chart. That chart is all about the sort of the non-launched products that we have today. They're in the pipeline. So the ones that are launched today, well, of course, they will fluctuate depending upon the performance of those products."
Andrew Stott,1,"Okay. And sorry, just to follow up, a separate question but similar theme. The licensing income, can I just check on process gaps, that is. Year-on-year, we're now flat. Is that what you're saying? So we stop going down when you think about '19 and '18?"
Anna Manz,1,"Yes, it's exactly right."
