type,name
Executives,Robert MacLeod - CEO
Executives,Anna Manz - CFO
Executives,Alan Nelson - CTO and Division Director of New Businesses
Executives,Jane Toogood - Division Director of Precious Metal Products
Executives,John Walker - Executive Director of Emission Control Technologies & Executive Director
Analysts,Andrew Stott - UBS
Analysts,Adam Collins - Liberum
Analysts,Chetan Udeshi - JP Morgan
Analysts,Sebastian Bray - Berenberg Bank
Analysts,Martin Evans - HSBC
Analysts,Charlie Webb - Morgan Stanley
Analysts,Charlie Greig - Citi
Analysts,Jean-Baptiste Rolland - Bank of America Merrill Lynch
