speaker,q&a,content
Operator,0,"Thank you for standing by for Jupai's First Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. After management's prepared remarks, there will be a question-and-answer session. Please note today's conference call is being recorded. If you have any objections, you may disconnect at any time.
I’d like to turn the meeting over to your host for today's conference Mr. Harry He, Jupai's Investor Relations Director."
Harry He,0,"Hello everyone and welcome to Jupai's earnings conference call for the first quarter ended march 31st, 2018. Leading the call today is Mr. Jianda Ni, our Chairman and CEO, who will review the highlights for the first quarter2018; I will then discuss our financial results. We will then open the call to questions, at which time our CFO, Ms. Min Liu, will also be available.
Before we continue, I refer you to our Safe Harbor statement in the earnings press release, which applies to this call as we will make forward-looking statements. Also, this call includes discussions of certain non-GAAP financial measures. Please refer to our earnings release, which contains a reconciliation of non-GAAP measures to the most directly comparable GAAP measures. Finally, please note that unless otherwise stated, all figures mentioned during this conference call are in Renminbi.
I will now turn the call over to Mr. Jianda Ni, our Chairman and CEO and I will do the interpretations for you."
Jianda Ni,0,"[Foreign Language] 
Thank you, Harry, and welcome everyone to today’s conference call. 
[Foreign Language] 
Jupai had a solid first quarter of 2018 which boasts top and bottom line results surpassing expectations while net revenues for the quarter increased to RMB433.2 million at a year-over-year growth rate of 17.5%. The equity value of wealth management product distributed by Jupai saw a year-over-year decrease to RMB10.9 billion due to the Chinese New Year holiday as well as regulatory changes. 
We’ve benefitted however from enhanced bargaining power with real estate companies which have been facing higher cost of capital due to recent policy changes. As a result, Jupai’s average one-time commission rate for the quarter rose to approximately 2.5% as compared to 2% for the full year of 2017. 
Net income attributable to ordinary shareholders for the quarter reached RMB115.9 million, up 27.8 % year-over-year with net profit margin rising to 26.7% from 24.6% in the same period of last year.
[Foreign language]
To adopt to the newly introduced industry regulations in the first quarter of 2018, Jupai averaged our rich experience and resources in the real estate industry to accelerate development of our real estate equity related products, including mezzanine investments, convertible bonds and MAA funds. We have received very positive feedback on those products with our total assets under management reaching RMB54.5 billion as of March 31, 2018, representing a 26.5% year-over-year increase. 
[Foreign language]
We believe that there is a solid performance we've achieved in the first quarter, reflects our team's capability to adopt to market changes and launch new product which satisfy both regulatory requirements and a customer needs and leveraging our rigorous risk control system Jupai will further broaden our product portfolio to better fulfill customers wealth management and asset allocation needs. We are optimistic that Jupai will maintain a healthy growth in 2018 as management focus on building China's leading wealth and asset management brand. 
[Foreign language]
I will now turn the call over to Ms. Harry He, our Investor Relations Director to go through the financials in more detail. Thank you. "
Harry He,0,"Thank you, [Ni Dong]. Over the first quarter of 2018, Jupai's business continue to grow steadily as we further optimize the company's cost structure and operating efficiency, which help to drive our operating margin to 35.2%. As we look to achieve additional cost efficiencies, we remain confident in our bottom line growth outlook for 2018. 
Now let me walk you through our financial highlights for the first quarter of 2018. Net revenues for the first quarter of 2018 was RMB433.2 million, a 17.5% increase from corresponding period in 2017, primarily due to increases in onetime commissions and a recurring management fee. 
Net revenues from onetime commissions for the first quarter of 2018 were RMB276.4 million, a 17.8% from corresponding period in 2017, primarily as a result of our increase in fee rate. Net revenues from recurring management fees for the first quarter of 2018 were RMB122.9 million, and 81.8% increase from corresponding period in 2017 primarily due to our increase in the value of assets under management. The company recognized the RMB20.7 million and RMB1.7 million carried interest for the first quarter of 2018 and '17 respectively. Net revenues from recurring service fees for the first quarter of 2018 were RMB15.1 million, 42.6% decrease from corresponding period in 2017, primarily because the company provided ongoing service to fewer product suppliers.
The company recognized RMB1.4 million were above performance fees in the first quarter of 2018 and ’17 respectively. Net revenues from other service fees for the first quarter of 2018 were RMB18.8 million, a 53.1% decrease from corresponding period in 2017, primarily due to decreases in sub-advisory fees collected from other companies. Starting from the January 1, 2018, the company adopted accounting standards update 2014-09, revenue from contracts with customers on a modified-retrospective basis. The adoption has no material impact on the company’s financial positions, results of operations, or cash flows. 
Operating costs and expenses for the first quarter of 2018 were RMB280.7 million, an increase of 15.3% from corresponding period in 2017, largely due to higher marketing expenses as well as G&A cost. Operating margin for the first quarter of 2018 was 35.2%, compared to 34% for the corresponding period in 2017. 
Net income attributable to ordinary shareholders for the first quarter of 2018 was RMB115.9 million, a 27.8% increase from corresponding period in 2017.
Net margin attributable to ordinary shareholders for the first quarter of 2018 was 26.7%, as compared to 24.6% for the corresponding period in 2017. Net income attributable to ordinary shareholders per basic diluted American depositary share for the first quarter of 2018 was RMB3.5 million and RMB3.3 million, respectively, as compared to RMB2.81 million and RMB2.69, respectively, for the corresponding period in 2017.
The industry regulations newly introduced on March 28, 2018 emphasize that the asset management businesses conducted through the internet are subject to oversight from financial regulatory authorities. Pursuant to these new regulations, Shanghai Runju Financial Information Service non-controlling investee of Jupai, has formulated a new business plan to adjust to its business model. Based on management’s latest evaluation, no impairment loss needs to be recorded for the first quarter ended March 31, 2018. Future impairment analysis will be performed at each quarter end.
Looking to our balance sheet and cash flow, as of March 31, 2018, the company had RMB824.2 million in cash and cash equivalents, compared to RMB1,527.8 million as of December 31, 2017. Net cash used in operating activities during the first quarter of 2018 was RMB150.6 million. Net cash used in investing activities during the first quarter of 2018 was RMB557 million. Net cash provided by financing activities during the first quarter of 2018 was RMB4 million.
Turning to our guidance. We expect that Jupai’s net income attributable to ordinary shareholders for the full year of 2018 will be in the range of RMB532.3 million to RMB573.3 million, an increase of 30% to 40% compared to 2017. This forecast reflects the company's current and preliminary view, which is subject to change.
That concludes our prepared remarks. I will now turn the call back to operator to begin the Q&A session. Operator?"
Operator,1,[Operator Instructions] Our first question comes from the line of Yaxuan from CICC. Please ask your question. 
Yaxuan Zhu,1,[Foreign Language]
Harry He,1,"Thank you, Yaxuan. We will address your question accordingly. Before we address your question, let me do the translation for the Chairman. For the benefit of other investors, let me translate Yaxuan’s first question. This question was, despite the challenging factors such as Chinese New Year holiday and the regulatory changes, Jupai was able to deliver a set of solid result in the first quarter of 2018, in particular the net profit increased approximately 28% year-over-year in the first quarter. What were those drivers behind the growth for the first quarter among the challenging environment?"
Jianda Ni,1,[Foreign Language]
Harry He,1,"In our view, it's crucial for any independent wealth management companies to be able to rapidly adopt to policy changes to become outstanding players in the field and to be industry leaders for the long-term. In the past, our team has faced major policy changes multiple times and have always successfully transformed ourselves to deliver satisfying results for our stakeholders. 
For example, in the first quarter of 2017, Asset Management Association of China demands a new policy which halted the approval of private offered wealth management products with underlying assets related to residential real estate or property within those 16 over heated cities identified by the government. In response, Jupai was able to quickly expand our project portfolio outside of those 16 cities. In the meanwhile, locate non-residential real estate project within these 16 cities. This allowed us to maintain strong growth in 2017 with our net revenue of growing at 51 % and a net profit almost double for the year."
Jianda Ni,1,[Foreign Language]
Harry He,1,"We believe that the announcement of requirements under private investment fund filing is another piece of good news for the wealth management industry for the long-term. In particular, for the industry leaders at Jupai, government attitude towards [non-standard] fixed income products are not only targeting at where its related product but all kinds of fixed income products with loans or debt and underlying assets. While underlying assets with equity features such as convertible bonds and mezzanine investments are very much encouraged. As a result, since the beginning of this year, Jupai has been working on reducing the portion of fixed income related products with long and underlying assets and then focusing more on developing equity products such as mezzanine investments convertible bonds and under M&A funds. We have already made progress in shifting our products structure in the first quarter more specifically among wealth management products. Jupai distributed in Q1 the percentage from risk related equity products has surged significantly year-over-year. "
Jianda Ni,1,[Foreign Language]
Harry He,1,"Historically Jupai had been able to adopt to adopting in a timely manner to the ever-changing policies in China. For example, E-House Capital or subsidiary which was merged into Jupai in 2015 was originally involved in direct equity investments, especially in the real estate industry. As its merger with Jupai E-House Capital rapidly change its product offering from equity to fixed income products to fulfill the demand for more customer deal products from high network clients. This demonstrates the team's capability to adopt to changes. Over the past few years, there have been various regulatory changes within the real estate industry across the country and Jupai has always be able to launch new real estate products which suites the regulatory environment and the customer needs. "
Jianda Ni,1,[Foreign Language]
