speaker,q&a,content
Operator,0,"Greetings, and welcome to the Nordstrom Third Quarter Earnings Conference Call. At this time, all participants are in a listen-only mode. We will begin with prepared remarks followed by a question-and-answer session. [Operator Instructions] As a reminder, this conference is being recorded.
At this time, I’ll turn the call over to Trina Schurman, Director of Investor Relations for Nordstrom. You may begin."
Trina Schurman,0,"Good afternoon, and thank you for joining us. Today’s earnings call will last 45 minutes and will include around 30 minutes for your questions. Participating in today’s call are Blake Nordstrom, Co-President; and Anne Bramman, Chief Financial Officer, who will discuss the Company’s third quarter performance and the outlook for 2018."
"Before we begin, I want to mention that we’ll be referring to slides which can be viewed by going to nordstrom.com in the Investor Relations section. Our discussion may include forward-looking statements, so please refer to the slides showing our Safe Harbor language.",0,"With that, I’ll turn the call over to Blake."
"Before we begin, I want to mention that we’ll be referring to slides which can be viewed by going to nordstrom.com in the Investor Relations section. Our discussion may include forward-looking statements, so please refer to the slides showing our Safe Harbor language.",0,"With that, I’ll turn the call over to Blake."
Blake Nordstrom,0,"Good afternoon, everyone, and thank you for joining us today. We’re focused on our aspiration to be the best fashion retailer in a digital world through our three strategic pillars; one, providing a compelling product offering; two, delivering exceptional services and experiences; and three, leveraging the strength of our Nordstrom brand. For the third quarter, we achieved total sales growth of 3% and a comp sales increase of 2.3%. This demonstrated ongoing strength and our full price and off price businesses. Our early investments in our digital capabilities are paying off. The combination of our digital capabilities and local market assets have enabled us to be at the forefront of serving customers on their terms. Last month, we celebrated the 20th anniversary of nordstrom.com. This business has grown to roughly 2.5 million visitors per day, ranking among the top 10 ecommerce retailers in the United States. Year-to-date, overall digital sales grew 20% and made a 30% of our business.
Before I provide an update on our key initiatives, I’d like to address the estimated earnings per share charge of $0.28 taken in the third quarter. In a recent review of credit card accounts, we identified some cardholders with delinquent accounts being charged higher interest in there. We estimate that less than 4% of Nordstrom cardholders will receive a refund or credit with most receiving less than $100. We have taken action including the appropriate steps to ensure the problem is addressed and does not happen again.
We sincerely apologize to these cardholders. We realized customers and shareholders place a great deal of trust in us and that’s a responsibility we take seriously. Excluding this charge, our third quarter earnings were slightly ahead of our expectations and Anne will provide further details of this matter in her remarks.
Looking ahead, we’re scaling generational investments in our digital businesses and new markets. Nordstromrack.com and HauteLook are on track to exceed $1 billion in sales this year. Trunk Club has delivered sales growth of nearly 50% year-to-date, demonstrating successful efforts to improve the customer offer. We continued our expansion into Canada with three additional racks in Toronto, Edmonton and Ottawa. Our six rack stores open to date are performing ahead of our expectations.
We expect further synergies from having a full price and off price presence in this market. Last spring, we took our first step in serving customers in Manhattan with our men store. We’re building on our initial learnings as we focus on expanding our presence in this premier retail market with our flagship women’s store opening planned in fall 2019. Our strategy in our local markets is another cornerstone of how we will win with customers and drive increased shareholder value. Through our focus on our top markets, we are leveraging our inventory along with our digital and store capabilities to serve customers in new and relevant ways.
We’re on track with our rollout beginning in Los Angeles, our largest market. We believe that when executed at scale, we can better serve customers, driving market share gains, engagement, and improve profitability. Last month, we introduced Get It Fast, a new feature that gives customers the significantly expanded view of merchandise selection that’s available next day in the Los Angeles market. Since the launch, we have seen a 50% lift in buy online and pickup in store. This is a great example of how we’re leveraging our digital and physical capabilities to increase convenience for our customers. Enabled by our supply chain investments, we have potential to increase selection by four times to seven times for product available, same or next day in a given market.
To support customers on the West Coast, we recently announced plans to open a new fulfillment center and a local omni-channel hub next year.
These facilities should increase inventory efficiencies. And more importantly, they should significantly improve the customer experience by getting product to them faster. Nordstrom Local, which are small neighborhood hubs provide customers with more convenient access to our services.
A year ago, we opened our first Nordstrom Local in West Hollywood encouraged by our initial results, we recently introduced two additional locations in Brentwood and Downtown Los Angeles. In addition to service and convenience, providing newness is an integral part of our merchandising efforts. Our strategic brand partnerships enable us to offer compelling products to customers and strengthen our product margin. In the third quarter, our strategic brand made up roughly 45% of our full price sets.
Our partnerships with influencers are an important way, we’re creating inspiration and a sense of discovery for customers. Following a successful launch last fall, we partnered with Arielle Charnas to introduce a new stand-alone brand, Something Navy.
Additionally, we launched a collaboration between Atlantic-Pacific and our private label brand, Halogen. Both product launches outperformed our expectations. We’re also leveraging the Nordstrom brand to drive increased customer engagement. We know that when customers engage with us across various touch points, both their trips and spend increase. Our robust loyalty program gives us the opportunity to serve customers in a more personalized way. We have more than 11 million loyalty customers contributing 56% of year-to-date sales, an increase of roughly 15% over last year.
Last month, we launched The Nordy Club, an evolution of our loyalty program that offers enhanced services and experiences and a faster earn rate for credit card members. While it’s still early, we’re encouraged by the uptick in enrollment trends. We look forward to building on the connections our customers have with our brand through The Nordy Club. As we head into the fourth quarter, we’re focused on establishing Nordstrom as the gift-giving destination and making it more convenient to shop. We’re well positioned to improve the customer experience and believe our combination of digital capabilities and local market assets, our people, product and place, make us uniquely positioned for success in the market.
I’ll now turn it over to Anne to provide additional insights into our results."
Anne Bramman,0,"Thanks, Blake. Before I discuss the drivers of our third quarter performance, I’d like to provide additional color on the nonrecurring charge. As Blake mentioned, in a recent review of credit card accounts, we identified some cardholders with delinquent accounts being charged higher interest in error. This occurred as a result of settings implemented in 2010. We estimate that less than 4% of Nordstrom cardholders will receive a refund or credit, with most receiving less than $100.
We are currently assessing the impact to each individual account and will communicate directly with impacted cardholders. We estimated nonrecurring costs of $72 million or $0.28 in EPS, primarily representing refunds and other fees, which we recorded in SG&A in the third quarter. Excluding this charge, we expect to achieve an inflection point for profitable growth this year. We’re focused on three key deliverables to increase shareholder returns: continuing market share gains, improving profitability and returns and maintaining disciplined capital allocation.
Starting with our first deliverable, continuing market share gains. Our third quarter reflected consistent underlying sales trends. As you may recall, we know the timing considerations that impact year-over-year comparisons, including the new revenue recognition standard and event shift, resulting from last year’s 53rd-week calendar. We reported third quarter total sales growth of 3%, which included an unfavorable timing impact of roughly 100 basis points from Q2.
As a reminder, this primarily represented in-transit sales that were recognized as shipment under the new revenue accounting standard rather than deferred. At the end of the second quarter, there was an elevated impact due to the high volume of online anniversary sales. Given these timing considerations, we’re continuing to provide color on comparable sales, which are aligned with the 53rd-week calendar in 2017.
In full-price, underlying trends were consistent and in line with our expectations. This reflected ongoing strength of strategic brands, which grew 8% over last year. The full-price comp increase of 0.4% was impacted by planned anniversary turns from last quarter.
To normalize for this, Q2 and Q3 combined full-price comps increased by 2.5% compared to flat comp growth last year. We’re pleased with the momentum in our off- price business, which delivered a comp sales gain of 5.8% and exceeded our expectations across all merchandise divisions. This reflected our focused efforts throughout the year to accelerate inventory turns and strengthen our merchandise assortment.
Moving to our second key deliverable of improving profitability and returns. Generational investments are continuing to scale. These investments contributed approximately half of our year-to-date net sales increase. We’re tracking against our expectations for 2018, which we shared at the beginning of the year. Generational investments are expected to deliver $1.8 billion in sales and achieve our EBIT plan.
Our strength in product margin is another driver of long-term profitable growth. For the year, we remain on track for product margins to be flat or slightly up. Third quarter gross profit decreased 137 basis points from last year, and this was primarily due to timing, including Q2’s revenue recognition impact of $30 million, in addition to off-price mix.
Year-to-date, our gross profit rate decreased 19 basis points, consistent with our expectations. This reflected flat product margins and occupancy rate, offset by the mix from off-price growth. Ending inventory increased 7% over last year, primarily due to timing associated with holiday. We pulled forward receipts to set holiday product earlier as part of our strategy. In addition, we had higher inventories in-transit due to the end of the quarter, shifting one week closer to holiday relative to last year.
Excluding this timing impact, Q3 inventory growth approximated sales growth. We expect to end the year with inventories in line with sales growth. Excluding the non-recurring charge, our SG&A rate was generally flat to last year. This reflected ongoing progress in bending the curve in expense growth. Our digital capabilities in marketing, technology and supply chain are critical enablers of the customer experience.
Through productivity improvements, we expect moderate expense growth for our digital capabilities to mid-single digits this year compared with 10% annual growth over the last couple of years. Excluding the non-recurring charge, our overall SG&A grew 6% year-to-date on track for mid single digit growth for the year.
Our third key deliverable is maintaining disciplined capital allocation. Our long-term philosophy is to have a consistent and balanced approach between reinvesting in the business and returning cash to shareholders, while maintaining an investment grade credit rating. Year-to-date, we generate operating cash flow of approximately $640 million and free cash flow of around $250 million. In August, our board authorized $1.5 billion share repurchase program and we repurchased $70 million in the third quarter.
Turning to our full year expectations, we updated our annual EPS outlook to incorporate third quarter results, raising the low end of our range by $0.05, when excluding the non-recurring charge. From a top line perspective, we are assuming a continuation of underlying trends with a comp increase of approximately 2% for the year compared with our prior outlook of 1.5% to 2%. As a reminder for the fourth quarter, we expect leverage on occupancy expenses as a result of fewer rack store openings. We will also have a onetime employee investment of $60 million associated with last year’s tax reform.
To wrap up, we expect to achieve an inflection point for profitable growth this year, when excluding the non-recurring charge. We remain focused on strengthening our product margins, scaling our generational investments, and improving our expense efficiencies. We are well positioned to execute against our long-term plans and deliver a differentiated customer experience.
I’ll now turn it over to Trina for Q&A."
Trina Schurman,0,"Thanks, Ann. Before we get started with Q&A, please limit to one question to give everyone a chance to ask a question. We will now move to the Q&A session."
Operator,1,Thank you. [Operator Instructions] Our first question is from the line of Jay Sole from UBS. Please proceed with your question.
Jay Sole,1,"Great. Thank you. So I want to ask a question just on the guidance in 4Q, what’s implied 4Q just got some of the variability in the comp because the calendar shifts and because the inventory is a little bit high for the timing shifts. What do you expect for a comp for full price in Nordstrom rack in generally speaking? How has November started? And then also what do you expect for gross margin in 4Q relative to last year?"
Anne Bramman,1,"Hi, Jay. Thanks for the question. So in general, the way that we are giving guidance for the full year and I think you can kind of back into it, we don’t typically give guidance between full price and off price. But I will say this, we said the total JWN comp guidance, it was really in line with consistent trends that we see in the business overtime.
So if you – we gave a comp guidance of 2% for the full year, approximately 2%. So if you look at underlying trends in both businesses, you can kind of back into what Q4 sitting at and it’s pretty much in line with what we’ve seen for the rest of the year. As far as the margin components to it as we talked about, we’re expecting to get product margin to be flat to slightly up and we’re expecting to get some leverage out of our occupancy expense. And we believe kind of back into Q4, but based on our guidance, it would infer that we’re at an inflection point for the year as far as our EBIT rate."
