type,name
Executives,Kurt De Baenst – Investor Relations
Executives,Johan Thijs – Chief Executive Officer
Executives,Hendrik Scheerlinck – Chief Financial Officer and Director
Analysts,Pawel Dziedzic – Goldman Sachs
Analysts,Flora Benhakoun – Deutsche Bank
Analysts,Robin van der Broek – Mediobanca
Analysts,Stefan Nedialkov – Citigroup
Analysts,Benoit Petrarque – Kepler
Analysts,Kiri Vijayrajah – HSBC
Analysts,Bruce Hamilton – Morgan Stanley
Analysts,Alicia Chung – Exane
Analysts,Nick Davey – Redburn
Analysts,Marcell Houben – Crédit Suisse
Analysts,José Coll – Santander
