speaker,q&a,content
Company Participants,0,"Gary Burnison - Chief Executive Officer
Bob Rozek - Chief Financial Officer, Executive Vice President & Chief Corporate Officer
Gregg Kvochak - Senior Vice President, Investor Relations"
Conference Call Participants,0,"Tobey Sommer - SunTrust
Kevin McVeigh - Credit Suisse
George Tong - Goldman Sachs
Mark Marcon - Baird
Tim McHugh - William Blair"
Operator,0,"Ladies and gentlemen, thank you for standing by. And welcome to the Korn Ferry Fourth Quarter Fiscal Year 2019 Conference Call. At this time, all participants are in a listen-only mode. Following the prepared remarks, we will conduct a question-and-answer session. As a reminder, this conference call is being recorded for replay purposes. We have also made available in the Investor Relations section of our website at kornferry.com, a copy of the financial presentation that we will be reviewing with you today.
Before I turn the call over to our host Mr. Gary Burnison, let me first read a cautionary statement to investors. Certain statements made in the call today, such as those relating to future performance, plans and goals constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Although the company believes the expectations reflected in such forward-looking statements are based on reasonable assumptions, investors are cautioned not to place undue reliance on such statements.
Actual results in future periods may differ materially from those currently expected or desired, because of a number of risks and uncertainties which are beyond the company's control. Additional information concerning such risks and uncertainties can be found in the release relating to this presentation and in the periodic reports filed by the company with the SEC, including the company's Quarterly Report for the quarter ended January 31, 2019 and the company's soon-to-be-filed Annual Report for fiscal year 2019.
Also, some of the comments today may reference such non-GAAP financial measures such as constant currency amounts, EBITDA and adjusted EBITDA. Additional information concerning these measures, including reconciliations to the most directly comparable GAAP financial measure is contained in the financial presentation and earnings release relating to this call, both of which are posted in the Investor Relations section of the company's website at kornferry.com.
With that, I will turn the call over to Mr. Burnison. Please go ahead, Mr. Burnison."
Gary Burnison,0,"Okay. Thank you everybody. Thanks for joining us. On April 30, we finished another very good year. We hit new milestones. Top line was up 12%, constant currency 9%, actual adjusted EBITDA margin was 16%. We continue to grow our marquee account program that now represents 20% of the portfolio. We returned capital to shareholders.
And most importantly, we maintained our leading industry position in Search. RPO and Professional Search grew double digits for the fifth consecutive year. I mean, that's pretty amazing, five . consecutive years, double digits. And Advisory grew at 8% constant currency. We had a very good fourth quarter. RPO was up 25%. Constant currency Advisory was up 5%. Overall as a company, we were up 8%. Topline was up 8% constant currency. Profitability was strong, EPS $0.88, and adjusted EBITDA margin of 16.7%.
And as I think about Korn Ferry today, I'm excited about what the future holds. I think we're really just at the beginning. But I think, we are the only organizational consultancy that helps companies look at talent and strategy together. We help companies make sure they have the right people in the right places providing them the right rewards, and we bring their strategies to life by redesigning their org structures, helping motivate, inspire people, helping them hire the best, and hang on to the best.
And today, the reality is we're more than – we're more than talent acquisition. We're more than leadership development. We're more than organizational strategy advisors. We purposefully enabled people and organizations to exceed their potential and the firm is substantially different today. This is not a hyper-cyclical binge and bust firm. We're now a company for all seasons focused on the long game with our clients whether that's M&A or going global or some other transformative play, we can help organizations through our five integrated solutions.
First, organizational strategy. That is about 10% of the company. That was the best grower in our Advisory business in the quarter, it was up about 7% or 8% constant currency. Assessment and succession is our second solution area and that represents about 13% of our revenue. We've assessed, believe it or not, almost 70 million people in our history.
Third is leadership development, that's about 9% of our company. Every year, we develop 1.2 million executives around the world. For the year, the leadership development business was up about 13% constant currency.
The fourth piece is compensation and rewards. We have comp data on 25 million people around the world, 20,000 companies, and our rewards business is about 10% of Korn Ferry. And finally, is our flagship talent acquisition offerings where we put somebody in a job every three minutes.
Going forward, our strategy remains anchored on our five strategic pillars. Number one, is our go-to-market strategy. And there it starts with our marquee accounts and now what we've added is regional accounts. These are companies, where we have greater access and organizational coverage and a strong opportunity for impact.
As I said, the marquee account program represented about 20% of the company in this last fiscal year, and the growth rate was actually not quite twice, but about 70% I mean, 1.7x of the rest of the portfolio. And as I indicated, we're expanding this now to a couple of hundred more regional accounts that I'm excited about.
Second is IP and innovation. What we do with our – with the IP that we've developed over the years. KF Advance is one of those, where we now have 70,000 members. I think we could be the world's gymnasium for people's careers.
Third, we have to continue to extend our brand. We have to make the brand more elastic. Yesterday, we announced a partnership with the PGA Tour. We're now the umbrella sponsor of the Korn Ferry Tour, which develops and advances the next generation of golfers and it's the primary pathway to getting a PGA Tour card, and that's what Korn Ferry is all about.
And if I think about our purpose about enabling people and organizations to exceed your potential, it may sound strange exceeding your potential, but you don't know your potential until you're given an opportunity, until you're given an abundance of opportunity. And that applies whether you're coming out of college or in the boardroom. That's what this company is all about and that's what I'm so excited about the Korn Ferry Tour, because it represents promotion, it represents advancement.
And so, we plan on using this not – not just as a sponsorship of a sporting event, but we're going to use it to actually tell our story about who we really are and our purpose about providing opportunity for people, for helping people be more than.
Fourth is the – has been a pillar of our strategy, M&A. We continue to look at ways that we can be the sole consultancy that's focused on talent and strategy together. 
Fifth is, our own people and our colleagues. We have to continue to develop talent. 64% of our company today is millennials. 63% are female, almost 70% are outside the United States. We're rolling out a brand new global mentoring program that I'm passionate about, but we have to continue to keep that top of mind. So when we -- we've come a way -- come a long way on our journey, but I think there is a significant opportunity ahead.
So with that, I'm joined here with Bob Rozek and Gregg Kvochak. And I guess I'll turn it over to you Bob first."
Bob Rozek,0,"Great. Thanks Gary and good afternoon everyone. Results for the fourth quarter and the full fiscal year continue to demonstrate the power of our business model and the growing impact our integrated solutions have on driving critical business outcomes for our clients even in challenging operating environments.
The global geopolitical and economic uncertainty continues to escalate. Demand for our leading organizational advisory solutions has remained steady, and our financial results as Gary just went through continue to improve.
For the full year of FY 2019, our financial results reached company and industry highs with record levels of revenue, earnings, and profitability. Fee revenue grew to $1.926 billion which was up 12% year-over-year measured at constant currency.
Adjusted EBITDA was $311 million which was up $33 million or 12% year-over-year. And our full year adjusted EBITDA margin grew to 16.1%. And finally in FY 2019 our adjusted fully diluted earnings per share grew $0.60 or 22% year-over-year to a record $3.31.
Now turning to our most recently completed quarter. Fee revenue in the fourth quarter grew to $491 million which was up nearly 8% measured at constant currency. As in recent quarters growth in the fourth quarter was broad-based with each of our operating segments improving. Exec Search grew 3%. Advisory grew 5% and RPO and Pro Search grew 25% year-over-year all measured at constant currency.
Additionally in the fourth quarter earnings growth continued to be strong. Adjusted EBITDA in the fourth quarter grew to $82.2 million which is a year-over-year improvement of $6.6 million or 9%, while our adjusted EBITDA margin improved 80 basis points year-over-year to 16.7%.
Now turning to new business trends, globally executive search new business in the fourth quarter was approximately $200 million and that was up 4% year-over-year driven by growth in North America Europe and Asia-Pac. New business in the fourth quarter for Advisory was $219 million up approximately 2% measured at constant currency.
And finally in the fourth quarter RPO and Professional Search achieved another strong quarter of new business with total awards of $84 million which include about $50 million of long-term recruitment outsource contracts. The $50 million of RPO awards consist of about $6 million in what we would call expansions and renewals and those are with existing clients and approximately $44 million of new client contracts.
At the end of the fourth quarter, total cash and marketable securities were $767 million up approximately $109 million compared to the fourth quarter of fiscal 2018. Excluding amounts reserved for deferred comp and accrued bonuses our investable cash balance at the end of the fourth quarter was approximately $382 million and that's up about $70 million year-over-year.
We ended the year with outstanding debt of about $223 million. And finally adjusted diluted earnings per share of $0.88 in the fourth quarter that's up $0.08 or 10% compared to the prior year fiscal fourth quarter. I will now turn the call over to Gregg to review our operating segments in more detail."
Gregg Kvochak,0,"Okay. Thanks Bob. Growth continued for our executive search segment in the fourth quarter as global fee revenue reached $190.9 million. Compared year-over-year and measured at constant currency global executive search fee revenue grew $6.5 million or 3.4% in the fourth quarter.
At constant currency each of our Executive Search regions grew in the fourth quarter. North America was up 1.7% Europe was up 7.2%, Asia-Pac was up 4.6% and Latin America was up 2%. By Executive Search specialty practice growth in the fourth quarter was mixed. Compared to the fourth quarter a year ago at actual exchange rates our technology practice grew 17%, our industrial practice grew 7%, our financial services practice grew 6%, our life sciences and health care practice was up 1% and our consumers' goods practice was down 11%.
The total number of dedicated executive search consultants worldwide at the end of the fourth quarter was 565 which was up 24 year-over-year and up 13 sequentially. Annualized fee revenue production per consultant in the fourth quarter was $1.37 million. And the number of new search assignments opened worldwide in the fourth quarter was 1717 which was up approximately 8% year-over-year.
Adjusted EBITDA for our executive search in the fourth quarter was $49.7 million up $1 million or 2% year-over-year. The consolidated adjusted EBITDA margin for Executive Search in the fourth quarter of fiscal 2019 was 26% compared to 25.5% in the fourth quarter of fiscal 2018.
For all of fiscal 2019 executive search achieved a record high $775 million of fee revenue which was up 11.4% year-over-year measured at constant currency with strong growth in every region.
All of our executive search specialty practices grew in fiscal 2019 led by technology and financial services which were up 23% and 14% respectively. Additionally adjusted EBITDA for executive search in fiscal 2019 was $193.8 million which was up $34.5 million or 21.7%. The adjusted EBITDA margin in fiscal 2019 for Executive Search was 25% compared to 22.5% for fiscal 2018.
Now turning to Advisory where in the fourth quarter fee revenue measured year-over-year at constant currency grew 4.8% to $207.1 million. Growth was driven by strength in both the Europe and Asia-Pacific regions which were up constant currency by 9% and 10% respectively.
As previously mentioned new business awards for Advisory were steady in the fourth quarter up approximately 2% year-over-year measured at constant currency. In the fourth quarter adjusted EBITDA for Advisory was $38.9 million with an 18.8% margin both essentially flat year-over-year.
For the full year of fiscal 2019, advisory fee revenue grew to $821 million, which was up $60.8 million or 8% year-over-year measured at constant currency. Adjusted EBITDA for Advisory for fiscal 2019 was $151 million, which was up $7.5 million or 5.2% year-over-year. The adjusted EBITDA margin in fiscal 2019 for Advisory was 18.4% compared to 18.3% in fiscal 2018.
Finally, turning to RPO and Professional Search where growth in the fourth quarter continued at a high double-digit pace. In the fourth quarter, RPO and Professional Search generated a record high $92.8 million of fee revenue, which was up 25.3% year-over-year at constant currency. All geographic regions grew at a double-digit pace in the fourth quarter with North America, up 28%, Europe, up 21% and Asia-Pacific, up 22%.
As previously mentioned in the fourth quarter, RPO and Professional Search was awarded another $84 million of global new business consisting of $50 million of longer-term recruitment outsourcing contracts and $34 million of shorter-term professional search assignments. Earnings and profitability were also up sharply for RPO and Professional Search in the fourth quarter.
EBITDA grew to $15.6 million, up $3.1 million or 25% year-over-year. And EBITDA margin improved to 16.9%. For the full year of fiscal 2019, RPO and Professional Search fee revenue grew to $330 million, which was up $65.7 million or 24% measured at constant currency. Similarly, EBITDA for RPO and Professional Search grew to $54.4 million, a year-over-year improvement of $11.8 million or nearly 28%. EBITDA margin for all fiscal 2019 for RPO and Professional Search was 16.5%, compared to 15.6% for fiscal 2018.
I'll turn the call back over to Bob to discuss our outlook for the first quarter of fiscal 2020."
Bob Rozek,0,"Great. Thanks, Gregg. As we exited fiscal 2019 and we're entering fiscal 2020, our monthly new business trends have been choppy as global economic issues and geopolitical concerns have escalated. Globally for Executive Search, new business awards in April were up nearly 5% year-over-year, but up only approximately 1% year-over-year in May. If monthly new business trends continue, we expect year-over-year growth in Exec Search new business awards to remain essentially flat in June and July.
For Advisory, new business in the first quarter is typically down sequentially from the fourth quarter. Similar to Exec Search, Advisory had good month in new business in April, up nearly 5% year-over-year, but May was softer, down approximately 7%. For Professional Search new business, measured year-over-year for May was up approximately 4% at constant currency.
For RPO, both business under contract and the pipeline of potential new business opportunities remained strong and we expect accelerated growth to continue in the first quarter. Considering these factors and assuming worldwide economic conditions, financial markets and foreign exchange rates remain steady, we expect our consolidated fee revenue in the first quarter of fiscal 2020 to range from $466 million to $486 million. And we expect our consolidated diluted earnings per share to range from $0.73 to $0.81.
So with that, Gary anything you want to add before we go to questions?"
Gary Burnison,0,"I would just -- I'd reemphasize that for any CEO for any Board talent without strategy is helpless, strategy without talent is hopeless. I mean, it really does come down to those two elements and how you synchronize strategy and talent to drive superior performance. And I think that this is the company that we're building. We have to continue to move our firm towards a more solutions and industry orientation, which we're going to do. But I think the opportunity is truly ours for the taking. As we continue to extend the brand and the partnership with the PGA Tour, I think it's going to pay off for us in telling our story and as we continue to broaden our solution.
So now I think with that, we'll turn it over to the operator. We'd love to have your questions."
Operator,1,[Operator Instructions] Our first question is from Tobey Sommer at SunTrust. Please go ahead.
Tobey Sommer,1,Thanks. I was wondering if you could talk to us about what you're hearing from clients across your businesses frankly given the more choppy and kind of mixed economic data and outlook now for rate cuts? Thanks.
