speaker,q&a,content
Company Participants,0,John Costain - Chief Executive Officer and Chief Financial Officer
Conference Call Participants,0,"Hillary Cacanando - Wells Fargo Securities, LLC"
Operator,0,"Good afternoon and welcome to the KNOT Offshore Partners LP Earnings Release First Quarter 2019 Conference Call. All participants will be in listen-only mode. [Operator Instructions] After today's presentation there will be an opportunity to ask questions. [Operator Instructions] Please note, this event is being recorded.
I would now like to turn the conference over to Mr. John Costain. Please go ahead."
John Costain,0,"Thank you. If any of you have not read the earnings release or the slide presentation, they're both available on the Investor section of our website.
On today's call, our review will include non-U.S. GAAP measures, such as distributable cash flow and adjusted earnings before interest, taxation, depreciation and amortization, the EBITDA. The earnings release includes a reconciliation of these non-GAAP measures to the most directly comparable GAAP financial measures.
A quick reminder that any forward-looking statements made during today's call are subject to risks and uncertainties, and these are discussed at length in our annual and quarterly SEC filings. As you know, actual events and results can differ materially from those forward-looking statements. The partnership does not undertake a duty to update any forward-looking statements.
Introduction, KNOT Offshore Partners, KNOP, focuses on the shuttle tankers segment. Each vessel is usually built to an individual charter specifications. On the non-volume-based contracts, we transport oil from the shoreside production units to shoreside, effectively mobile pipeline business. The chartered vessels form an integral component of the charter supply chain.
Total tank is operated in niche-based and in our sector to date, there has been no speculative ordering of tankers by vessel owners. We have a solid growth outlook also in this sector. Our sponsor Knutsen NYK has placed all their younger assets in the MLP, all had long-term charters after construction and all remains strategically important to their respective charterers.
The MLP and sponsor combined are the largest operator of shuttle tankers with 29 vessels on the water and three on order. Our sponsor has plenty of experience having been involved in the design and construction of shuttle tankers for well over 30 years, including being involved with the developments of the design and the pioneering days, growing their fleet organically over that time.
Oil production is moving further offshore as new fields open particularly in Brazil and the Barents Sea and these tankers, therefore, operate in a space which is seeing substantial oil production growth. This should continue in the coming years. In addition, much of the shuttle tanker fleet is aging and will need replacing in the medium term.
Our sponsor Knutsen NYK is according to Clarksons Platou Research possibly the largest shipping group in the world and NYK is a major company of the Mitsubishi family. Since the Partnership's initial public offering in April 2013, the fleet has grown 300% to 16 vessels today at an average age of just under six years.
Now turning to the presentation. Looking at Slide 3, Q1 2019 financial highlights and recent events. For the first quarter of 2019, Q1, the Partnership generated another very solid set of results. Total revenue of $70.5 million, operating income of $32.4 million, and net income of $12.9 million, and adjusted EBITDA of $54.8 million.
The Partnership generated distributable cash flow of $25.7 million, enough to declaring a cash distribution of $0.52 a unit. This gives us a coverage of 1.43x for the quarter.
During the quarter, the fleet operated with 99.8% utilization for the scheduled operations. There were also no drydocking scheduled for any of the Partnership's fleet during the remainder of 2019.
Since our initial public offering in 2013, we declared and paid common unit distributions of $11.86. Our current distribution has remained unchanged since 2015 at 11% on the unit price.
On December 17, 2018, the Partnership and the subsidiary of Royal Dutch Shell agreed to suspend the Windsor Knutsen charter contract for a minimum of 10 months and the maximum of 12 months. A suspension period commenced on the March 4 and the vessel now operates under a time charter with a subsidiary of Knutsen NYK on the same tender of the existing time charter contracts of the Shell. Remaining period is then restated at the end.
On May 14, 2019, the Partnership obtained approval to extend the maturity of its $25 million unsecured revolving credit facility maturing in August, 2019, on the same commercial terms. The refinancing is expected to close in June 2019.
Gary Chapman will take over as CEO on the 1st of June. He has many years experience in shipping, and he will bring a fresh new perspective to the Partnership matters and further strengthen ties with NYK having worked for them over many years in various senior roles.
Slide 4, the income statement. The total revenues were $70.5 million for three months ended March 31, 2019, Q1, and this compares to $70.9 million for the three months ended December 31, 2018, Q4. The decrease was mainly related to two less operational earnings days in Q1. 
Vessel operating expenses for Q1 was $14.5 million, an increase of $0.3 million from Q4. The increase is mainly due to higher operating costs on average for the fleet due to a strengthening of the Norwegian kroner against the U.S. dollar. The increase was partially offset by decreased costs for Ingrid Knutsen, which finished its schedule drydocking in Q4.
Admin and general expenses were $1.3 million for Q1 as they were in Q4. Depreciation for Q1 was $22.4 million, a slight decrease from Q4. As a result, operating income for Q1 was $32.4 million compared to $33.0 million in Q4.
Interest expense for Q1 was $13.7 million, an increase of $0.3 million from Q4 due to slightly higher average LIBOR rates. Loss on derivative instruments was $5.9 million for Q1 compared to a loss $10.9 million in Q4. Most of this was unrealized and due to changes in the long-term interest rates. Net income for Q1 was $12.9 million compared to $8.8 million for Q4.
Slide 5, adjusted EBITDA. In Q1, the Partnership generated EBITDA of $54.8 million compared to $55.4 million for Q4. Adjusted EBITDA refers to earnings before interest, taxation, depreciation, amortization and other financial items, and it provides a proxy for cash flow.
Adjusted EBITDA, of course, is a non-U.S. GAAP measure used by our investors to measure Partnership performance. With a wasting asset like a vessel, younger fleets tend to produce slightly lower EBITDAs for every dollar invested. The annuity effect reduces the annual loss in the early years, which is factored into the replacement CapEx calculated by the distributable cash flow.
Distributable cash flow, this is another non-U.S. GAAP financial measure scrutinized by investors and is an estimate of distribution sustainability. Distributable cash flow represents the net income adjusted for depreciation, unrealized gains and losses on derivatives and foreign exchange, also the distributions on Series A convertible pref units, and other non-cash items.
There is an estimate for maintenance and replacement capital for drydocking and capital expenditure, which are required to maintain long-term operating capacity of and therefore the revenue generated by the Partnership's capital assets.
DCF was $25.7 million in Q1 in comparison to $27.3 million in Q4, and we maintained our distribution level for Q4 at $0.52 per unit, equivalent to an annual distribution of $2.08. The distribution coverage ratio is still a healthy 1.43 for Q1.
Impacting the calculation this year, we have increased the replacement CapEx charge for the fleet by US$629,000. As the fleet ages, we increased the provision because of the annuity effect. By comparison, the average coverage ratio was 1.5 for the full-year in 2018. With a distribution of 11% on the current unit prices they are our largest investor. Knutsen NYK would prefer increased coverage through investments and secondly deleveraging a lot of the increase in dividends distributions. The high coverage ratio gives the Partnership more flexibility regarding both capital base and distributions going forward.
Slide 7, the balance sheet. At the end of Q1, the Partnership had $71.8 million in available liquidity, which consisted of cash and cash equivalents of $43.1 million and $28.7 million of capacity under its revolving credit facilities. The revolving credit facilities, following extension will mature in August 2021 and September 2023. We have a predictable cash flow, a healthy liquidity position.
The Partnership's total interest bearing debt outstanding at the end of Q1 was $1,069 million compared to $1,059 million in the accounts net of debt issuance cost, which compares to $1.087 billion in the previous quarter. So we're seeing a slight repayment of about $18 million. The average margin paid on the Partnership's outstanding debt during Q1 was approximately 2.1% over LIBOR.
In Q1, the Partnership had interest rate swap agreements totaling $552 million and that compares to $556 million in end of Q4. The Partnership receives interest based on LIBOR and pays at an average interest rate of 1.86%. These have an average maturity of around 4.7 years. While the Partnership net income is impacted by changes in the mark-to-market swap valuation, the cash flow is stabilized, mitigating the interest rate impacts from the DCF.
We have recently seen higher interest rates in the U.S. and also increasing replacement capital provisions charged on our vessels as they get older. However, our coverage remains at a higher level and our full-year estimates for 2019 look solid.
Slide 8, long-term contracts by leading energy companies. Bodil Knutsen is our largish tanker operating in the North Sea. It is ice class on charter to Statoil until 2020. They have four further one-year annual extension options.
Torill and Hilda Knutsen operates on the Goliat, which is the first field developed in the Barents Sea. After initial five-year term on both vessels, Hilda time charter extended for four more years in October and the first of five annual extension options was exercised on Torill Knutsen.
Dan Sabia, Dan Cisne, Fortaleza and Recife Knutsen are a long-term bareboat charter through to 2023 with Petrobras Transpetro. Carmen and Raquel Knutsen are on charter to Repsol Sinopec until 2023 and 2025 respectively, for Raquel with options to extend until 2030.
The Ingrid Knutsen is on time charter until 2024 to Norwegian subsidiary of ExxonMobil, with charter has options to extend by up to five more – one-year period. Tordis, Vigdis and Lena Knutsen are on five-year charter to Brazil Shipping I, a subsidiary of Shell. These will expire in 2022 and the charter has options to extend for a further 10 years.
The Brasil and Anna Knutsen are on charter for Galp Energia until 2022 with charters options to extend until 2028. The KNOP fleet has an average remaining fixed contract duration of 3.4 years and an additional 4.4 years on average in charterers option.
In September 2018, the sponsor Knutsen NYK entered into newbuild long-term charters with Equinor for two Suezmax DP2 shuttle tankers. These are constructed at Hyundai Heavy Industries and will – are scheduled for delivery in the second half of 2022 – 2020.
In addition, in December 2018 they ordered a new Suexmax DP2 shuttle tanker to be constructed by Cosco Shipyard in China for a delivery in early 2021. This shuttle tanker will operate in the COA pool, if not contracted under a long-term charter before delivery.
Slide 10, KNOT Offshore Partners should be considered as a mobile pipeline business with fully contracted revenue streams. KNOT has an elevated yield compared to most MLPs and is focused on building coverage and deleveraging. This quarter we reported another very strong performance, revenues, EBITDA and distributable cash flow.
KNOT is well placed to compete in future tenders and currently has three vessels on order. We have a solid and profitable contract base generated by our modern fleet, which by the end of March has an average age of a little under six years.
Together with our sponsor, we operate the largest fleet of shuttle tankers. Since the formation of KNOT, we have had very high levels of vessel utilization average around 99.6% and financially this translates into high and increasing predictable revenues, adjusted EBITDA, distributable cash flows and more vessels are added to the fleet.
No one has more expertise in operating these sophisticated shuttle tankers than KNOT Offshore Partners, and we operate these vessels with real expertise. Today, supply is tightening, and the market is expanding. We have a large and financially strong supportive sponsor who knows this market as well as anyone.
Thank you. And that concludes the narrative for the slides. If anyone has any questions, I'll be happy to take them."
Operator,1,Thank you. We will now begin the question-and-answer session. [Operator Instructions] The first question comes from Hillary Cacanando from Wells Fargo Securities. Please go ahead.
Hillary Cacanando,1,"Hi. Thanks for taking my questions. So just looking at the dropdown inventory, there's two, I guess, not delivering until 2020. So the right way to think about I guess, potential dropdown is that there – that you're not going to purchase anything until at least 2020? So we shouldn't expect anything this year?"
John Costain,1,"That's correct, Hillary. And also the – obviously, the third ship that they've ordered, but that's with a view to the – they've got the COA pool and that’s what they view to potentially get in the long-term charter and if somebody comes along and wants the ship we probably will look to - respond and probably look to get it covered and then maybe order another ship, but that's what I think. And then I've got enough internal cargoes to actually just order a new tanker. So potentially there are three candidates, but today there's only two."
Hillary Cacanando,1,"And then I guess also in terms of potential distribution increase. I know you – in the past, you've said that the – I guess, that the equity with the yield at current level is not attractive, but like – is there – at what point would you consider that – consider increasing the distribution. Would you like to…?"
John Costain,1,"Well, I think – yes, I mean I can't really decide on the distribution policy. So I said in the last earnings call, I have not – it's not really going to be my decision going forward as to what to do with the distribution, but my view has been that with the market the way it is and the difficulty in raising equity, we don't really want to press the distribution issue. So it's better to build coverage and keep the MLP very stable.
And look I think, we could actually add a ship or two in the future from leverage and that's really quite desirable. So I think ultimately when you're paying these sort of levels of yield, it's telling you something about markets really. And I don't think necessarily – best representing - while presenting good figures and a high yield and then pushing the distribution and obviously it weakens – it will weaken the MLP in the short-term."
Hillary Cacanando,1,Right. I mean what's your view of the MLP market actually?
