speaker,q&a,content
Operator,0,"Good day, and welcome to the Michael Kors Fourth Quarter and Fiscal Year 2018 Earnings Conference Call. Today's conference is being recorded.
At this time, I'd like to turn the conference over to Christina Coronios, Director of Investor Relations. Please go ahead, ma'am."
Christina Coronios,0,"Good morning, and thank you for joining us for our fourth quarter and annual fiscal 2018 earnings call. Presenting on today's call are John Idol, Chairman and Chief Executive Officer; and Tom Edwards, Chief Financial and Operating Officer.
Before we begin, let me remind you that certain statements made on this call may constitute forward-looking statements, which are subject to risks and uncertainties that could cause actual results to differ from those that we expect. Those risks and uncertainties are described in today's press release and in the company's SEC filings, which are available on the company's Web site. Investors should not assume that the statements made during the call will remain operative at a later time, and the company undertakes no obligation to update any information discussed on the call.
In addition, certain financial information discussed today will be presented on a non-GAAP basis. These non-GAAP measures exclude certain items related to the company's acquisition of Jimmy Choo, restructuring and non-cash impairment charges primarily associated with underperforming retail stores, and the acquisition of the Greater China licensee. You may identify these non-GAAP measures by the terms adjusted and non-GAAP. To view the corresponding GAAP measures and related reconciliations please view the earnings release posted to our Web site earlier today at investors.michaelkors.com.
I'll now turn the call over to Chairman and Chief Executive Officer of Michael Kors Holdings Limited, Mr. John Idol."
John D. Idol,0,"Thank you, Christina. Looking back, fiscal 2018 was an exciting year for Michael Kors Holdings Limited. As we established a strong foundation to support the future growth of our company. With the acquisition of Jimmy Choo, we formed a global fashion luxury group bringing together two industry leaders in style and trend with a focus on Runway collections and fashion design.
For the Michael Kors brand, fiscal 2018 marked the first year of our Runway 2020 strategic growth plan. We were extremely pleased with our performance this year achieving full-year operating results that were better than anticipated. Foundational to this success was the innovative and elevated product that Michael and our design teams delivered.
Importantly, the enhanced focus on our luxury heritage is increasing excitement and desire for the Michael Kors brand globally. Similarly, Jimmy Choo's fashion leadership and 20-year track record of growth is a result of the creative direction of Sandra Choi and her design team. They have a deep knowledge of craftsmanship, and the creative vision to set fashion trends. We remain committed to building on the fashion luxury leadership of Jimmy Choo.
Turning to fourth quarter performance. We exceeded our expectations delivering better than anticipated revenue, operating margin and earnings per share results. This performance reflects the progress we continued to make on our Runway 2020 initiatives, which are focused on product innovation, brand engagement and customer experience.
Beginning with product, we significantly increased the level of fashion innovation and luxury offerings across all our categories. In accessories, approximately 65% of our spring assortment consisted of new styles, up from 20% last year. We updated our iconic Bancroft Group from the Michael Kors collection line, expanding the offering to include additional novelty mixed materials and seasonal color blocks.
In the MICHAEL, Michael Kors line, we introduced the Blakely collection, which was featured in our spring advertising campaign and quickly became one of our top selling groups. Consumers also continue to respond to our Mercer collection, including the introduction of woven leathers as well as seasonal colors and design elements.
We're particularly pleased with the response to our Cori trunk bag, which was featured in the lunar new year campaign on our brand ambassador Chinese actress Yang Mi. Additionally, we saw continued growth in backpacks as consumers responded to our expanded offering in this classification. The increased level of fashion innovation across our accessories assortments was met with strong response driving higher AURs in our retail channel, which contributed to positive comparable sales in this category.
In footwear, we continued to capitalize on the fashion active trend incorporating new styling into our best-selling Allie and Billie sneakers. This included pearlized and perforated leathers as well as floral details such as studs, sequins, and leather appliques.
In ready-to-wear, continued focus on growing our dress assortment as well as elevated novelty offerings drove strong results for the quarter. Consumers responded to our modern feminine styles across all classifications. We capitalized on the floral trend offering prints as well as novelty texture through the use of embroidery, appliques, sequins and islets.
We've also seen the growth of our fashion outerwear classification and it is the perfect complement to our dress offering. Some best sellers included a floral embroidered bomber, a soft drapey trench, and a pastel motorcycle jacket. Importantly, the positive response to our elevated offerings drove higher AURs in both footwear and ready-to-wear contributing to comparable store sales growth in both categories.
In our men's business, sportswear and leather goods continued to resonate with consumers and we were once again pleased with the growth in this category. In sportswear, the customer reacted to our expanded assortment of technical fabrics in bottoms and knits as well as sport inspired novelty design in outerwear. In leather goods we saw significant growth from our iconic Bryant and Harrison leather goods, which we expanded to include additional shapes and injected innovation through our novelty offerings.
In our watch and jewelry business, we once again saw increases in the Michael Kors access smartwatch category with Sofie remaining a top seller. We also saw solid performance from our new fashion watch offerings, particularly slim women styles with leather bands. The combination of strong performance in ACCESS smartwatches and these new fashion watches styles helped to partially offset the overall decline we experienced in the fashion watch category.
Moving to brand engagement. We remain focused on deepening our connection with consumers and driving excitement and desire for the Michael Kors brand. In January, we launched our Kors VIP loyalty program. Membership is tracking well ahead of our initial expectations. This help grow our global database by 24% compared to last year.
We also continued to deepen our engagement with consumers across social media channels ending the year with 41.5 million total followers, an increase of 14% compared to last year. We use this important channel to amplify glamorous events such as our Michael Kors Collection Runway show at New York Fashion Week, which was attended by global celebrities including Zendaya, Blake Lively, and Emily Blunt. The show received overwhelmingly positive reviews and we stream the event online to over 14 million viewers and drove more than 300 million impressions from our corresponding social media campaign.
Creating an engaging and luxurious customer experience of online and in stores remains the priority. In the quarter, we continued to see strong comparable sales performance across our digital flagships. This growth was in large part driven by new features and capabilities we added throughout the year with the goal of elevating our online experience and better communicating our fashion point of view.
For example, our online dress shop and Kors style features were strong performers in the quarter, which help to drive increased conversion and transaction size. With respect to our in-store experience, we continued to roll out Kors Connect, which provides sales associates with the ability to augment the in-store selection with products available online and in other Michael Kors locations.
Kors Connect is now in place throughout our European fleet and the U.S rollout will be completed by the end of the first quarter. New features are expected to be introduced throughout the year, including enhanced clientele-ing services, allowing associates to build user profiles and personal looks to create a tailored styling experience for customers every time they shop with us.
We also transitioned additional locations into our new luxury store concept, which reflects a refined take on glamour in a modern and engaging environment. This new elevated concept features a runway leading to rooms that showcase our accessories, footwear, womenswear, and menswear collections, while enhancing our sales associates ability to provide consumers with a unique and elevated styling experience. Recent results show our renovated locations are outperforming the balance of the chain. Based on this performance, we plan to accelerate our store renovation program with the goal of renovating 200 locations in the next two years.
Now turning to Jimmy -- to the Jimmy Choo business. We continue to deliver luxury product and glamorous red carpet communications. We were thrilled with the results of our collaboration with Off-White. The collection was made up of nine shoe silhouettes that complemented Off-White's ready-to-wear looks, bringing a street fashion aesthetic to luxury footwear. We supported this collaboration with a 360 degree marketing campaign, which generated more than 65 million social media impressions across the global media exposure. We were also pleased with the growth of the footwear category in the quarter.
The Micky pointy toe pump, Norway Knit and Lurex trainer as well as the Shahar sandal booty were among our most popular fashion styles. We also continue to see strong response to our core CHOO 24/7 offering, including our iconic Romy pointy-toe pump, Miami trainer and Emily sandal. In our accessories category, performance was softer than anticipated due to a lack of new introductions.
We've already taken action to introduce new silhouettes into this category with our first new collection Marianne debuting this fall. We will continue to accelerate new introductions over the coming seasons. However, we expect continued softness in this category in fiscal 2019, as we transition out of older accessories groups.
Now moving to our expectations for fiscal 2019. We expect to grow revenue in the high single digits with mid single digits earnings per share growth. This performance will be driven by a number of growth initiatives in both our brands as we continue the strong momentum of Runway 2020 for Michael Kors and make further investments in Jimmy Choo. For the Michael Kors brand, we expect to deliver low single-digit revenue and operating income growth with an operating margin that is in line with our fiscal 2018 results. We1 anticipate that revenue growth will be driven by our retail channel as we continue to successfully execute our Runway 2020 initiatives.
With respect to our product, we will remain a leader in fashion, luxury, innovation, while also elevating assortments to increase AUR building on the success we saw in fiscal 2018. We're particularly pleased with the level of product elevation and layering we anticipate for the fall and holiday collections.
In accessories, we are excited about the introduction of our new Whitney collection. The new Whitney silhouettes will feature an envelope flat that is designed to reflect the letter M and as offered in an array of novelty detailing such as our iconic MK signature logo, a velvet patchwork with zigzag stitch and quilted, shiny crinkle cuff, which is a new take on patent. This exciting new collection will be featured in our fall advertising campaign global.
Additionally, MICHAEL and our brand ambassador Yang Mi collaborated to design two additional styles of Whitney, which will be marketed during the all important Xie Xie holiday period in China. For the fall season, we also will introduce a new layer to our MK signature logo. This will feature an array of metallic leathers incorporated in a patchwork design and will be offered in a number of our existing accessories groups. We believe that these two initiatives for the fall season will generated accelerated revenue growth in this category globally.
In footwear, we will continue to accelerate our active platform capitalizing on street style dressing, that is currently an important trend in fashion luxury. We're particularly excited about our new cosmos sneakers showcasing exotic materials on a new fashion construction, which will also be featured in our fall advertising campaign.
In ready-to-wear, outerwear will be a key focus for us during the fall on holiday season as we capitalize on the success of this classification as an outfit completer to our successful dress category. Finally, we will launch a new capsule series, MK Go, spotlighting exclusive designs inspired by street, sport and novelty fashion. MK Go will stretch across product categories including accessories and footwear as well as women's and men's ready-to-wear. Our first collection will arrive in stores in July and we will focus on graffiti design that features the Kors name. Our second capsule will drop in October. This collection will feature key streetwear pieces, including motor jackets, sweatshirts and hoodies, that incorporate the Kors name and our signature graphic letters.
Turning to our retail business. We expect growth in this category driven by our initiatives across fashion luxury, product, brand engagement and customer experience. We will continue to expand our fleet adding 60 new stores primarily in Asia. We will also accelerate our store renovation program and now intend to renovate 200 stores over the next two years. Additionally, we will continue to leverage CRM to deepen our connection with consumers and believe that we can grow our database by over 20% next year. As part of this, we will expand our loyalty program Kors VIP, which is growing faster than our initial projections.
Finally, we will continue to add new features and capabilities to Kors Connect, which will further enhance our sales associates ability to engage in one-on-one styling with customers.
Turning to wholesale. We will continue with our strategy to elevate our brand position in this channel as we focus on increasing full price sell-throughs, particularly in our accessories business. As a result, revenue is expected to decline in both Americas and Europe as we further reduce shipments to drive higher full price sell-throughs. Importantly, we expect our wholesale business will return to growth in fiscal 2020.
Moving to licensing. Fiscal 2019 represents a restaging year for our watch and jewelry business. In watches, we will continue to grow access smartwatches through the introduction of additional styles in the fall season that featured new technology including GPS, heart rate, and mobile payment capabilities. In addition, enhanced layering will further elevate the assortment as we introduce lux materials, such as pave and ceramic.
As I mentioned earlier, we were very pleased with the response we saw to our fashion watches reduction in the fourth quarter. With respect to jewelry, in the fall season, we will relaunch our offering debuting our new fine jewelry line featuring sterling silver and 14 karat gold plating as well as semiprecious stones. We believe repositioning our jewelry line represents a significant growth opportunity for the company over the next several years.
Turning to the Jimmy Choo brand, we're excited to further grow this business as we expect revenue to increase approximately 10% on a performer basis and fiscal 2019. In footwear, we expect to drive continued growth as we believe seasonal collections rooted in glamorous red carpet fashion will also further innovate within our core 24/7 collection. In addition, we will expand our fashion active offering capitalizing on the strong trend.
In accessories, we see this category as a pillar of our growth strategy. Accordingly we have expanded our design team and are working diligently to introduce multiple new collections over the coming seasons. For fall will debut our new Marianne collection, which will feature Jimmy Choo's iconic fliplock [ph] with a refined beveled faceted edge to add light and reflection to its look. Marianne will be offered in a chic, top handled silhouette as well as cross body styles featuring a refined leather strap with chain detailing. For fall, this group will be featured and degrade painted Python as well as a soft pebbled leather. And we plan to introduce new shapes, materials and embellishments to the Marianne collection over the coming seasons.
Turning to stores, we plan to increase the pace of store openings adding approximately 30 new -- net new locations in fiscal 2019. Given Jimmy Choo's significant global recognition, we believe there is meaningful opportunity to expand our global presence with a particular focus on Asia. In marketing, we are very excited about our glamorous fall campaign featuring supermodels Joan Smalls, Lily Aldridge, and Rosie Huntington-Whiteley.
With a combined Instagram following of over 14 million, the trio of models embody the essence of the Jimmy Choo woman. The campaign will showcase key fashion silhouettes in a gold theme, while reinforcing the confidence, glamour and playful personality of Jimmy Choo's DNA. Importantly, we are highlighting the most fashion forward pieces of the collection and we use this opportunity to support the introduction of our new Marianne handbag group alongside key seasonal silhouettes, the [indiscernible] pump and the Hurley [ph] boot.
In conclusion, fiscal 2018 was a pivotal year for Michael Kors holdings and we're proud of the results we delivered. We ended the year significantly ahead of plan for our Runway 2020 initiatives, successfully completed the integration of Jimmy Choo, and began to make strategic investments to drive accelerated growth in the brand.
We look forward to building on our momentum in fiscal 2019 and are on track to meet the long-term targets for both brands as we continue to lead in fashion innovation, deliver glamorous product, engaging brand communications, and provide an exceptional customer experience for both Michael Kors and Jimmy Choo. Additionally, we will continue to explore acquisitions to complement our existing luxury portfolio. Overall, we believe that we are well positioned to deliver long-term growth and enhance shareholder value.
With that, I will turn the call over to Tom."
"Thomas J. Edwards, Jr.",0,"Thank you, John, and good morning, everyone. We are pleased to have ended the year with fourth quarter performance above expectations, delivering adjusted net income of $97 million and adjusted diluted earnings per share of $0.63. We also achieved better-than-expected operating margin for the fourth consecutive quarter driven by revenue growth and gross margin expansion.
Turning to the details of our fourth quarter performance. Total revenue of $1.2 billion increased 10.8% compared to last year and grew 7.2% on a constant currency basis. This reflects the $108 million of incremental revenue from Jimmy Choo and a .6% increase in Michael Kors revenue compared to last year.
Michael Kors retail revenue exceeded expectations, increasing 4.4% and was flat on a constant currency basis. Since the fourth quarter of last year, we opened two net new stores reflecting 50 openings primarily in Asia and 48 closures. Comparable sales grew 2.3% and decreased 1.7% on a constant currency basis, with global e-commerce benefited comparable sales by 160 basis points.
With respect to regional comparable sales performance, results in the Americas and Asia were better than anticipated and performance in Europe was in line with our expectations. In the Americas, comparable sales improved sequentially by almost 500 basis points to nearly flat as we continue to deliver product that resonated with consumers and anniversaried our strategic initiative to reduce promotional activity.
In Europe, we continue to take steps to decrease inventory and drive higher full price sell-through, which as expected, impacted comparable sales performance. Our growth in Asia remain on track and we continue to drive positive comparable sales in the region.
For the Michael Kors wholesale business, revenue decreased 3.2% or 6.1% on a constant currency basis, which was in line with our strategy to reduce inventory in the channel to drive higher full price sell-through and elevate brand positioning. In the Americas, the wholesale revenue decrease was smaller than expected and improved sequentially, largely as a result of better full price sell-through across multiple categories.
In Europe, constant currency sales declines were in line with expectations as we are early in the process of resetting the wholesale base in this region. Michael Kors licensing revenue decreased 11.1% versus prior year, but we were pleased with the continued growth in Michael Kors access smartwatches. This was more than offset by the ongoing pressure in fashion watches. Additionally, we began to discontinue our fashion jewelry offering in preparation for the launch of a new elevated fine jewelry collection in the fall season, resulting in lower sales.
Turning to Jimmy Choo, revenue was $108 million. During the quarter, we continue to expand our presence by opening five new stores, bringing our total global fleet to 182 locations. We were pleased with the strong momentum in the footwear business, which met with favorable response as we continue to deliver exceptional product innovation.
As John mentioned, accessories performance was lower than anticipated as we began to transition to new collections. We plan to deliver innovation and enhance support for this category in fiscal 2019, which will enable us to capitalize on our growth expectations.
Turning to total company margin performance. Adjusted gross margin was 60.4%, an increase of 220 basis point. This was primarily attributable to higher retail mix for the Michael Kors brand, improved Michael Kors wholesale gross margin and the inclusion of Jimmy Choo which drove an 80 basis point benefit. Michael Kors retail gross margin increased 110 basis point, driven by international growth and lower cost of goods.
Michael Kors wholesale gross margin expanded 150 basis points, primarily due to better sell-throughs at retail. This year-over-year comparisons reflect conforming our intercompany cost methodology for a China acquisition in the prior year period, which did not impact consolidated gross margin. Total adjusted operating expense increased $90 million $558 million, reflecting $89 million of expenses from the inclusion of the Jimmy Choo business.
As a percent of revenue, adjusted operating expense was 47.3%, an increase of 330 basis points driven by a 360 basis point impact from the inclusion of Jimmy Choo. Operating expense as a percent of revenue for the Michael Kors brand was 43.7%, down 30 basis points versus prior year. Total adjusted operating margin was 13.1% compared to 14.2% last year. The Michael Kors adjusted operating margin was 15.8%, an increase of 160 basis points compared to the prior year. Including the methodology update to last year's fourth quarter, Michael Kors adjusted retail operating margin grew 280 basis points to 8 .5%, driven by leverage, higher sales and gross margin expansion.
We were pleased with the continued improvement in retail operating margin and expect to see this positive trend continue in to fiscal 2019. Michael Kors adjusted wholesale operating margin increased 170 basis points to 25.5% due to higher gross margin and lower operating expense.
Adjusted licensing operating margin for Michael Kors was 24.6%, an 860 basis point decline driven by deleverage. For Jimmy Choo, we made a number of accelerated investments during the fourth quarter in marketing, e-commerce and store openings. As a result, Jimmy Choo adjusted operating margin was negative and dilutive to the consolidated operating margin by 270 basis points. This is directly in line with Jimmy Choo's normal seasonality which I'll discuss in more detail when I turn to guidance.
Our tax rate for the quarter was 31.5%. This reflects update to our estimates for the impact of the new U.S Tax Reform legislation as well as other update to our tax provision estimates. For the full-year, our tax rate was 19.9%, 100 basis points lower to the prior year.
Turning to the balance sheet, we ended the quarter with $163 million in cash and cash equivalents and $874 million of debt, reflecting 320 million of debt repayment during the quarter. In the fourth quarter, we repurchased approximately 3.2 million shares for $200 million. We have an additional $642 million of availability remaining on our share repurchase authorization.
Inventory was $661 million including 129 million associated with the acquisition of Jimmy Choo compared to inventory of 549 million in the same quarter last year. Inventory for the Michael Kors brand of $532 million was down 3.1% compared to the prior year. Apple expenditures for the quarter were approximately $37 million and related to new store development, renovation, and information technology e-commerce enhancements.
Now, I'd like to turn to guidance and provide our outlook for the full-year and first quarter of fiscal 2019. Starting with the Michael Kors brand, in fiscal 2018, we expect to deliver low single-digit revenue growth in an operating margin in line with prior year. In the retail segment, we expect revenue growth in all quarters with an increase in the mid single-digits for the year. In our wholesale business, we expect continued inventory reductions as we drive higher full price sell-through.
We expect this will result in a revenue decline in the mid single-digits. Wholesale trends will differ for the Americas and Europe. In the Americas we expect the largest reduction in the third quarter as we focus on improving full price sell-through and high-volume holiday period. In Europe, we expect relatively consistent declines throughout the year as the reference started later in this region.
For our Licensing business. the transition to a more elevated jewelry line and fashion watch trends are expected to result high single-digit revenue decrease for the year. For Jimmy Choo we remain on track to meet our initial revenue expectations for fiscal 2019 and continue to plan to make investments in our retail expansion, accessories business, e-commerce capabilities and marketing programs. As a result, we expect Jimmy Choo's operating income in fiscal 2019 to below its historical level due to these investments and normal purchase accounting amortization.
We're confident the strategic investments we're making Jimmy Choo will position us to achieve our long-term revenue target of $1 billion and an operating margin rate in the low teens, as we build greater global scale and further expand the accessories business.
With that backdrop for fiscal 2019, we expect the following all on an adjusted basis. Total revenue to be approximately $5.1 billion, reflecting between $570 million and $580 million of incremental revenue from Jimmy Choo, an increase of approximately 10% on a pro forma basis. Retail revenue for Michael Kors to grow in the mid single digits with flat comparable sales.
Wholesale revenue declined in the mid single digits and licensing revenue to decrease in the high single-digits, and operating margin of approximately 17.7%. This assumes the Michael Kors operating margin in line with the prior year reflecting modest gross margin expansion and slightly higher operating expense as a percentage of sales as we grow the retail business, as well as approximately 180 basis points of dilution from Jimmy Choo, a tax rate of approximately 16.5% weighted average shares outstanding of $154 million and diluted earnings per share in a range of $4.65 to $4.75 including dilution from Jimmy Choo of approximately $0.05 to $0.10.
Capital expenditures are expected to be approximately $250 million including Jimmy Choo. This reflects the opening of approximately 60 Michael Kors stores and approximately 30 Jimmy Choo locations with a focus on Asia. In addition, we will continue to invest in renovations to our retail fleet as well as enhancements for our information systems across both brands.
As part of our fleet optimization for Michael Kors, we plan to close approximately 25 stores in fiscal 2019, and incur restructuring charges of approximately $30 million. In addition, we expect cost related to the Jimmy Choo transition to be approximately $30 million in fiscal 2019.
Looking at the quarterly pacing for the year, our expectations reflect greater seasonality, seasonal variation for the Jimmy Choo business. We expect Jimmy Choo operating income to be above the full-year average in the first and third fiscal quarters, but we do not expect the business to generate significant operating income in the second and fourth fiscal quarters. Accordingly, while we expect EPS growth in the mid single digits for fiscal 2019 and low to mid teens for the first quarter, we anticipate second quarter EPS will be lower year-over-year largely due to Jimmy Choo seasonal pacing.
Turning to our outlook for the first quarter, we expect the following all on an adjusted basis. Total revenue to be approximately $1.135 billion, reflecting between $140 million and $145 million of incremental revenue from Jimmy Choo. Retail revenue for the Michael Kors brand to grow in the low single digits with flat comparable sales, wholesale revenue to increase in the high single-digit as we lap the largest quarterly decline from fiscal 2017 and licensing revenue to decline in the high single-digits; and operating margin of approximately 15.2% reflect the Michael Kors operating margin in line with the prior year and 80 basis points of dilution from Jimmy Choo; a tax rate of approximately 14%, weighted average shares outstanding of $153 million and diluted earnings per share in a range of $0.90 to $0.95, including anticipated benefit from Jimmy Choo of approximately $0.01 to $0.03.
In conclusion, we’re pleased with our fourth quarter performance which cast a pivotal year for our company. We are excited about the initiatives we are underway in fiscal 2019 to deliver revenue and earnings growth for Michael Kors Holdings. Importantly, the momentum we are building positions us to deliver continued growth in the future.
Now, I will open the call to questions."
Operator,1,Thank you. [Operator Instructions] We can take our first question and it comes from Oliver Chen of Cowen & Co. Your line is open. Please go ahead.
Oliver Chen,1,"Hi. Thank you. Regarding the wholesale side of the business, how should we think about the gross margins trending? Do you expect that better sell-throughs at retail to continue to have benefits there? And just more broadly speaking about margins, I was curious about your thoughts on the online e-commerce margins and opportunities to expand those over time what you think will happen as that penetration rate increases? Thank you."
John D. Idol,1,"Good morning, Oliver. I think our belief in wholesale is kind of routed around the following. Number one, we were really pleased with what we saw happened in the fourth quarter. As we said in our prepared remarks that we actually saw comparable sales growth at our retail partners in Q4 or fiscal Q4, which was very encouraging and that's with less inventory in their stores and that just reflects better response from the consumer on the elevated product that we've been delivering into the stores. So I have to say we were kind of very excited about what we saw happened there. And as a result of that, we sat down with our partners and we said looking out to the balance of the year why can't we continue to replicate this? Put less inventory in the channel, continue to believe that the consumer is going to respond better, in particular, we got the three initiatives happening, we've got Whitney coming for the fall season, we've got our expanded offering around our Michael Kors signature products, and then now we’ve got the MK Go also coming. And so we feel so good about all the things that are happening along with our partners that we feel we need less inventory to do that. That just means less markdown, that means a much healthier perspective from -- with -- to the consumer of how our brand is positioned. And based on that, we are going to have less wholesale shipments in the channel. We think that's the right thing for us to. We think our gross margins will roughly remain the same because as you know we mentioned last year we were increasing the assistance that we gave to our partners as we got through the situation. So if the sell-throughs happen at the kind of levels that we saw, we're going to maybe even see some upside to that. But I think for right now our focus would be about flattish for the category. And then, secondly, on the online margin, what we’re extremely excited about in particular is Kors Style. We're seeing the average transaction go up by double digits with Kors Style. And that's really driven because we are selling multiple products to the consumer whether we were selling our dress and a hand bag or a shoe and a dress or within multiple classifications are. So that’s really driving improved results on the online piece of the business, and margin has been sequentially improving each year for us there. So our goal absolutely is to see margin improve there and that’s both from a gross margin standpoint and on operating margin standpoint. So we like what's happening on our online business, and particularly the initiatives that we're putting in place in the online business to drive increased sales, but also really to connect and further engage with our consumer and of all those initiatives are working very, very nicely for us. So thank you, Oliver."
Oliver Chen,1,Very helpful. Thank you.
Operator,1,Thank you. We can now move along to our next question. It comes from Simeon Siegel of Nomura. Please go ahead.
Simeon Siegel,1,"Great. Thanks. Good morning, guys and congrats on the progress. John, just to that point, your comments on -- around the progress around wholesale. Is there any -- are the shipment reductions, are they concentrated in any product categories or just the channels within wholesale? Maybe any context around your full price or off-price? And then, Tom, just recognizing the return to repurchases, any color on the expected use of capital this year? Sorry if I missed it. Did you give your CapEx expectations? Thanks."
