speaker,q&a,content
Operator,0,"Good morning and welcome to the Lakeland Industries Fiscal First Quarter Financial Results Conference Call. All participants will be in a listen-only mode. [Operator Instructions] After today’s presentation, there will be an opportunity to ask questions. [Operator Instructions]. Please note that this event is being recorded. Before we begin, parties are reminded that statements made during the call contain forward-looking information within the meaning of the Securities Act of 1933 and the Securities Exchange Act of 1934. Forward-looking statements are all statements other than statements of historical facts which reflect management’s expectations regarding future events, and operating performance and speak only as of today June 8, 2018.
Forward-looking statements are based on current assumptions and announcements made by the company in light of its experience and its perception of historical trends, current conditions, expected future developments and other factors it believes are appropriate under certain circumstances.
These statements are subject to a number of assumptions, risks and uncertainties and factored in the company’s filing with the Securities & Exchange Commission, general economic and business conditions, the business opportunities that maybe presented to you and pursued by the company changes in law or regulations and other factors many of which are beyond the control of the company.
Listeners are cautioned that these statements are not guarantees of future performance and the actual results or developments may differ materially from those projected in any forward-looking statements. All subsequent forward-looking statements attributable to the company or persons acting on its behalf are expressly qualified in their entirety by these cautionary statements.
At this time, I would like to introduce your host for this call, Lakeland Industries, Chief Executive Officer, Christopher J. Ryan. Mr. Ryan, you may begin."
Christopher Ryan,0,"Thank you, and good afternoon to you all and thank you for joining our fiscal 2018 fourth quarter and full year [fiscal 2019 first quarter] financial results conference call. We are going to provide opening statements on the status of operations and on our financial results. The call will then be opened up, so that we may respond to your questions.
Now on to my formal remarks. We were off to a very solid start to fiscal 2019, which further solidifies our leadership position in the global workforce protection market. While fiscal 2018 was quite strong in terms of a rebound, the start of our fiscal 2019 has continued in similar fashion as we are seeing growth in the global industrial economic landscape with particular resurgence in the oil and gas sector. We achieved the second consecutive year of revenue growth for the first quarter and nearly eclipsed the level of sales in the first quarter, above fiscal 2016 when we had significantly heightened demand resulting from the devastating bird flu outbreak.
In the first quarter of fiscal 2019, we once again experienced sales growth in all of our major international operating regions as well as in our emerging market operations. Sales in the U.S. were lower due to inventory work down from large fourth quarter shipments and a concerted effort to focus on higher marginal product lines.
Considerable effort and investment have been made in order to increase our manufacturing capabilities to meet growing customer demands. This was part of the revenue growth strategy we had last year and which is continuing into this year. I talked about our overall revenue growth strategy on the year-end earnings results conference call. I’d like to review the elements of this strategy and update you on our progress in the first quarter.
In addition to increased production capacity, our revenue growth strategy includes; one, new products targeted at underserved vertical markets; two, entry into and scaling of new geographic markets; three, hiring of additional sales people; four, Amazon distribution platform; five, investments in information technology.
Most of these growth strategy elements I have discussed dovetail into our gross margin improvement initiatives. While reporting an increase in our topline for the first quarter, we have made great strides to position the company for longer-term gains and a parallel improvement in our gross margins, and already we are seeing an uptick in gross margins. Our gross margin as a percent of sales increased to the highest first quarter level in recent history, at 39% in the first quarter of fiscal 2019, we have seen a significant increase from 37.3% in the first quarter of fiscal 2018, and a 33.3% for fiscal first quarter 2017.
The key components of our ongoing effort to improve gross margins include, entry into faster growing international markets with limited competition; two, introduction of new specialty products which benefit from our material to manufacturing expertise, including the multi-sourcing of raw materials; three, the lowering of our cost of manufacturing; four, improving our operational effectiveness through investments in technology; and five, leveraging of alternative distribution channel, principally with Amazon for retail sales.
In addition, we are also increasing prices in select markets around the world. The development of higher margin products includes lines of fire retardant garments for the utility market and our cleanroom garments. These products are intended for underserved vertical markets, which are less immune to competition. This is particularly important for our U.S. operations.
We have secured marquee customers within the utility market and these customers are beginning to use our products on an increasingly national basis once initially penetrated. Given our exposure to the U.S. market, which is one of the most mature regions for PPE products, it is here where we are learning -- leaning towards the introduction of new, higher margin products that showcase our leading global design and manufacturing capabilities.
We are particularly excited by our new ChemMax product, which will be marketed into cleanroom market for sale to the pharmaceutical supply chain. This is a large market that spans domestic and international sales opportunities. We began booking orders in the first quarter in the U.S. with sales to be recorded beginning in the second quarter.
This product line has significantly higher gross margins than what we currently have with, say, traditional disposables. So you should be seeing that contributing to our sales and margin performance as the year progresses.
Through the course of last year and thus far into fiscal 2018, we focused on expansion into new and existing territories; again, unlike the competitive environment in the U.S., international markets are less competitive, so we believe we’ll be able to increase sales and deliver higher margins from these sales.
The implementation of our long-term growth strategy includes the addition of sales and marketing personnel globally, and expansion of manufacturing, primarily in India and Vietnam. Traction is being gained in our efforts to penetrate international markets which are growing at a faster rate than the more competitive U.S. market.
Five sales people have been added in calendar 2017 and we added three more sales and marketing people through the first five months of calendar 2018. It typically takes 6 to 12 months for sales people to meet their quotas, where we begin to breakeven on them.
In addition to these new hires as part of our global expansion, we also have been spending on our international manufacturing, which will contribute to grow our topline and our margins. Improvement in gross margin continues to be partially offset by higher labor costs in China. We are working toward continued establishment and expansion of production facilities in India and Vietnam. Once fully operational, these new locations will provide us with lower cost productions as compared with China and Mexico.
Vietnam is now partially up and running with about 300 employees that increased from nearly zero in January. I’m pleased to announce that we have made our first shipments. Our plan calls for manufacturing staff of 600 by this time next year. Production efficiencies will improve as our team members are trained and gain experience. We are similarly going to phase in India, although it will be scaled later with roughly the same staff as Vietnam.
In India, we already have selling operations, so the expansion in manufacturing will be a nice complement to gain share. In Europe and Australia, we’ve added sales there. In the United States we added three sales people last year who are gaining traction. Also in the U.S. we have our first Amazon distribution platform. Last year, we invested in the development of fulfillment capabilities for the same day, next day delivery.
As we’ve discussed, this platform is off to a great start, and it requires a limited amount of inventory allocation. We basically started with almost nothing in Amazon and over the last year, we ramped up quite nicely. We’re still experimenting with just the right product mix, but I believe we have a strong enough sample size to replicate our success.
Distribution on Amazon platform will be rolling out in Australia, Canada and the U.K. in fiscal 2019. We plan to launch our Amazon distribution in Canada with a very limited number of products during the fiscal second quarter. As you can see, we’ve been very busy expanding our global operations on many levels, which also include investment in IT that Teri, will touch upon in her remarks.
The increased operating expenses in the first quarter aided in the implementation of our growth and profitability enhancements, but we are effectively managing our spending. Operating expenses as a percentage of revenues remain consistent from the fourth quarter at approximately 29% while the increased spending by 1 million from the first quarter of last year with continued investment to support our expanded global presence and product development. The Company reported an increase in net income of over 9%, while consolidated net sales grew by 6%.
Our increased net income primarily reflects an improvement in our international sales and higher, higher overall gross margin partially offset by increased operating expenses. Along with this increased spending, we continued to grow our cash balance and reduce debt. Cash increased by more than 3% to $16.2 million during the first quarter, while total debt outstanding at April 30, 2018 was reduced by nearly 7% in the period.
We now have over 16 million of net cash or about a $1.97 per share and no borrowings on a $20 million revolving credit facility. We remain very encouraged by our strong financial conditions and our continued ability to further improve the company’s top and bottom line performance.
As we look towards the balance of fiscal 2019 and beyond, we are very encouraged by our solid financial position and the growth prospects that are within reach given our diversified business lines, our optimized supply chain and indications of continued global economic strength.
Lakeland industries is increasingly the partner of choice in the global workforce protection market. We are leveraging the progress that has been made and the vast addressable markets available to us to deliver topline growth in excess of markets we serve, while improving the quality of our earnings so we can deliver sustainable and strong results before one-time contributions.
That concludes my remarks. I will pass the call over to our CFO, Teri Hunt to provide a more thorough review of the company’s financial results."
Teri Hunt,0,"Thank you, Chris. The following addresses my review of the fiscal 2019 first quarter ended April 30, 2018. Net sales from continuing operations were $24.3 million up from $23 million in Q1, 2018. As compared to the earlier period, overall sales volume was higher which resulted from economic growth globally and the continued rebound in the oil and gas sector.
On a consolidated basis for the first quarter of fiscal 2019, domestic sales were $12.4 million or 51% of total revenues, international sales were $12 million or 49% of total revenues. This compares with domestic sales of $12.7 million or 55% of the total and international sales was $10.3 million or 45% of the total in the same period of fiscal 2018.
Sales in the U.S. modestly decreased from the prior year period primarily due to strategic revenue mix adjustments with selective fulfillment of lower margin disposable product orders and renewals.
In the U.S, disposables represent approximately 51% of total domestic sales. The other product line for marketing in the U.S. include Chemicals, woven, fire retardant or FR apparel reflective and glove.
Disposable garments are among the least sophisticated and most commoditized of the garments we sell. Therefore it commonly yields the lowest margins by far in the U.S., although we have a different margin profile for similar garments internationally.
Additional production capacity is being brought on line in new manufacturing facilities in India and Vietnam, which positions the company to increase sales globally and reduce our cost of production while expanding our sourcing of raw materials.
As in the fourth quarter of last year, the oil and gas sector has been going through a rebound, a larger concentration of our products sold into the oil and gas sector are drawn for online of chemical protective apparel and leasing gross for these products in the first quarter.
Among the company’s larger international operations, sales in China into the Asia Pacific Rim increased $3.3 million or 31% as compared to the prior year period. This growth is attributable to improved industrial activity, several larger customers beginning to replace depleted inventories as the company works through a large backlog and increased intercompany demand.
Sales in Canada increased $0.4 million or nearly 20% to $2.2 million as that country continues to experience an oil and gas turn around and as we successfully secured business relating to remediation turn out gear for fire fighting and other safety apparel.
U.K. and Europe sales increased by $0.4 million or 21% to $2.6 million as new distributors were signed on in Germany which led to the placement of stocking orders. In country sales in Germany are the result of our new direct sales efforts in that country which were initiated several months ago.
Mexico sales increased 95% to $1.5 million driven by successful targeting of large international accounts, excuse me large national accounts. Mexico and China sales included in the company sales, which are eliminated in consolidation of financial reporting.
Finally, Russia and Kazakhstan sales combined for an increase in sales of $0.5 million. Gross profit increased $0.9 million or 11% to $9.5 million for the three months ended April 30, 2018 from $8.6 million for the prior year.
Gross profit as a percentage of net sales increased to 39% from 37.3% for Q1, FY 2018. The gross margin increase benefited from a mix of sales of higher margin products, including chemical suits, FR apparel and other woven products, and higher pricing implemented in the U.S. and select international markets are key product lines as the quarter progress.
Operating expense is $7.1 million in the quarter, increased $1 million or 16.5% from $6.1 million in the first quarter of FY 2018. Operating expense as a percentage of net sales was 29.1% for Q1, FY 2019 essentially flat as compared to 29% for Q4, FY 2018 and up from 26.5% in Q1 FY 2018.
The main factors for the higher operating expenses are increases in salaries for additional sales and marketing personnel as the company expands internationally and domestically. The Amazon distribution strategy implementations increase expenses for freight costs and commissions based on higher sales volume, new product development cost and foreign currency exchange fluctuations.
As we build out our presence in various international markets, we add warehousing and other support personnel. These costs are elevated today relative to that operation top line contribution, but we gained operating leverage as our brand and sales development effort take hold.
Operating income of $2.4 million for the quarter compares to $2.5 million for the same quarter last year, considering the $1 million an increased operating expenses year-over-year which are largely tied to future revenue growth, production capacity increases, product development and margin enhancement initiatives, we're pleased with where operating income came in for the first quarter of this year.
Operating margins were 9.9%, down from 10.8% in Q1, FY 2018, all geographic regions produced positive operating income for the quarter. Net income for the quarter was $1.9 million or $0.23 for basic share as compared to net income of $1.7 million or $0.24 per basic share in FY 2018.
The 9.1% increased in net income is primarily attributable to higher sales in gross margins and partially offset by increased operating expenses. Income tax expense for the quarter was $0.5 million compared with $0.7 million in the same quarter last year. The company continues to be required to pay local taxes on certain country operations where those operations were profitable on a local basis.
Adjusted earnings before interest, tax, depreciation and amortization for EBITDA and non-GAAP measure, which excludes stock-based compensation with over $2.7 million as compared to just under $2.8 million in Q1 FY 2018.
Free cash flow also a non-GAAP measure was $2.1 million in Q1, FY 2019, down from 2.3 million in the prior year period. On the balance sheet, cash and cash equivalents increased to $16.3 million, up from $15.8 million at the beginning of the fiscal year and 37% higher than at the end of the first quarter of last year.
To accommodate continued global growth, inventories increased to $44.4 million, up from $42.9 million at the end of fiscal 2018, working capital increase to $68 million from $66.1 million at January 31, 2018, an improvement of nearly 3%.
At April 30, 2018 the balance of borrowings under our revolving credit facility stood at zero which is the same as year end and down from $2.4 million from the end of Q1, 2018.
Total debt outstanding at April 30, 2018 was $1.6 million, down from $1.7 million at the start of the fiscal year and $3.1 million at April 30, 2017. The company incurred capital expenditures of approximately $0.3 million during the first quarter of fiscal 2019. This amount is essentially the same as in the fourth quarter of fiscal 2017, but prior then the 0.1 million incurred in the first quarter of last year.
Capital expenditures principally related to additional equipment in China and Mexico and for the new ERP implementations. We expect total capital expenditures for all fiscal 2019 to be approximately $2.5 million to $3 million which includes the cost for our increased manufacturing capacity and locations around the world and the phased global rollout of a new enterprise resource planning software.
Our ERP implementation is on track for USA and Canada in third quarter this fiscal year and is expect to provide management with enhanced ability to allocate production capacity, capitalized on sales opportunities and improved inventory cycles.
Our current ratio was 7:1 at the end of this quarter as compared to 7.41 throughout the year and 5.91 at the end of Q1, 2018. Total shareholders equity was $84.6 million at April 30, 2018, up from $82.8 million at January 31, 2018 and $73.2 million at April 30, 2017.
That concludes my remarks. I will turn the call back to the operator to begin the Q&A session."
Operator,1,Thank you. We will now begin the question and answer session. [Operator Instructions] And our first question comes from Dave King with ROTH Capital. Please go ahead.
Dave King,1,Thanks. Morning everyone.
Christopher Ryan,1,Good morning.
Dave King,1,"I guess first on the – couple of questions on revenue. In terms of the pricing increases you took, it sounds like those were kind of later in the quarter. Were those a material driver to the 6% revenue growth? And I guess more importantly, do you expect a more meaningful contribution next quarter?
And then separately in terms of the high margin utility and pharma products, it sounds like pharma launched the ship in Q2. Did you say when utility is launching? And then just more broadly, how should we be thinking about the contribution from those on an annual basis? Thanks."
Christopher Ryan,1,"Okay. Utility should be launching in the third to fourth quarter. Both these products have very, very good margins. And what was the other part of the question? Yes. It was price increases."
Teri Hunt,1,"I think that the price increase was lighter in the quarter, and we'll see the effects of that stronger in Q2, Q3, and Q4."
Christopher Ryan,1,"And on a certain divisional line, we just raised prices June 1, so we're not going to see that until the third quarter."
