type,name
Executives,Stuart Burgdoerfer - EVP and CFO
Executives,Amie Preston - Chief IR Officer
Analysts,Alexandra Walvis - Goldman Sachs
Analysts,Paul Lejuez - Citi
Analysts,Ike Boruchow - Wells Fargo Securities
Analysts,Drew North - Robert W. Baird
Analysts,Susan Anderson - B. Riley FBR
Analysts,Brian Tunick - RBC Capital Markets
Analysts,Jamie Merriman - Bernstein
Analysts,Kimberly Greenberger - Morgan Stanley
Analysts,Paul Trussell - Deutsche Bank
Analysts,Omar Saad - Evercore ISI
Analysts,William Reuter - Bank of America Merrill Lynch
Analysts,Ross Collins - Cowen and Company
Analysts,Adrienne Yih-Tennant - Wolfe Research
Analysts,Janet Kloppenburg - JJK Research
