speaker,q&a,content
Company Participants,0,"Daniel Boncel - VP, Finance & Principal Accounting Officer
Robert Lento - President, CEO & Director
Sajid Malhotra - CFO"
Conference Call Participants,0,"Robert Majek - Raymond James & Associates
Jonathan Charbonneau - Cowen and Company
Mark Kelleher - D.A. Davidson & Co.
Sameet Sinha - B. Riley FBR, Inc.
Jeffrey Van Rhee - Craig-Hallum Capital Group"
Operator,0,"Good day, and welcome to the Limelight Networks First Quarter 2019 Earnings Conference Call and Webcast. [Operator Instructions]. Please note, this event is being recorded.
I would now like to turn the conference over to Dan Boncel, Limelight's Chief Accounting Officer. Please go ahead."
Daniel Boncel,0,"Good afternoon, and thank you for joining the Limelight Networks' First Quarter 2019 Financial Results Conference Call. This call is being recorded on April 17, 2019, and will be archived on our website for approximately 10 days. Let me start by quickly covering the Safe Harbor. We would like to remind everyone that we will be making forward-looking statements on this call. Forward-looking statements are all statements that are not strictly statements of historical fact such as our outlook for 2019 and beyond, our priorities, our expectations, our operational plans, business strategies, secular trends and product and feature functionality announcements. Actual results could differ materially from those contemplated by our forward-looking statements, and reported results should not be considered as an indication of future performance. For more information, please refer to the risk factors discussed in our periodic filings, including our most recent annual report on Form 10-K. The forward-looking statements on this call are based on information available to us as of today's date, and we disclaim any obligation to update any forward-looking statements except as required by law.
Joining me on the call today are Bob Lento, our Chief Executive Officer; and Sajid Malhotra, our Chief Financial Officer. We will be available during the Q&A session at the end of prepared remarks from Bob and Sajid. 
I would now like to turn the call over to Bob Lento."
Robert Lento,0,"Thanks, Dan, and good afternoon. Today, we announced our first quarter results. We entered 2019 expecting the first quarter would mark the low point for the year in our financial results, but would set the foundation for our best year ever across many operational and financial measures.
Results were largely in line with our expectations as we invested heavily in opportunities that we expect to yield significant revenue in the second half of 2019. Revenue in the first quarter was $43.3 million. GAAP net loss was $8.6 million. Non-GAAP net loss was $5.1 million, and adjusted EBITDA was a loss of $600,000. We mentioned previously that we are focusing our strategy on low latency, high-quality video on a global scale, and we continue to execute against that plan. Last year, we moved away from customers we believe did not value our services at a reasonable price point and were not aligned with our strategic goals. This move freed up capacity for customers who value high quality and global scale. We also successfully renegotiated contracts with many of our largest customers, many of which are focused on our high-quality video delivery capabilities. These conscious decisions impacted revenue in the first quarter of this year compared to the first quarter of last year, but we believe we are now better positioned for growth and long-term financial success as a result.
As part of this strategy in Q4, we announced the strategic partnership with Ericsson. We continue to execute on our plan as the exclusive provider of content delivery capabilities on the Ericsson Unified Delivery Network, or UDN, which is an edge cloud platform with point of presence within more than 40 service provider networks. This partnership is changing our business model and how we work with local service providers. We are converting existing Ericsson locations to Limelight's infrastructure and operating software. 
Since the beginning of the year, we have already converted 14 locations across 6 countries, including Thailand, Germany, Brazil, Mexico, Colombia and Australia. And we have a considerable pipeline of additional sites that we're working on. I also had the opportunity to present with Ericsson at their Global Edge Forum at Mobile World Congress last month in Barcelona. I met with many C-level executives, representing some of the largest service providers in the world. They were very interested in our partnership with Ericsson, and are looking forward to adding our delivery capabilities inside their networks. I continue to believe this partnership will be a game changer for us in the future, generating significant revenue for us in the second half of 2019 and beyond.
In addition to the capacity added through the conversion of Ericsson locations, we continue to focus on expanding our capacity through software enhancements and expansion of our network footprint into new locations that are important to our customers and support key initiatives.
Our R&D team has built, and throughout this year, we will be deploying in production, a new version of our network software that will drive increased performance and throughput. We anticipate increasing global capacity by at least 20% once this rollout is complete. We are also pursuing an aggressive network expansion plan that includes building new PoPs in geographies that are important to our customers. 
Additionally, we're making specific network-related investments to better support key initiatives like edge services and real time streaming. We expect these efforts to have a positive impact on our customers and drive revenue growth in the future. 
Customer acquisition was up 50% year-over-year with good distribution across regions. As a result, new customer revenue was ahead of plan in Q1. This momentum was driven by our new global sales leader, Tom Marth. We are pleased with his contributions to date, and expect his leadership to drive more success across sales as the year progresses. 
During the quarter, we onboarded several significant new customers that we expect to drive revenue growth. Two great examples include Major League Baseball, where we have started to stream games on a daily basis. And HBO, who has added Limelight to deliver its content to millions of viewers across the globe. 
As OTT continues to grow, the companies like Apple and Disney have announced their intent to offer their own subscription-based video-on-demand services. We believe events like these further support our decision to focus our strategy on low latency high-quality video delivery on a global scale. We are an opportunity-rich environment and are well positioned to capitalize on these trends. We are excited about these opportunities, and many more we expect to share with you in the near future.
As we have made progress on these priorities, we continue to see evidence of improving customer satisfaction as we delivered record traffic in Q1. Traffic was over 10% higher than our previous record set in the third quarter of 2018. A few of our biggest customers had major traffic events during the quarter, and I am pleased that they trusted our ability to deliver high-quality experiences to their end users. We expect this momentum to strengthen throughout 2019. We continue to see a high degree of interest in our recently announced Limelight real time Streaming, which is the industry's first global scalable subsecond live video streaming solution that is natively supported by major browsers and devices. At the recent NAB show in Las Vegas, we won 2 new awards for this product, in addition to the 3 we won at IBC last year. 
We are seeing large spread interest in all regions from industry spanning broadcasts, online gaming and betting, sports, auctions and many others. So far this year, we have closed several real time streaming deals with some of these customers already in production and others in the process of onboarding. We also have a number of customers in the testing phase. We're excited about this growing level of interest and revenue potential, and we are pleased that this new offering clearly establishes Limelight as the industry leader in subsecond global video delivery.
We're pleased with our continued progress in edge services, which leverages our infrastructure to address our customers' needs at the edge through low latency and connectivity. In the first quarter, we closed a number of new edge service deals, and continue to have a strong and growing pipeline. As announced in January, we expanded our leadership in this area by hiring Mike Palackdharry as Senior Vice President of Strategic Solutions. We are pleased with his contribution so far this year and expect his efforts to accelerate momentum in the new and growing edge services market. 
In summary, our financial performance in the first quarter of 2019 was largely in line with our expectations. Our momentum was multidimensional, with much activity and progress across all regions, multiple product lines, both existing and new customers, and our various partnerships. With the first quarter now behind us, I remain confident that 2019 will be our best year ever on many fronts. As a reminder, we previously announced that Sajid, Mike DiSanto and I have chosen this year to replace half of our base salary with equity at undiscounted market prices, based on our confidence to meet our plan for the year.
We have strong conviction of our management team's ability to execute on our strategy, to capture the tremendous growth potential we see in our opportunity-rich environment. We recognize that we have tough comps again in the second quarter, as we continue to invest heavily in our business to ensure that we are well positioned to serve the demand we anticipate in the second half of 2019 and beyond.
We expect the second quarter performance to be stronger than the first. And we expect strong revenue and traffic growth in the second half of 2019 as new deals begin to contribute more meaningfully to our financial performance. We believe our decisions and efforts will yield the right results, and translate into sustainable above market shareholder returns.
I am pleased with the hard work of our global team and would like to express my gratitude for the momentum they together have generated in the first quarter. I've never been as excited as I am at this moment about the industry we serve and Limelight's future. 
With that, I'll turn the call over to Sajid to discuss the first quarter financial performance in greater detail and our guidance for 2019. Sajid?"
Sajid Malhotra,0,"Thanks, Bob, and good afternoon. Q1 by most financial measures was expected to be a low point, and it came in roughly in line with our expectations. I am excited about what the remainder of the year will bring. I have not seen this level of business activity and momentum in my time with Limelight. I will address these items a bit later, but first let me tell you a little bit about the first quarter.
Starting with revenue, in the first quarter, we reported revenue of $43.3 million. Coming off a tough comp from Q1 last year, revenue was down 17% year-over-year. Foreign exchange headwinds in the quarter amounted to approximately $300,000, almost 1%. During the first quarter, we have onboarded and are now working with almost all major U.S. broadcasters. It has taken a long time to regain their trust by demonstrating our reliability and superior performance. As they continue to work with us, we believe we will gain more market share with these customers, and this along with several other opportunities will fuel our growth for the remainder of 2019 and beyond. 
International customers accounted for 41% of total revenue in Q1 compared to 38% a year ago. Approximately 18% of our fourth quarter revenue was in non-U.S. dollar denominated currencies. Our top 20 customers account for approximately 70% of total revenue compared to 73% last year. We mentioned last quarter, we believed our product innovation with Limelight real time Streaming, our emphasis on evolving edge compute marketplace as well as out network performance would lead to higher customer counts in 2019. We are pleased to report churn levels are at the lowest levels in over 5 years. This is also a component of our revenue growth plan. We expect the new discipline and procedures instilled that our new sales management team will lead to an increased customer count, and contribute to revenue growth this year.
Moving on to operating expenses. During the first quarter, we accelerated our network expansion plans by adding capacity. This added capacity will be required to serve the traffic demands we see coming in the second quarter, and second half of 2019. This added capacity creates expense, which will gradually be offset by revenue as traffic ramps. Our egress capacity has reached 25 terabits per second as of the end of the first quarter, up almost 50% from the end of first quarter last year. We have also invested in the implementation, testing, conversion and assimilation of Ericsson UDN PoPs. And we expect the pace to pick up and are reporting progress on our website. 
Material revenue from our customers should begin to flow over the combined assets by late 2Q. G&A expense decreased $2.0 million due to lower litigation-related expense. R&D decreased $400,000 due to lower employee compensation. Offsetting these was an increase in sales and marketing tied to a planned expansion of these items. Interest income expense and other income and expense netted to income of $200,000 in Q1 this year, consistent with last year. 
On a GAAP basis, we lost $0.07 per basic share this quarter compared to breakeven per share last year. Adjusted EBITDA was $600,000 loss for the first quarter of 2019. We had cash and marketable securities of $38.7 million at the end of the first quarter. We expect the first quarter to be the highest cash usage quarter in terms of operating activities for the year. Low Q4 revenues, annual bonuses, higher payables, and increased CapEx caused the decline in cash balance. We spend over $5 million in capital expenditures during the quarter as we expand and refresh our network capacity. We expect to return to positive cash flows from operations in the second quarter. 
At the end of the first quarter, DSO was 59 days compared to 52 days at the end of last year as some customers appear to manage their payable balances at the end of the quarter that we didn't see at the end of last year. We normally expect DSO to be between 50- and 55-day range. Our balance sheet remains very strong. This month we made our last payment to Akamai under the previously announced lawsuit settlement, and we continue to remain debt-free. 
As of March 31, we had approximately 114.9 million shares outstanding. Total employee count at the end of the quarter was 562, up 18 from the end of the first quarter last year. The increase primarily relates to additional sales personnel and is consistent with our strategy. We expect to continue to add to these numbers to meet our revenue targets for the year. Employee count and G&A functions should remain stable. 
Moving to guidance. We expect 2019 to be a record year across almost all financial measures and are maintaining our previous guidance. We continue to expect revenue of between $215 million and $225 million. GAAP EPS of between breakeven and $0.10 per share, and non-GAAP EPS in the range of $0.10 and $0.20. Adjusted EBITDA is expected to be between $30 million and $40 million. We see capital expenditures in the range of between $20 million and $24 million.
For revenues and related profitability, Q1 was expected to be the low point in our 2019 plan. The reported results were slightly ahead of or close to our plan. At the same time, there were many, many operational and nonfinancial targets achieved that laid the foundation for us to deliver against our full year guidance. Ericsson conversion is gaining speed. Revenue headwind from customer declines has slowed significantly, and traction in new customers is very strong. Real time streaming is receiving industry-wide recognition, and we are onboarding customers for this offering. Our footprint expansion is allowing us to serve countries and regions with higher quality and lower latency, and we are engaged in a number of mega deals for our edge offering. 
While we do not give quarterly guidance, in the reversal of last year's trend, we expect the remaining three quarters to get materially and progressively better. I believe the sequential revenue growth will be unlike anything we've ever experienced and with increasing momentum. We expect second half revenue could be 30% higher than second half of last year, and the first half of this year. This will set up a customer base and a revenue stream from a product assortment that bodes well for 2020 and beyond. 
Additionally, in the second half of the year, we should start to see incremental revenue being delivered from the added capacity made available from the Ericsson partnership. We now have over 90 points of presence within our network, and we expect that to increase to over 160 by the end of the year as we accelerate the buildout with Ericsson partners. So we are excited and continue to execute against our plan. 
With that, we'll open the call up to your questions. Operator?"
Operator,1,[Operator Instructions]. The first question comes from Michael Turits of Raymond James.
Robert Majek,1,"This is actually Robert Majek on for Michael today. In order to hit the midpoint of the full year revenue guide, you have to ramp up from $43 million in revenue in Q1 to roughly $60 million or $65 million-or-so in Q4. Can you just bridge us on how we get there from here? How much growth is from existing customers? How much is from the Ericsson deal? And how much is from other new products and partnerships? And then how much visibility or confidence do you have that you can hit your target in each one of those buckets?"
Sajid Malhotra,1,"So we have not broken out the revenue by the different components. But fair to say that the run rate that we have and the business momentum that we have, gives us confidence in the guidance that we're giving at this point. This is something that we're trying to execute against the plan. As you can imagine, the run rate exiting any quarter establishes kind of where we should be from the base business standpoint. And if you look at it historically, you have a higher Q1 and high Q4, and then a little bit of a slowdown that occurs seasonally in Q2, Q3. We don't think that would be the case this year. In fact, as you heard me say earlier, we expect Q2 to be significantly higher than Q1 and continue to ramp up into Q3, which would be quite different from what we experienced historically, and then on to Q4. As far as Ericsson goes, and along with the other initiatives, I have said that they should contribute in the high single digits in terms of the overall plan. So somewhere between $7 million and $9 million kind of from the combined initiatives that we expect. And that's what we expect, and that's what we're executing against. Most of that revenue is coming on in the second half. And that's what is causing the second half to grow at an even faster rate."
Robert Majek,1,"And maybe just one more for me. You touched on it in the prepared remarks. But can you just tell us a bit about the real time streaming product, who the initial customers and use cases you're targeting? And whether you've had any traction converting trials to pay customers?"
