speaker,q&a,content
Company Participants,0,"John Mills - ICR
Harold Edwards - President and CEO
Mark Palamountain - CFO"
Conference Call Participants,0,"Ben Bienvenu - Stephens, Inc.
Vincent Anderson - Stifel Nicolaus
Gerry Sweeney - ROTH Capital Partners
Eric Larson - Buckingham Research"
Operator,0,"Good day, and welcome to the Limoneira 2Q '19 Earnings Call. Today's conference is being recorded. At this time, I would like to turn the conference over to John Mills of ICR. Please go ahead."
John Mills,0,"Great, thank you. Good afternoon, everyone, and thank you for joining us for Limoneira's second quarter fiscal year 2019 conference call. On the call today are Harold Edwards, President and Chief Executive Officer; and Mark Palamountain, Chief Financial Officer.
By now, everyone should have access to the second quarter fiscal year 2019 earnings release, which went out today at approximately 4:00 PM Eastern Time. If you've not had a chance to view the release, it's available on the Investor Relations portion of the company's Web site at limoneira.com. This call is being webcast and a replay will be available on Limoneira's Web site as well.
Before we begin, we'd like to remind everyone that prepared remarks contain forward-looking statements, and management may make additional forward-looking statements in response to your questions. Such statements involve a number of known and unknown risks and uncertainties, many of which are outside the company's control, and could cause its future results, performance or achievements to differ significantly from the results, performance or achievements expressed or implied by such forward-looking statements.
Important factors that could cause or contribute to such differences include risk details in the company's 10-Qs and 10-Ks filed with the SEC, and those mentioned in the earnings release. Except as required by law, we undertake no obligation to update any forward-looking or other statements herein, whether as a result of new information, future events or otherwise.
Please note that during today's call, we will be discussing non-GAAP financial measures, including results on an adjusted basis. We believe these adjusted financial measures can facilitate a more complete analysis and greater understanding of Limoneira's ongoing results of operations, particularly when comparing underlying results from period-to-period. We've provided as much detail as possible on any items that are discussed on an adjusted basis.
Also, within the company's earnings release and in today's prepared remarks, we included adjusted EBITDA, which is a non-GAAP financial measure. A reconciliation of adjusted EBITDA to the most directly comparable GAAP financial measures is included in the company's 10-Q and press release, which has been posted to the Web site.
And with that, it is my pleasure to turn the call over to the company's President and CEO, Mr. Harold Edwards."
Harold Edwards,0,"Thanks, John, and good afternoon, everyone. On today's call, I will begin with a brief review of our second quarter of 2019 results and provide an update on our progress across all of our business areas. Mark will then review the financial results in more detail, and I'll finish with our outlook for fiscal year 2019. After that, we will open up the call and take your questions.
We continue to expect to achieve record domestic and international fresh lemon volume in fiscal year 2019, however, the drop in fresh lemon pricing experienced in the first quarter continued throughout the second quarter and into the third quarter due to excessive rains in Southern California creating an overabundance of large fresh lemons from us as well as from the overall industry. This is driving down the price per carton, which was outlined in our pre-release a few weeks ago. This unusual larger sized fruit curve currently being harvested is expected to cycle through over the next five weeks to seven weeks with a normal sized curve returning by the end of July. While the larger size fruit is currently selling for approximately $18 per carton, below our expected annual average carton price for fiscal year 2019, current market pricing for the smaller and medium sized fruit is selling for approximately $30 per carton, which is above our expected annual average carton price for fiscal year 2019.
The abundance of large fruit we have combined with the larger fruit the industry continues to sell has made our sell-through process slower than previously expected, and our small-to-medium sized lemons are taking a few more weeks and expected to be in a position to be picked. We also continue to see lower orange prices stretching into the third quarter, which is longer than we previously expected a few weeks ago.
Mark will dive into the second quarter financials a little bit later in the call, but I wanted to lead with the current temperature of the lemon marketplace and our domestic fresh lemons as well as our current orange prices. I'll now shift to discussing our business segments starting with a full review of our agribusiness. Over the past few years, we have made important investments that have positioned us for long-term growth. We've expanded our customer base to over 200 customers, increased distribution by leveraging our domestic and international marketing and sales channels, focused on trade marketing and consumer-facing strategies and increased our packing capacity. In addition, we've significantly reduced seasonality for our customers by sourcing citrus from different global locations giving us 365 days of fresh lemons.
More recently in an effort to reduce seasonality and as part of our One World of Citrus Initiative, we completed a joint venture and land acquisition with FGF Trapani, FGF, a multi-generational, family-owned citrus operation in Argentina. FGF owns over 3,200 acres of lemons and oranges throughout Argentina. As part of the agreement, Limoneira has created a subsidiary in Argentina under the name Limoneira Argentina S.A.U., Limoneira Argentina, and acquired 25% of the parcels of Finca Santa Clara, approximately 1,200 acres of planted lemons, upfront with an additional 25% to be acquired over a three-year period.
Limoneira Argentina and FGF's agreement will operate under this name Trapani Fresh with Limoneira Argentina as the managing partner responsible for all fresh fruit sales, holding a 51% interest and FGF holding a 49% interest. We expect this agreement to be slightly accretive for fiscal year 2019 as we work to complete the integration this year and expect more accretion in fiscal year 2020 when we will benefit from a full-year of results.
Additionally, our two other acquisitions that we completed in fiscal year 2018 began contributing to our results during the second quarter, and will continue to be important contributors to our results in the third quarter of this year. Since we commissioned our new packinghouse in Santa Paula, we have doubled our annual packing capacity and have significantly increased the operating efficiency of our 11 packing operations.
Also, the acquisition we made last year of the packinghouse and related assets of Oxnard Lemon Associates brings added packing capacity to handle third-party grower fruit. We set an objective last year to recruit 500,000 cartons from new outside lemon growers and have surpassed that objective by securing over 700,000 cartons to-date with another 500,000 fresh cartons expected by 2020. We now have over 9,700 planted agricultural acres, of which approximately 1,200 acres are currently non-bearing lemons but estimated to become full-bearing over the next four years.
Beginning in 2020, we expect 300 acres to be full-bearing with an additional 900 acres to be full-bearing by 2023. Beyond these 1,200 acres, we have plans to plant an additional 500 acres of lemons in the next two years and believe this additional acreage will increase our global lemon supply by approximately 30% from our current level of 900,000 cartons to 1.3 million additional fresh cartons as the non-bearing and planned acreage become productive. In addition, we expect to have a steady increase in third-party grower fruit.
Turning now to our real estate development segment, I'm happy to report the partnership between Limoneira and the Lewis Group of Companies for the development of harvest at Limoneira is on track. Phase 1 site improvements have been substantially completed and the joint venture has received lot deposits from Lennar and KB Home in fiscal year 2018. Initial lot sales, representing 174 residential units, closed in February and March of this year, and we announced a partnership with another national homebuilder for an additional 63 lots, which are expected to close in the fourth quarter of fiscal year 2019. We reported a $2.3 million net equity earnings from the project in the second quarter due to the recent lot closings and expected additional equity earnings over the course of fiscal year 2019. At the end of February, Lennar and KB Home broke ground and expect homes to become available by late spring of this year. Longer term, we are projecting approximately $100 million in cash flow from the harvest at Limoneira project over the next six to nine years, which is expected to include 1,500 homes.
In summary, while our year-to-date fiscal year 2019 results have been affected by unforeseen weather conditions, it is a temporary hurdle and does not diminish the inroads we have made to position us for solid growth and improve profitability in the coming years.
And with that, I'll now turn the call over to Mark."
Mark Palamountain,0,"Thank you, Harold, and good afternoon, everyone. Before I discuss the second quarter in more detail I'd like to first reiterate, for those new to Limoneira, that due to the seasonal nature of our business our revenue is driven by varying harvest period from year-to-year and therefore we believe it is best to view our business on an annual basis, not a quarterly basis.
Now moving on to the numbers, for the second quarter of fiscal year 2019, total net revenue was $42 million compared to total net revenue of $43.1 million in the second quarter of the previous fiscal year. The year-over-year decline was due to our agribusiness segment. Agribusiness revenue decreased to $40.8 million compared to $41.9 million in the second quarter of last year.
Rental operation revenue for the second quarter of fiscal year 2019 was $1.2 million compared to $1.3 million in the second quarter of the previous fiscal year and there were no real estate development revenues in the second quarter of fiscal year 2019 or 2018. Agribusiness revenue for the second quarter of fiscal year 2019 includes $36.4 million in lemon sales compared to $33.6 million of lemon sales during the same period of fiscal year 2018.
With the increase, the result of higher volume of lemon byproducts partially offset by lower prices of large lemons. As Harold said earlier in the call, the lower pricing was due to excessive rains we experienced during the first and second quarters of fiscal year 2019, which led to a surplus of large fresh lemons into the market ultimately driving the price per carton down. Approximately 1.3 million cartons of fresh lemons were sold during the second quarter of fiscal year 2019 at an average of $20.26 cents per carton compared to approximately 1.157 million cartons sold at an average of $23.42 price per carton during the second quarter of fiscal year 2018.
As anticipated, we recognized minimal avocado revenue of $0.5 million in the quarter of fiscal year 2019, compared to the same period last year of $900,000 due to the excessive heat we experienced late in the third quarter last year. And as we have previously stated, we expect minimal contribution this fiscal year from avocadoes, but expect to be fully back to our normal production capacity in fiscal year 2020. The company recognized $2 million of orange revenue in the second quarter of fiscal year 2019 compared to $5.2 million in the same period of fiscal year 2018 due to unfavorable weather conditions for oranges resulting in lower volume and pricing in the quarter. Approximately 361,000 cartons of oranges were sold during the second quarter of fiscal year 2019 at an average of $5.52 price per carton compared to approximately 471,000 cartons sold at an average of $11.09 per carton during the second quarter of fiscal year 2018.
As Harold mentioned, we continue to see lower orange prices as we enter the third quarter. Specialty citrus and other crop revenues were $1.9 million in the second quarter of fiscal year 2019 compared to $2.1 million in the second quarter of fiscal year 2018.
Total costs and expenses for the second quarter of fiscal year 2019 were $43 million compare to $33.8 million in the second quarter of last fiscal year. The increase in operating expenses was primarily attributable to increases in agribusiness and SG&A cost. Costs associated with agribusiness include packing costs, harvests cost, growing cost and costs related to fruit procured and sold for third-party growers and depreciation expense.
Operating loss for the second quarter of fiscal year 2019 was $1 million compared to operating income of $9.4 million in the second quarter of the previous fiscal year. Other expense and income is comprised primarily of $3.6 million of mark-to-market unrealized gain on marketable securities. Also interest is capitalized on real estate development projects and significant construction in progress, while using the weighted average interest rate during the fiscal year. We capitalized $2.4 million of interest in fiscal year 2018. It is important to note that most interest capitalization on real estate development projects is now discontinued beginning in February or the first month of our second quarter because under the equity method of accounting used for the Limoneira/Lewis joint venture, interest capitalization ceased upon the commencement of lot sales in February. This will have an approximate $400,000 effect per quarter on interest expense or approximately $0.05 per share fiscal year 2019 impact, which is already included in our guidance.
We realized approximately $2.3 million in net equity earnings from harvest at Limoneira during the second quarter, and our expected additional equity earnings during the remainder of fiscal year 2019. Net income applicable to common stock, after preferred dividends for the second quarter of fiscal year 2019 was $2.7 million and compares to $6.5 million in the second quarter of fiscal year 2018. Excluding the non-cash unrealized gain from Calavo shares and equity earnings from harvest at Limoneira, adjusted net loss applicable to common stock was $1.6 million for the second quarter of fiscal year 2019 compared to a net income of $6.6 million for the same period last year. As a reminder, due to new accounting rules we must mark-to-market our shareholdings of Calavo Growers on a quarterly basis.
Net income per diluted share for the second quarter of fiscal year 2019 was $0.15 compared to a net income per diluted share of $0.44 for the same period of fiscal year 2018 based on weighted average diluted common shares outstanding of approximately 18.2 million shares and 15 million shares respectively. Excluding the unrealized gain from Calavo shares and equity earnings from harvest at Limoneira, adjusted net loss per diluted share for the second quarter of fiscal year 2019 was $0.09, compared to net income per diluted share of $0.44 for the same period in fiscal year 2018. Adjusted EBITDA was $800,000 in the second quarter of fiscal year 2019, compared to $11 million in the same period for fiscal year 2018. Adjusted EBITDA excludes the quarterly mark to market non-cash effect of Calavo shares and equity earnings from Harvest at Limoneira.
For the six months ended April 30, 2019, revenue was $84.1 million compared to $74.7 million in the same period last year. Operating loss for the first six months of fiscal year 2019 was $4 million, compared to an operating income of $7.6 million in the same period last year. Excluding the non-cash $300,000 unrealized loss on stock in Calavo and $2.3 million of equity earnings of LLC for the six months of fiscal year 2019. Adjusted net loss applicable to common stock was $3.6 million compared to adjusted net income of $5.2 million for the same period in fiscal year 2018.
Before I hand the call back over to Harold, a few comments on our balance sheet, our long-term debt as of April 30, 2019 was $93.7 million compared to $77 million at the end of fiscal year 2018.
Now, I would like to turn the call back to Harold to discuss our fiscal year 2019 outlook."
Harold Edwards,0,"Thank you, Mark. We expect our agribusiness to continue to benefit from the more efficient infrastructure we have in-place, as we are able to build revenue through expansion of our in-house citrus orchards as well as growth in third-party volumes that we pack and market, and additional future strategic acquisitions. Based on the organic lemon growth we are projecting for next year, as well as the expected rebound in avocado revenue and the fact that all of our recent acquisitions will have been online for a full-year, we remain excited about the long-term growth of our company.
Turning to our fiscal year 2019 guidance, as I said at the beginning of today's call, we expect the pricing pressure on oversized lemons to abate by the end of July, however, the size of our fruit and timing of new fruit on our trees is hard to predict. And this is the reason why we are widening the guidance range for the year. For fiscal 2019 Limoneira and our international affiliates are reiterating volume expectations and continue to expect to sell between 8.4 million cartons to 9 million cartons of fresh lemons globally. This includes 5.2 million cartons to 5.5 million cartons of fresh domestic lemons.
Throughout the first six months of fiscal year 2019, we sold 2.6 million domestic cartons at an average price of $22.26 a carton. The company is currently experiencing price fluctuations based on size of fresh lemons between $18, $30 a carton. For each movement of $0.50 per annual carton of fresh lemons in fiscal year 2019 it equates to an approximate $1 million change in adjusted EBITDA and $0.04 share change in adjusted earnings per share.
We continue to expect to sell approximately 1.7 million pounds to 2 million pounds of avocados at approximately $1.20 per pound which is an off-year due to the heat we experienced last year. Offsetting this temporary event, we will benefit from crop insurance for approximately $2.5 million that will be calculated on actual avocado harvest in fiscal year 2019. We expect to receive the crop insurance payment, insurance payment in the fourth quarter of this year and we expect strong production next year.
For fiscal year 2019, the current unfavorable domestic conditions for oranges has resulted in significantly lower than expected pricing in the orange market and we - and we expected continued low orange prices into the third quarter. The company expects operating income for fiscal year 2019 to be approximately $7.5 million to $12.5 million compared to previous expectations of $14.5 million dollars to $17.5 million.
Fiscal year 2019 adjusted EBITDA is expected to be in the range of $17 million to $22 million. The company now expects fiscal year 2019 earnings per share to be in the range of $0.33 per share to $0.53 per diluted share with an estimated 18.4 million diluted shares outstanding. Adjusted earnings per diluted share expected to be the range of $0.25 a share to $0.45 a share. Adjusted EPS guidance for fiscal year 2019 does not include any potential equity earnings from benefit from the Harvest at Limoneira Project and does not include the potential impact of mark to market changes in the value of its 250,000 shares of Calavo Growers common stock.
In addition, not included in adjusted earnings per share is the second quarter fiscal year 2019 benefit of $2.3 million of equity earnings from its real estate development Harvest at Limoneira. Regarding the timing of revenue for the back half of fiscal year 2019 because of the lemon staying on trees longer than previously expected some of the previously expected third quarter revenue will be recognized in the fourth quarter. Based on this we expect a third and fourth quarter to be profitable compared to the normal fourth quarter loss it has historically had due to seasonality.
And with that, I'd like to open up the call to your questions. Operator?"
Operator,1,Thank you. [Operator Instructions] And we'll take our first question today from Ben Bienvenu with Stephens.
Ben Bienvenu,1,"Hey. Good afternoon, guys."
Harold Edwards,1,"Hey, Ben."
