type,name
Executives,Marvin Ellison - President and Chief Executive Officer
Executives,"William Boltz - Executive Vice President, Merchandising"
Executives,"Joseph McFarland III - Executive Vice President, Stores"
Executives,David Denton - Executive Vice President and Chief Financial Officer
Analysts,Michael Lasser - UBS
Analysts,Christopher Horvers - JP Morgan
Analysts,Simeon Gutman - Morgan Stanley
Analysts,Steve Forbes - Guggenheim Securities
Analysts,Zach Fadem - Wells Fargo
Analysts,Greg Melich - MoffettNathanson Research
Analysts,Scot Ciccarelli - RBC Capital Markets
