speaker,q&a,content
Operator,0,"Greetings and welcome to the Luxoft Holding Incorporated Second Quarter Fiscal 2019 Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host, Tracy Krumme, Vice President of Investor Relations. Thank you. You may begin."
Tracy Krumme,0,"Good morning, everyone. Thank you for joining us on Luxoft second quarter fiscal 2019 conference call. On the call with me today are Dmitry Loschinin, Chief Executive Officer and President; and Evgeny Fetisov, Chief Financial Officer.
Before we begin, I would like to note that we have provided a slide presentation that will help guide our discussion. This presentation can be accessed on the webcast and also on our website, luxoft.com.
I would like to caution investors regarding forward-looking statements. Any statements made in today’s presentation that are not based on historical facts are forward-looking. Such statements are based on certain estimates and expectations and are subject to a number of risks and uncertainties. Actual future results may vary materially from those expressed or implied by these forward-looking statements. We encourage you to read the risks described in our 20-F filing for the fiscal year ended March 31, 2018.
Except to the extent required by applicable security laws, we undertake no obligation to update or probably revise any of the forward looking statements that we make here today whether as a result of new information, future events or otherwise.
Today’s presentation will also include references to certain non-GAAP financial measures. We have reconciled these comparable GAAP and non-GAAP numbers in the press release, as well as in the supplemental table in our slide deck.
And with that, I would now like to turn the call over to Dmitry. Dmitry, please go ahead."
Dmitry Loschinin,0,"Thank you, Tracy, and thanks everyone for joining us today for our second quarter fiscal 2019 conference call. I will begin on slide five with key highlights from Q2. During the quarter, we made progress in our transformational initiatives and generated solid results, largely in line with our expectations. Revenue was slightly above the midpoint of our guidance range, while adjusted EBITDA margin and EPS finished above our guidance ranges. We maintained our focus on improved profitability, have completed trimming the low margin business within Digital Enterprise.
In second quarter Financial Service revenue ex-Top 2 was up 16% year-over-year and 11% sequentially. Our Top 2, client concentration decreased 5%, year-over-year, and is now 30%. Automotive revenue increased 26% year-over-year and 14.5% sequentially. It is important to know, we expect strong acceleration of Auto revenue in the second half of the year. And we’ll see a double-digit growth through Q3 and Q4. We remain on track to achieve our full-year goal of 40% constant currency growth. We will continue to invest in our Automotive solution, given strong growth potential in the areas such as connected mobility, autonomous drive and digital cockpit.
We continued to strengthen our leadership position and recently added a new Automotive client to our Top 10 list, bringing the total number for Automotive clients in the list to four. We continue to expand our global delivery scale and established new presence in Shanghai, China; Turin, Italy; and Seoul, Korea. Growing our presence is essential for growth of the business, and we have achieved 65% growth in APAC year-over-year, predominantly from our Automotive and Financial Service.
We are committed to invest in the disruptive technologies in order to enhance our value proposition. We are building strong momentum with our blockchain technologies, as the growing number of clients are moving from ideation to implementation phases. We are well-positioned in blockchain and have the resources and capabilities to drive successful clients.
As we focus our resources on high growth digital solutions, we will continue to invest in our sales and marketing teams in support of our go-to-market strategy. We continue to consolidate our back office, consistent with our cost optimization goals, which will drive margin expansion in fiscal 2020. We are well-positioned in fast-growing markets and have many exciting opportunities on the horizon. We are expecting to enter fiscal 2020 with a stronger backlog and a stronger pipeline than we entered fiscal ‘19.
Turning to slide six for an update on our revenue diversification. A few things to note, Automotive is growing rapidly and now represents approximately 22% of our business, up from 12% three years ago. We expect Automotive to move towards 30% of total revenue already in Q4. We continue to derisk our revenue profile year-over-year. As a percent of revenue, our top 10 decreased from 58% to 54%; our top 5 decreased from 47% to 43%; and our top 2 decreased from 35% to 30%. Most notably, DB has decreased from 18% to 14%. Revenue from APAC and Europe increased 65% and 17% year-over-year, respectively.
Turning to slide seven. Financial Service revenue was up 6% sequentially but down 3% year-over-year, due to the decline in DB. In addition to this decline, we are facing some market challenges in this space. As previously communicated, we do not expect growth from our top 2 accounts this year. In total, these two accounts represent 55% for our total Financial Service revenue, down from 73% two years ago. As we continue to diversify and the concentration of top 2 declines, we will see growth acceleration.
Second, the overall market outlook for capital markets and investment banking remains soft, particularly in Europe. This area represents roughly 70% for our Financial Service business. We will their concentration to continue to drop as we diversify into wealth and asset management and grow in APAC and in the United States.
Third, on the regulatory front, MiFid initiatives are nearly complete. While new regulations are on the horizon, such as FRTB, execution has been delayed until fiscal 2020. While we initially expected to recognize this revenue in the second half, we will now benefit from this work in fiscal 2020.
Lastly, we recently made the decision to walk away from a new business deal with Tier 1 client due to competitive pricing challenges. While we were frontrunner for this deal, we ultimately walked away after a competitor substantially cut their price to win the deal. Our decision is consistent with our focus on profitable growth and margin expansion. However, this negatively impacts our second half revenue expectation of Financial Service by roughly 4%.
On a positive note, we continue to make in-roads in asset management and wealth management with combined growth of over 35% year-over-year. While still a relatively small portion of our business, we are seeing strong demand from our clients, predominantly in the U.S. As this becomes a larger percentage for our Financial Service business, we will see growth acceleration. We are making strides in our target markets demonstrated by ex-top 2 year-over-year growth of 19% in North America and 55% in APAC. In addition, we’re beginning to see traction in the Middle East, a new region for us. During the quarter, we secured a number of engineering projects for the largest asset manager in this region.
We won a long-term deal with a leading global financial institution where we are building and maintaining variety of financial and business intelligent apps. Lastly, we have been integral in the development of workflow operations for a large global bank. We believe forward demand in Financial Service will be driven by the ongoing need to improve profitability and adopt digital technologies. We will continue to focus on growing our wealth management and asset management and expect further growth in fiscal 2020.
Now turning to UBS, our largest client, on slide eight. Revenue in the quarter was down 3.5% year-over-year and flat sequentially, in line with our plan. UBS remains focused on bolstering the ratio of internal staff to external providers, but we continue to look for upside into wealth management space where we have seen some growth.
Based on the current softness in the IB space, we currently expect a slight decline in the revenues from UBS in the second half of the year. Moving forward, we are focused on the bid to find opportunities in APAC and wealth management and infrastructure within this client.
Now, moving to slide number nine and an update on Deutsche Bank, our second largest client. Our outlook remains the same. We continue to face headwinds at DB, as stated 
stated in our Q1 call. Visibility into DB long-term strategy remains challenging and unpredictable. And this account was down 25% year-over-year and up 5.5% sequentially. The slight uptick this quarter reflects the delay and cutting some of our programs. Given this delay, we expect a sharp decline in the back half of the year. We continue to look for opportunity outside of investment banking area in more attractive segments. However, this account will continue to have a material impact on our performance this year. As we continue diversifying our revenues, we expect the contribution from Deutsche Bank to be below 10% by the end of this year, reducing our exposure in 2020.
Moving to Automotive where revenue grew 26% year-over-year and 14.5% sequentially. This continues to be our fastest growing line of business as we secure new projects and grow existing partnership. We’ll see steady double-digit sequential growth throughout the whole year, compared to Q3 last year where we saw a sequential decline. We reiterate our full year target of 40% constant currency growth. We maintain our leadership position in this fast-growing sector and continue to secure multi-year collaborative agreements with leading tier 1 and OEMs.
We’re growing our European business with our largest account Daimler and are building a very strong pipeline with two more major European OEMs. We also see an increased demand for our solutions with year-over-year expected growth of approximately 60% additional cockpit, 250% in autonomous drive and 90% connected mobility. This quarter, we hosted a Delivery Center Tour in our Berlin office, an office we acquaint as a core collaboration space with Daimler. We had a number of leaders from Automotive team speak as well as members of MBition, a subsidiary of Daimler, and LG Electronics team.
We continue to build the stronger relationship with LG Electronics co-creating a range of technologies and products applicable in the automotive, smartphone and robotics markets. We’ve worked alongside LG to bring the next generation webOS to multiple verticals using our one of a kind go-to-market partnership strategy.
Let me highlight a few more achievements during the quarter. We have seen impressive sequential growth in our Asian and North American markets, up 33% and 50%, respectively. We have several wins with multiple large tier 1 suppliers and OEMs in China, and recently signed a long-term deliver agreements with one of our key clients in the Americas.
We are capturing synergies with Objective Software and are pleased with new opportunity this acquisition has provided. WE partnered with Vantage Power to launch a next-generation fleet performance and diagnostics platform. Lastly, we recently joined Connected Motorcycle Consortium to support development of next-gen cooperative intelligent transport systems. We’re uniquely positioned in this market and will continue to engage with our clients and partners in order to drive the mobility revolution.
Lastly, turning to slide 11 and our Digital Enterprise business. Revenue fell 10% year-over-year as we finished up the trimming of low-margin non-core business. As previously communicated, we took the strategic decision to enhance our profitability in the long term. A few achievements to highlight in the quarter. In total, we added seven new logos. This is very impressive number and we expect continued growth with new names, now that the trimming process is complete. We will be able to fully allocate resources to this new opportunity to strengthen in both top and bottom-line. We see strong growth in energy and a strong pipeline in our healthcare and life science practices. We extended our trial practice with several new clients, including one leading European online travel agency. We won a key project with a large sports media company. We see strong demand for our blockchain solutions in a variety of industries as many companies become more familiar with this technology. I’ll speak to our prominent position in this market and on our strong pipeline, in a few minutes. Lastly, we were recognized as innovator in five Gartner Hype Cycles including AI and application services. We have taken the right steps to strengthen our Digital Enterprise business, and we’re on track to start growing, reiterate our medium term goal of 20% revenue growth.
Moving to slide 12. I would like to take a moment to speak to our blockchain practice as this technology is a strong differentiator in our digital business, and we are excited about the opportunity it brings. While this is still a relatively new technology, it is beginning to rapidly grow and we’re positioned very well to capture this growth. We have strong relationships with a number of partners and platform providers, as you can see on the bottom of the slide.
We established a position in this market in its early stages and we are widely recognized by peers as key player. In addition, we have created our own products and blueprints that are able to be used in a number of industries including healthcare, pharma, auto and travel. Let me highlight a few blockchain wins. We launched a cordentity app with our partner R3, utilizing blockchain technology and sparkling interest in healthcare, life science and mobility.
Our VP of Technology, Vasiliy Suvorov, recently presented at BMW IT fair and at the distributor healthcare conference. He discussed our growing position in the blockchain revolution. The pictures on this slide represent only small number of the events that we’ve been participating.
In the healthcare industry, we are working with the large healthcare company in order to simplify and streamline their claims processing. We are also engaged in revenue cycle management project for a large hospital network. Within auto, we are working alongside BMW to transform the mobility ecosystem with ridesharing apps, loyalty programs and shared fleets for electrical cars. We see tremendous opportunity with blockchain and expect to see growth rapidly accelerate as this technology becomes more mainstream.
If you are interested in a reasonably bit more about our blockchain practice, I urge you to visit our website where we have done great podcast and videos that highlight our experience.
Now, moving to slide 13 and a discussion of the market environment we expect in the coming months. Our first half performance was in line with our expectations. We are pleased with our improved profitability and ability to execute on new opportunities. However, during the second half of the year, we will face some headwinds. I have already mentioned some of the market and timing related headwinds, predominantly in the Financial Services space including anticipated sharp decline in the DB that we’ll have an impact on our top-line and margins; softness in the investment banking markets, particularly in Europe; our decision to walk away from a large margin project with a key one Financial Services client impacting second half Financial Service revenue by roughly 4%. We also anticipate ForEx headwinds of about 2% for the full year. Due to these factors, we expect our year-over-year growth excluding our top 2 accounts to be approximately 15% constant currencies or approximately 13% in action currencies.
Despite the headwinds in the second half, the outlook for 2020 is positive. We believe our focus on digital opportunities will drive accelerate organic growth. We anticipate solid performance across each line of business next year. Automotive will generate another year of strong growth as we continue to benefit from our investments in strategic offerings and established industry relationships. Financial Services growth will be driven by increased presence in North America and APAC, especially within our wealth management and asset management practices, and our focus on generating new business among tier 2 and tier 3 banks. We’ve built a very strong pipeline and will also benefit from a few deals that we are going to realize in 2020. Our Digital Enterprise transformation is complete with resources and teams fully aligned with higher growth opportunities. As we’ve communicated on previous calls, this year has been a transition year for us, and we expect to see growth in fiscal 2020. We are committed to our strategy and believe we are taking the right steps to strengthen our long-term growth potential.
With that, I will turn it over to Evgeny."
Evgeny Fetisov,0,"Thank you, Dmitry. Hello, everyone, and thank you for being on the call with us.
I will go over some key numbers, provide additional color on Q2 results and introduce our third quarter fiscal ‘19 guidance.
If you turn to slide 15, we delivered second quarter revenue of $228.4 million, roughly flat year-over-year and slightly above the midpoint of our guidance range. Of this $228.4 million, $219 million were organic revenues.
Second quarter fiscal ‘19 FX impact on revenue was a negative $1.3 million or negative 0.6%. Our gross margin was 38.4%, down 50 basis points from one year ago. SG&A as a percentage f revenue was 26.2%, up 70 basis points from second quarter of last year. For the first half of the year, SG&A was down 20 basis points from the first half of last year. SOP expense as a percent of revenue was 3.5%, up 80 basis points from Q2 last year. However, for the first half, SOP expense was down 10 basis points year-over-year. This is in line with our expectation of annual SOP expense less than $30 million and below 4% of the revenue.
On slide 16, you will see our adjusted EBITDA margin of 16%, which is down 90 basis points year-over-year and it is ahead of our Q2 guidance. GAAP EPS amounted to $0.43 per share compared with $0.54 in Q2 last year. This was above our second quarter guidance. On a non-GAAP basis, diluted EPS was $0.74 per share compared with $0.82 in the second quarter of last year. The quarterly weighted average diluted share count was 33.7 million shares.
Turning to slide 17, where I will provide a bit more detail on currency mix. This growth revenues in U.S. dollars, euros and pound represented 54%, 31% and 4% of total revenue respectively. As stated, we experienced a $1.3 million quarter-over-quarter negative FX impact on top-line and $3.1 million on a year-over-year basis. This is due to the increased concentration of euro-dependent revenue and weakening euro. This number is mitigated on the bottom-line due to a sufficient share of cost and hedging. Looking ahead, our top-line performance will continue to depend on the strength of these currencies, and we anticipate the FX headwinds of roughly $5 million or 2% in the third quarter of this year.
Turning to slide 18. Free cash flow for the quarter was 10.6%, which is slightly above our target level. We continue to focus on managing receivables and improving DSO. DSO in second quarter improved to 86 days from 91 days in the first quarter, demonstrating focused efforts in working capital management. This is a priority for us and we will continue to further reduce DSO in the second half of the year.
Moving to slide 19. For the third quarter of fiscal 2019, we expect revenue and adjusted EBITDA margin to be in the range of $230 million to $235 million and 14% to 15%, respectively. We expect GAAP EPS to be in the range of $0.29 to $0.37, and non-GAAP EPS to be in the range $0.62 to $0.69. While Dmitry communicated the top-line revenue challenges we will face in the second half, I would like to address the margin deceleration in the third quarter. Continued cut at DB coupled with seasonal mandatory time away will have an impact on our earnings. To reiterate, we now expect our fiscal 2019 growth excluding top 2 to be approximately 15% on constant currency basis and 13% reported.
With this, we are opening the lines and look forward to your questions."
Operator,1,[Operator instructions] Our first question comes from the line of Joseph Foresi with Cantor Fitzgerald. Please proceed with your question.
Joseph Foresi,1,"Hi. My first question here is, maybe you could help quantify for us the impact of Deutsche Bank next quarter and even as you look at it through 4Q, it would be good to get maybe a numerical number on that. And I assume that’s weighing on margins because you got to redistribute people, maybe you could talk about as well?"
Dmitry Loschinin,1,"Hi, Joseph, this is Dmitry. So, the outlook side of that, we’re going to see quite steep decline in our Q3 and anticipate decline to continue in Q4. So, we are currently looking at DB somewhat around 90 plus for the full year."
Joseph Foresi,1,"Okay. And just to kind of finish that question, is that -- I mean, the margins are coming in, are we expecting 1%, 2% margin headwind from reallocating people off of DB?"
Dmitry Loschinin,1,"We’re going to have some margin headwind related to the DB decline. Yes. So, we didn’t have much of the decline in our Q2, we managed kind of to postpone. But, Q3, Q4, we’re going to have decline and obviously margins will have some impact. "
Joseph Foresi,1,"Okay. And then, my second question, just on the Financial Services outlook. You mentioned some moving parts within Financial Services. How you think about that business? Are these unexpected changes and you are more concerned about the business excluding DB than you were six months ago? Can you grow through these changes around investment banking? Are they momentary and you think it’s not an issue over the long-term? I am just wondering how you think about some of the other commentary, including walking away from the deal in Financial Services over the long-term."
