speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen. Thank you for standing by. Welcome to the Manchester United Earnings Conference Call. At this time, all participants are in listen-only mode. Following the presentation, we will conduct a question-and-answer session. [Operator Instructions] We would like to remind everyone that this conference call is being recorded.
Before we begin, we would like to inform everyone that this conference call will include estimates and forward-looking statements, which are subject to various risks and uncertainties that could cause actual results to differ materially from these statements. Any such statements or estimates or forward-looking statements should be considered in conjunction with the cautionary note in our earnings release regarding forward-looking statements and risk factor discussions in our filings with the SEC. Manchester United plc assumes no obligation to update any of the estimates or forward-looking statements.
I’d now like to turn the conference over to Ed Woodward, Executive Vice Chairman of Manchester United. Please go ahead, sir."
Edward Woodward,0,"Thank you, operator, and thank you, everyone, for joining us today. With me on the call are Richard Arnold, our Group Managing Director; and Cliff Baty, our CFO. So it’s been a couple of months, obviously, since Q4 and year-end update, so our prepared remarks will be relatively brief.
Over the summer, we had a good preseason towards the U.S. and while we couldn't have all of the first team squad with us due to many of our players advancing deep into knockout stages of the World Cup, provided a good opportunity for many of our emerging prospects to experience being part of the team – the first team setup. And we look forward to a number of them making a successful transition to the first team like many before them, including Lingard, Rashford, McTominay, and Andreas Pereira in the current squad.
As Cliff mentioned at Q4, our committed net player CapEx for the year currently stands at £124 million, reflecting the recent investment in the first team squad. Moreover, we have agreed new contracts with a number of players, including Fellaini and Shaw. These player investments along with the investment in the clubs academy, comes a direct result of our ongoing commercial and financial strength and underpin our long-term strategic plan to create sustainable growth across all areas of the club.
On the pitch, we remain well-positioned in the Champions League. Although, we've had a mixed start to our domestic campaign, the squad and the manager are fully united and their determination to regain our momentum in the Premier League.
I'll now hand over to our Group Managing Director, Richard Arnold, who will update you on the key business activities. Thank you."
Richard Arnold,0,"Thank you, Ed. Turning to our businesses. In sponsorship, we announced two global sponsorship deals in the first quarter. Our first league partnership with Kohler and the renewal of our global partnership with Canon Medical Systems. In the quarter, we've also renewed our global partnership with Deezer.
Launch of the Kohler partnership is another great case study of what we deliver as arguably the world's number one marketing platform. In the two months partnership launch period from mid-July to mid-September, our partnership with Kohler achieved over 1 billion media impressions.
To be clear, this excludes visibility in live games or highlights and is purely from editorial and social content. The benefits to Kohler to date have been a near 5x increase in Kohler’s brand awareness and amplified positive brand association in our key markets. As I mentioned a couple of months ago, we remained pleased with our pipelines and continue to expect a strong contribution from sponsorship.
Turning to the media business. Following the launch of our new website and mobile application this summer, we continue to focus on driving deep and more meaningful engagement through our owned and operated products. As I mentioned a couple of months ago, the mobile app reached the number one sports download ranking in over 70 territories and now has monthly active users in over 225 markets.
We continue to see significant increases in fan engagement on our owned and operated products. Through better product capabilities and more engaging content, our fans now spend more time interacting with the club through our digital products, giving us the ability to cross promote other club products and services, including retail, e-commerce and ticketing.
MUTV direct-to-consumer products continue to grow and we now have downloading over 168 markets. As previously mentioned, we improved the user value proposition by introducing a discounted annual pass and launching a free front porch on the MUTV app, so the non-subscribers are able to view video content and we are currently experiencing the benefit of this strategy, most notably in our lowest levels of consumer churn.
In respect of our social network, we are happy with the progress of our three main global channels, Facebook, Instagram, and Twitter. We continued to see year-on-year growth, strong engagement, and we continue to be the most engaged Premier League club.
In respect to retail, the Adidas wholesale business continues to show growth year-on-year, driven by high demand of the pink away kit and continued strength in Asia. During the quarter, we announced the partnership with the iconic American Denim brand, True Religion. The partnership with True Religion has seen the launch of the co-branded premium denim range, initially sold exclusively through MU and True Religion channels.
This launch was complemented by the launch of the first Manchester United and Paul Smith collection focused on luxury accessories. These two partnerships enhance our existing portfolio of brand partnerships such as Adidas, New Era, Tag Heuer and Columbia, which enables us to offer our fans a broader and exciting selection of merchandise.
From a venue perspective, our official membership product is on course for another record year, having sold out our seasonal ticket-related products in record time last night, we are now focused on selling our match by match ticket-related products. In terms of match tickets, we again on course to sell out all Premier League matches exclusively to official members.
Over the summer, we took major upgrades to two facilities creating our new most premium seasonal hospitality suite, 1878, named after the year the club was founded as well as the Ambassador’s Lounge, a suite dedicated for our sponsorship partners and the guests. Both facilities have been extremely well-received and focus now turned to planning ahead for the summer 2019 work.
I will now hand you over to our CFO, Cliff Baty."
Cliff Baty,0,"Thank you, Richard. I'm going to talk through our results for the three months of fiscal 2019. As a reminder, for fiscal year 2019 year-on-year comparisons will be impacted by two main themes; the new Champions League broadcasting deal and secondly, the cadence of matches on a quarterly basis.
In the first quarter 2019, we played just one Champions League match, compared with the two games in the first quarter last year. Given that broadcasting revenue is recognized on a games played basis, this materially impacts the financial comparisons. In addition, Matchday revenues have been impacted by the reduced Champions League fixtures as well as playing one less home Premier League match in the quarter.
In terms of the headline figures, total revenues for the period were down 6.1% to £135 million with adjusted EBITDA of £29.4 million, giving an EBITDA margin of 21.8%. To note, as we played our second Champions League fixtures against the Valencia within the first quarter consistent with the prior year, broadcasting revenues alone would have been approximately £10 million higher with consequent increase in EBITDA and EBITDA margin.
Turning to the key items and the reported financial statements, commercial revenues were down £4.6 million, £75.9 million largely due to the small a summer tour as a result of a World Cup year. Broadcasting revenues were up £2 million driven by the increase in Champions League revenues despite playing the one last game.
Matchday revenues were down by £6.1 million due to two fewer home games, one less Premier League game and one less Champions League game compared to the prior year.
During the period, total operating expenses, excluding depreciation and amortization were up 1.1%, including wages up 10.2% primarily due to an increase in first team salaries following the additions made to the first team squad. Other operating expenses decreased 17.1%, largely due to reduced costs from the smaller tour and two fewer home games.
Amortization costs were £35.1 million, a decrease of £1 million over the prior quarter. Also in this quarter, we recorded a profit on disposal of £22.4 million, driven primarily by the sales of Blind and Johnsen.
Net finance costs for the quarter were £5.2 million, an increase of £4.4 million due to exchange rate movements on our unhedged U.S. dollar debt. As we have mentioned, foreign exchange movements can cause volatility of this line, but cash interest cost in U.S. dollars remained consistent year-on-year.
Looking at the balance sheet, cash balances at the period end was £247.5 million, up £31.3 million against the prior year. Net debt at the period end was £247.2 million, a decrease of £20.2 million compared to the prior year due to the increased cash balances and partially offset by the impact of foreign exchange movements.
Based on the first quarter results, we reiterate our previously stated guidance for fiscal 2019 revenues between £615 million to £630 million and EBITDA between £175 million to £190 million. Finally, please note that a semiannual cash dividend of $0.09 per share will be paid on January 4, 2019, to shareholders on record on November 29, 2018.
With that, I'll hand back to the operator and we are ready to take your questions."
Operator,1,Thank you. We will now begin the question-and-answer session. [Operator Instructions] The first question today comes from Clay Griffin with Deutsche Bank. Please go ahead.
Clayton Griffin,1,"Hey guys. Good morning. I'm wanted to follow-up on MUTV, now you launched on the major connected devices there this summer, but just any kind of update on the uptake and engagement on those specific platforms. And then I guess the broader question is, are you seeing growth there on this platform? Do you think that that has an impact on kind of subscriber levels across your traditional kind of distribution partner, Sky, et cetera?"
Edward Woodward,1,"Thank you. Richard, could you answer that question please?"
Richard Arnold,1,"Yes. So the move on to the connected TV-related platforms has seen comparatively small numbers of subscriber growth against the background of significant growth in the digital subscribers we've seen through an app and website. So a smaller channel in terms of numbers, but the engagement and dwell times are very high in respect to those connected TV offerings.
Going forward, it remains to be seen, obviously, we only had a few weeks as a sample in terms of the summer for the number of subscribers acquired and we probably need another year of data before we can conclude too much around that and obviously the live games we show during the summer drive the majority of acquisitions during the year."
Clayton Griffin,1,"Okay. And then I noticed EPL named Susanna Dinnage to the Chief Executive role starting early next year. I guess with her extensive media background, do you all anticipate any major differences in the way the league looks to monetize broadcasting rights?"
Edward Woodward,1,"I'll take that one. So, yes, Susanna is starting, as you say in 2019, comes with a strong CV from a media background perspective and I think more candidly I’d say that she is going to continue the work that’s already been done by the Premier League to look at possible other ways to monetize the rights.
We’ve spent a lot of time recently looking at Singapore and Canada, for example to see whether they are markets to sell through an OTT type platform. So I expect her to pick the baton up and run with it as Richard has done to this date. So we’re looking forward to working with her."
