type,name
Executives,"Shep Dunlap - VP, IR"
Executives,Dirk Van de Put - Chairman & CEO
Executives,Luca Zaramella - EVP & CFO
Analysts,Bryan Spillane - Bank of America Merrill Lynch
Analysts,Kenneth Goldman - JPMorgan Chase & Co.
Analysts,Andrew Lazar - Barclays Bank
Analysts,Alexia Howard - Sanford C. Bernstein & Co.
Analysts,"Christopher Growe - Stifel, Nicolaus & Company"
Analysts,Steven Strycula - UBS Investment Bank
Analysts,Robert Moskow - Crédit Suisse
Analysts,David Driscoll - Citigroup
Analysts,Robert Dickerson - Deutsche Bank
