type,name
Executives,"Ryan Weispfenning - VP, IR"
Executives,Omar Ishrak - Chairman & CEO
Executives,Karen Parkhill - CFO
Executives,"Geoff Martha - President, RTG"
Executives,"Hooman Hakami - President, Diabetes Group"
Executives,"Mike Coyle - President, CVG"
Executives,"Bob White - President, MITG"
Analysts,Bob Hopkins - Bank of America
Analysts,David Lewis - Morgan Stanley
Analysts,Robbie Marcus - JPMorgan
Analysts,Vijay Kumar - Evercore ISI
Analysts,Glenn Novarro - RBC Capital Markets
Analysts,Kristen Stewart - Barclays
