speaker,q&a,content
Operator,0,"Dear ladies and gentlemen, welcome to the Merck Investor and Analyst Conference Call on the Third Quarter 2018. As a reminder, all participants will be in a listen-only mode. 
May I now hand you over to Mr. Constantin Fest, Head of Investor Relations, who will lead you through this conference? Please go ahead, sir."
Constantin Fest,0,"Many thanks, Andrea and a very warm welcome to this Q3 2018 Merck Conference Call. My name is Constantin Fest, Head of Investor Relations here at Merck. For this call, I'm really pleased to have with me here today Marcus Kuhnert, our Group's CFO; as well as Kai Beckmann, our Performance Materials CEO, who will share a bit more color on the business during this presentation."
"We are also very much delighted to have on this call for the Q&A, but also the respective sector overview slides, Belén Garijo, CEO of Healthcare; and Udit Batra, CEO of Life Science.",0,
"So on the next half hour, we'd like to run you through the key slides of this presentation and then as always we are happy to take all of your questions.",0,"And with this, I'd like to directly hand over to Marcus to kick off this presentation. "
Marcus Kuhnert,0,"Thank you, Constantin and good afternoon and warm welcome also from my side to our Q3 earnings call. Operationally, Q3 was a good quarter with 8.8% organic sales growth across the entire Group.
Healthcare and Life science were the largest contributors, but also performance material saw also organic growth in the third quarter and Kai will discuss the details later in the call.
Group EBITDA pre grew by 3.7% organically year-over-year, driven by Life Science and Health care, which more than offset the decrease in the display materials and the roughly €50 million milestones payments for Bavencio we received last year.
Currencies were again a burden for us in this third quarter, but to a lesser extent than in the previous quarters. They reduced our net sales by around €76 million versus last year and EBITDA pre-over proportionally by €97 million. This seems somewhat counterintuitive at first glance, but you are familiar with the currency markets dynamics in recent months when for example, the Latin American currencies continued to devalue significantly.
Therefore, the currency burden for us at the EBITDA pre-level will actually be more pronounced than we had anticipated so far, even though Euro-U.S. dollar has improved as expected. I've seen that over the morning there were some questions on what led us do our FX guidance. I would not go more into the details here during the presentation, but of course then I'll happily answer all the remaining questions later in the Q&A.
When it comes to the organic development of net sales and EBITDA pre in 2018, we raised our 2018 guidance for net sales. Here we expect slightly higher organic growth of 4% to 6% and we confirm our organic guidance for EBITDA pre. It means a slight organic decline of minus 1% to minus 3%. This should lead to an EPS pre between €5 and €5.30.
When we look on slide six into the details, you would see that Healthcare had a very strong quarter. We also saw another visible pick up in momentum compared to an already strong Q2.
Sales of Mavenclad and Bavencio continued to rise and opportunity in General Medicine franchises grew yet again strongly. Life Science posted almost 10% organic growth year-on-year driven by very good demand across the Board, Udit will elaborate in a minute. 
Performance Materials might have been a slight surprise for you this morning with an organic growth of the 3.4% in Q3. Here, we benefited from new liquid crystal panel plants that are being brought on stream by Semiconductor Solutions and OLED remained in line with their gross run rates of previous quarters.
The 3.7% growth -- organic growth and EBITDA pre is equivalent to around €37 million and consists of almost €40 million organic decline at PM but at the same time, a €15 million growth at Healthcare any roughly €50 million growth at Life Science.
In CO, we had to digest hedging losses, especially from the more favorably developing U.S. dollar and devaluation of the Latin currencies not being hedged. This was overcompensated by one-time gain, the realization of a receivable that goes back to the time of the generics divestment.
We'll give you more details later in the presentation. Little to say on slide seven on the regional distribution of our sales. No major shifts from previous quarters. Nice organic growth in all regions and the growth in Asia Pacific is driven by all 3 business sectors. And one additional point, I mentioned the currency topic already in my introduction. The devaluation of major LatAm currencies in the third quarter accounted for a significant share of the FX impact you have seen in our sales line and was actually more pronounced than we had expected still in summer.
Because of our set up in structures in the region, such as significant devaluation, reduces our sales line and a significant share of this also falls through to our bottom line as we have not much cost structures in Latin America. So not much naturally hedge and we have, especially in Brazil and in Argentina, hard currency liabilities in our affiliated companies there. This is a particular topic by the way, in our Healthcare business and the main reason why we adjusted our FX guidance for Healthcare, but also for group EBITDA pre.
With that, we jump to slide nine to the financial overview. A couple of points on the headline figures. Due to the strong organic sales growth we have seen this quarter, investments in working capital were around €100 million, which is the main reason for the slight decline in operating cash flow compared to the third quarter. But with the free cash flow in Q3 of almost €500 million, net financial debt as of September declined accordingly compared to the end of June.
On Slide number10, couple of words in our reported figures. Our EBITDA pre for the third quarter is some minus €60 million lower for the reasons discussed before and EBIT decline by €371 million compared to last year. The difference between the two is last year's sale of our Biosimilars activities to Fresenius, which led to a disposal gain of €321 million reflected in EBIT in Q3 2017.
The financial result is slightly better compared to last year due to the ongoing deleveraging efforts and also slightly higher interest income and we continue to expect the interest result this year in the range of between €230 million and €250 million. 
And now, I would hand over to Belén for the deep dive on our business sectors."
Belén Garijo,0,"Thank you, Marcus and hello, everyone. We gained very good business momentum and delivered a very solid performance in Q3 for Healthcare. First of all, on the top line, the almost 10% year-on-year growth rate is the highest, actually that I remember in the last 5 years and it compliments very nicely the trajectory of the now 29th consecutive quarters of organic growth.
Bavencio and Mavenclad bring a combined €45 million in sales and accounted for almost 1/4 of the Healthcare organic sales growth in Q3. Needless to say, that on the basis of this operational performance, we are on track to reach the sales target that we have communicated to you for 2018.
On the E market portfolio, and Erbitux developed as expected and Fertility and our General Medicine business grew fairly strongly, mainly in growth markets, specifically in China.
Now before you get carried away and extrapolate these growth rates, you know that our own focus on the -- on the emerging markets footprint can lead to some volatility from one order to the other and in Q3, we have a couple of positives coming together in several countries, like some tendered business in Russia or in the Middle East. In China, the demand continues to be universally strong in the quarter in those franchises that I mentioned before, namely the Glucophage franchise and fertility.
Let me now move on the EBITDA pre, that is declining by €16 million year-on-year, as reported. To mentioned two relevant observations here. So last year, we received €50 million milestone payment for Bavencio and actually the currency burdened our EBITDA pre by €31 million year-on-year. So if we adjust for these two factors, our EBITDA pre is actually raising by €65 million year-on-year or 16% versus the same quarter of 2017, which is a considerably improved trajectory than in the first half of 2018.
Therefore, we are in a position to confirm our guidance for organic EBITDA pre of minus 1 to minus 2 for the full year 2018 with a slight upgrade of our organic net sales growth guidance to 4% to 5%, based on the business momentum that we see in several of the franchises plus the branches.
With this, I would like to hand it over to Udit for him to touch on the Life Science business. Udit?"
Udit Batra,0,"Thank you, Belén, and a warm welcome to all of you from my side. Happy to be here again to talk about Life Science. Now again, it's been a very, very strong quarter, as you must have seen with the results this morning and I'll remind you, this momentum started in Q4 of 2017 when we grew close to 9% and 8.8% or 7%, 7.5% and now close to 10% organic growth. So really strong trajectory being built here. And it is somewhat of the same drivers. We see business momentum across all the three business units.
Process Solutions, from a portfolio perspective led the growth with 16% organic sales growth, but you'll remember Q3 last year was at a low base. But that overall is really being driven by a sustained strong demand from biopharmaceutical manufacturing. 
Applied Solutions, slightly shy of 8% growth and here the stand out performance is from our Lab Water franchise here closer to -- almost double-digit organic growth with Milli-Q IQ platform perform extremely low.
Switching to Research Solutions from a portfolio perspective, quite an endearing growth rate here, 4.3% organic growth and I'm especially pleased to see how our e-commerce platform is helping us build the momentum both in our chemistry and reagents businesses.
From a geographic perspective, Asia Pacific remains the largest driver overall in mid-teens organic growth, but again, the stand out performance being in Process Solutions which grew almost 30% versus last year. North America and Europe are in the high single-digits, so really nice momentum across the different regions.
And from a customer perspective, Pharma biotech is the standout performer with mid-teens almost in the growth rate diagnostics in the high single-digits and industrial and testing, somehow in the mid-single-digit.
EBITDA pre came in at €460 million and this is a margin of about 30.1% and organically, you see a quality growth. So here, you see the EBITDA pre growing close to 12% versus the sales growth -- organic sales growth of 10%. There is an adverse FX impact in this EBITDA number of approximately €16 million year-on-year. Year-to-date, this number is closer to €65 million, but in Q3 itself the FX impact reduced EBITDA by about €16 million year-on-year.
And similar to Healthcare, LatAm currencies impacted us quite a bit, but of course, the overall magnitude is much less pronounced than you see in Healthcare. Without this LatAm effect, the Q3 EBITDA pre margin would have been about 30 basis points higher at 30.4%. So in all, an extremely, extremely good quarter with solid top line momentum and a quality growth on the bottom line from an organic perspective for EBITDA pre as well.
With that let me hand it over to Kai Beckmann, who's going to talk to you about Performance Materials."
Kai Beckmann,0,
"So Udit, thank you and good afternoon everybody. Let me add a couple of words and a few more slides on Performance Materials. So in Q3, we saw our net sales grew organically by 3.4% by the way, which is a nicer a price for a change. So yet again, Semiconductor Solutions and OLED grew as expected and unlike in the previous quarters however, liquid crystals posted slight organic sales growth in Q3.",0,"I would come to the special situation on the liquid crystal business in a minute. EBITDA pre declined organically by minus 16% year-on-year to a level of €203 million, which is a margin of 32% -- 32.5% to be precise. This is largely the result of an unfavorable margin mix and the continued price decline in liquid crystals as we projected in summer. The currency burdened abate for PM in Q3 and reduced EBITDA pre by a mere €6 million this is compared to last year.
For 2018 as a whole, we now expect about organically stable sales of approximately plus minus 1% year-on-year and while EBITDA pre is expected to decline organically, our minus 14% of minus 16% compared to the prior year.
I'm now switching over to Slide 14. And you may remember, some of you promised to provide you with more transparency in our business units, in our business and on Performance Materials.
On this slide, you can see the sales breakdown for Q3 2018. Now our semiconductor business achieved almost double-digit growth in Q3 again, which is pretty consistent with what we have seen in the previous quarters.
Service solutions accounts for 19% of our sales in Q3 and is slightly down versus last year. Display Solutions benefits from continued good demand for UB-FFS and OLED materials. But on top of the more established materials saw an uptick in Q3.
Let me explain what was driving this in a bit more detail on Slide 15. You may remember the chart that we showed a bit more than a year ago. It gave you an overview on the planned production capacity build up in the global display market. And now we're seeing the recent months -- in the recent months, some of these projects being started in China. 
With our market position piece, we are selected as a supplier of choice to help ramping up some of these new capacity. This temporarily leads to better volume for us and more mature and especially more mature technologies and brought us in Q3 2018.
I deliberately say temporarily, because we have seen in the past that after a ramp up phase customers adapt dual sourcing and we also believe that the overall panel production capacity situation might lead to consolidation sooner or later. Therefore, we confirm our view that the LC materials market is set up for a decline in the mid-to-high single-digit until 2025. Nevertheless for 2018, this means that we lift our organic sales growth expectations for PM.
Now on slide 16 in a couple of more words on the semiconductor markets after the recent news in the sector. In this news, it's mostly link to price reductions of the produced end product of the chips. So however demand of our products is linked to wafer area that is measured in million square inches.
As you can see on the slide, this continues to trend upwards. For 2019, industry forecast grows at around 5% over 2018. And as a result, this is exactly in line with our expectations, as presented in our July capital markets update. We see that growth going forward.
And with that, I hand back to you, Marcus."
Marcus Kuhnert,0,"Thanks, Kai. We go to slide number 17, having short glance on the balance sheet. Just briefly a couple of comments. Our equity ratio now has further improved and stands at 43%. Net financial debt declined by more than half of €1 billion compared to June.
Our pro forma net debt-to-EBITDA ratio has declined slightly to a level now of 2.5 and we are very confident that we will achieve -- that we will undercut the target of two by year-end, helped of course by the successful closing of the divestiture of our health business to Procter & Gamble, which is supposed to happen in the first quarter of this year.
A final word through the general statement on Slide number18 before we come to the guidance. Operating cash flow is on prior year level, little bit below due to an increase in networking capital, predominantly behind the increased growth momentum of the businesses and slightly also increased by currencies.
The EBIT effect of the sale of our Biosimilars divestment is reversed and the line of other operating activities and this is finally shown in the investing cash flow. And last but not least, the higher number in the financing cash flow -- the higher negative number of last year is due to the fact that we have had a bond repayment of €700 million in Q3 2017. 
With that we come to the guidance and I jump to Slide number 20. Given the fairly strong third quarter, we lift our expectations for the organic development of net sales slightly and confirm our guidance for the organic EBITDA pre development. That is, we expect 4% to 6% in sales at minus 1% to minus 3% in EBITDA, respectively.
With respect to our FX assumptions, we continue to forecast a minus 3% to minus 5% impact of net sales versus last year and now an 8% to 10% hit at EBITDA pre level. So with that being said -- and this is correspondent with signing with EPS pre in the range of €5 to €5.30. As I said, I will address any currency questions later in the Q&A.
Going to the last slide to 21. For reasons of consistency and transparency, we provide guidance on organic and FX impacts on net sales from EBITDA pre for all of the three. In Healthcare, we expect a 4% to 5% organic net sales growth, as Belén already outlined, this is new and upgraded.
EBITDA pre is expected to decline by minus 1% to minus 2% on a currency-adjusted basis, this is unchanged. And the negative FX effect driven predominantly by the devaluation of LatAm currencies is now estimated to be between minus 9% and 11% versus last year, which is new.
Main drivers are organic sales growth in the base business contributions from new launches, BioMarin milestone adverse mix, higher marketing and selling cost, higher R&D budget, despite the Biosimilars divestment, but depending on data and prioritization and the absence of the 2017 one-offs.
In Life Science, demand is expected to remain solid throughout our businesses. We expect an upgraded net sales growth of plus 7% to plus 8%, significantly above the medium term market growth of 4% per annum and also above the accelerated market growth rates of this year. The expected Sigma audits related synergies of €280 million for 2018 are confirmed.
On an FX-adjusted basis, EBITDA pre is expected to rise by roughly 8%. So the increase on prior year level, this is unchanged, this we confirm. And so we confirm also the FX expectation on EBITDA pre between minus 3% and minus 5%, this has not changed. 
Finally, on Performance Materials, we expect organically about stable sales between minus 1% and plus 1%, as Kai just outlined. This is new and driven by the temporarily very favorable situation in liquid crystals. While EBITDA pre will decline organically between 14% and 16%, which is an unchanged assumption.
The ongoing sales decline in liquid crystals has continued to burden our margin mix and cannot be compensated by the good performance continue to expect for the three other PM pillars going forward. FX will reduce EBITDA pre in the range between minus 6% and minus 8% versus 2017. Also this assumption has not changed.
So now I come to the FX piece. I will address it now before end of my presentation. Let me say a few words of clarification when we can focus on other topics in the Q&A. So first of all, the guidance is fixed and we had to fix the guidance until the end of October. And that was reflecting view that was strongly influenced obviously, by the first nine months of the year.
Indeed since then, we have seen a recovery of the Brazilian Real, of the last couple of weeks after the election, which is now better than our implicit assumptions for Q4. This represents, from our point of view as of today, a slight upside for the first quarter. But don't forget two things.
First of all, we are not only suffering from the Brazilian Real, but also from the Argentinian Peso and that development has also been very bad in 2018. And secondly, the changes that are still relative -- are still relatively small when applying it to year average rate. What we see, however, is an upside where our most recent FX guidance is status of today, conservative. It's actually the U.S. dollar.
At the very moment, we are still within our guidance range, but if the dollar stays where it currently is until year-end, we have an upside. The same is by the way valid for 2019. If the dollar stays at a level of 1.12, 1.13 where we are today, we have for sure, an upside year from the dollar in H1.
So I hope this clarifies what guided us when we were adjusting the currency assumptions. We were strongly driven by the first nine months because it was done on the basis of October and we just saw a couple of days of recovery of the Brazilian Real. If this picture, however, continues what we see today in terms of spot rates, we have some slight upsides for the fourth quarter.
With that, I would hand back to Constantin for opening the Q&A."
Constantin Fest,0,"So first question, please. Andrea, we would be ready to take your first question. Thank you."
Operator,1,"[Operator Instructions]
We will now are take our first question from Wimal Kapadia from Bernstein. Please go ahead."
