type,name
Executives,Constantin Fest - IR
Executives,Marcus Kuhnert - CFO
Executives,"Belén Garijo - CEO, Healthcare"
Executives,"Udit Batra - CEO, Life Science"
Executives,"Kai Beckmann - CEO, Performance Materials"
Analysts,Wimal Kapadia - Bernstein
Analysts,Matt Weston - Credit Suisse
Analysts,Gunnar Romer - Deutsche Bank
Analysts,Sachin Jain - Bank Of America Merrill Lynch
Analysts,Richard Vosser - JP Morgan
Analysts,Luisa Hector - Exane
Analysts,Emily Field - Barclays
Analysts,Luke Sergott - Evercore ISI
Analysts,Peter Verdult - Citi
Analysts,Daniel Wendorff - Commerzbank
Analysts,David Evans - Kepler Cheuvreux
Analysts,Marietta Miemietz - Primavenue
