speaker,q&a,content
Operator,0,"Greetings, and welcome to the MAXIMUS Fiscal 2018 Fourth Quarter Conference Call. At this time, all participants are in a listen-only mode. A brief question-and-answer session will follow the formal presentation. [Operator Instructions] As a reminder, this conference is being recorded.
It is now my pleasure to introduce your host, Lisa Miles, Senior Vice President of Investor Relations for MAXIMUS. Thank you, Ms. Miles. You may begin."
Lisa Miles,0,"Good morning and thank you for joining us. With me today is Bruce Caswell, President and CEO; and Rick Nadeau, CFO.
I'd like to remind everyone that a number of statements being made today will be forward-looking in nature. Please remember that such statements are only predictions. Actual events and results may differ materially as a result of risks we face, including those discussed in Exhibit 99.1 of our SEC filings. We encourage you to review the information contained in our earnings release today and most recent Forms 10-Q and 10-K filed with the SEC. The company does not assume any obligation to revise or update these forward-looking statements to reflect subsequent events or circumstances except as required by law.
Today's presentation may contain non-GAAP financial information. Management uses this information in its internal analyses of results and believes this information may be informative to investors in gauging the quality of our financial performance, identifying trends in our results, and providing meaningful period-to-period comparisons. For a reconciliation of the non-GAAP measures presented in this document, please see the company's Form 10-K that will be filed later today.
And with that, I'll hand the call over to Rick."
Rick Nadeau,0,"Thanks, Lisa. Overall, fiscal year 2018 was characterized by solid execution, a healthy portfolio of contracts, strong cash generation, and a demonstration of our commitment to sensible capital allocation with this recent increase to our quarterly cash dividend and the completion of our largest acquisition to date. Just last Friday, we completed the purchase of U.S. Federal Citizen Engagement Centers, which both Bruce and I will talk about in greater detail within our prepared remarks.
As noted in our press release this morning, MAXIMUS reported total company revenue for fiscal year 2018 of $2.39 billion, which was slightly below our guidance range of $2.4 billion to $2.44 billion. This was a result of revenue in the fourth quarter, which was slightly below the company's expectations due to lower-than-anticipated contributions across a handful of contracts.
Total company operating margin for fiscal year 2018 was 12.4%, which was largely as expected due to new programs in the startup phase in Human Services Segment. This compares to 12.8% in fiscal year 2017. For fiscal 2018, diluted earnings per share increased 6% to $3.35, and benefited from U.S. tax reform. I will start my comments on segment results with the Health Services Segment.
The Health Services Segment continues to consistently deliver strong operating and financial performance. Revenue for the Health Services Segment for fiscal year 2018 totaled $1.4 billion, compared to $1.38 billion last year. The segment delivered an operating margin of 16.8% for fiscal year 2018, as compared to 15.6% in fiscal year 2017.
As mentioned on the call last quarter, revenue coming in to the fourth quarter of fiscal year 2018 was tempered by forecasted changes on several sizable contracts that were rebid and won, extended, or option periods were exercised. For example, this includes the Health Assessment Advisory Service contract that reset on March 1, 2018. And while winning our rebids and securing multiyear extensions provides a foundation that enables us to focus on long-term growth, new contractual terms can temper short-term growth.
I will now speak to the results from our U.S. Federal Services Segment. As expected, or U.S. Federal Services Segment experienced contraction in fiscal year 2018, finishing the year with $478.9 million in revenue. As previously disclosed, the segment was impacted by contracts that reached their natural and expected conclusion, as well as contracts that were re-procured under small business set-asides, meaning, we were no longer eligible to bid, and some rebid losses.
The U.S. Federal Services Segment delivered operating margin of 12% for fiscal year 2018, benefiting from increased operational efficiencies resulting from technology and innovation initiatives. This was a slight improvement over our 11.9% reported for fiscal year 2017. As a reminder, operating margins for this segment can fluctuate from quarter-to-quarter due to contract mix, and the variability of volumes on performance-based contracts.
For fiscal year 2018, our Human Services Segment experienced dynamics that tempered both revenue and profit. This included a number of new contracts in the startup phase, as well as contracts that have come to a planned end, including the Work Program and Work Choice contracts in the United Kingdom. As a result, revenue for the Human Service Segment for fiscal year 2018 was down 3%.
As I mentioned last quarter, the recently rebid Australian Disability Employment Services contract launched in the fourth quarter, and it is the largest program we have in the startup phase. This resulted in the segment operating at a slight loss for the fourth quarter, and finishing the full fiscal year with an operating margin of 3.6%. Without the impact of the startup of these contracts, we estimate that Human Services OI margin would have been 5.6% in fiscal year 2018.
I will now briefly discuss the balance sheet and cash flow items. We exceeded our cash flow guidance due to strong cash collections with our DSOs at 63 days, at September 30, 2018. For the full fiscal year, cash from operations totaled $323.5 million, and free cash flow was $297 million, as seen in the reconciliation tables included in our press release.
During fiscal year 2018, we remained active with our opportunistic share buyback program as a means to deploy capital. For the full fiscal year, we purchased nearly 1.1 million shares of common stock for $67.6 million, and subsequent to September 30, 2018, we acquired a little over 200,000 shares of our common stock for $15 million. We have approximately $178 million remaining under our Board-Authorized Share Repurchase program. We finished fiscal year 2018 with $370 million of cash, cash equivalents, and short-term investments. The positive cash position generated $3 million in interest income over the course of fiscal year 2018.
Over the last couple of months, MAXIMUS has taken several steps to put excess capital to work and to better optimize our balance sheet. The management team is focused on making the right investments at the right time in order to best create long-term shareholder value. Strategic M&A continues to be our first priority as demonstrated by our most recent acquisition. We will continue to buy back shares, and as recently as this quarter, we increased our cash dividend to a 1.5% yield. We will continue with a steadfast intent on ensuring we best position MAXIMUS for the future.
Let me now focus on our recently closed acquisition. The acquisition of the U.S. Federal Citizen Engagement Centers provides us with a level of scale that makes us a more viable prime contractor to the U.S. Federal Government, and reduces our need to partner with other companies to win business. The acquisition also enables us to become more competitive on procurement in the federal marketplace.
Let me summarize the expected impacts to our financial statements resulting from the transaction. We now expect the acquisition to contribute revenue for the remaining 10.5 months of fiscal year 2019 between $600 million and $625 million. The two largest contracts that we acquired are cost-plus contracts. As a reminder, revenue and billings for cost-plus contracts include the allowable expenses, plus a fee. Naturally, these types of contracts carry a lower risk, and therefore operate at a lower operating margin, most often in the mid-single digits. While the profit earned on the acquired cost-plus contracts are mid-single digits, they will provide significant synergistic benefits to MAXIMUS and a lift in profitability in other MAXIMUS segments.
Allow me to provide some greater detail about the two primary drivers. First, our total company SG&A cost will increase in order to handle the additional volume of work that the acquisition will create, but the acquired assets will significantly expand the business base used for the allocation of indirect cost, or simply put, adding these assets into the total company portfolio allows us to spread the corporate G&A across a substantially larger base of revenue. Second, the two largest contracts that we acquired are cost-plus contracts. Accordingly, MAXIMUS will be reimbursed for the portion of these corporate SG&A cost that are allowable under U.S. Federal Procurement Rules and are agreed upon allocation methodologies.
So the bottom line is that the amount of indirect costs that MAXIMUS will recover under the new cost-plus contract is greater than the overall increase in SG&A dollars to support the new assets. While this is dilutive to the overall operating margin, it provides an overall lift in operating income to the company.
As we have considered our fiscal year 2019 guidance, we have also included certain estimated expenses related to the transaction. These include interest expense on our borrowings, as well as the reduction in interest income that we are forfeiting from the cash that was used for the acquisition from our balance sheet, one-time acquisition costs, and the amortization of intangibles. The appraisal for the amortization cost is currently in process. In the meantime, we have put forth our best estimates until the appraisal has been completed in the coming weeks. And as most of you know, this amortization is a non-cash charge, which means that our EBITDA will increase more than our operating income.
Considering all elements of the transaction, we now expect the acquisition will contribute approximately $0.45 of diluted earnings per share in fiscal year 2019. We are establishing GAAP guidance for fiscal year 2019, which includes 10.5 months of revenue and profit contribution from the acquired assets. For fiscal year 2019, we currently expect revenue will range between $2.925 billion and $3 billion. For fiscal year 2019, we anticipate that GAAP diluted earnings per share will range between $3.55 and $3.75. This implies an operating margin range between 10.7% and 11%.
On a quarterly basis, we anticipate revenue will be stronger in the second half of the year versus the first half of fiscal year 2019. However, revenue in our second fiscal quarter is currently expected to be seasonally strongest as a result of the operational activities tied to the open enrollment period under the newly acquired operations for the federal exchange and Medicare. While open enrollment ends on December 15, the program ramp-down period is forecasted to extend well into our second fiscal quarter. On the bottom-line at this time, we anticipate earnings will have linear progression throughout the year.
That being said, as you know, earnings can be more difficult to predict since we routinely experience fluctuations from quarter to quarter resulting from change orders, volumes, or timing of work. But directionally, we thought it would be useful to provide some detail. At September 30, 2018, we had $5.1 billion in backlog prior to the acquisition. We have layered on annual revenue in backlog from the acquisition of $612.5 million in order to calculate our fiscal year 2019 revenue visibility. As you know, we have a high level of visibility into our forecasted revenue. And for fiscal year 2019, we estimate that approximately 93% of our forecasted revenue is already in the form of backlog, options, or extensions.
For the full fiscal year 2019, we estimate the income tax rate will range between 25% and 26%. Assuming no further stock purchases, the weighted shares outstanding would be 65.3 million for fiscal year 2019. For fiscal year 2019, we expect cash flows from operations to range between $275 million and $325 million. And we expect free cash flow to range between $235 million and $285 million. As most of you know, we implemented the new revenue recognition standard on October 1, the first day of our fiscal year 2019. We have included a discussion in both the press release and the Form 10-K which will be filed later today.
And finally, we have decided to reorganize our reporting segment based on the way we intend to manage performance, allocate resources, and evaluate results. This change has been under study since Bruce took over as CEO earlier this year. And it became effective October 1 at the start of our fiscal year 2019.
Our decision to reorganize is largely in response to changes in the markets we operate with the increasing integration of health and human services programs worldwide and the evolving needs of our government clients as they aim to deliver services in a more holistic manner to their citizens. Accordingly, we will report operating segments on a geographic basis. Our operating segments will be U.S. Health and Human services, U.S. Federal, and Outside the U.S. We will be filing an 8-K in early December with historical financial information by quarter in the reclassified segments. We will also provide additional color on our fiscal year 2019 guidance by segments as it relates to high level trends.
And with that, I'll hand the call over to Bruce."
Bruce Caswell,0,"Thank you, Rick, and good morning everyone. Since I became CEO in April, we have embarked upon a digital transformation, extended our reach into new markets and customer areas, and are working to offer more clinically related services on a global scale. During the year, we have made continued progress on multi fronts to position MAXIMUS for its next phase.
Today, I want to focus my comments on our recent M&A activities and the acquisition. As we have noted in prior calls, we believe that federal market is a long-term growth area for us. It's one of the priority markets that we identified as part of our strategic market evaluation. We believe we can play a more meaningful role in the U.S. federal market, and with this acquisition, we have taken decisive action towards building scale, expanding our customer base, and improving our competitive position. In doing so, as Rick noted in his remarks, we've also made the total company more competitive in our markets.
As Rick also noted, we closed the acquisition last Friday. These assets are a natural fit that align with our existing capabilities, bringing together extensive experience and knowledge in managing large citizen-centric government programs. These assets cover some of the largest Civilian Citizen Engagement Centers in the federal government and across the nation. The most well-known among the portfolio of new contracts is the Contact Center Operations for the Centers for Medicare and Medicaid Services.
As a reminder, MAXIMUS has served as a subcontractor on this contract since 2014. You may be familiar with the programs that this contract supports, including the federal exchange under the Affordable Care Act, and the primary support Engagement Center for Medicare, also known as 1800 Medicare. The overall scope of the contract is focused on efficiently handling general inquiries for the federal exchange, as well as general and claims-related Medicare inquiries. As with most of the operations across the MAXIMUS portfolio, the contracts manage multiple communications channels from beneficiaries and consumers, their families and caregivers, and other individuals or entities that support the agency in these critical programs. We are in the middle of the 2019 open enrollment period for both the programs and we're running at peak operations.
The CMS contract consists of 11 customer engagement centers across the U.S. We provide 24-hour operations seven days a week, 52 weeks a year. Across all of the centers annually, we will handle over 40 million phone calls, 200,000 pieces of correspondence, and 250,000 web chats for Medicare and the federal exchange. This will now be the largest contract in the MAXIMUS portfolio.
The second most notable acquired contract supports the 2020 census for the U.S. Census Bureau in the Department of Commerce. This contract is also known as the Census Questionnaire Assistance 2020 or CQA. Under the program, MAXIMUS will provide operations support and Citizen Engagement Centers or the 2020 Decennial Census. This contract runs through June 2021. The contract is designed to provide questionnaire assistance for respondents about specific items on the 2020 census form. We will offer telephone assistance to citizens via multilingual customer contact centers. In all, we are contractually required to operate in a minimum of 12 languages. The program will operate in three primary phases and we are currently entering Phase 2.
The overall scope includes a significant ramp up in equipment, facilities, technology, integration, testing, and staffing levels. While these two programs comprise the majority of the assets we purchased, other notable programs include CDC info for the Centers for Disease Control and Prevention, Consumer Resource Center Support Services for the Consumer Financial Protection Bureau, and Annuitant Health Benefit Open Season Printing, Distribution and Processing Services for the Office of Personnel Management. As you might expect, integration efforts are well underway, and a number of key members of the management team have joined MAXIMUS. The teams are keenly focused on transitioning operations seamlessly, keeping an open dialog with our clients and ensuring that we maintain world-class service levels to citizens.
Most notably, this acquisition significantly enhances the company size and position in the federal market building on our solid foundation of program management and IT services. The acquisition also enables greater economies of scale and brings enhanced technology and added operational capabilities that will benefit the entire MAXIMUS portfolio. More specifically, these assets help to further advance our digital strategy for federal civilian agencies by providing an integrated set of commercial products for Call Center Operations, including call routing, managing scripts, call recording, and overall management.
Importantly, this scalable platform is already fed ramp certified, which is an important qualification in the federal market and will accommodate evolving capabilities in machine learning and artificial intelligence that we are advancing. Ultimately, we believe this combination creates an unrivaled government partner of best-in-class multi-channel contact center support for complex Citizen Services.
Following on the heels of the acquisition, MAXIMUS was named the first awardee under the General Services Administration IT 70 contact center solutions vehicle also known as the Contact Center SIN. This vehicle enables federal agencies to procure Citizen Engagement Center technology and operational requirements with a diverse set of pre-vetted Citizen Engagement Center Solutions through a single contract. The Contact Center SIN is focused on a wide range of technologies that support citizen engagement, including artificial intelligence, chat bots, robotic process automation and voice/speech recognition.
As you know, we've made investments to drive more digital and innovative solutions to our clients over the last 18 months. We expect this vehicle will present opportunities for MAXIMUS to more broadly apply the work we've done for governments on driving digital monetization strategies. The Contact Center SIN also aligns with the President's management agenda, which calls for federal agencies to adopt customer service approaches that have been successful in the commercial sector. This is an area where MAXIMUS can maximize its core competencies of operationalizing complex policies driving innovative business processes and supporting vulnerable populations as they engage with governments.
Fundamentally, we are transforming the citizen journey. Moving on to new awards and pipeline, for fiscal 2018, year-to-date signed awards totaled $2.7 billion at September 30, 2018. Our pipeline at September 30, 2018 was $2.7 billion compared to $2.9 billion at June 30, 2018 due to approximately $450 million of work converting into the awarded category. The current pipeline contains opportunities across all three segments and in all of our major geographies with just under 75% tied to new work versus existing work.
The dollar value of new work at September 30th was roughly the same as compared to June 30th. Over the last several months, we have examined our methodology for reporting pipeline metrics which was established more than 15 years ago and built for a different type of business model. We have decided to change our practices and adapt our pipeline to better reflect the market realities of our current long-term BPO book of business. There are three key modifications. First, let's start with how contract values were previously recorded.
The old methodology dictated that a contract was recorded in the pipeline at its base contract value. If that same contract had option periods the option periods were reported separately and only included in the pipeline in the year in which they were exercised. Our new methodology would instead capture the total contract value, meaning that the pipeline would reflect the base contract plus the option years that are priced.
One of the considerations for this change is our increased book of federal business. Oftentimes federal contracts are one to two-year base contracts with multi-year option periods that are priced. We believe this change is more reflective of the true long-term nature of our contracts and client relationships.
Second, our reported pipeline under the prior method only captures opportunities where the RFP is expected to be released within the next six months. This simply doesn't reflect the realities of the sales and procurement cycles we see in the BPO business. While we still have this under study, we intend to move to a new reporting methodology with a new time horizon that will likely be two years.
Third, under our legacy reporting model, the base value for new work opportunities was capped with the maximum value of $150 million regardless of the actual estimated value. This did not apply to rebids or existing work in the MAXIMUS portfolio, only new work. We ultimately felt the cap was a bit arbitrary and was developed when MAXIMUS was a much smaller organization.
Under our new methodology, we intend to report the actual estimated value of the bid at the time we enter it into the pipeline. It's important to recognize that this will create much more fluctuation in the pipeline as values can change as RFPs mature through the procurement process.
In summary, while fiscal 2018 was characterized by solid execution, we fell a little short in achieving some of our revenue goals. We have taken steps to aggressively address this head on including assessing and prioritizing new and adjacent markets, stepping up our M&A activities, bringing in new sales and capture leadership and realigning our business segments beginning in FY'19 to maximize our go-to market strategy, all of which are designed to address this period of slower growth.
Our vision is to be the premier provider of large-scale complex program management solutions offering unparalleled support to citizens who access and utilize critical government programs. We are making demonstrated progress in executing our strategic initiatives, but I want to reiterate our commitment to delivering solid operational and financial execution and strong cash generation. We continue to see evidence that long-term macro trends remain in our favor and the core of the business is sound.
Finally, I want to thank our customers for the trust they place in us each day, our employees across the globe for their continued service and commitment and welcome our many new Citizen Engagement Center employees as they transition to MAXIMUS.
With that I'll open it up for Q and A. Operator?"
Operator,1,Thank you. We will now be conducting a question-and-answer session. [Operator Instructions] Our first question comes from the line of Charlie Strauzer with CJS Securities. Please proceed with your question.
Charlie Strauzer,1,"Hi, good morning."
Bruce Caswell,1,"Good morning, Charlie."
Charlie Strauzer,1,"So I just wanted to talk a little bit more about the acquisition if we could, just in general, get your additional color and thoughts on the kind of longer term opportunities there, and also when you look at the $0.45 of accretion, it's a little bit more than we had modeled on the back of the envelope a year before getting your guidance, and that implies that the base is lower, maybe you can explain a little bit more on each metric there as to why that's occurring there? Thank you."
Bruce Caswell,1,"Absolutely, Charlie, it's Bruce, I'm going to start with just the strategic rationale and then address [ph] your question about the longer term opportunities this creates, and then ask Rick to address the question related to the accretive nature of the transaction and the $0.45."
"So first of all, we've said for some time that the federal market is a market where we think we can have a bigger presence and should have a bigger presence. It's the largest customer in the world. Our Federal Civilian book of business, it was about $0.5 billion. We felt that in many ways by getting the book over a $1 billion, we become a very credible bidder at a prime and are open to new opportunities with other federal agencies. We're excited that with this acquisition, we contemporaneously have gained the position on the Contact Center SIN vehicle that we mentioned in our prepared remarks, which puts us in a great position now as the premier provider of citizen-centric customer contact centers in the federal government to win more business.",1,"As much as that's a great strategic rationale and it, I will say, addresses two of the important market priorities that we were looking at as part of our strategic review. The first being the importance of achieving critical mass in a key growth market as I've mentioned, and the second being bringing us new digital capabilities. I spoke a bit about that in my prepared remarks in terms of the contact center technologies that we gained, equally important, are the economies of scale that the acquisition brings to us. And Rick spoke at some length about that in terms of the benefits to our business and to our rate structure within the federal business that it also improves our competitive position across the Board in the company. It makes us competitive in other segments as well.
So with that, it really gives scale economies, the operational efficiencies, the technology gain that we get and the critical mass in federal all added up to make it a very attractive acquisition. And I'll turn it over to Rick for further commentary."
