speaker,q&a,content
Company Participants,0,"Rob Katz - Chairman & Chief Executive Officer
Michael Barkin - Chief Financial Officer"
Conference Call Participants,0,"Felicia Hendrix - Barclays
Shaun Kelley - Bank of America
Brett Andress - KeyBanc Capital Markets
Chris Woronka - Deutsche Bank
Brennan Matthews - Berenberg
Patrick Scholes - SunTrust
David Katz - Jefferies"
Operator,0,"Good day, ladies and gentlemen, and welcome to today's Vail Resorts Third Quarter Fiscal 2019 Earnings Call. Just as a quick reminder, today's program is being recorded.
And at this time, I'd like to turn the floor over to Mr. Rob Katz."
Rob Katz,0,"Thank you. Good afternoon, everyone. Welcome to our third quarter fiscal 2019 earnings conference call. Joining me on the call this afternoon is Michael Barkin, our Chief Financial Officer.
Before we begin, let me remind you that some information provided during this call may include forward-looking statements that are based on certain assumptions and are subject to a number of risks and uncertainties, as described in our SEC filings and actual future results may vary materially. Forward-looking statements in our press release issued this afternoon along with our remarks on this call are made as of today June 6, 2019, and we undertake no duty to update them as actual events unfold.
Today's remarks also include certain non-GAAP financial measures. Reconciliations of these measures are provided in the tables included with our press release, which along with a quarterly report on Form 10-Q are filed this afternoon with the SEC and are also available on the Investor Relations section of our website at www.vailresorts.com.
So with that said, let's turn to our third quarter fiscal 2019 results. We are pleased with our overall results for the quarter and for the full 2018-2019 North American ski season, with strong growth in visitation and spending compared to the prior year, including a strong finish to the season, with good conditions across our Western U.S. Destination resorts.
After the challenging early-season period for Destination visitation, our results for the remainder of the season were largely in line with our original expectations. Our results throughout the 2018-2019 North American ski season highlight the growth and stability resulting from our season pass, the benefit of our geographic diversification, the investments we make in our resorts and the success of our sophisticated data-driven marketing efforts.
Our Colorado, Utah and Tahoe resorts experienced strong local and destination visitation throughout the third fiscal quarter, supported by favorable conditions across the Western U.S., which also allowed for an extension of the ski season for select resorts in Colorado and Tahoe.
The company continued experiencing relative weakness in international visitation compared to the prior year, particularly at Whistler Blackcomb. Total lift revenue increased 16.4%, driven by a 14.3% growth in skier visitation, primarily from Triple Peaks and Stevens Pass.
Total effective ticket price, or ETP, increased 1.8% in the third quarter compared to the prior year, primarily due to price increases in both our lift ticket and season pass products, partially offset by higher skier visitation by season pass holders, lower ETP from the acquired Triple Peaks and Stevens Pass resorts, and the new Military Epic Pass. Excluding season pass holders, ETP increased 5.5% compared to the prior year.
The growth in visitation and spending compared to the prior year, along with the addition of Triple Peaks and Stevens Pass, drove a 9.4% increase in ski school revenue and 11.7% increase in dining revenue and a 9.5% increase in retail rental revenue, compared to the prior year.
Now I'd like to turn the call over to Michael to further discuss our financial results and our updated outlook."
Michael Barkin,0,"Thanks, Rob, and good afternoon, everyone. As Rob mentioned, we are pleased with our third quarter performance, with strong growth in visitation and spending compared to the prior year. Resort net revenue was $957.7 million, an increase of 13.8% compared to the prior year.
Resort Reported EBITDA was $480.7 million, an increase of 14.5% compared to the prior year. Mountain revenue was $877.9 million, up 13.6% from the prior year and mountain reported EBITDA was $468.1 million for the third quarter, up 14.4% from the prior year.
Our lodging results for the third fiscal quarter were positive, with revenue excluding payroll cost reimbursements increasing 16.8% compared to the prior year, primarily due to the incremental operations of Triple Peaks. The average daily rate decreased compared to the prior year, primarily as a result of the inclusion of the Triple Peaks Resorts, as well as incremental managed Tahoe lodging properties that we did not manage in the prior year, all of which generate a lower average daily rate as compared to the our broader Lodging segment.
Net income attributable to Vail Resorts, Inc. was $292.1 million, or $7.12 per diluted share, for the third quarter fiscal 2019, compared to net income of $256.3 million, or $6.17 per diluted share, in the third fiscal quarter of the prior year.
Additionally, fiscal 2019 third quarter net income included the after-tax effect of acquisition and integration related expenses of approximately $4.1 million and approximately $1 million of unfavorable currency translation, primarily related to operations at Whistler Blackcomb, which the company calculated by applying current period foreign exchange rates to the prior period results.
Our balance sheet remains strong and the business continues to generate robust cash flow. We ended the quarter with $59.6 million of cash on hand and our net debt was 1.8 times trailing 12 months total reported EBITDA. I am also very pleased to announce that our Board of Directors has declared a quarterly cash dividend on Vail Resorts' common stock. The quarterly dividend will be $1.76 per share of common stock and will be payable on July 11, 2019 to shareholders of record on June 26, 2019.
Given the strong finish to the season, our successful season extensions and our continued focus on cost discipline, we now expect Resort Reported EBITDA on a comparable basis with our prior guidance issued March 8, 2019, which excluded the expected Resort Reported EBITDA contribution from the Falls Creek and Hotham Resorts to be between $700 million and $710 million.
For fiscal 2019, Falls Creek and Hotham Resorts are expected to contribute approximately $2 million of Resort Reported EBITDA, including a $3 million stamp duty payment and $1 million of integration expenses. Including the impact of Falls Creek and Hotham, the company expects net income for fiscal 2019 to be between $277 million and $297 million and Resort Reported EBITDA to be between $702 million and $712 million, which includes an estimated $16 million of acquisition, stamp duty and integration-related expenses and $4 million of unfavorable foreign exchange as a result of the U.S. dollar strengthening, relative to the time of our initial guidance issued in September 2018.
I'll now turn the call back over to Rob."
Rob Katz,0,"Thanks Michael. We are very pleased with the results of our season pass sales to-date, which showed strong growth over the record pass sales results we saw last spring, with particular strength over the Memorial Day deadline. Pass sales through May 28, 2019 for the upcoming 2019-2020 North American ski season increased approximately 9% in units and 13% in sales dollars as compared to the prior-year period through May 29, 2018, excluding sales of all military pass products in both periods including Stevens Pass and Triple Peaks pass sales in both periods and adjusted to eliminate the impact of foreign currency by applying an exchange rate of $0.74 between the Canadian dollar and U.S. dollar to the current period and the prior period for Whistler Blackcomb pass sales.
Military pass sales are off to a strong start, but remain in our verification period and we will plan to provide further updates on sales trends as the selling season progresses. Our pass sales growth was primarily driven by strong results in our destination markets. In particular, we had very strong growth in our northeast markets, which are benefiting from the first full year of pass sales with Stowe, Okimo and Mount Sunapee included with unlimited access on the Epic and Epic Local Pass products.
Our broader destination markets continue to perform well as we expand the resorts available on our network, including the recent addition of Sun Valley and Rusutsu and enhanced our ability to reach destination guests with our data-driven marketing. Our local markets continued to show solid growth, driven by favorable results among our local guests in the Whistler Blackcomb region with particular strength in Seattle with the first full pass sales season including access to Stevens Pass. We are also seeing strong results from our Northern California and Utah guests, partially offset by more modest sales growth in our Colorado local market.
As expected, we're removing access to Arapahoe Basin on our pass products; lowered our renewal rate on the Summit Value and Keystone Plus Pass products, but we expect any loss of revenue to be more than offset by the elimination of our partnership payments to Arapahoe Basin. We have seen good growth from our new Epic Day Pass, though it was not material to our overall pass sales dollar growth in the spring and we anticipate that sales of this new product will be primarily concentrated in the fall.
It is important to note that as we drive more guests to purchase passes in the spring, we believe the full year pass sales growth dollar rate excluding military pass sales will be lower than our spring growth rate with stronger relative performance in late fall versus Labor Day due to the introduction of Epic Day Pass. The 2019 Australia ski season kicked off early at Perisher, and we are very pleased with the ongoing sales of the Epic Australia Pass which end on June 18, 2019 and are up approximately 19% in units through June 2, 2019 as compared to the prior-year period through June 3, 2018 representing another significant year of growth and over 65% growth in the past three years.
This year Epic Australia Pass sales have benefited from the addition of Rusutsu in Japan. Given the timing of the Falls Creek and Hotham transaction closing in April, we won't see the full benefit of the Falls Creek and Hotham acquisition until next year, but we are pleased to report that we received the final requisite approval this week to include unlimited access at Hotham on the Epic Australia Pass for the current 2019 ski season in Australia.
Our commitment to reinvesting in our resorts and the guest experience remains one of our highest priorities. As previously announced, this summer and fall, we'll be completing important strategic capital projects including a significant investment in our snowmaking systems in Colorado that we expect will transform the early-season terrain experience at Vail, Keystone and Beaver Creek.
At Park City, we plan to transform the Tombstone Express area with a new permanent Tombstone barbeque restaurant and the new four person Over and Out lift that will provide a quicker, more direct route for skiers and riders to access Canyons Village from this – of the resort.
In addition, we plan to invest in a full renovation of the Beaver Creek Children's Ski School facilities and improvements to the Peak eight base area at Breckenridge with new ski school and child care facilities as well as an improved ticket and retail and rental experience.
We remain highly focused on investments that we believe will substantially improve the guest experience across our resorts including a new mobile lift ticket express, fulfillment technology that will eliminate the ticket window for guests who purchased their tickets in advance. We also expect to complete the final stage of our point-of-sale modernization project and are investing in technology to automate our data-driven marketing efforts.
We also plan to make significant one-time investments across the recently acquired resorts of Crested Butte, Okemo, Mount Sunapee and Stevens Pass, which will include replacing and upgrading the Daisy and Brooks lift at Stevens Pass and the Teocalli lift at Crested Butte, as well as on mountain restaurant upgrade at Okemo.
As we transition to summer operations at our North American resorts, I would like to take a moment to thank all of our employees for their passion and tireless dedication to delivering experiences of a lifetime to our guests during the 2018-2019 North American ski season.
At this time, Michael and I would be happy to answer your questions. Operator, we are now ready for questions."
Operator,1,"Thank you very much. [Operator Instructions] And first from Barclays, we have Felicia Hendrix."
Felicia Hendrix,1,"Hi. Good afternoon. Thank you for your time. So, Rob, overall your season pass sales were better than I think most people were expecting. And also the spread between units and sales increased as well. And so we're all well-versed in your data-driven strategy, but I think given the continued concerns about Icon and the competition there. I was wondering if you could just dig into what you think was driving that strength?
And then also just on the cadence for the rest of the year you did spell it out in the release and you just repeated it in the prepared remarks but just wondering if you could kind of dig into that a bit more as well? It just sounds like sales could slow on a relative basis in the next quarter as the Day Pass sales really kick-in but then perhaps you can see an acceleration at the end of the selling season as last minute folks come in. So just wondering if that was an appropriate way to think about it?"
Rob Katz,1,"Sure, yeah. I would say we are really pleased with what we saw so far in the selling season. I think our destination markets performed very, very well. Obviously, we highlighted particular strength in the Northeast. I think having that first full year and a strong spring opportunity to really kind of connect to those guests in the Northeast with a different resort portfolio, obviously having more data, more sophisticated approaches to how we're marketing people all of that, I think is – are benefiting the kind of engagement and kind of support we're seeing from our guests across the board.
So we feel really good about that. I think we also wanted to acknowledge that, what we've seen over a couple of years is that we have driven a lot of our unit growth more in the spring necessarily than in the fall. And so even as we go into the fall selling season we will typically see that growth rate come down based on some of the trends that we're seeing and expect.
And then as between the two selling seasons in the fall, we do see that the Epic Day Pass sales will absolutely provide a boost in the late fall period. Now, obviously, it's a new product for us, so of course, we have less precision on exactly what that impact will be. But we're expecting to see an acceleration in the fall. But in that kind of Labor Day time period, we'll probably, yes, be our lowest growth point, and then kind of pick up before you see the December numbers that we publish at the end of the season."
Felicia Hendrix,1,Okay. That's helpful. Thank you. And then just in Colorado you used the word modest to describe the season pass sales growth there. Is that mostly the A-Basin effect? Or was there something else?
