speaker,q&a,content
Operator,0,"Good morning. My name is Jessa and I will be your conference operator today. At this time, I would like to welcome everyone to the Metro Inc. 2018 Fourth Quarter Results Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers' remarks, there will be a question-and-answer session. [Operator Instructions]
Thank you. Mr. Roberto Sbrugnera, Vice President, Treasury, Risk and Investor Relations, you may begin your conference."
Roberto Sbrugnera,0,"Thanks Jessa. Good morning everyone and thank you for joining us today. Our comments today will focus on the financial results of our fourth quarter which ended September 29, 2018. Joining me today is Mr. Eric La Flèche, President and Chief Executive Officer; François Thibault, Executive VP and Chief Financial Officer.
During the call, we will present our fourth quarter results and comment on its highlights. We'll then be happy to take your questions. Before we begin, I would like to remind you that we will use in today's discussions different statements that could be construed as forward-looking statements.
In general, any statement which does not constitute historical fact may be deemed as a forward-looking statement. Expressions such as expect, intend, or confident that, will and other similar expressions are generally indicative of forward-looking statements.
The forward-looking statements are based upon certain assumptions regarding the Canadian food and pharmaceutical industry, the general economy, and our annual budget, as well as our 2018-2019 action plan.
These forward-looking statements do not provide any guarantees as to the future performance of the company and are subject to potential risks, known and unknown, as well as uncertainties that could cause the outcome to differ materially.
A description of the risks, which could have an impact on these statements, could be found under the Risk Management section of our 2017 Annual Report. We believe these statements to be reasonable and pertinent at this time and represent our expectations. The company does not intend to update any forward-looking information except required by applicable law.
I would like to turn the conference now to François."
François Thibault,0,"Thank you, Roberto and good morning everyone. Before I go through our results, I just want to remind everyone that 2017 was a 53-week year versus 52 weeks for this year 2018. And the impact of the extra week represents about $258 million in sales and $11.9 million in net earnings or $0.05 a share.
The acquisition of Jean Coutu Group was completed on May 11th of this year and consequently, we have been consolidating Jean Coutu results for slightly more than 20 weeks. And during that period, synergies of $6.6 million were realized for an annual run rate of $17 million. The integration of Jean Coutu Group is well on track.
In the quarter, we recorded a pharmacy network closure and restructuring charge of $23 million after taxes, resulting from the forthcoming transfer of operations from the McMahon warehouse to Jean Coutu warehouse in Varennes, the reduction of administrative positions, the closure of three Brunet pharmacies and the divestiture of 10 pharmacies as required by the Competition Bureau.
So, turning to our results, total sales for the fourth quarter reached $3.7 billion versus $3.2 billion last year, that's an increase of 15.7%. Excluding $690.7 million of sales from Jean Coutu Group in this quarter and removing the extra week in the fourth quarter of 2017, sales were up 2.5%.
Food same-store sales were up 2.1% and our food basket experienced inflation of about 0.8%. Pharmacy same-store sales were up 1.8%, that's 0.7% for prescription drugs and 3.9% for front-store sales and the number of prescriptions grew by 2.5% year-over-year.
Gross margins came in at 19.7% of sales in the fourth quarter compared to 19.6% last year. And operating expenses as a percentage of sales came in at 12.6% versus 12.3% last year.
Excluding the pharmacy network closure and restructuring expenses of $31.4 million pretax, our SG&A as a percent of sales stood at 11.7%. The lower SG&A ratio was due in part to the inclusion of Jean Coutu, but is partly offset by increases in operating expenses, mainly minimum wage, transportation, and fuel costs.
Adjusted EBITDA stood at $297.9 million, up $61.8 million or 26.2% and represented 8% of sales. On a comparable 12-week basis and excluding Jean Coutu's EBITDA of $74.2 million, adjusted EBITDA amounted to $223.7 million and that's a 2.2% increase over last year's quarter and 7.3% of sales.
The income tax expense for the quarter was $48.1 million, representing an effective tax rate of 24.9% compared with last year's effective tax rate of 23.4%. Net earnings for the quarter were $145 million versus $154.9 million last year and earnings per share were $0.56 for the quarter versus $0.66 last year.
On an adjusted basis, net earnings were $161 million compared with $119.2 million last year on a comparable 12-week basis and that's up 35.1%. Adjusted EPS were $0.63 versus $0.51 last year, that's up 23.5%.
We are pleased with our cash flow performance. The deleveraging of our balance sheet is occurring at a faster pace than originally forecasted and in the fourth quarter, we sold all the remaining Couche-Tard shares for gross proceeds of $326 million. And these proceeds, combined with the free cash flow generated, allowed us to reimburse about $850 million of debt since the acquisition of Jean Coutu on May 11th.
Our financial leverage now stands at our targeted adjusted debt-to-EBITDA ratio of 2.5, and consequently, the Board of Directors yesterday authorized a reinstatement of our share repurchase program, which will enable us to repurchase in the normal course of business between November 23, 2018 and November 22, 2019 up to 7 million of our common shares.
That's it for me. I will now turn it over to Eric."
Eric La Flèche,0,"Thank you, François and good morning everyone. As you know fiscal 2018 was a pivotal year in our company's history with the acquisition of Jean Coutu Group. We believe we now have a significantly stronger platform to meet our customers' everyday needs in food, pharmacy, and health and beauty and to grow their loyalty to our brands.
Turning to our fourth quarter, we are pleased with our results, ending the year on a strong note and delivering solid growth on pretty much all key metrics. Food same-store sales grew by 2.1% in a very competitive market. Food inflation increased slightly during the quarter as our internal food basket was up 0.8%, up from 0.5% in the third quarter.
Traffic, basket and tonnage were all up. Despite continued pressure on operating expenses, namely minimum wage, transportation and fuel costs, our teams did a great job to mitigate most of these cost increases.
We are also pleased with our pharmacy same-store sales showing strong prescription count growth and very solid front-store sales growth of 3.9%, driven by growth in all core categories, notably OTC. We also saw a good growth in our summer seasonal and back-to-school programs.
For fiscal 2018, CapEx totaled $317 million as we opened four new stores, expanded, renovated or remodeled 26 stores and closed three stores for a net increase of 0.3% or 60,000 square feet. We are quite happy with the sales lift from our recent food store remodeling projects in both Quebec and Ontario.
So, as François mentioned, the Jean Coutu integration plan is on track. We are actively working on procurement synergies and have also reduced some admin positions to support the new pharmacy division.
You may have noticed that Jean Coutu pharmacies have started to offer Selection and Irresistible food private label products, and Brunet has now started selling Personnelle brand OTC products. Soon, our food stores will also carry some items from Jean Coutu's Personnelle brand, which has built a solid reputation here in Quebec.
We are confident in delivering the $75 million run rate in synergies at the end of three years. We are also in the process of getting site plan approvals for our new automated fresh and frozen DCs in Toronto. We expect to start construction in early 2019. So, as you can see, we are investing in our infrastructure and in technology to become more efficient and provide better service to our stores, and ultimately, to our customers.
On the e-commerce front, sales continue to grow in Quebec as we continue to attract new customers to the Metro brand as well as growing share of wallet from our existing customers. We will be launching a similar service in Ontario in 2019 as planned.
In closing, we don't normally give guidance, but I will say that we are feeling positive about our prospects for fiscal 2019 as we will soon lap significant cost headwinds, food inflation seems to be returning to more normal levels, and the industry's square footage growth remains modest.
Those are my comments. We'll be happy to take your questions."
Operator,1,"[Operator Instructions]
Your first question comes from the line of Peter Sklar from BMO Capital Markets. Please go ahead."
Jennifer Panes,1,"Hi, this is Jennifer filling in for Peter. My first question is just on the inflation. I was wondering if you could give a little bit more color on where that was coming from, any specific categories. And if it was in line with what you kind of expected for the quarter?"
Eric La Flèche,1,"Okay. Thank you for the question. So, yes, we did see a pickup in inflation throughout the quarter. A lot of it driven by mix. So, it's our internal basket. So, mostly mix, but also some dairy products saw some price increases and produce also saw some increases mostly driven by transport. So, all-in all, I think the key message is that inflation picked up a bit, which we think is positive and we're continuing to see that into Q1."
Jennifer Panes,1,"Okay. Thanks. And then on the drug retail same-store sales, I was wondering if you could just give a little bit more color on the driver of the strong front-store comp?"
Eric La Flèche,1,"Well, I can't say much more for competitive reasons than I said in my opening remarks. I think the core categories that drive traffic, the drug stores were good, notably OTC, that's the key one. But on the front store, the seasonal programs worked well, summer and back-to-school, so happy with those sales. So, very happy with the sales."
Jennifer Panes,1,"Okay. And then on the NCIB renewal, do you plan to be active on that or is that more just when you're ready you'll go ahead with that?"
