type,name
Executives,"Steve Ferranti - VP, IR"
Executives,John Croteau - President and CEO
Executives,Bob McMullan - SVP and CFO
Analysts,Quinn Bolton - Needham and Company
Analysts,Harsh Kumar - Piper Jaffray
Analysts,Blayne Curtis - Barclays
Analysts,C.J. Muse - Evercore
Analysts,Harlan Sur - JPMorgan
Analysts,Mark Delaney - Goldman Sachs
Analysts,Mark Kelleher - D.A. Davidson
Analysts,Tim Savageaux - Northland Capital
Analysts,Richard Shannon - Craig-Hallum
Analysts,Vivek Arya - Bank of America
Analysts,Tore Svanberg - Stifel
