speaker,q&a,content
Company Participants,0,"Troy Clarke - President, Chief Executive Officer
Walter Borst - Executive Vice President, Chief Financial Officer
Persio Lisboa - Executive Vice President, Chief Operating Officer
Marty Ketelaar - Vice President, Investor Relations"
Conference Call Participants,0,"Steven Fisher - UBS
Patrick Wu - Wells Fargo
Adam Uhlman - Cleveland Research
Neil Frohnapple - Buckingham Research
Ann Duignan - JP Morgan
Ben Berude - Goldman Sachs
Brendan Nagle - RBC Capital Markets
Jeff Kauffman - Loop Capital Markets
Joel Tiss - BMO Capital Markets"
Operator,0,"Good day ladies and gentlemen and welcome to the Navistar Second Quarter 2019 Earnings Results conference call. At this time, all participants are in a listen-only mode. Later we will conduct a question and answer session and instructions will follow at that time. If anyone should require assistance during the conference, please press star then zero on your touchtone telephone. As a reminder, this conference is being recorded.
I would now like to introduce your host for today’s conference, Marty Ketelaar, Vice President of Investor Relations. You may begin."
Marty Ketelaar,0,"Thanks Gigi. Good morning everyone and thank you for joining us for Navistar’s second quarter 2019 conference call. Today we will discuss the financial performance of Navistar International Corporation for the fiscal period ended April 30, 2019. 
With me today are Troy Clarke, our Chairman, President and Chief Executive Officer; Walter Borst, our Executive Vice President and Chief Financial Officer; and Persio Lisboa, Executive Vice President and Chief Operating Officer. After concluding our prepared remarks, we’ll take questions from participants.
Before we begin, I’d like to cover a few items. A copy of this morning’s press release and the presentation slides has been posted to the Investor Relations page of our website for reference. The non-GAAP financial measures discussed in this call are reconciled to the U.S. GAAP equivalents and can be found in the press release that we issued this morning, as well as in the appendix to the presentation slide deck. Today’s presentation includes some forward-looking statements about our expectations for future performance and the company expressly disclaims any obligation to update these statements. Actual results could differ materially from those suggested by our comments made here.
Our 2019 industry and financial guidance does not reflect the impact of possible tariffs from goods crossing the Mexican border. When additional information becomes available, our industry and financial guidance will be reassessed and, if necessary, adjusted accordingly. For additional information concerning factors that could cause actual results to differ materially from those included in today’s presentation, please refer to our most recent SEC filings. We would also refer you to our Safe Harbor statement and other cautionary notes disclaimer presented in today’s material for more information on this subject.
With that, I’ll turn the call over to Troy Clarke for opening comments. Troy?"
Troy Clarke,0,"Okay, thank you Marty, and welcome to the Navistar second quarter earnings call. I’ll share some overall thoughts on the quarter and the industry, then Walter will take you through more detail on the company’s financial performance and outlook for the rest of the year.
We had another great quarter. Total company revenues grew 24% and adjusted net income increased by 57%. This strong performance is driven by growth in core truck volume, which was up 35% year-over-year. Second quarter retail market share was up across the board with Class 8 share up 1.6 points to 14.5% and medium share up 3.5 points to nearly 30%. We’re not finished. Our Class 6 through 8 truck order share doubled to 28%. Additionally, the production ramp or acceleration of the new Class 4/5 truck is almost complete.
The U.S. economy is showing signs of slowing but remains very healthy. Key economic indicators are mixed while forecasts suggest risks to GDP growth in the upcoming quarters. First quarter GDP growth came in strong, above 3%. The ISM Manufacturing Index remains above the 20-year average. Consumer spending growth has softened yet consumer confidence remains high.
Key indicators for the trucking market are also mixed. Freight demand and rates are declining from their 2018 peaks but remain above historical averages. Used truck pricing has moderated from the 2018 peak and inventories have increased, yet this is in line with increased new truck sales volumes. As expected, recent industry order activity has pulled back. Through the first six months of 2019, industry Class 8 orders have declined 63% from a year ago, and industry backlogs have declined by 22% since peaking in October; however, Navistar second quarter core orders once again exceeded charge-outs, adding to our solid backlog. Our new truck inventories remain towards the low end of their normal range and our used truck inventories are diverse and balanced as we have taken back trade-ins of competitors’ makes and models while we grew market share. Supply chain issues have eased; however, capacity remains tight. We’ve worked closely with suppliers as we increased line rates. 
Since industry production has been strong, we’re increasing 2019 core industry guidance, and Walter will provide more detail.
Our focus on the customer is generating this retail market share growth. We’re winning business with new customers and growing our share of wallet with existing customers, including several who are among the largest fleets in the U.S., and winning their business will provide many benefits down the road. One major benefit is the opportunity to earn future repeat business from these industry leaders, and pricing will continue to improve as customers experience the value of our products. These large fleets heavily influence the buying patterns of smaller fleets and owner-operators, priming the pump, so to speak, for the dealer channel for increased sales activity in future quarters. Higher truck volumes also drive growth in our parts segment, especially from trucks with our proprietary power trains. We expect profit and gross margins to grow over time along with share as our products deliver on our brand promise of uptime. 
As part of our commitment to uptime, early in the quarter the company announced that we will be opening a new parts distribution center in Memphis. This will enable industry-leading delivery times to dealers and customers, and our service partnership with Love’s is on track for national roll-out next quarter, improving repair velocity and increasing uptime for our customers.
We achieved a great deal over the past several months. We paid down debt, we found a partner for Navistar Defense, we annuitized the Canadian pension obligation, we ratified a productive agreement with the United Auto Workers, and most recently announced a settlement to address outstanding MaxxForce engine litigation. These actions improve our risk profile and position us for future success. 
As a result of our focus on uptime, we expect to grow retail share even further this year. These higher revenues will come with stronger gross margins, generating higher adjusted EBITDA margins in the second half versus those reported in the first half of the year. Walter will walk you through our 2019 financial guidance. 
In summary, Q2 was another great quarter for Navistar. Our progress demonstrates that Navistar is the best investment opportunity in the sector. Market share is increasing, our commitment to uptime is gaining real traction with customers as we expand service locations and parts availability, the alliance with Traton is reducing cost through the procurement joint venture and cost effective access to next generation technologies, and we’ve taken actions to improve our risk profile.
I would like to comment on the proposed tariffs on goods from Mexico. As it works out, we’re one of the first companies reporting results following this announcement. Given the recent nature of the announcement, it’s too early to assess the impact it could have on our business. We are working with our trade associations and continue to monitor this situation. As you would expect, we are working to understand those potential impacts. 
But setting the tariffs aside, early indications suggest that 2020 will be a good year for Navistar, and while we’re pleased with the progress we’ve made, we’ve only begun to show the true earnings power of the new Navistar.
With that, I’d like to turn it over to Walter. "
Walter Borst,0,"Thanks Troy. Navistar again delivered strong financial performance in the second quarter, reflecting healthy industry conditions and our intense customer focus. Let’s begin by reviewing the second quarter results before I provide an update on our 2019 guidance.
As Troy indicated, revenues grew 24% in the quarter to $3 billion. The improvement was driven by a 35% increase in core truck volumes. Our market share grew 1.9 points to 19.3%, reflecting higher share in all vehicle segments on both a year-over-year and sequential basis. Also supporting truck revenue growth is improved pricing, which is up 1% to 2% across all product lines. 
Gross margin for the quarter was 16.8%. The second quarter is historically the low point for margins due to customer mix from strong sales to rental and leasing customers. In addition, segment mix impacted consolidated gross margins as truck revenues grew substantially year over year while parts revenues increased modestly after adjusting for the new revenue recognition standard. As we have discussed previously, parts margins are higher than truck margins, so while second quarter gross margins are lower, the higher truck sales will benefit parts sales in the future. 
Higher SG&A expenses during the quarter are the result of a $159 million charge for a legal settlement as well as for current period and potential future settlements with customers of our 11 liter and 13 liter MaxxForce EGR engines. Adjusting for this one-time charge, structural costs including SG&A and engineering expenses fell as a percentage of revenue to 9.6% from 11.4% in the prior period.
The company reported a net loss of $48 million which included the legal charge. To help assess the underlying operational performance of the business, we’re introducing an additional metric, adjusted net income, that will exclude the impact of certain identified significant one-time items from net income that the company does not consider to be part of its ongoing operations. Excluding these one-time items on an after-tax basis, adjusted net income grew 57% to $105 million in Q2 versus $67 million last year. Adjusted EBITDA rose 23% to $224 million in the second quarter versus $182 million a year ago after excluding one-time items on a pre-tax basis. 
Moving to the segment results, our truck segment sales in the quarter grew 35% to $2.3 billion. The sales growth was driven by an increase in all core product segments plus the production ramp-up of the new Class 4/5 trucks. Total Class 8 volumes grew 47% and Class 6/7 volumes increased 31%. Excluding the legal charge I mentioned earlier, truck segment profit doubled from a year ago. The increase was largely driven by higher volumes and improved pricing, partially offset by the impact of the sale of a majority interest in Navistar Defense and cost pressures related to commodities. 
Our parts business delivered another great quarter. The parts segment revenue results were impacted by the new revenue recognition standard, ASC-606, which Navistar adopted at the beginning of this year. The implementation of this standard reduced second quarter revenue by $31 million. On a comparable basis, revenues grew 2% year-over-year. 
Profit for the quarter was up 9% to $144 million due to improved U.S. operating results reflecting growing private label business, partially offset by lower Blue Diamond parts volumes. Part segment profit margin grew nearly three points year-over-year to 25%. 
In the global operations segment, revenues were down $10 million year-over-year. Due to recent political uncertainty, economic conditions in Brazil are not recovering as quickly as initially expected; however, the segment remains profitable.
Our financial services segment is benefiting from higher average portfolio balances due to increased financing opportunities. As a result, revenues increased 24% to $78 million. Higher interest margin from improved funding strategies and income from an inter-company loan drove profitability higher by 68% to $32 million. 
During the quarter, the company generated $161 million of manufacturing free cash flow largely from strong adjusted EBITDA and favorable working capital performance. In April, the company repaid its $411 million convertible notes issued in 2014 with cash on hand. Notwithstanding the pay down, the company ended the second quarter with a strong manufacturing cash position of $950 million. 
On May 23, NFC closed a new five-year nearly $750 million revolving credit facility with a syndicate of 15 banks and repaid its $400 million Term Loan B issued in July 2018. The new facility provides for additional liquidity with increased flexibility at a lower borrowing cost. Since January, Standard & Poor’s, Moody’s and Fitch have upgraded the company one notch, acknowledging our strong financial performance and lower risk profile. 
I want to highlight a new company inventory chart that has been added to our earnings slide deck which is posted to the website. This chart provides additional insights into our total inventory levels, including the number of days on sales on hand in the normal range over the several years. As you can see from the chart, days of inventory on hand are 84 days, at the low end of the normal range of 80 to 120 days, reflecting higher sales volumes. This ratio more accurately depicts total company inventories versus only referencing absolute dealer inventories in the slide we had shown previously. We plan to provide the total company inventory slide going forward.
Let me also take a moment to update our guidance for the year. As Marty indicated in his opening remarks, this guidance could require further revision if the U.S. implements tariffs on imports from Mexico in the near term. Excluding such tariffs, we believe 2019 industry volumes will range between 425,000 to 445,000 units, a 25,000 unit increase from our prior guidance. Because of the higher than expected industry volumes together with strong core market share growth, we’re also raising our 2019 revenue expectations by $500 million at the midpoint to a range of $11.25 billion to $11.75 billion for the year. 
Relatively more revenue growth is coming from higher truck sales to larger fleets, magnifying both the truck versus parts segment mix and larger versus smaller customer mix impacts I mentioned earlier. Although we expect gross margins to increase throughout the remainder of the year, material cost headwinds will constrain gross margin growth. Taken together, we now believe gross margins will be between 18.25% and 18.75% for the year.
Also beginning in the second half of the year, we expect funding for alliance projects, including next generation diesel power trains, to increase. While our structural costs will begin to grow modestly over the next few quarters, that spend will be much more efficient than if we had developed such products by ourselves. 
As a result of higher revenues and strong market share gains, we are increasing the adjusted EBITDA guidance by $25 million to a range of $875 million to $925 million for the year. 
In summary, 2019 is shaping up to be a very strong year for Navistar. The company is recapturing market share, growing revenue and EBITDA, and taking actions to strengthen our balance sheet to prepare for the road ahead. We’re very excited about the future and hope you are too.
To help you better understand where we’re heading, we’ll be hosting an investor day on September 19 at our headquarters in Lisle. Our executive management team will provide additional insights on our strategy, improvements we’ve made to the business, and our road map to becoming a market leader. Be on the lookout for more information, and we look forward to your attendance.
Additionally, we invite you to attend this year’s North America Commercial Vehicle Show in Atlanta from October 28 through the 31, where you can see our latest product offerings and technology developments .
With that, I’ll turn it back to the operator to begin the Q&A."
Operator,1,"[Operator instructions]
Our first question is from Steven Fisher from UBS. Your line is now open."
Steven Fisher,1,"Great, thanks. Good morning. Just wanted to follow up on the Mexico question. It sounds like you have to take some lumps on the guidance near term, but what strategies and alternatives would you have to address this in the medium term, and what would it take for you to actually decide to take some action on that, given that these are political things that may come and go?"
Troy Clarke,1,"Hey Steve, this is Troy. Good morning and thanks for your question, we certainly appreciate that. We know that all of you have many questions on this, and quite frankly we do as well. Mexico is an important part of our manufacturing footprint at both the supplier level and an assembled truck level. The second thing I would comment is capacity utilization of all of our manufacturing is much higher today than it was just a handful of years ago, so really we need to understand the details and then what changes we can make or should make in line with that. It’s hard for us, and quite frankly we really don’t want to speculate on what the outcomes of that might be.
But trust us - we’re up to our elbows in some of that analysis as we speak, and I think at the right time as we have a better line of sight on what will take place and how it will take place, we’ll be able to provide more specific guidance to you guys and some better insights."
Steven Fisher,1,"Great, thanks. Then just as we get further into the handful of months now that we’ve been in this order downturn, can you just talk a little bit about the profile of what type of customers are ordering new trucks and which ones are now holding back? Who is actually bold enough to put the orders in for 2020 at this point?"
