speaker,q&a,content
Operator,0,"Greetings, and welcome to the New Age Beverages Corporation Third Quarter Conference Call. [Operator Instructions]. As a reminder, this conference call is being recorded.
It is now my pleasure to introduce your host, Cody Slach, with Liolios Group. Thank you. Cody, you may begin."
Cody Slach,0,"Good afternoon, and thank you for joining New Age Beverage Corporation's Third Quarter 2018 Investor Conference Call. I'm Cody Slach with Liolios, the Investor Relations counsel for New Age. I'd like to welcome you all to the call today and to thank you all for joining. On today's call, we will have Brent Willis, CEO of New Age Beverages; and Greg Gould, CFO.
I'd like to remind everyone that this call may contain certain forward-looking statements reflecting management's current expectations regarding future results of operations, economic performance, financial condition and achievements of the company. Forward-looking statements, specifically those concerning future performance, are subject to certain risks and uncertainties. The transcript of today's call will be available on the company's website within the Investors section at newagebev.com.
I'd now like to turn the call over to Greg. Greg?"
Gregory Gould,0,"Thank you, Cody. I will go to the financial results and then hand the call back over to Brent. For the three months ended September 30, 2018, the company delivered consolidated gross revenues of $15.3 million, a subsequent increase of 1% but down 9% versus prior year due to working capital constraints that affected New Age's ability to meet demand. Subtracting discounts and buybacks, at the net revenue level, the company achieved $13.2 million versus $15 million in the prior year. We believe sales were negatively impacted by approximately $5.8 million to $6.2 million due to working capital constraints, which severely constricted inventory levels and the company's ability to meet the demands of major distributors and retailers. Without the inventory impact, we estimate that revenues would have been up more than 25% versus prior year.
In gross profit, net of shipping costs, the company delivered $2.2 million for the quarter, flat sequentially and down versus $5 million in the prior year. Gross margin as a percentage of sales, excluding shipping, was 16% versus 33% in the prior year, reflective of the significant reduction in other logistic costs associated with the inventory issues. Retail pricing is the same and actually slightly higher than prior year, and cost inputs are also in line. So we believe the gross margin impact is short-term in nature and nothing fundamental has changed in our mix or pricing.
Total operating expenses for Q3 were $5.1 million, the same as Q2 2018 and up versus $4.4 million in the prior year. The increase was driven by a number of noncash items, including increased amortization on the almost $20 million of intangible assets added to the balance sheet from our acquisitions and 11 patents added during the last 2 years. It was also up due to our employee stock compensation plan, which helps us align our employees with shareholders and due to the rent expense following our sale leaseback executed last year.
Adjusted EBITDA for the quarter ending September 30, 2018, was negative $2.5 million, almost all attributed to the inventory shortfall, which affects all aspects of our operations, not just revenue, as one could see at the COGS and OpEx levels most notably.
We believe that our brands in the existing retail distribution is good and our DSD Division has always been a fundamental pillar of the company. Through the end of the year, the DSD Division is expected to achieve its 10th year of consecutive growth. And we have excellent visibility on growth in the fourth quarter now that the division is also fully replenished with inventory across both New Age and partner brands.
In October, for example, our DSD group had its highest sales month of the year and the biggest October in our history. Also, we expect to continue this trend. On the brand side, Búcha, Marley Mate, Marley Cold Brew and Xing Craft are leading growth and new distribution for the company. All new products launched within the last 9 months.
We did not lose any distribution during the last 9 months of the year, our lean period. But we did put distribution expansion on hold. We did put merchandising and racks and coolers and shippers on hold. We put the health sciences and e-Commerce divisions on hold. And much of the greater than 125,000 new points of distribution gained in Q1 and Q2 of this year were just - we were just not able to fulfill. Now that this is behind us, we see this as an excellent test of perseverance in our culture. I have seen what the company has been able to do with virtually no working capital. Now I am excited to see what we can do with cash on hand and the ability to play offense.
The company's greatest progress in the quarter was with the balance sheet, which is always an issue for smaller companies and was an issue for New Age. During the end of the third and the start of the fourth quarter, the company concluded 6 key initiatives. Number one, we entered into a new $12 million line of credit that went effective in the beginning of September. Number two, we completed a $11.8 million underwritten offering with Roth and Northland, on which major institutional investors participated and generated an annual return of almost 5,000%. We paid off in full a $4.8 million convertible loan, eliminating the risk of its potential convertible option. We eliminated 100% of the Series B notes that were inherited as part of the Coco-Libre acquisition, totaling $1.4 million, the last of New Age's debt of any form.
Number five, we opened an at-the-market, or ATM, offering that during the third quarter and the beginning of the fourth quarter generated $38 million in cash for the company. And number six, we raised $51.9 million in an underwritten offering with Roth Capital and Alliance Capital that the company actually completed this morning before today's earning call, providing the company with a total cash balance of more than $80 million to pursue transformative, organic and external growth opportunities.
As a result of these 6 key items, we increased the company's assets to north of $150 million. These major activities were all done in the past 90 days, and the majority of them were done in my first month at New Age. I have been a CFO of 6 public companies, and even I have never seen anything like it. The execution by the company, our CEO and the board on the balance sheet actions is unbelievable in an incredibly short period of time.
In summary for the quarter, tremendous progress on the balance sheet and our cash position. On the P&L, the same situation as the first 2 quarters of 2018 with a shortfall to the opportunity due to lack of inventory and working constraints. That situation is now behind us as we focus towards the fourth quarter and 2019. We now look forward to growing our core brands in existing and new distribution, expanding our CBD portfolio globally, which we believe has extremely high potential in pursuing other major strategic growth opportunities on our road map.
Now with that, I'd like to turn the call over to Brent."
Brent Willis,0,"Thank you, Greg. I appreciate all the hard work and your coming up to speed so quickly. You're already making a tremendous difference and enabling me, personally, to get back to focusing on the business and strategic opportunities. I'd like to make three points in my comments today on the quarter and our outlook. Point number one is in our core business. And my point here is that our brands are pretty good. It's been real work, recreating them all from what we inherited. But the work is paying off, and the new products within our core brands are all growing and all driving the distribution expansion for the entire portfolio.
Point two that I want to make is that in our new business and our new channels, our short-term prospects were very promising. And point three, I want to discuss some of our strategic growth opportunities that are becoming clearer and becoming more imminent, and we are focused on a few potentials that should just be fantastic and highly accretive for our shareholders.
So point one, what's the real health of our core brands? Looking back, it is very hard to get a very clear picture because of the inventory situation. Looking around, however, we have a lot of confidence in the core brands, and that confidence is supported by the increasing consumer pull-through. If our brands, our core brands, Xing, Búcha, Marley and Coco-Libre were not doing so well, we would not be getting incremental merchandising, we would not be getting incremental displays, we would not be getting the new distribution on these brands that we're getting.
And to give you some insight from the front line, I'd like to ask Michael Cunningham, our Senior Vice President of Sales to give you some insight. Mike?"
Michael Cunningham,0,"Thanks, Brent. Good afternoon, everyone. I'm happy to review the brand performance in the quarter and throughout the year but more valuable is to provide all our investors with the real insight on the health of our brands. What's going on at retail? Well, where we have been in stock, our brands are growing, all of them, from a sales point, distribution standpoint and consumer offtake. Our major merchandising initiatives, which we know has about a 450% incremental impact, were delayed in the year for financial reason and have just gone in across all Ahold Delhaize accounts on the East Coast and in Safeway on the West Coast. So this would give us a nice life heading into the close of the year.
Just to give you some insight, retailers don't keep brands on the shelves if they don't pull through or sell. In New Age's case, we keep getting new distribution. It's because the brands are pulling through. Most of our distribution we have gained has been through major regional retailers, independent, all within the traditional grocery and convenience segment. New Age does not have one national account.
With our major retailers, regional retailers, we are also taking a critical mass approach in key markets. In the beginning of the year, for example, we blanketed Boston, penetrating Stop & Shop, Shaws, Hannaford's and Market Basket. In Q2 we took on D.C. We gained penetration in Giant, Harris Teeter, Weis Markets and recently Safeway. And in Q3, New York, which is brought as an opportunity on the last call, we have since penetrated Big Y, Wegmans, Hannaford, Stop & Shop, Whole Foods, and we're rolling out the King Kullen and Wakefern as we speak. The approach gives us presence in the market, which we know supports brand preference and brand loyalty over time.
The brands performing the best are Búcha, which is leading its category in growth; Marley Mate, which is leading its segment; and Marley Cold Brew, which is also leading its segment in growth. Now that we have history of moving and selling story, we're taking these insights to other retailers. As a result, with regional retailers, we have picked up just over 10,000 new points of distribution that will be shipping in December of this year and January of next year. We have another 40,000 points shipping in March for the late March, April resets. And the minimum expectation on that new distribution from a revenue contribution standpoint is over $10 million for the company. Now we're still waiting on 2 major pharmacy chains for their decision on national distribution and 3 major big-box operators for their decision, which we expect imminently.
On the major national accounts side, we do have one confirmed already, and we are - have already started production for. And that's Albertsons Safeway, which has a little over 3,000 stores nationally. With one of our major product categories, we are now making their all-organics brand for them for first shipments before the end of the year. As a result of producing this for them, creating special formulas for them and getting distribution, we've been able to get distribution as well on two of our core brands nationally. A minimum expectation on that new distribution is, again, roughly over $10 million for the company.
So these are the kind of singles we're hitting. But they all add up. When you look at what we already know and have confirmed to our base of 2018, we know that in 2019, we won't have a fulfillment problem, which cost us around $15 million or so this year. Right now, it looks - things look like they're shaping up to be a pretty strong year on our core business in 2019.
Now I'm supposed to stop here as Brent didn't want me to do this because he didn't want to overshadow the focus on our core brands, but I have to bring this up. We need to talk about CBDs. I am personally leading the charge of all discussions on CBD for New Age. Formally or informally, every retailer wants in. Every retailer is talking with New Age Beverages. Every retailer sees this as a whole new area of growth and profit in the functional health and wellness segment. It further diversifies them away from declining carbonated soft drinks, and they see - and I've heard this over and over again, they see New Age Beverages as one of the few and probably the only supplier that responsibly meets their need and can service them with quality, consistency and the safety they're looking for.
Now just in our first discussion over the last month, we have well over commitments of more than well over 125,000 new points of distribution. And this is just on the CBD-branded product, the CBD tea, CBD water and the CBD shot before even unveiling CBD in one of our core brands. We don't know what the sales rate's going to be in the products for point of distribution because we just don't have enough history. But as we roll this out, New Age has a tremendous opportunity to be the first on a national basis and establish our foothold and the first-mover advantage.
So with that said, I will now pass it back to Brent. Thank you."
Brent Willis,0,"Thank you, Mike, and thank you for giving away our secrets on CBD. On point two are new channels and markets that I wanted to make on the call today. In '18, we had to build our foundational components. Because executionally, with the focus on our core business and existing distribution, we just had to put those new initiatives on hold for most of the year. So we focused on building the foundation of the teams and the systems and the products. But now with the financial impediments out of the way, we can accelerate execution: in Foodservice, with our partner Dot Foods; in E-Commerce with our newly created site and image within New Age overall with the company and with Amazon and other major retailers on their e-tail sites, whether it's H-E-B.com, jet.com, walmart.com, target.com or others; and we can now accelerate with the health sciences division and the internationally and select focus markets.
I'd like to ask Craig Thibodeau, who leads our International business, but he's also been bringing leadership and support to our national accounts in the United States, to share some facts about what is happening in his area of responsibility. Craig?"
Craig Thibodeau,0,"Thank you, Brent. New Age - and hi, everybody. New Age is now in 15 countries and, in the quarter, expanded our portfolio into Korea, Argentina, Chile, Peru and, most recently, Honduras. But I want to talk about Canada as a deep dive first though.
In the past 30 days, we have gained approval for further expansion in Loblaw's, our largest grocery retailer in Canada, across 3 of our other core brands. So this one-stop strategy that is unique to New Age actually works. We will now have 15 total SKUs in Loblaw's, for example, across Canada this year alone. We have penetrated every single major grocery from Loblaw's to Sobey's to METRO and even Overwaitea on the West Coast and others. We have penetrated every single convenience and gas outlet from Circle K, Couche-Tard to 7-Eleven to Shell and Parkland Fuel and many others. And now major and drug pharmacy retailers are also coming into the fold. We are now extremely well placed throughout the country with our portfolio, and now we will gain the full benefit that distribution by being fully in stock.
The other focus I want to mention is on national accounts in the U.S. that Brent has asked me to support to bring additional resources to bear on the opportunity. He is not going to ask me to do something and me not score. In the past 2 weeks, for example, I have met with the largest convenience store operator in the world and the largest overall retailer in the world.
First off, so not every company gets an audience at these levels with these retailers, not every company and, frankly, not many companies. So why is New Age getting these meetings and being asked to come in? Well, like Mike mentioned, New Age brands are the ones driving category growth. They're on trend. We are innovating. We're doing things that none of these retailers - sorry, and we're doing new things. One of these retailers even told me, and I quote, ""We are not just going to work with Coke and Pepsi in these categories or in these functional healthy beverages."" They - and I'll just omit what they said next. As a result of the meetings for New Age with these 2 new major retailers. Well, a big-box retailer for their April reset, they've committed to bring in 3 of New Age core brands, Búcha, Marley Mate and Marley Cold Brew, and are still considering a fourth. That is big news.
With the convenience retailer, we have - they have committed to bringing Marley Mate and Búcha to go in across all stores, and they've agreed to shelf our first Búcha multipack in their ambient healthy beverage set. I talked about hitting singles with regional accounts but what - and what he does is good. These retailer commitments, however, are just absolute home runs in terms of impact and are just transformative for our core brands at New Age.
I'll now turn the call back to Brent."
Brent Willis,0,"Thanks, Craig. Now all of our investors might ask how can you be so positive after, frankly, mixed results in the quarter. And the answer is we can either dwell on the fact that we didn't have any money or inventory and further analyze that we didn't have any money or inventory and analyze its impact on revenue, margin and profit for the first 9 months or we can say that slowed us down and, as Greg said, is behind us now and, in my view, way behind us, in fact, with how much we have strengthened the balance sheet that Greg discussed in his portion of the call today. And frankly, that strengthening of the balance sheet positions us well to address new opportunities.
This brings me to the last point, point three, that I want to discuss on the call today. What specifically are those new opportunities? So we briefly reviewed. Number one opportunity, continued expansion of our DSD business in both depth and breadth of product offerings and market and channel penetration. Number two, our core brands in existing retail distribution. Number three, our core brands in new retail distribution. Number four, our core brands in new channels and new markets, as Craig briefly reviewed. Number five, we also have, and can now invest in, channel expansion, including Foodservice, e-Commerce and, with our Health Sciences Division, the medical channel. We have the whole health sciences portfolio including our Enhanced Recovery After Surgery beverage that debuted at the ERAS conference just last week now positioned for launch. And on top of all of those things, we have the opportunity to be first in CBD with the launch of our CBD portfolio. And finally, we have the next steps on our road map that we've made abundantly clear to those that really know the company, what we are going to do.
So not only do we have a solid base core business. Unlike other, let's just say, Canada's positioned playing companies, we got a solid distribution, DSD Division and core brands business that, with the new accounts and new national business, that core business is looking more and more promising on a stand-alone basis. We are just now scratching the surface of the national accounts. And it's taking time, but it takes our core business to a very different level. And that's before we're even talking about the impact of Foodservice, the Health Sciences Division and the CBD portfolio expanding through that national network. So this is why we're genuinely fired up, enthusiastic, positive on all the prospects. It's for the fact we can do math and we can count what these businesses represent in terms of revenue and distribution. It is for a good and substantive reason.
In terms of other opportunities, here's the round numbers that we did on the balance sheet. We went from $90 in the bank to $90 million in 90 days. We targeted precision raises of specific amounts for specific purposes, and we believe we did so achieving the lowest cost of capital for our impending efforts. Do we believe those actions will be accretive for shareholders? Absolutely and significantly. Are they transformative for the company or just incremental? And we believe they are a step function, standard deviation change for the company.
Maybe the last question is, are they probable or are they possible? And of course, the only answer to that is they are possible. Because until they are done, signed, sealed and delivered, they are not probable or not done. But we are focused on a few key opportunities and excited about what they will do for all of our shareholders and the value creation that we think that they represent.
And with that, I'd like to open it up to questions and pass it back to the operator."
Operator,1,[Operator Instructions]. Our first question is from Anthony Vendetti with Maxim Group.
Anthony Vendetti,1,I just want to start with the breakdown between brands and DSD. What was the approximate split this quarter in terms of net revenues?
