speaker,q&a,content
Operator,0,"Welcome to the NovaBay Pharmaceuticals’ Third Quarter 2018 Conference Call. At this time all participants are in a listen-only mode. Following management's prepared remarks, we will hold a Q&A session. [Operator Instructions] As a reminder, this conference is being recorded at November 14, 2018.
I would now like to turn the conference over to Jody Cain. Please go ahead Ma’am."
Jody Cain,0,"This is Jody Cain with LHA. Thank you for participating in today's call. Joining me from NovaBay Pharmaceuticals are Jack McGovern, Interim CEO and CFO and the Jason Raleigh, Corporate Controller.
I’d like to remind listeners that comments made during this call by management will include forward-looking statements within the meaning of federal securities laws. These forward-looking statements involve risks and uncertainties that could cause actual results to be materially different from any anticipated results. For a list and description of those risks and uncertainties, please review NovaBay Pharmaceuticals' filings with the Securities and Exchange Commission.
Furthermore, the content of this conference call contains time sensitive information that is accurate only as of the date of the live broadcast, November 14, 2018. NovaBay Pharmaceutical undertakes no obligation to revise or update any statements to reflect events or circumstances, except those required by law.
Now I'd like to turn the call over to Jack McGovern. Jack?"
John McGovern,0,"Thank you, Jody. Good afternoon everyone and thank you for joining us. It's a pleasure to be addressing you for the first time in my dual role as Interim CEO and CFO. We announce leadership changes in September which were implemented to help us better utilize our resources in achieving our corporate objectives.
In addition to his role as Chairman, Mark Sieczkarek has now has more time to focus on broadening our product offering by identifying commercial and late-stage ophthalmic products to leverage our sales infrastructure.
I’m pleased to report that he continues to be actively engaged with the leadership team to drive NovaBay’s future success. In my new role I’m much more focused on driving organic growth through managing our sales organization and other initiatives on a daily basis.
I’m supported by a strong team within NovaBay and we are closely monitoring the key metrics that are critical to driving business success which gives me the intelligence and resources to oversee our commercial operations. With these changes now implemented I want to reiterate our continued expectation of returning to double-digit growth in both net sales and unit volume in 2019.
In reviewing our third quarter results, Avenova revenues and unit volume grew on a sequential quarter basis as anticipated. Some of this improvement was due to modest per-unit gains in net product revenue compared with the second quarter as more patients satisfied their 2018 health plan deductibles.
Importantly, we benefited from the improved performance from our sales organization with all 45 of our sales reps now deployed in territories we've identified as having relatively strong reimbursement profiles.
I am pleased to report that we’ve also begun to see initial contributions from the seven reps we brought on board midyear. You may recall that these new hires all had significant experience in the eye care space which has help them become productive within a short timeframe.
We plan to add another three to five reps with similar experience by the end of 2018 and to increase our sales force to 55 reps by the end of Q1, 2019. We’ve already targeted the territories where we plan to deploy these new hires.
Additionally we’ve engaged several excellent recruiting firms to help us identify professionals to fill these new positions in an expedited fashion. I would now like to introduce NovaBay’s Controller, Jason Raleigh with the expansion of my role I’ve ask Jason to review our financial results. Jason."
Jason Raleigh,0,"Thank you, Jack. Good afternoon everyone. Starting with our Q3 topline, net sales for the third quarter of 2018 were $3.1 million compared with $4.1 million in the prior year period, with the decrease primarily due to lower selling price of Avenova.
In reviewing Q3, 2018 sales by channel, Avenova sales in the retail pharmacy channel were $2.8 million or 89% of the total. Sales through our in-office direct sales channel were $348,000. Gross margin on net product revenue for the third quarter of 2018 were 89% and increase from 87% in the year ago period, with the improvement due to product mix.
In reviewing Q3 expenses by line item, sales and marketing expenses were $3.2 million, down 2% from $3.3 million for the prior year period. The decrease was due mainly to a reduction in number of sales representatives partly offset by an increase in product sampling.
G&A expense for Q3, 2018 were $1.3 million, down from $2.3 million for the prior year period. The 42% decline was due primarily to lower stock-based compensation expense along with lower professional services and consulting fees.
R&D expense for Q3, 2018 decreased to $45,000 compared with $132,000 in the year ago quarter. The operating loss for the third quarter 2018 was $1.8 million which compares favorably with an operating loss of $2.2 million for the third quarter of 2017.
The non-cash gain on the fair value of warrant liability for Q3, 2018 was $267,000, which compares with the non-cash loss of $281,000 per Q3 2017. We’ve reported a net loss for the 2018 third quarter of $1.5 million or $0.09 per share. This compares with a net loss for the 2017 third quarter of $2.4 million or $0.16 per share.
Turning to our year to-date results; net sales for the nine months ended September 30, 2018 were $8.9 million compared with $11.9 million for the nine months ended September 30, 2017.
Gross margins on net product revenue were 88% for the first nine months of 2018, up from 85% for the first nine months of 2017. The net operating loss for the first nine months of 2018 was $6.3 million, which is a 19% improvement from the $7.7 million operating loss for the comparable period in 2017.
Operating expense for the first nine months of 2018 include sales and marketing expense of $9.6 million, G&A expense of $4.3 million and R&D expense of $152,000. Non-cash gain on the fair value of warrant liability for the first nine months of 2018 was $971,000 versus a non-cash loss in the first nine months of 2017 of $501,000.
The net loss for the nine months ended September 30, 2018 was $5.3 million or $0.31 per share compared with a net loss for the nine months 2017 of $8.2 million or $0.54 per share. In reviewing our balance sheet we had cash and cash equivalents of $5.2 million as of September 30, 2018.
With that, I’ll turn the call back to Jack."
John McGovern,0,"Thanks, Jason. Given the reimbursement environment that we’ve discussed some past calls, improving net revenue for Avenova which is our top priority, to that end we are engaging specialty pharma providers as new channel partners.
This new channel allows for improved patient experiences with relatively quick time lapses between initial scriptwriting and filling that script, fast refills and home delivery while providing NovaBay with a negotiated price per prescription.
Today, we've engaged to specialty pharma providers to this new channel which includes Meds In Motion Pharmacy headquartered in Salt Lake City and iLogic Specialty Pharma headquartered in the Indianapolis area. These providers are licensed in 42 and 47 states respectively.
We expect to add at least one more provider to this new channel by the end of 2018 and we’ll be engaging in more over time. As a parallel initiative we remain dedicated to improving managed care coverage for Avenova as another tactic to increase our revenue per unit.
Additionally, we have completed a comprehensive review of our in office direct sales model in which eye care specialist resell Avenova to their patients. You may recall that we commercially launched Avenova through this channel prior to introducing the higher-margin retail pharmacy channel.
While our strategy was to transition practices in the in-office direct model to the Rx channel we have found some eye care specialists selling Avenova directly to their patients have been reluctant to change, rather than abandon this channel we have now have an in-house sales team to conduct an incoming and outbound calling strategy strictly dedicated to these prescribers.
NovaBay continues to embrace the tremendous opportunity in promoting Avenova as a proven product that addresses the large underserved conditions of blepharitis and bacterial dry eye which represents about 85% of the dry eye market.
Our challenge is to educate ophthalmologists and optometrist who have adopted a standard of care that’s inconsistent with the bacterial nature of most dry eye patients. We believe that Avenova to be the best non-antibiotic commercial product available to treat the underlying cause of blepharitis and evaporative dry eye.
Unlike traditional antibiotics Avenova is safe for chronic use because it does not give rise to bacterial resistance. We have an established base of 12,000 prescribers nationwide and we project that more than 100,000 prescriptions be written for Avenova in 2018.
With that said, we’ve only begun to address the sizable and largely untapped market that is comprised of millions of Americans who suffer from blepharitis and dry eye and who undergo ophthalmic procedures such as LASIK retinal and cataract surgeries or experience contact lens intolerance issues.
So in summary, we’ve expanded and upgraded our sales force and plan to add more reps in the coming quarters. We are better prepared to face the reset health plan that occurs each January by engaging new channel partners to support higher per unit revenue while improving the patient experience.
We have a new internal initiative to refocus on the in-office direct channel to better capitalize on this opportunity and we're looking for products that can help leverage our sales force asset.
We expect net sales in the fourth quarter to be higher than the third quarter as our new sales rep gain tenure, more patients satisfy their annual health plan deductibles and we benefit from the new channel partners.
With this successful execution on these initiatives we expect growth in the Avenova net set net sales through higher unit volume and improved net product revenue per unit. All of this supports our goal of returning to double-digit growth in 2019 with strong and sustainable growth for the future.
With that overview of our business and our plans I’d like to thank you for your attention. Operator, we’re now ready to take questions."
Operator,0,[Operator Instructions].
John McGovern,0,"While we’re waiting for the first question, I would like to introduce and welcome Pat Damberg as our new Direct of Sales reporting directly to me. This promotion recognizes the contributions Pat is made to NovaBay during his tenure as both a Sales Rep and recently as a Key Account Manager.
Pat completed his bachelor degree in behavioral and social sciences from the University of Maryland and continues doing graduate study in developmental psychology at University Notre Dame. Pat has over 30 years of experience in sales and marketing which includes 18 years in a variety of management roles.
He brings a wealth of experience to our sales department and we're excited about his new role. Pat has focused on a number of strategic sales and marketing initiatives which include improved core messaging, sales force training and development and overall efficiency and productivity.
When you have the opportunity I’d like you to join me in congratulating Pat on this new role with the company. Also we will be holding one-on-one meetings with investors and analysts during the JPMorgan Healthcare conference in San Francisco in January. The 2019 dates are January 7 through 10 and please contact LHA if you'd like to schedule a meeting.
With that, operator, we’re ready for the first question."
Operator,1,Our first question comes from Frank Brisbois with Laidlaw.
Frank Brisbois,1,"Hi, guys. Thanks for taking the questions. Just a couple of here. So, you mentioned this and I missed it. But the number of sales reps is obviously brought down in 2018, but you mentioned – can you just repeat how many you just hired and is it 55 that you expecting as of the start of 2019?"
John McGovern,1,"Sure. Just to start beginning there, Frank, and good to hear from you again. We had 19 – I’m sorry, 49 reps at the end of 2017. We let 10 of those folks go probably the first week of January. So we're down to a net sales force of 39. We brought back seven of those 10 that we let go, I think in --- I’ll call mid July 15th if you will. So we’re currently at a sales force of 45 and we’ll have another five that we’ll bring in by year end and five more by the end of Q1 of 2019."
Frank Brisbois,1,"Okay. Okay, excellent. Okay. And then in terms of the – can you explain a little more, still more color, granularity in terms of the -- how the special pharmacies could provide help here for the per unit revenue growth?"
