speaker,q&a,content
Operator,0,"Good day and welcome to the Puxin Third Quarter 2018 Earnings Conference Call. All participants will be in listen only mode. [Operator Instructions] After today’s presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note this event is being recorded.
I will now like to turn the conference over to Christian Arnell. Mr. Arnell, please go ahead."
Christian Arnell,0,"Thank you. Hello everyone and thank you for joining Puxin third quarter 2018 earnings conference call. The Company’s results were released earlier today and are available on the Company’s IR website at ir.pxjy.com and through PR Newswire services.
On the call today are Mr. Yunlong Sha, the Company’s Founder, Chairman and Chief Executive Officer; and Mr. Peng Wang, The Financial Officer. Yunlong will give a brief overview of the Company’s business operations and highlights followed by Peng who will go through the financials and guidance. They will both be available to answer your questions during the Q&A session that follows.
Before we begin, I’d like to remind you that this call may contain forward looking statements made under the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. Such statements are based on management’s current expectations and current market and operating conditions and relate to events that involve known or unknown risks, uncertainties and other factors all of which are difficult to predict and many of which are beyond the Company’s control, which may cause the Company’s actual results, performance or achievements to differ materially from those in the forward looking statements. Further information regarding these and other risks, uncertainties and factors is included in the Company’s filings with the U.S. Securities and Exchange Commission. The Company does not undertake any obligation to update any forward looking statements as a result of new information, future events or otherwise accept as required under law.
With that, I will now turn the call over to Yunlong. Yunlong will go through his prepared remarks in Chinese. I will translate for him in English. Please go ahead."
Yunlong Sha,0,Hello everyone and welcome to our third quarter earnings conference call. We delivered another quarter of solid operational and financial growth as we continue to leverage our integration expertise to consolidate China’s after-school education market and further empower our schools. Net revenues during the quarter increased 60% to approximately RMB670 million as our net loss narrowed on a year-over-year basis.
Yunlong Sha,0,"Top line growth was driven by an organic increase in student enrolments, which increased 49% to over 540,000 during the quarter and in part by revenue from Global Education which reached a historical high during the quarter, its third consecutive quarter of positive revenue growth following its acquisition in August last year. At the same time, our bottom line loss narrowed as a result of our careful control over operating expenses."
Yunlong Sha,0,"The regulatory environment continues to shift around us, creating some uncertainty, but we have weathered similar situations before. We have already begun adjusting our strategy in response and are confident that we have the experience and incorporate flexibility to continue adapting. Throughout the past nine months, the government has steadily issued a series of new regulations governing the after-school education market. The regulations strengthen regulatory supervision, heightened compliance standards and standardized operations. We support the government’s new policies and believe that enhanced regulation will create a stronger and more sustainable market environment over the long-term."
Yunlong Sha,0,"Despite making no new acquisitions during the quarter, our strong financial and operational results were driven by organic growth which demonstrates just how effective we are rapidly integrating, restructuring and building a sustainable platform for long-term growth for acquired schools. This also shows just how effective our Puxin business system is, which we use to help us analyze the school’s growth potential and formulate plans to improve their performance. Leveraging PBS, we improve operational efficiency, resource utilization efficiency as well as teaching quality, both our utilization and retention rates increased significantly during the quarter as a result."
Yunlong Sha,0,"We also continue to invest in expanding our online service offerings and product mix to diversify revenue streams and create new growth drivers. We launched a number of online products during the quarter including Puxin Youke, a blended online and offline learning system, SuperKids, an online English learning platform and HQCLASS.cn, a study of broad training websites. Staff associated with our online platforms now consists of nearly 300 people. I am confident these investments will generate value for us going forward and drive future growth."
Yunlong Sha,0,"I am pleased with the solid growth we achieved this quarter. I am confident in our strategy and believe that we are well-positioned to benefit from a well-regulated market. Leveraging our extensive experience in completing acquisitions and rapidly improving operations and management of acquired schools, we will continue to focus on increasing our market share and generating long term sustainable value for our shareholders."
Yunlong Sha,0,We announced the share purchase program this morning where senior management including myself and Peng will purchase a maximum of $10 million over the next six months with our own personal funds. This share purchase is another vote of confidence in our long-term business prospects.
Yunlong Sha,0,"With that, I would like to now turn the call over to Peng Wang, who will go over the financials. Thank you."
