speaker,q&a,content
Company Participants,0,"Melanie Hennessey - VP, Corporate Communications
Gregory Lang - President and Chief Executive Officer
David Ottewell - VP and Chief Financial Officer"
Conference Call Participants,0,"John Bridges - JPMorgan
Matt Key - B. Riley FBR"
Operator,0,"Thank you for standing by. This is the conference operator. Welcome to the NOVAGOLD Second Quarter 2019 Conference Call and Webcast. As a reminder, all participants are in listen-only mode and the conference is being recorded. After the presentation, there will be an opportunity to ask questions. [Operator Instructions]
I would now like to turn the conference over to Melanie Hennessey, Vice President, Corporate Communications. Please go ahead."
Melanie Hennessey,0,"Thank you, Sava. Good morning everyone. We are pleased that you have joined us for NOVAGOLD’s second quarter financial results and for also an update on the Donlin Gold project. On today’s call, we have Greg Lang, NOVAGOLD’s President and CEO; and David Ottewell, the company’s Vice President and CFO. Just a reminder that at the end of the webcast, we will take questions both by phone and by email. 
Before we get started, I would like to remind our listeners that any statements made today may contain forward-looking information and projections and goals, which are likely to involve risks detailed in our various EDGAR and SEDAR filings and also forward-looking disclaimers that are included in this presentation.
With that, I have the pleasure of introducing Greg Lang, NOVAGOLD’s President and CEO. Greg?"
Gregory Lang,0,"Thank you, Melanie, and good morning, everyone. Our 50% owned, federally permitted Donlin Gold project is up in Alaska, the second largest gold producing state in the U.S. We are located due west of Anchorage Alaska as shown on slide 4.
On slide 5, we highlight some of the activities that are underway at the Donlin Gold project. Alaska’s Division of Mining, Land and Water issued preliminary land use decisions authorizing facilities associated with the project’s transportation corridor. Alaska’s Division of Oil and Gas, State Pipeline Coordinator’s Section issued a decision to authorize sections of the gas pipeline on State lands. 
These activities are needed for the pipeline right of way. Public comments for these permits closed in March and final approvals are anticipated by year end. 
With permitting well in hands, we are shifting some of our focus on furthering our geological understanding and integrating scoping level optimization work into a study that will ultimately become the basis for an updated project development plan. 
In addition to the ongoing permitting activities, in the second quarter we initiated safety training and reopened the camp at Donlin for the geotechnical program required for the approval for the Alaska Dam Safety Certificates for the tailings storage facility and water retention dams. It’s great to see people from the region coming back to work at Donlin Gold.
Slide 6 provides a high level summary of the extensive work the team has accomplished year-to-date. We continue to advance and derisk Donlin Gold staying true to our original strategy laid out years ago. We will continue to receive more state permits throughout the year and we’ll keep you updated as they come through. 
In the second quarter, we also participated in numerous community activities including the removal of 35,000 pounds of hazardous waste from eight village landfills. We also supported the 2019 Iditarod Trail Sled Dog Race which was run by a local resident Pete Kaiser, whom Donlin Gold has sponsored for many years. 
In addition, we participated in the Alaska Academic Decathlon in Aniak, a non-profit event benefiting 140 youth in the project’s region. We believe that NOVAGOLD and Donlin’s community engagement active catalysts for sustainable improvements in the quality of life for many affected by poverty and lack of opportunities for young people. 
It is one of our core responsibilities to engage and support locally for the benefit of all of our stakeholders. 
And with that, I will turn the call over to our Chief Financial Officer, David Ottewell. Dave?"
David Ottewell ,0,"Thank you, Greg. Slide 8 highlights our operating performance. For the second quarter, we reported a $5.5 million net loss, $4.1 million lower than the prior year. The net loss decreased primarily due to lower share-based compensation costs, lower permitting costs at Donlin Gold, increased interest income, accretion of notes receivable, and foreign exchange gains, partially offset by higher interest expense on the promissory note payable to Barrick.
NOVAGOLD's cash flow highlights are outlined on Slide 9. In the second quarter we spent $4.8 million, $1.6 million lower than the prior year quarter. Total spending decreased primarily due to lower permitting costs at Donlin Gold, interest income on term deposits, and the sale of Galore Creek in July 2018. We ended the quarter with $157 million in cash and term deposits.
In 2019, we continue to expect to spend a total of $24 million, including $13 million for our share of Donlin Gold, and $11 million for corporate, general and administrative costs. At Donlin Gold, 2019 spending is expected to increase in the second half of the year with the commencement of field work and detailed engineering to support the application for Alaska Dam Safety Certificates.
As a result of our sale of Galore Creek last year, we have $100 million in notes receivable, with an additional $75 million contingent on the Galore Creek construction decision.
Greg?"
Gregory Lang,0,"Thank you, Dave. As you can see from Slide 11 with Donlin Gold’s successful completion of the federal permitting and the advancement of its states permitting, we are now preparing for the next stage of development. This has only occurred because of the strong foundation we have in place. The Donlin Gold project has many significant attributes that set it apart from other gold projects and makes Donlin Gold the right development opportunity for today and for the future. 
I will address each of the attribute in the coming slides. On Slide 12, we compare Donlin Gold’s almost 40 million ounces in resources to the other 16 development state gold projects in the industry. If you look at the peer group average, Donlin is better than twice the size of the nearest comparables and more than five-folds bigger than the average of all of these projects. 
When we look at Slide 13, we see another key attribute of the Donlin Gold project. The grid which looks better and better as the global average continues to decrease. At 2.25 grams, we are double the industry average. Given the continued decline in grades and gold reserves on a global scale, we are confident that the demand for projects like Donlin will become more urgent. 
The Donlin Gold project has longevity. In its first five years we have produced 1.5 million ounces a year followed by a mine life of almost three decades at 1 million ounces a year. As shown on Slide 14, there are few existing or proposed mines with least level about 0.3. 
The Donlin Gold peer group comprised of development stage open pit gold deposits highlight the unique nature of our project. It was built today, Donlin would be the largest gold mine in the industry. Donlin will be a big mine and on Slide 15, what is highlighted is the scarcity and the scale of the project globally when compared to the top-10 largest producing mines in the world today. 
Only six of these mines are expected to produce 1 million ounces a year in 2019 and many of these scale deposits have been mined for a long time and are rapidly being depleted. Some of the mines are in jurisdictions that have many challenges that are not part of the equation up in Alaska. 
The supply/demand fundamentals for gold are compelling today. Slide 16 depicts the challenges of finding new gold deposits as shown by the blue bars and in recent years you have noticed that gold is getting harder to find despite increased exploration spending. Current gold production has been estimated to decrease by almost 50% from current levels in the coming years. 
When the value of gold moved up, exploration spending also increased. But in spite of this, there has been no new discoveries of any scale. The major gold producers are rapidly depleting their reserves and these are not being replaced by new discoveries. 
On top of this, it is now common for a project to take 20 years to go from discovery to production. These market fundamentals put NOVAGOLD in a great position as gold has resumed its upward trend. 
The Donlin Gold deposit is already very well defined. We understand the mineralization, the geology and the grade. As shown on Slide 17, we have roughly 1400 drill holes in this deposit, over 90% of them core. While the Donlin Gold deposit is well known, there are future opportunities for additional drilling and expansion of the resource. 
There is substantial exploration potential along the eight kilometer trends that has been indicated by past drillings as shown on Slide 18. The ACMA and Lewis deposits, which are shown in the blue area, contain the 39 million ounce resource and occupy less than half of the trend. When the time is right, we will renew exploration drilling.
This bar chart depicts what NOVAGOLD is all about as an investment opportunity. Through a capital ownership in Donlin, the company offers exceptional leverage in a rising gold price environment as shown on Slide 19. 
We have a project with modest rates of returns that increase substantially as gold prices rise. This mine will be built in the right market, in the right price environments. As shown on this slide, prices increase, the returns from this project are robust. 
Another key attribute of the project is being located in Alaska with a compelling land tenure as shown on Slide 20. Our property is rare. It is located on private land owned by two Alaska native corporations, Calista owns the mineral estate and TKC owns the surface rights.
We have life of mine agreements with both partners, who have been deeply involved and supportive from the start. This land was set aside for mining-related activities and transferred to native corporations for their economic self-determination and this is an area that has little economic opportunity. 
The native groups have an owners’ interest in seeing this project go forward. We are thankful for Calista and TKC’s long-term support, and commitment to Donlin Gold and their contribution to our continued success.
Alaska is the second largest gold producing state after Nevada. It offers jurisdictional stability and is very open to new, responsible resource developments. As highlighted on Slide 21, a safe geopolitical jurisdiction sets the Donlin Gold project apart in its peer group. 
Predictable loss and stable government systems are essential considering the complications facing the industry. While we have been working through the state permitting process and have completed the federal permitting process, the timeline for development as shown on Slide 22 is now directly within the project owner’s control. 
We have shifted some of our focus to integrating scoping level optimization works into a steady plan that should serve as a basis for an updated development plan. At NOVAGOLD, we have been working with our partner, Barrick to conduct extensive field programs collecting additional geotechnical information to advance the engineering of the tailing staff.
More than 50% of our shares are held by our top seven shareholders as shown on Slide 23 and many of you are on the call today and we thank you. We are grateful for your continued support and your detailed understanding of NOVAGOLD’s strategy with respect to Donlin Gold. 
We take an active role in following through on our commitments to our community partners through local community outreach. As shown on Slide 24, we implement our social responsibilities and other programs in a number of important areas on an ongoing basis. 
With some recent examples that include helping the villages in the region, supporting their youth in their educational pursuits, promoting the health and safety of our people onsite and throughout the region. 
We also recognize the importance of preserving traditional lifestyles, while bringing tangible, long-lasting benefits to our community partners. We are all through one extent to the other fully vested in Donlin Gold becoming an integrated and contributing part of that community. 
With federal permits in hand, and state permitting progressing, the Donlin project is being further derisked and brought up to value chain. 
To conclude, with a strong balance sheet of $157 million in cash, a unique asset and safe jurisdiction, the right partnerships and people to take this project forward, I have no doubt that Donlin has the potential to become one of the most sought after pure play gold assets in the world. We are in an exceptional position to create value for our shareholders. 
Thank you for your continued support. Operator, we can now open the line for questions."
Operator,1,Certainly. We will now begin the question-and-answer session. [Operator Instructions] Our first question comes from John Bridges with JPMorgan. Please go ahead. 
John Bridges,1,"Thanks. Morning, Greg, everybody. As you mentioned in your report of the ongoing work with your partner, I just wondered if there is any news on the scoping study and where you were with that process. And maybe any news with respect to your partners’ attitude towards the project? "
Gregory Lang,1,"All right. Well, good morning, John. I’ll try and break that into pieces. Yes, we continue to work with the new technical team at Barrick, just reviewing all of the work that’s been done on Donlin and this is, as you might guess, there is a lot of work over many decades. So, this is a very in-depth review that they are conducting. 
We are continuing to work our way through that and we are also entering in discussions on what the work program could look like for next year. So I would describe our partner is certainly very engaged and very interested in the project and the work that’s been done today. "
