speaker,q&a,content
Operator,0,"Greetings, and welcome to the Nine Energy Service First Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. A question-and-answer session will follow the formal presentation. [Operator Instructions]. As a reminder, this conference is being recorded.
I would now like to turn the conference over to your host, Heather Schmidt. Thank you. You may begin."
Heather Schmidt,0,"Thank you. Good morning everyone and welcome to the Nine Energy Service earnings conference call to discuss our results for the first quarter of 2018. With me today are Ann Fox, President and Chief Executive Officer; and Clinton Roeder, Chief Financial Officer. We appreciate your participation.
Some of our comments today may include forward-looking statements reflecting Nine’s views about future events. Forward-looking statements are subject to a number of risks and uncertainties, many of which are beyond our control. These risks and uncertainties can cause actual results to differ materially from our current expectations. We advise listeners to view our earnings release and the risk factors discussed in our filings with the SEC. We undertake no obligation to revise or update publicly any forward-looking statements for any reasons.
Our comments today also include non-GAAP financial measures, additional details and a reconciliation of the most directly comparable GAAP financial measures are also included in our first quarter press release and can be found in the Investor Relations section of our Web site.
I will now turn the call over to Ann Fox."
Ann Fox,0,"Thanks, Heather. Good morning, everyone. Thank you for joining us today to discuss our first quarter results for 2018. We had another strong quarter of growth, exceeding the midpoint of management’s revenue guidance by approximately 4% and the midpoint of adjusted EBITDA guidance by approximately 5%. This was due in large part to the strong financial and operational performance in Completion Solutions.
Company revenue for the quarter was 173.8 million, a 13% increase over Q4 2017 and adjusted EBITDA was 24.1 million, an increase of 29% over Q4 2017. Incremental adjusted EBITDA margins for the company were 28% and incremental adjusted gross profit margins in our Completion Solutions segment were 37%.
We were also very pleased to see strong cash flow generation from operations of 17.3 million for the quarter, despite an increase in working capital in conjunction with double digit revenue growth. This puts our free cash flow yield at approximately 7% for the quarter. As we continue to strategically increase price utilization, we expect our cash flow generation to continue to increase throughout the year.
We also saw an improvement in ROIC which was 3% for the quarter. While still not at 2014 levels of 16%, we like how this is trending and we remain on track to hit our 2018 target of 8%. During the quarter, we grew revenue across all of our Completion Solutions service lines.
Without adding any additional equipment during the quarter, we increased revenue in the Completion Solutions segment by 15%. We think this is a positive indicator of not only the secular trends that directly benefit Nine, but also our ability to gain market share and work for the most efficient operators across all North American basins.
For example, our wireline group completed approximately 11% more stages this quarter than last and completion tools stages increased by over 23%. On the cementing side, we increased our market share this quarter in the Eagle Ford by 7 points, all of this despite U.S. rig count increasing by approximately 7%.
This industry continued to see supply chain constraints in Q1 with labor remaining the largest challenge for Nine. During Q1, we increased our headcount by approximately 7% and averaged approximately 12.2 stages per employee per month. This is more than double the average stages per employee per month for 2014 and an increase of approximately 19% over Q4.
These efficiencies are driven in large part by the significant increase in completion tools stages and wireline efficiencies from working on multi-well pads for the most adept operators. The majority of these new employees came in to allow us to increase utilization within our existing equipment and we have already begun sourcing new employees to fuel our CapEx, the majority of which will come on line in the second half of the year.
Again, Nine has been purposeful in putting a conservative CapEx plan in place to order to manage the labor constraints and ensure we are able to continue to field the best crews for our customers. Lastly, we remain focused on sourcing and commercializing new technology through our three-pronged strategy. This includes internal development, IP acquisitions and exclusive strategic alliances with technology partners.
Our Scorpion Plug sales have increased every quarter since the acquisition in Q3 2015 with both our composite and extended range plugs. We are also working on the next generation of these technologies, including dissolvable options. We have had a number of additional field trials and still plan to provide an update in Q3 on the potential commercialization of the EON sleeve system and casing flotation tools.
With that, I would like to turn the call over to Clinton to walk through segment and other detailed financial information."
Clinton Roeder,0,"Thank you, Ann. In our Completion Solutions segment, first quarter 2018 revenue totaled 154.6 million, an increase of 15% compared to fourth quarter 2017 revenue of 134.7 million. First quarter 2018 adjusted gross profit was 33.2 million, an increase of 29% compared to Q4 2017 of 25.8 million. The revenue increase was driven in large part by significant activity gains in cementing, wireline and completion tools as well as price increases within wireline.
During the first quarter of 2018, we completed 933 cementing jobs, an increase of approximately 18% over the fourth quarter of 2017. The average blended revenue per job is down slightly from Q4 due to job mix during the first quarter. Cement revenue for the quarter increased by approximately 13%.
During the first quarter of 2018, we completed 8,126 wireline stages, an increase of approximately 11% versus the fourth quarter of 2017. The average blended revenue per stage increased by approximately 16% over Q4. Wireline revenue for the quarter increased by approximately 29%. For completion tools, we completed 12,515 stages, an increase of approximately 23% versus the fourth quarter of 2017. Completion tool revenue increased by approximately 25%.
During the first quarter of 2018, our coil tubing days were decreased by approximately 2% over Q4. The average blended day rate for Q1 increased by approximately 3% over Q4. Coil tubing utilization during the first quarter was 79% which was flat quarter-over-quarter. Coil tubing revenue increased by approximately 1%.
In our Production Solutions segment, first quarter 2018 revenue totaled 19.2 million, a decrease of approximately 2% compared to fourth quarter 2017 revenue of 19.6 million. Adjusted gross profit for the first quarter of 2018 was 2.4 million compared to fourth quarter 2017 adjusted gross profit of 2.9 million.
During the first quarter, well services had utilization of 62% which was flat versus Q4. Total rig average for the quarter was 46,297, a decrease of approximately 1% versus Q4 2017. Average revenue per rig hour during the first quarter was $414, which was flat over Q4. The decrease in revenue for well services was driven by activity decline [indiscernible] weather as well as Wyoming due to decline in operator activity and weather.
During the first quarter of 2018, the company reported net income of 1.7 million or $0.08 per diluted share compared to a net loss of 29.8 million or $1.89 per diluted share in the fourth quarter of 2017.
The company reported selling, general and administrative expenses of 15.4 million compared to 11.9 million for the fourth quarter of 2017. This increase was largely due to stock-based compensation and reevaluation of the Scorpion liability and loss.
During the first quarter, the company reported net cash provided by operating activities of 17.3 million compared to 1.9 million in Q4. Total capital expenditures were 6.5 million, of which approximately 45% was maintenance CapEx. This compares to 15.2 million from Q4 2017. As a reminder, the majority of Nine’s 2018 capital expenditures will be incurred in the second half of the year.
As of March 31, 2018, Nine’s cash and cash equivalents totaled 72.9 million with our revolver capacity of 49.4 million, Nine’s total liquidity position is 122.3 million. Our DSO also decreased from 60 days in Q4 to 57 days in Q1.
During the first quarter of 2018, the company’s effective tax rate was 5%. The effective income tax rate was primarily attributable to changes in pre-tax book income and valuation allowance positions as well as tax liability in states where income is expected to exceed available net operating losses.
I will now turn it back to Ann to discuss Q2."
Ann Fox,0,"Thank you, Clinton. As we look ahead to Q2, we anticipate the sixth sequential quarter of growth both on top line revenue and adjusted EBITDA. We expect total revenue between 185 million and 195 million and consolidated adjusted EBITDA between 27 million and 29 million.
Completion Solutions will continue to be the driver of growth for the company. We feel our geographic footprint and portfolio mix coupled with a favorable macro environment position us to capitalize on a continued increase in activity and completion intensity in North American shale.
We expect our differentiated technology and service offerings to allow us to continue to increase utilization and strategically discuss pricing with our customers. Full year CapEx guidance remains unchanged and we still anticipate to live within cash flows and be cash flow positive for 2018.
We are on track to hit our 2018 ROIC target of 8%. I want to remind everyone that ROIC is one of the largest metrics used for bonus targets for executive compensation and is the single most important measure of the business when deciding where to deploy capital and evaluating potential M&A opportunities, both of which are an important part of Nine’s growth strategy moving forward.
I will continue to reiterate that the entire management team is focused on being good stewards of our investors’ capital.
We will now open up the call to Q&A."
Operator,1,"Thank you. At this time, we will be conducting a question-and-answer session. [Operator Instructions]. Our first question is from Sean Meakim from JPMorgan. Please go ahead."
Sean Meakim,1,Thank you. Good morning.
Ann Fox,1,"Good morning, Sean."
Sean Meakim,1,"So, Ann, we’re about halfway through the second quarter here. Just curious, within your Completions portfolio, which product or service lines would you say carry the most operating momentum as we exit the second quarter and move into the back half, particularly given the incremental assets you plan to deploy more back half weighted, just curious where you see the most potential there?"
Ann Fox,1,"Sure. Great question. So when you look at Q2, as you mentioned, most of our capital will be coming on in Q3 and Q4, most of our capital equipment. So for Q2, we think the most operating momentum is going to come out of first our completion tools division and then very closely followed by our wireline and then cement. So very big pickup there in those two lines is what we’re seeing with again the increased activity out there. So lots of room to grow even within the existing platform even before we put new equipment on."
