speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen. Welcome to Noah Holdings Limited Third Quarter 2018 Financial Results Conference Call. At this time, all participants are in listen-only mode. [Operator Instructions] As a reminder, this conference is being recorded. 
After the close of the US market on Monday, Noah issued a press release announcing its third quarter 2018 financial results, which is available on the company's IR website at www.ir.noahgroup.com. This call also being webcast live and will be available for replay purposes on the company's website.
I would like to call your attention to the Safe Harbor statements in connection with today's call. The company will make forward-looking statements including those with respect to expected future operating results and expansion of its business. Please refer to the risk factors inherent in the company's business and that have been filed with the SEC. Actual results may be materially different from any forward-looking statements the company makes today. 
Noah Holdings Limited does not undertake any obligation to update any forward-looking statement as a result of new information, future events or otherwise except as required under the applicable law. The results announced today are unaudited and subject to adjustments in connection with the completion of the company's audit.
Additionally, certain non-GAAP measures will be used in our financial discussion. A reconciliation of GAAP and non-GAAP financial results can be found in the earnings press release posted on the company's website.
With that, I would now like to hand the call over to Kenny Lam, Noah's Group President."
Kenny Lam,0,"Thank you, operator. I want to welcome everyone to our earnings conference call today. In addition to myself, Ms. Wang Jingbo, Chairlady and CEO of Noah; and our CFO, Shang will also be participating in our call. For today's agenda, I will first briefly summarize Noah's overall performance for the first three quarters of 2018 as well as the development of our core wealth management and asset management businesses. Chairlady Wang will then provide her current views on the overall market, regulatory environment and our product strategies. Our CFO, Shang will then follow with a detailed discussion of Noah’s third quarter financial performance. We will conclude the call with a questions-and-answer session.
As we entered into the second half of 2018, market sentiments remained volatile. In these trade disputes, stringent financial regulatory reforms and de-leveraging, investment appetite has been substantially reduced. Despite some clear policy signals, including tax cuts and encouragement of private enterprise development and continued open door policies, market confidence is still very fragile. During this transitional period, many Chinese companies are undergoing brutal [ph] test on the market. This is true also for China's wealth and asset management industries. As a leading firm, Noah continues to focus on providing high quality services and creating value for our clients, while improving our risk management and other core competencies, maintaining sustainable growth and preparing for challenges we might face.
In the first three quarters of 2018, the company's business grew steadily and performed well across the board. In the third quarter, non-GAAP net income attributable to our shareholders was up 41% year-on-year to RMB294 million and up 19% year-on-year to RMB802 million for the first three quarters of 2018. The group's net revenues for the first three quarters was RMB2.5 billion, up 17% year-over-year. In the wealth management segment, we raised 85 billion in financial products for the first three quarters, while the transaction value for the third quarter was up 19% year-over-year. We are very pleased to have achieved such financial performance in the challenging environment.
In the wealth management business, demand for professional wealth management services in China is still strong. Recruiting suitable talent and fostering steady development are particularly important during this period. As of the end of the third quarter 2018, our frontline cover 83 cities across the country and the number of relationship managers increased 21% year-over-year to 1,559. In order to grow with our clients and further enhance our ability to provide comprehensive services to them, Noah continues to host in-depth investor education events in 2018. Since the beginning of this year, we've held hundreds of events, such as Noah company visit, small investment sessions and in-depth one-on-one client meetings. 
For ultra high net worth clients, we provide more customized services and activities such as closed sessions with senior management, tailored trust planning services and private events for our Black Card clients. Through a detailed analysis of client profiles, our relationship with Black Card clients could truly be driven by company enhancement services rather than pure financial product sales. For existing clients, we have focused heavily on the improvement of post investment services. Periodic fund performance reports have been comprehensively systemized and templated and are now more concise and easier for clients to read and retrieve online. Fund updates and other information can now be communicated with clients via voice through our app for relationship managers, adding an enhanced human touch. 
We further integrated our client service resources into a new client operation center in 2018. In addition to the existing client service hotline, we added AI-supported customer service assistance and also actively reach out to existing clients to better understand their needs. During the past five months, the client operations center has hosted 59 OP conferences for both Gopher and externally managed funds. We believe that these initiatives will help our relationship managers provide more professional post investment services to the clients in a planned and organized manner. 
Furthermore, the research work of the revamped Noah research team has become a lot more systematic and professional. In the first three quarters, our research team have both provided 165 training sessions for our frontline professionals, covering 42 fund managers in different asset classes. They've also published 422 internal and external research reports and conducted 83 interviews with domestic and international media. A substantial number of media and online platforms have cited our research results and the brand reputation and market influence of Noah Research have been firmly established. Active users of the Noah research online channel has increased by more than 5-fold in the last 6 months.
Our asset management business is also growing healthily in 2018. As of the end of third quarter, Gopher total assets under management reached RMB164.1 billion, increasing 15% year-over-year. Breaking down by asset classes, the AUM of our private equity investments increased by 19% year-over-year to reach RMB96.9 billion, accounting for 59% of the total assets under management. The AUM of our credit, real estate, secondary market equity and discretionary management respectively accounted for 25%, 10%, 3% and 3% of our total assets under management. 
With the demand of China's high net worth clients becoming more specialized and institutionalized, Gopher continues to enhance its investment capabilities, both in breadth and depth. The demand from institutional investors has also been rising along the development of the Chinese asset management industry. Gopher recently won the bid as the manager of an RMB1 billion fund invested by the government [indiscernible]. It is an important recognition of our fund management experience.
As the leading alternative asset manager in the industry, Gopher has established standardized process for online operations, covering the entire process of fundraising and investment management redemption. Gopher has comprehensively sorted and integrated its investment management system. Through a visualized display interface, the system can display paramedic views of our historic investment database, including dozens of our fund of funds, hundreds of our investing funds and thousands of portfolio companies. We are also striving to fully explore the value of data resources. These initiatives to further integrate resources of capital, technology, operation and back office support will provide a strong foundation for Gopher’s growth.
For our overseas business, in 2018, as high net worth clients become more active in global asset allocation, Noah’s globalization strategy continues to move forward steadily. Our offices in Hong Kong, the US, Canada, Australia and Singapore are providing more diversified product and service offerings for clients. As of the end of the third quarter, Gopher’s overseas assets under management reached RMB23.7 billion, increasing 20% on a yearly basis. As we continue to expand our global business, we are also attracting overseas investors who are interested in China. At the end of October, the China, Australia family office alliance was created. In this alliance, Noah joins hands with six of the Australia's top family offices to open up investment opportunities for family offices in the two countries and brings more cooperation opportunities, experienced sharing and wealth management and estate planning.
Lastly, I would like to share some of the group's progress in technology and operations. Recently, our intelligent customer service robots have been launched on our official website, which have public account and Noah online app. Questions and issues in eight major categories, including the group's introduction, products and services and daily conversations can all be resolved by AI. As of the end of September, intelligent robots have answered nearly 6000 customer questions. Our one stop Noah account system has been continuously improved, audio and visual recording of client order information, contract signing and product status updates have all been launched online and product information can now be delivered to customers more timely and accurately. We believe that embracing technology will further help Noah’s client service capabilities.
2018 is a year of change. It puts higher demand on our company's operations, management and risk control. But this is not the first time that Noah has faced harsh market conditions. We believe that the short-term market fluctuations caused by external sentiments actually give rise to more opportunities and long-term returns. We will continue to adhere to a strategy of building our core competency, maintaining compliance and stable management and focusing our own growth in an uncertain market environment.
With that, I will now turn the call to Noah’s Chairlady and CEO, Ms. Wang Jingbo. She will speak in Chinese and her remarks will be followed by English translation."
Jingbo Wang,0,"[Foreign Language] Thank you, Kenny. In the third quarter of 2018, from a macro perspective, the market sentiment in China reached a new low point. The impact of domestic leveraging exceeded expectations. The downward pressure on China's economy increased and A share index continued to sink. Moreover, the Sino US trade war was in the stalemate and the market generally believed that we would need to prepare for the long haul. That being said, from a micro perspective, on the enterprise operations, Noah’s senior management team has already completed the adjustments to both business strategy and their old mentality. 
We believe that macro pressure is a reality of the market that we must face and tackle. It is at the micro level of operations where we can take actions and make a difference. Thanks to the experience gained through our past track record with conservative approach coupled with our respect to the market, such a critical point in 2018 is not daunting to us. We believe that as long as Noah can maintain our strategic strengths, the opportunities actually outweigh challenges. We still strongly believe that both wealth management and asset management are emerging industries in China. The implementation of the new asset management regulations and the recent exposures of risks will clear out the lower quality participants in the market and provide real life education for investors. 
The correct concepts of long-term investing and asset allocation are being accepted by more and more clients. All these are beneficial to the long-term development of the industry. From our growth data in the third quarter, we can see that increased comprehensive services coupled with global asset allocation for high net worth clients as well as the combination of wealth management and asset management and business model has reduced the impact of industry cycle volatility and allow a company to develop in a healthier and steadier manner.
[Foreign Language] With the current risk exposure in the market, the demand from clients for asset allocation services has increased significantly. For our ultra high net worth clients, the demand for comprehensive services is even more prominent. Insurance products, trust planning services and other low correlation assets were strong in demand and Noah’s revenues from such products and services increased by 197% year-over-year in the third quarter. Noah’s core strategy this year is to continuously upgrade our core customer service system, providing high quality services to Black Card and family office clients. 
As of the end of the third quarter, we had more than 700 Black Card clients whose total assets with Noah have exceeded RMB60 billion. Gopher’s family office services have also been recognized by many ultra high net worth clients. In the first three quarters of 2018, the AUM of Gopher’s discretionary and family office investments grew by 50% from the end of last year. We believe that this sector will become a new driver for Noah’s future growth. Of course, it will also put higher pressure and demand for our comprehensive service capabilities. During the third quarter of 2018, in the primary market, the fund raising side remained sluggish, while the investment side gradually improved. 
Bubbles and risk levels have been reduced, both in terms of valuation and company quality. Some projects that Gopher had invested in during the past few years have begun to seek overseas listings and we're confident that this will help us to provide increasing performance based income to our clients and shareholders in the future. Although the scale of PE fund raising for Noah kept declining in the third quarter, Gopher’s assets under management in private equity still maintained a year-over-year growth of nearly 20% to reach RMB96.9 billion, accounting for 59% of the total AUM. 
We have learned from past experience that often during periods, when fundraising is difficult, it is the best time to invest. Our strategy remains to work closely with leading fund managers to keep a number of funds offered stable and to take small, but consistent steps to continue moving forward. In the third quarter, we raised capital for and invested in the new funds from [indiscernible] and several other top fund managers in China. At the same time, we strengthened cooperation in co-investment and direct investments with leading fund managers. Gopher’s direct investment capabilities and its team construction have always been a major direction of our efforts. The strategy of second refund is also a [Technical Difficulty] as the demand from institutional clients has been obviously increasing.
[Foreign Language] In the terms of real estate funds, we have optimized our investment strategy and risk management process. Strategy wise, we continue to promote preferred shares portfolio funds and co and value added acquisition fund, focusing on equity investment and cooperating with core real estate developers. At the end of the third quarter of 2018, the AUM of Gopher’s real estate investment has increased by 43% year-over-year to RMB16.6 billion. At the same time, several new real estate funds have finished filing and are either being or will be launched. Gopher’s real estate asset acquisition team has also been actively working with the goal to acquire core properties in core cities during the economic downturn. 
Our real estate operations team has been gaining valuable experience in terms of property operations. It is also worth mentioning that the US real estate fund managed by Gopher’s New York real estate team has also been officially launched and completed the investment in its first project. As of the end of the third quarter, most of the real estate funds managed by Gopher were equity investment funds and property holding funds. On the secondary market products fund, affected by the market downturn, the scale of funds raised in the third quarter decreased significantly to around RMB1.5 billion. That being said, we believe that the current market valuation is in the reasonable investment range, increasing allocation in outperforming fund manager should be the core strategy now. 
Recently, we have launched a value investment fund with a free year lockup period and that has already garnered recognition from high net worth clients. In terms of Gopher secondary market fund performance, Gopher’s quantitative strategy and market neutral strategy fund to funds performance is eye-catching in this market, both generating more than 5% in positive returns since the beginning of the year. Gopher’s flagship fund of fund and MOM funds have also significantly outperformed the CSI 300 index by 12 and 7 percentage points respectively in the first three quarters. 
We're well aware that fixed income funds and interest bearing assets remain in high demand from high net worth clients. Since 2015, Noah has actively promoted portfolio investment and net asset value management for fixed income funds. We have adhered to the diversification of underlying assets and selective engagement with quality counter parties, online market leading licensees and enhancement of risk management with our proprietary risk control system. These measures together with other long term inputs have enabled us to maintain a sound level of asset quality and risk control amid a somewhat chaotic 2018 for the greater market. In the third quarter, the fundraising volume for Noah’s fixed income products reached RMB22.8 billion, accounting for 81% of our transaction value.
[Foreign Language] Lastly, I would like to briefly talk about a review on recent regulatory actions and our macro economy. The new asset management guidelines is navigating the domestic industry development to correct supervisory deficiencies, manage market irregularities and prevent systemic risks. High leverage is indeed a Sword of Damocles hanging over the Chinese economy and de-leveraging is very much necessary. However, the de-leveraging process needs to be carried out gradually and strategically to prevent further harm to the Chinese economy in the future. 
Clearing out lower quality industry participants and establishing a new market order are necessary for the long-term healthy development of the asset management industry as well as for the country as a whole. Although current economic conditions are weak for enterprises, it is not necessarily bad. This could also be a rare opportunity for us to reexamine our strategy, talent pool and resources as well as to cut unnecessary costs, optimize our business model and grow into a healthier enterprise. Now we are indeed facing such an opportunity, as the market demands us to build new capabilities to continuously improve and to convert the growing pains into the driving force for further development. 
As [indiscernible] once said, the growth of bamboo can be used as a metaphor for the development of a corporate enterprise. When the economy is booming, the enterprise just like a bamboo often grows rapidly with outperforming notes, thus eventually becoming weak and fragile. Bamboo only forms nodes that give its structural strength during times of less favorable conditions. Likewise, it is only when an enterprise experiences and overcomes various difficulties that it develops the foundational strength of its structure to enhance its overall corporate competitiveness and resilience. We believe this also applies to our industry and the country as a whole. Noah wealth management was formed in 2003 and Noah Holdings was publicly listed in 2010. 
Today, we stand as an enterprise with a 15-year operating history. Over the past 15 years, we have experienced four economic cycles and suffered from various risks such as investment fraud, industry cycle adjustment errors and credit defaults. This year, we have also witnessed some of the most accomplished successful entrepreneurs being closed out of position of stock pledge and losing all their shares in the company. This has left an indelible impression on us. For Noah, our senior management team has always been absolutely transparent in all communications and facing both ourselves and the market honestly. Although we strive to understand risks without experiencing risk, we believe that every mistake we made, if we learn from it, can make us stronger and wiser over time. With the passage of time and our ongoing maturity, our fear, awe and appreciation of common sense and respect for the power of the market are all only getting stronger. We strive to become a friend of time. That is our expectation.
[Foreign Language] Thank you. Now, I would turn the call over to our CFO, Shang to review our financial results."
Shang Yan Chuang,0,"Thank you, chairlady and hello, everyone. As Kenny and chairlady Wang both noted, we are satisfied with our financial results for the third quarter of 2018 and we are on track to deliver a solid result for the full year amidst the volatile environment this year. Net revenues for the third quarter of 2018 were RMB839 million, an increase of 22.6% year-over-year and non-GAAP attributable net income in the same period was RMB293.9 million, up 40.5% year-over-year. By revenue contribution, we achieved one-time commissions in the amount of RMB232.6 million compared with RMB213.1 million in the same quarter last year, up 9.2% year-over-year as we continue to engage with our clients through diversified product and service offerings. 
Total transaction value of financial products we distributed during the quarter was RMB28 billion, an increase of 18.9% from the year ago. Our effective one-time commission rate for the third quarter was down year-over-year due to changes in product mix and slightly increased quarter-over-quarter. Recurring service fees in the third quarter of 2018 were RMB478.6 million, up 39% from the same period last year, contributing to 56.7% of revenues. The growth of our accumulated, distributed product and the high quality of our assets under management continues to provide strong revenue streams.
Total performance based income for the third quarter of 2018 was RMB33.6 million compared to RMB74.8 million for the same period last year. We have realized performance based income for 17 consecutive quarters, reflecting our ability to deliver investment return to our clients through market cycles. It demonstrates our effort to build a leading multi-strategy asset management platform with strong investment capabilities.
By segment, net revenues from wealth management business contributed over 68% of total net revenues, was RMB576.9 million, and grew 18% year-over-year. Net revenues for the asset management business amounted to RMB198.5 million, up 20.7% year-over-year. Our other financial services segment continued to grow and achieved net revenues of RMB63.6 million, doubled year-over-year. We are especially pleased that our other financial service business broke even this quarter.
In the third quarter, operating income was RMB271.1 million, a 69.1% increase year-over-year and the margin increased to 32.3% from 23.4% a year ago and 27.7% in the second quarter of 2018, mainly thanks to our focus on cost management. In this quarter, our selling expense was RMB81.2 million, slightly higher by 5.5% year-over-year and down 32.6% quarter-to-quarter, as we completed most of our brand campaign spending in the first half of the year.
General and administrative expenses was RMB60 million, flat year-over-year and decreased 12.4% quarter-over-quarter. Non-GAAP net income attributed to shareholders for the third quarter was RMB293.9 million, a strong increase of 40.5% year-over-year. This quarter, we adjusted for RMB35.7 million of share based compensation, RMB20.7 million of losses from unrealized fair value changes of equity securities and RMB29.9 million of gain from sales of equity securities.
On the balance sheet side, as of September 30, 2018, the company had RMB2.4 billion in cash and cash equivalents, improved from RMB2.1 billion in the previous quarter. The cash inflow for the quarter, the operating cash inflow for the quarter was RMB449.8 million, was mainly due to strong cash generation in our core businesses.
Finally, I would like to highlight that our performance year-to-date reflects strong fundamentals and steady profitability in our businesses. We remain confident in achieving our full year 2018 non-GAAP attributable net income guidance of RMB1 billion to RMB1.05 billion. 
With that, let's open up the call for questions. Operator?"
Operator,1,[Operator Instructions] The first question today will come from Katherine Lee with JP Morgan.
Katherine Lee,1,"Hi. Good morning. Thanks for giving me the opportunity to ask the first question. So when I look at the results, right, I think the -- on the profit lines, it is better than expected, but however, I have two key points that we want to ask. So first question is on WMP sales, because we looked at that actually in the third quarter, sales volume continued to contract and mainly on the PE products and on the secondary market product and as well as insurance as well. So can I get a clarity on management guidance on where do you think the sales trends will be and also I would like to ask because PE product has been a flagship product of Noah. Then going forward, do you think this will continue the trend or you are developing some other brand name products as well? So this is the first question.
The second question is actually also related to volume. It’s on Gopher’s AUM. Gopher’s AUM only up 2% QoQ in the 3Q. So on this one, what do you think will be the growth rate to be and what do you think the mix of the new AUM would be in the coming year? Okay. Thank you.
[indiscernible]
Yes. I think both questions, actually, at the end of the day, tied to the same theme. Is that investor belief that Noah has been very good at doing PE, no matter it's on the Gopher side or on the bill side [ph], but however people are thinking that maybe the PE industry as a whole, the growth has plateau at the stage. Then for Noah, then what are you going to sell going forward and what kind of product you're going to develop into the flagship product, that’s something that people -- because now when clients think about PE products, it’s likely that the first name came into their mind would be Noah, but I think you may not be able to say the same thing for other products. So how are Noah going to face this challenge?"
Shang Yan Chuang,1,"Yeah. Katherine, I will take a crack at answering both of your questions and will ask if madam Wang and Kenny have anything to add further. So as Madam Wang mentioned on earlier, since inception, we have actually been through four whole economic cycles in China and our strategy and business model have always been to continue to strengthen our diversified product and service offering. So since IPO, actually, I recall back in 2012, 2013 period, it was actually the economic environment was also quite challenging and the investment appetite for equity products, as a whole, including private equity in A share market was quite weak. But we continue to engage with product, engage with our clients through other products such as fixed income. 
And so the recent downturns in the investor appetite were not particularly worrying in the long term, because we still continue to see very robust wealth creation and we think the different demand for different large asset categories comes and goes. So this year is likely going to end to be a weaker year for private equity and a bit for publication, but as the cycle continued to develop, it is most likely we're going to see a reverse in investor appetite and then equity product will become more in favor. So the important thing for us is that we continue to strengthen our product and the investment capability across the large asset category and we feel quite satisfied, both in terms of private equity, A share, real estate, fixed income, even for insurance and now a lot of complimentary services such as trust planning. We have really cemented our expertise. And so that's on the wealth management side.
On the asset management side, you can see that in terms of our product mix, nearly 60% of our AUMs comes from private equity and so that really solidifies our leading position in terms of the private equity industry in China. These are very long-term duration products and the fact that we have been able to accumulate now nearly 100 billion of AUM shows that we have very strong positions going forward and we continue not only to invest in leading funds such as those that were mentioned by Madam Wang such as matrix somewhere, but we have also been, in the most recent year, adding our co-investment and direct investment capabilities."
Kenny Lam,1,"Shang -- I'll add to what Shang said, Katherine, thanks for the questions. This is Kenny here. I think in the market, indeed, Nova is known for private equity in DC. But as you can see in this quarter results, we've proved that clients are also coming to the Noah platform for other things. So if you look at the release of the results, the value of the products distributed this quarter was actually up 18.9% year-over-year. And if you look at the mix, as Shang said, it fluctuates between different four different types. It fluctuates between fixed income, private equity, secondary market and other products. So I think it shows that our platform, while not perfect, is now beginning to attract clients for things other than private equity and we're able to withstand the cyclical demand that may change from product to product. That's point number one.
Point number two, I think, you mentioned about insurance. I think we disclosed in our speeches that other services, which includes insurance, actually went up by 197% year-over-year. And so actually demand for insurance products through our insurance brokerage platform has increased substantially. So again it shows our efforts in recent years to be a lot more diversified in revenue base and our product base."
Operator,1,Your next question today will come from Xue Yuan with CICC.
Xue Yuan,1,[Foreign Language]
