type,name
Executives,"Kris Newton - VP, Corporate Communications and IR"
Executives,George Kurian - CEO
Executives,Ron Pasek - CFO
Analysts,Rod Hall - Goldman Sachs
Analysts,Andrew Nowinski - Piper Jaffray
Analysts,Katy Huberty - Morgan Stanley
Analysts,Aaron Rakers - Wells Fargo
Analysts,Steven Fox - Cross Research
Analysts,Wamsi Mohan - Bank of America Merrill Lynch
Analysts,David Ryzhik - Susquehanna
Analysts,Ananda Baruah - Loop Capital
Analysts,Joe Wittine - Longbow Research
Analysts,Simon Leopold - Raymond James
Analysts,Alex Kurtz - KeyBanc
Analysts,Erik Suppiger - JMP
Analysts,Eric Martinuzzi - Lake Street
Analysts,Jim Suva - Citi
Analysts,Nehal Chokshi - Maxim Group
Analysts,Rob Cihra - Guggenheim
Analysts,"Good afternoon, ladies and gentlemen. Welcome to NetApp’s Second Quarter Fiscal Year 2019 Financial Results Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions will be given at that time."
Analysts,"I will now turn the call over to Kris Newton, Vice President, Corporate Communications and Investor Relations."
