type,name
Executives,"Simona Jankowski - VP, IR "
Executives,Colette Kress - EVP & CFO
Executives,"Jen-Hsun Huang - Co-Founder, CEO, President & Director"
Analysts,Harlan Sur - JPMorgan Chase & Co.
Analysts,Toshiya Hari - Goldman Sachs Group
Analysts,Vivek Arya - Bank of America Merrill Lynch
Analysts,Christopher Caso - Raymond James & Associates
Analysts,Stacy Rasgon - Sanford C. Bernstein & Co.
Analysts,Joseph Moore - Morgan Stanley
Analysts,Pierre Ferragu - New Street Research
Analysts,Mark Lipacis - Jefferies
Analysts,Aaron Rakers - Wells Fargo Securities
Analysts,Christopher Muse - Evercore ISI
Analysts,William Stein - SunTrust Robinson Humphrey
Analysts,"Craig Ellis - B. Riley FBR, Inc."
