speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen, and welcome to the Q3 2018 Nuvectra Earnings Conference Call. [Operator Instructions] As a reminder, this conference call is being recorded.
I would now like to introduce your host for today's conference, Ms. Tram Bui, with The Ruth Group. Ma'am, you may begin."
Tram Bui,0,"Thanks, operator, and thanks everyone, for participating in today's call. Joining me from the company are Scott Drees, Chief Executive Officer; and Walter Berger, Chief Operating Officer and Chief Financial Officer. This call is also being broadcast live over the internet at www.nuvectramed.com, and a replay of the call will also be available on the company's website for 90 days.
Before we begin, I’d like to caution listeners that comments made by management during this conference call may include forward-looking statements within the meaning of federal securities laws. These forward-looking statements involve material risks and uncertainties. Such forward-looking statements are not guarantees of future performance and actual results and outcomes could differ materially from our current expectations.
For a discussion of risk factors, I encourage you to review the Nuvectra Form 10, 10-Q, 10-K and other reports filed or to be filed with the Securities and Exchange Commission. Furthermore, the content of this conference call contains time-sensitive information that is accurate only as of the date of the live broadcast, October 29, 2018. Nuvectra undertakes no obligation to revise or update any statements to reflect events or circumstances after the date of this call.
With that said, I'd like to turn the call over to Scott Drees."
Scott Drees,0,"Thanks, Tram, and good afternoon, everyone. I'd like to thank you for joining us today, and welcome you to our third quarter 2018 earnings conference call. On today's call, I will cover and provide updates on the following: our continued U.S. commercial success of Algovita, the current status of our Algovita post-market clinical studies, our regulatory submissions for Algovita MR conditional approvals, and the status of the Vertis PMA in the U.S.
Walter, will then provide a financial and operational update, with a brief review of our successful follow-on offering. And I will close with an overview of our key initiatives for the remainder of 2018, and then we’ll open the call for Q&A.
In the third quarter, we delivered record consolidated revenues of $14.2 million, representing an 87% year-over-year growth. Algovita revenue totaled 12.5 million for the quarter, representing a 98% year-over-year growth and 8% sequentially. We continue to enjoy growth in our U.S. Algovita business by expanding the number of case ready and revenue generating accounts, while increasing account penetration in both doctor practices and hospital systems.
Furthermore today, we have approximately 65 active territories, an increase of approximately 50% above Q3 of 2017. We remain encouraged by our ability to recruit and retain high caliber sales reps and look forward to continuing to drive growth through headcount increase and improved rep productivity. 
As we approach 2019, we remain optimistic on the overall strength of the SCS market, given that governmental and payer initiatives are limiting the long-term use of opioids by pain management physicians.
Last quarter, we shared details with you regarding CMS' 2019 proposal to increase physician trial SCS procedure reimbursement by approximately 20%. We're looking forward to the final 2019 published rates and believe that the confluence of these governmental and payer trends will continue to contribute to strong SCS growth in the near-term.
In the third quarter, we continue to execute on our hi-fi clinical studies initiative. As a reminder, the hi-fi study will compare the therapeutic effects of the company’s high-fidelity tonic wave form and our ultra-high pulse width wave form in blinded, randomized, cross-over design. Due to the high clinical interest in this study, we have decided to expand the study from 60 to 90 patients and from 12 to 14 clinical sites.
Our goal will be to conclude enrollment in the back half of 2019 and to begin to provide early study updates as appropriate. As we look ahead, we are planning additional study arms that will be designed to highlight the efficacy profiles of the various stimulation mode that Algovita delivers.
In Q3, we submitted additional data to advance our process for U.S. MR conditional head-only approval and anticipate conditional head-only response from FDA around year-end, with a goal of full body FDA MR approval in 2019. We also continue to advance our CE marked submission for a full-body MR capability in Europe and expect approval response in Q4 of 2018.
We reiterate our belief that FDA and CE marked approvals for our Algovita MR capability will add another compelling feature that will increase the demand for Algovita implants with our clinicians and patients.
Turning now to our Vertis PMA resubmission to FDA. In early August, we announced that we submitted responses to the agency to address FDA’s request for supplemental information related to questions around the device, labelling, and clarifications on MRI. This resubmission in turn initiated a new 180-day review process.
While the FDA has the ability to request clinical data to date based on previous discussions with our reviewers and outside consultants, we remain committed to our strategy of a literature-based PMA approach. That being said, and consistent with how we’ve discussed this in the past, the FDA still has the option to deny approval, grant approval, or ask additional questions as they review our submission.
And with that, I now like to turn the call over to Walter."
Walter Berger,0,"Thanks Scott, and good afternoon everyone. I’d like to now provide an overview of our third quarter 2018 financial results. In the third quarter, we generated consolidated revenue of $14.2 million, an increase of 87% from $7.6 million in the third quarter of 2017. Our Algovita revenue for the third quarter increased 98% year-over-year to $12.5 million, up from $6.3 million in the third quarter of 2017 and 8% sequentially.
Our neural interface components and systems revenue, which comes from our wholly-owned subsidiary NeuroNexus was $1.4 million, up 20% year-over-year. Our deep brain stimulation system development agreement with Aleva generated $400,000 of revenue in the third quarter of 2018, up 117% from 186,000 for the third quarter of 2017. Gross profit increased to $7.6 million in the third quarter 2018 from $3.5 million in the third quarter of 2017.
Gross margins increased from 810 basis points year-over-year to 54%. Third quarter 2018 operating expenses of $19.6 million, increased 35% year-over-year from $14.5 million in the third quarter of 2017. The increase was primarily the result of an increase in personnel-related expenses, principally for Algovita sales personnel.
Net loss for the third quarter of 2018 was $13 million or a loss of $0.87 per share, compared to a net loss of $11.6 million, or $1.09 loss per share in the third quarter of 2017. Total cash and cash equivalents were $101.9 million as of September 30, 2018, included in this amount are net proceeds of about $65 million from our most recent secondary offering and $5 million from the draw-down of the last tranche in the credit facility.
With that, I now like to turn the call back to Scott for closing comments."
Scott Drees,0,"Thanks Walter. Let me conclude by reiterating the company’s key initiatives for the remainder of 2018 and as we plan for 2019.
First, to continue expansion of SCS market share by increasing rep count and rep productivity, while further penetrating existing accounts and selling into new accounts. Second, to work closely with our regulatory bodies to attain Algovita MR conditional approval in both the U.S. and Europe, and finalize FDA approval for Vertis. 
Third, to accelerate post-market clinical studies focused on the clinical effectiveness of the four stimulation waveforms that our Algovita system is capable of. And lastly, to continue to remain good stewards of available cash as we continue to expand our commercial infrastructure.
With that, I'd now like to turn the call over to the operator to open the Q&A session."
Operator,1,Thank you. [Operator Instructions] Our first question comes from Matthew O'Brien with Piper Jaffray. Your line is now open.
Matthew O'Brien,1,"Good afternoon and thanks so much for taking the questions. Just to start with, by our math your market share in the U.S. is about 2.1%, so up about 20 basis points, but can you talk a little bit about the accounts that are, maybe you’ve been working with for a year or more, do you see your market share in those accounts, you know maybe 50%, even doubled that 2.1% in those areas when you aggregate everything altogether? Because what I'm trying to get a sense for is just to try to perm ratio, I know you guys don't want to give out what that number is, but just that as a leading indicator for where your share is kind of heading?"
Scott Drees,1,"Yes. Matt, it’s Scott. Thanks for the questions. So, on a couple of fronts. Number one, from an account perspective, I think we talked about this a numerous times in different ways with different investors, but what often happens is, you start with just getting trials and accounts, and usually that moves to a few implants. From there, when that is successful, you then kind of move into the stream with the account as may be the third participant in that count, you try to grow that to a second position and then to us first position. And you know, we continue to penetrate existing accounts.
Many of the accounts that we were in last year as that third party just getting started, we are now in a clear second place position, and in a number of accounts in a first-place position. So, we feel good about that transition going on. And from a trial to permanent ratio perspective, yet we don't publish it, but in the fact that we're not talking about it anymore that means that we’re in the mainstream, we feel like where we need to be, and we’re bullish moving forward. You know this whole market, SCS market quite frankly, is pretty hot. And the opioid epidemic is real. The change in from physicians prescribing pharmaceuticals as opposed to electroceuticals is a good thing, and we're bullish moving forward.
I hope that answers your question."
Matthew O'Brien,1,"That’s super helpful. To that end, when I adjust for all the new reps that you’ve been adding over the last kind of six months and there are some moving parts to this, but I’m getting a revenue per rep in that 800 to even closer to $1 million per rep this quarter, is that kind of a figure we should think about for the group as we enter 2019?"
Scott Drees,1,"Yes. What we’ve said publicly, I’ll continue to say. If you go to our slide deck around rep productivity, you will see basically three tiers that we try to get to. You know, we have that first level, which I believe in the slide deck is somewhere around $300,000 to $500,000 in year one with targets of more like 600,000 to 900,000 in year two; and then in year three trying to get over that $1 million mark. And for people who have been with us, two years or even less, we have a number of territories that have broken over that $1 million figure, so we feel like we’re in good step [ph] there.
And quite frankly, when we aggregate everybody, we feel good and we feel like we’re ahead of our own internal plan curve. So, I think that’s consistent with what we talk to investors about the past, and as we look forward into 2019, we would expect similar results."
