speaker,q&a,content
Company Participants,0,Rusty Frantz - President and Chief Executive Officer
Conference Call Participants,0,"Sean Wieland - Piper Jaffray
Jeff Garro - William Blair & Company
Westley Dupray - SVB Leerink
Sean Dodge - Jefferies
Anne Samuel - JPMorgan
Yueli Zhang - Citi
Steve Halper - Cantor Fitzgerald
Mike Ott - Oppenheimer
Donald Hooker - Keybanc
Gene Mannheimer - Dougherty & Company
Stan Berenshteyn - SunTrust"
Operator,0,"Welcome to the NextGen Healthcare Inc. Fiscal 2019 Fourth Quarter and Year End Results Conference Call. Hosting the call today from NextGen are Rusty Frantz, President and Chief Executive Officer and Jamie Arnold, Chief Financial Officer. Today’s call is being recorded. All lines have been placed on listen-only mode and the floor will be opened for your questions following the presentation. [Operator Instructions]
Before we start, I would like to remind everyone that the comments made on this call may include statements that are forward-looking within the meaning of the federal securities laws, including and without limitations, statements relating to anticipated industry trends, the company’s plans, future performance, products, perspectives and strategies. Risks and uncertainties exist that may cause results to differ materially from those expressed in these forward-looking statements, including among others, those risks set forth in the company’s public filings with the U.S. Securities and Exchange Commission, including the discussion under the heading Risk Factors in the company’s most recent Annual Report on Form 10-K and any subsequent quarterly reports on Form 10-Q. Any forward-looking statements speak only as of today. The company expressly disclaims any intent or obligation to update these forward-looking statements.
Our remarks on today’s call include both our earnings results and guidance, which contains certain non-GAAP financial measures. For our earnings results, the GAAP financial measures most directly comparable to each non-GAAP financial measure used or discussed and a reconciliation of the differences between each non-GAAP financial measure and the comparable GAAP financial measures can be found within our latest quarterly earnings press release that was filed with the SEC and is posted to the Investors section of our website. This release also provides qualitative descriptions of how we have calculated non-GAAP financial measures contained in our guidance.
At this time, I would like to turn the call over to Mr. Rusty Frantz, President and CEO of NextGen. Sir, you may begin."
Rusty Frantz,0,"Thank you, operator and thank you to everyone for joining us this afternoon to review NextGen Healthcare’s fiscal fourth quarter and full year 2019 results. Before I guide into the numbers and news, I would like to take a moment to address last week’s press release. Jamie Arnold, our CFO was admitted to the hospital last Wednesday for 5 days of treatment for a sudden illness. He has been discharged, is in a recovery facility and is expected to make a full recovery. Jamie continues to contribute professionally and will get a bit of extra support from me and from a strong finance and operating team until he returns to full strength. We are cheering for his speedy recovery. Today, Jamie will not be on the call and I will be handling the CFO message.
Turning to the call itself, we ended fiscal 2019 with solid performance delivering at the top end of our original earnings guidance and within our revised revenue guidance. Under ASC 605, our full year revenue of $527 million compares to $531 million in fiscal 2018 and our FY ‘19 non-GAAP EPS of $0.76 compares to $0.70 in the prior year. Our full year bookings came in at $133.5 million representing significant and meaningful growth over FY ‘18’s $116.9 million.
Turning to the fourth quarter, our revenue came in at $134 million compared to $136 million a year ago and our non-GAAP EPS of $0.19 compared to $0.16. Bookings for the quarter came in at $35.4 million versus $36.8 million in the same quarter last year. As we move into this year, we will leave ASC 605 behind and report exclusively under ASC 606, including year-over-year comparisons. Under ASC 606, revenue for FY ‘19 came in at $529 million and non-GAAP EPS came in at $0.86. At the start of fiscal ‘19, we committed to driving meaningful bookings growth throughout the year leading to revenue growth in FY ‘20.
We are pleased with the great full year bookings performance delivering a 14% year-over-year increase in bookings. However, we saw more muted growth in the back half of FY ‘19 and Q4 came in slightly down at 4% year-over-year. As we look to FY ‘20, we expect another full year of bookings growth though slightly more muted than the mid-teens growth rate in FY ‘19. The strong bookings growth in FY ‘19 and our expected FY ‘20 bookings will enable us to deliver organic revenue and earnings growth as we move through FY ‘20, more on that later. Legacy maintenance retention formally called out as attrition came in at 90.5% over the trailing 12 months continuing up from 87.9% last quarter and 86.2% at its highpoint in Q2. Clearly, the changes we have put in place are working and we are gratified to have raised the number above our 89% modeled level as we move into FY ‘20. We anticipate some volatility in the retention rate as we move forward and believe our modeled level is appropriate.
Our story is more than just numbers. In FY ‘19, we accomplished quite a lot. And on the call today, I would like to touch on a few of the many accomplishments since the beginning of FY ‘19. We had a very successful User Group Meeting, UGM 2018, where we launched our integrated ambulatory platform, bringing the breadth of our solutions and services together into one unified solution. After 2 years of most improved in KLAS, this year we won Best in KLAS for NextGen Enterprise Practice Management.
We were also highlighted for best product functionality for NextGen Office. We are also noted by KLAS for achieving significant improvement in interoperability against all other vendors. This resulted from bringing hundreds of clients into the care quality framework throughout the year enabling the exchange of millions of clinical records.
We are recently awarded the 2019 North American Enabling Technology Leadership Award in the ambulatory revenue cycle management services market by Frost & Sullivan. This validates the significant increase in client performance and satisfaction driven by continuous improvements in process and technology to support our managed financial services offerings, of which RCM is one. We saw the emergence of all-in deals where we are delivering the entire ambulatory platform to clients under a single recurring business model. Our new offering also had a significant effect on deal size increasing the efficiency of our sales production and helping to drive bookings growth. We also saw success with this model in competitive takeaways. We feel like our integrated ambulatory platform is enabling success in the competitive replacement market. As we see increasing signs of success in the replacement market, this continues to bolster our confidence as we increase investment in sales and marketing as we move through this year, FY ‘20.
While we saw a dip in retention in the early part of the year, we moved quickly to address it through both investment and leadership and significant process improvement and we are able to quickly bring retention above our modeled levels. In Q4, we have partnered with Veradigm to allow seamless integration of our clients with lab vendors, life insurance companies and to provide data for life science research without us having to make incremental investments. One of the qualitative dynamics I am most proud of, we continue to see strong and growing satisfaction from our clients. We have accomplished so much for and with them over the last 4 years. This satisfaction is foundational for our organic growth. Our clients and some other’s clients are viewing us as a trusted partner they want to invest with to drive their success in this transforming healthcare landscape.
Now, let’s turn to FY ‘20. As we move into more meaningful organic growth, we are conscious of our need to continually expand our delivery while simultaneously improving efficiency. To that end, we are planning some moves that will increase capabilities while also lowering our cost of operation. In both FY ‘20 and ‘21 we will continue to restructure the business as we make a few significant evolutions to position us for a more efficient, effective and capable future. Let me give you two examples of these changes. The first example centers around our managed hosting services. We will migrate all of our client and internal environments from their current hosting to AWS. We already have a significant client footprint on the AWS platform and by standardizing on it we will see improved manageability, scalability, security and uptime. In addition, we will see an annual savings of roughly $3 million when fully realized for a one-time investment of approximately $3 million. We talked about investing to both increase capabilities and decrease cost, this is a great example.
The second example centers around R&D. We see the need to expand and transition our R&D capabilities striving to get the best leverage out of our R&D spend. Two primary dynamics are driving this need: an increase in regulatory intensity requiring additional development on our core platforms and second, burgeoning interest in new and enhanced capabilities to support our clients’ transformation to value-based care. These changes in the macro environment both increased necessary investment for compliance, but also increase the opportunity for net-new innovation to drive share gain and revenue growth. These dynamics are driving our need for expanded capabilities and bandwidth most notably on the modern cloud-based technology stacks that much of our enterprise platform is built upon.
We have evaluated where that expansion will occur by looking across the geographic sites in our organization. Based on our analysis, increased investment in our Bangalore development center will provide the best leverage. We are well established in Bangalore and our superb leadership and capable experience teams represent our broadest capacity across the vast majority of our product lines. Not only do we have productive teams that can consistently produce high quality, but we also have a strong talent pool for recruiting at a favorable cost of operation. Our expansion in Bangalore is not engineered for R&D cost savings, but rather to increase our yield per investment dollar by adding significantly more of the right skill sets. We believe this will be a win for our clients as we service the demands regulatory compliance and innovation in value-based care capabilities. While we are increasing investment in some areas as part of this transition, we will also be reducing investment in other area, which will incur one-time cost associated with these changes. These evolutions are fundamentally about delivering more value to our clients, while continuing to ensure that every investment dollar is efficiently used in that pursuit.
I wanted to take a moment on the 606 transition as well. As stated earlier, we will now move to reporting all numbers under ASC 606 both results and year-over-year comps. Due to the accounting transition in FY ‘19 we had an $0.08 one-time uplift on the EPS line due to the change in the accounting treatment of sales commissions. That favorability will then be a headwind in terms of driving margin expansion on each of the next three years forecasted to show up in FY ‘20 as $0.03 of EPS to the negative. I point this out as it is a material change to the optics of the P&L over multiple years and will finally settle out in FY ‘22. On the revenue line, pickup was more muted at $1.9 million in FY ‘19 and represents no material ongoing impact to the P&L.
Turning now to our view of FY ‘20 and beyond, all now under ASC 606, in FY ‘20 we expect revenue between $543 million and $559 million, the midpoint of which represents slightly over 4% growth or mid single-digits. While earlier in FY ‘19 we forecast a high single-digit rate the retention dip we expected – that we experienced early in FY ‘19 combined with a strong bookings number that fell a bit shy of our expectations in Q4 and with slightly different composition has softened that outlook a bit. On the earnings line, we expect to come in between $0.86 and $0.94 delivering approximately 5% EPS growth at the midpoint. Adjusting out the sales commission changes, this would have been closer to 8% under the old standards giving us confidence in the leverage strength of our revenue growth.
As we look farther out towards FY ‘22, we see continued mid to high single-digit revenue growth throughout the period. This continued organic growth combined with a roughly flat spend below the gross margin line enabled by the consistent focus on efficiency, all combined to get us to our 20% operating margin target in FY ‘22. I want to finish my CEO comments by commenting on our balance sheet. As we move into our growth phase, we look forward to the resulting meaningful increases in both our free and operating cash flow metrics. As we have shown over the last 3 years, we have the ability to invest both in R&D and through acquisition, while continuing to improve our balance sheet at the same time. As we look at some of the rapid changes in the regulatory and reimbursement environments, we see both challenges and opportunities and see our cash generation capabilities as creating valuable optionality in the future both organically and inorganically. With that, I will move into the CFO view of the numbers.
While the GAAP results for FY ‘19 are reported on a 606 basis, we have provided an exhibit in the earnings release, which gives that FY ‘19 disaggregated revenue on a 605 basis. We will now review revenue for the quarter on a pro forma or 605 basis to facilitate comparison to the same period in the prior year. Total revenue of $134.3 million declined 1% compared to that same period last year. Using the reporting format that we introduced earlier this year, recurring revenue of $120.4 million increased compared to a year ago due to growth in EDI and data services, offsetting declines in support and maintenance. Recurring revenue was 90% of our total revenue slightly higher than the 87% in the prior year. Subscription revenue of $27.8 million increased 2% compared to a year ago. The growth was primarily driven by our connected health and analytics solutions.
Support maintenance revenue of $38.8 million decreased 5% year-over-year due to a drop in retention in our legacy NGE clients. Managed services revenue of $27.9 million increased 2% compared to a year ago due to favorability in RCM, hosting and lower client concessions. We remained focused on driving RCM penetration in our client base as well as leading with it in proposals to new clients. Electronic data interchange revenue of $25.8 million increased 11% year-over-year largely due to the Veradigm deal signed in Q4. Non-recurring or one-time revenue was $13.9 million, a 19% reduction over the same quarter last year. Software license and hardware revenue of $8.4 million declined 15% year-over-year. Non-recurring services revenue decreased 24% compared to a year ago due to completion of large client engagements.
Bookings came in at $35.4 million in the quarter, down 4% on a year-over-year basis, but a bookings increase at 8% sequentially. The cost of goods and operating expense comments are based on GAAP 606 basis. Gross profit declined $72.7 million or 1% mostly due to lower revenue and higher expenses associated with the amortization of acquired intangibles and capitalized development cost. Gross margin declined by less than 1% and remained at 54% with the increased amortization driving the decline.
Taking a look at our operating expenses, SG&A of $44.7 million, excluding amortization of acquired intangible assets, impairments and restructuring, is in 32% reduction from $65.7 million a year ago. This decrease is primarily due to lower securities litigation expense from a prior year settlement of $19 million. R&D of $19.8 million decreased about 6% compared to a year ago mostly due to reduced salaries and benefits and increased software capitalization of $0.5 million associated with the upcoming releases. Our GAAP tax rate for FY ‘19 was 16.4% with a non-GAAP tax rate of 22%. For FY ‘20 we will continue to use the non-GAAP tax rate of 22%. To conclude my comments on the income statement, our Q4 GAAP EPS is $0.06 compared to a loss of $0.17 a year ago, our non-GAAP EPS on a 605 basis of $0.19 for Q4, increased by $0.03 year-over-year.
Turning to the balance sheet, we ended the quarter with $33.1 million in cash and equivalents and $11 million outstanding against our revolving credit agreement. DSOs in the quarter were 59 days, an increase of 2 days from last year and equal to last quarter all within our expected range of 55 to 60 days. Our CapEx, excluding capitalized R&D was $1 million. Capitalized R&D was $6 million. Overall, we are generally pleased with our performance in Q4 as we execute our strategic plan and are looking forward to continued progress in FY ‘20. This concludes my review of the fourth quarter financial results.
I will now say a few words to close the call and move to Q&A. As we move into FY ‘20, we are excited just be seeing the front-end of leverage revenue growth. We are grateful to start to see the results of the turnaround start to materialize and proud of how far we have come. However, pride in the past can lead to complacency in the present and decline in the future. Therefore, we continue to evaluate ourselves and our market both strategically and operationally always challenging ourselves to be more innovative, more effective and constantly more efficient. Expect that self inspection to continue as we look to capitalize on the optionality and opportunity to both our client satisfaction and our dry powder increasingly provide. Thank you. And now I will open it up for questions."
Operator,1,[Operator Instructions] Our first question is from the line of Sean Wieland from Piper Jaffray.
Sean Wieland,1,Thanks Rusty and best wishes to Jamie for a speedy recovery if he is listening on the webcast.
Rusty Frantz,1,I am sure he is listening on the call.
Sean Wieland,1,"I am sure he is. So on the – as you put it the muted revenue outlook for this coming fiscal year just what – can you unpack that a little bit more in terms of the specifically around the composition of the bookings in the quarter and how that is contributing to your revenue outlook and as well as you know what was the delta, what you expected versus what actually came in?"
Rusty Frantz,1,"Yes, I mean what I’d say we had forecast a number that was probably $4 million to $5 million north of what we ended up realizing in Q4. Some things happened to deals. There is reasons I tend to find that there is always reasons. And so for me I feel like we had a good quarter, but we did not have the quarter we expected. When I looked at that and when we also looked at the impact of attrition, that attrition spike on the maintenance line put those two things together, but also looked at a better understanding of timings from booking to revenue, it made us pullback a little bit further than we expected to on the revenue line as we looked into next year. Is there upside? Yes, there is, but we really always try to hit kind of the center of our confidence interval. And so I’d say there is upside and downside from the number, but we feel good about the number that we have posted. That center point is at 5.51. It’s a little short of consensus and it’s definitely – it’s short of what our expectations were. That being said that as we look forward to this year, we expect another year of year-over-year bookings growth, but I would not say it will go year-over-year by quarter all the way through the year if that makes sense."
Sean Wieland,1,"Sure. And is that $4 million to $5 million, does that go into loss category, does go into the push-out quarter or category, are there still opportunities remaining with that or are there lot of opportunities?"
