speaker,q&a,content
Operator,0,"Ladies and gentlemen, thank you all for standing by, and welcome to today's OCI N.V. Third Quarter 2018 Results Conference Call. [Operator Instructions] I must advise you this conference is being recorded today, November 16, 2018.
I would now like to hand the conference over to your speaker for today, Director of Investor Relations, Hans Zayed. Please go ahead."
Hans Zayed,0,"Good afternoon and good morning to our audience in the U.S. Thank you for joining us on the OCI N.V. third quarter 2018 results conference call. You can find all the details of our results in our press release and financial statements, which we posted on our website this morning.
With me today are Nassef Sawiris, our Chief Executive Officer; and Hassan Badrawi, our Group Chief Financial Officer.
On this call, we will review OCI’s key operational events and financial highlights for the third quarter of 2018 followed by a discussion of OCI’s outlook. As usual, at the end of the call, we will host a question-and-answer session.
As a reminder, statements made of today's call contain forward-looking information. These statements are based on certain assumptions and involve certain risks and uncertainties. And therefore, I'd like to refer you to our disclaimers about forward-looking statements.
Now, let me introduce our Group Chief Financial Officer, Hassan Badrawi."
Hassan Badrawi,0,"Thank you, Hans, and thank you all for joining us. I will start with a brief summary of the results we published this morning, and then hand over the floor to our Chief Executive Officer, Nassef Sawiris.
Briefly, we reported a 16% increase in self-produced volumes, which reached 2.3 million tons during the quarter. This includes our 50% share in volumes from Natgasoline. We achieved this increase despite a number of opportunistic maintenance work in the IFCo and some maintenance work in Europe. Our realized selling prices enjoyed positive momentum and improved the across the Board compared to Q3 2017.
Because of the higher volumes and higher selling prices, third quarter revenue increased by 33% to the reported $774 million. Our adjusted EBITDA increased by 35% to $230 million, which again also include our 50% share in Natgasoline. Our methanol commercial team has been affected in managing the distribution of our 50% share in Natgasoline 's production as the plant successfully ramped up ahead of schedule.
On our primary measure of operational growth, we generated free cash flow of $69 million before growth CapEx during the quarter. This takes the total free cash flow year-to-date to $360 million compared to a much lower number in the same period last year around $70 million, which was CapEx heavier.
I would like to highlight a few items on our free cash flow. Firstly, there was some constitution of CapEx in the quarter. We had around $57 million of maintenance CapEx recorded during the quarter. We also had some growth CapEx which for the continued refurbishment of BioMCN’s second line and the installation of a new DEF tank at IFCo. Our total CapEx was around $95 million during the quarter.
We have not planned any turnarounds during the fourth quarter and we expect total CapEx to be in line with our guidance for the full year of around $300 million.
Secondly, we paid most of our annual taxes that was due, a total of $32 million during the third quarter as well. We expect some additional cash tax payments by year-end of $2 million to $4 million which would take the total for the year to a maximum of $37 million - $36 million.
Finally, we also have a first time working capital introduced reflecting two new distribution operations our OCI methanol marketing distribution arm and our N-7 which is the JV with our joint venture partner, the Kuda Gasification Company, also capturing the ramp up in our methanol distribution of Natgasoline.
Turning to our balance sheet now, our net debt moved up around $80 million to $4.4 billion as of 30 of September 2018, but this was driven by $120 million of expenditure to buy out minority partners in OCIP in July.
However, we continue the trend of a significant improvement in our leverage ratios. Our trending net debt to adjusted EBITDA stood at 5.5 times at the end of September down from 7 times at the end of 2017 and on track to reach we are guiding for a range of 4 times to 4.4 times by year end.
We have continued our drive to optimize our balance sheets and costs of debt. Earlier this week, we closed another successful placement of $900 million at Natgasoline including a $565 million term loan B facility and $36 million of bonds in the U.S. Texas debt markets.
The proceeds have been used for the refinance of existing debt of $252 million of taxes and bonds also remaining cash to shareholders. The new debt was also around 250 bps lower with the average costs of debt of the financing replaced and with this initiative, we have completed our target of refinancing plan for 2018.
Overall, we remain committed to our financial policy with a focus on deleveraging and achieving an investment grade profile as soon as possible which we believe can be accelerated given the appropriate market conditions and as we continue to benefit from the full ramp-up of our growth initiatives.
I would like now to hand over to Nassef Sawiris, our Chief Executive Officer, for further commentary on the results."
Nassef Sawiris,0,"Thank you, Hassan. Let me first give an update on recent developments followed by the outlook for the fourth quarter and 2019.
I'm pleased how our business is developing this year especially in the past few months. We were disciplined and stuck to our commercial strategy of limiting forward sales during the low month and the beginning of the summer. As a result, we have entered the fourth quarter with an excellent inventory position and forward book. We can capitalize on the higher pricing environment that materialized in September and October and expect these revenues to filter through in the fourth quarter results. This strategy has helped us both in the U.S. and in Europe.
For example, U.S. Midwest UAN prices are up almost 50% since the beginning of July and CAN prices in Europe are up almost 30% from that. Going forward, we will continue to limit forward sales to a maximum of six to eight weeks. We also expect a step-up in volumes this quarter, and I would like to highlight both our methanol and fertilizer operations in the U.S.
Our methanol business received a major boost from the introduction of Natgasoline which started up at the end of June and has achieved much better production rate than anticipated so far. In the recent weeks, performance of the plant has been even better, running effectively and efficiently at 104% utilization. Since the start of Natgasoline, it has produced to-date over half a million tons of methanol.
IFCo is also looking very positive. In July, we took a shutdown opportunistically to optimize production, which made it possible to postpone a turnaround that was initially planned for October 2019. Since the work was done, the plant has been running consistently at rates above nameplate.
The plant stepped up production even more in October when we received the permit to increase allowable ammonia production from 110% to 118% of nameplate capacity. As a result, our operation team has done a great job in bringing the production rates of the ammonia plant to almost 115% in the past four weeks and the urea plant to 117%.
Our DEF business and IFCo keeps growing at rates in the double digits from quarter-to-quarter, benefiting from a market that is growing in excess of 15% per year in North America. We have facilitated further strong growth and improved reliability of supply with some small investments in logistics, adding new railcars and a newly-constructed storage tank during this quarter. We are planning on doubling our current run rate of DEF during the course of 2019. So, volumes for DEF for 2019 will be effectively double those of 2018.
Now, turning to the outlook. First, for our end markets. We expect that we can maximize the benefits of an unexpected continued recovery in our end markets. Firstly, nitrogen markets are benefitting from tight supply despite some suggestion this week following the India tender that this was a different case. Not much spare capacity is currently available and very few new capacities are coming into the market over the next three or four years. These additions are further offset by expected plant closures and very low exports from China.
Secondly, inventory levels across the system are very low and well below the levels at the same time a year ago, in particular in major importing countries such as India and Brazil and even in Europe. And the demand outlook is favorable with an expected additional boost next year from an increase in corn acreage of potentially 4 million acres in the United States. That should provide an added boost that is not factored in.
Before I go to methanol, the Iran issue will currently does not reflect in our outlook. The balances for both nitrogen fertilizer, as well as for methanol do not reflect any change in Iran production or exports as a result of the recently imposed sanctions by the U.S.
With at least 4 million tons each - for each product, 4 million tons of urea and approximately 4 million tons of methanol, Iran is one of the largest exporters for both of these products globally. To date, selling price reflects full export capabilities out of Iran. So until now, Iran has not reduced exports for either product, but this may change in the coming months and after the six months waiver on oil is reviewed.
On methanol, in general, there are very few capacity additions coming in the next few years. And fundamentals remain robust even if there is some short-term volatility as a result of the fast drop in oil prices.
And then I look at the shorter term outlook for our business. We expect to end the year on a strong note and expect higher EBITDA and free cash flow in the fourth quarter compared to both the third quarter of 2018 and the fourth quarter of 2017. Our commercial strategy is paying off. Our sales volumes are going up. We've enjoyed a first full quarter of Natgasoline, and we have no major turnaround scheduled for the remainder of the year.
Our cost position is also favorable with a low blended average natural gas cost. We have a mix of long-term contracts with fixed gas prices in Egypt and Algeria, attractive pricing, and spot prices in Europe and the Unites States.
For our spot prices in the U.S. plants, we have hedged, primarily via collars, for more than 50% of our natural gas requirement to offset the risk of potential increases in natural gas prices over the period between now and 2021. The collars have a bandwidth of $2.45 per mmBtu as a floor on average and $3.50 on the high side.
In addition to those commitments, we selectively do forward fixed price purchases within that bandwidth. For example, we have hedged for approximately 70% of our natural gas requirements over the next 12 months in the U.S. Specifically, we are pleased that IFCo has over 70% of its requirements hedged via fixed price purchases at a price of around $2.40 per mmBtu.
As a result of our favorable outlook, we are on track to reach a leverage metric between 4 and 4.4 net debt to adjusted EBITDA by year-end, and expect to approach about 2.5 times net debt to EBITDA towards the end of 2019. At that point, we'll start the process of returning cash to shareholders in a combination of dividends and share buybacks.
With that, we will open the line for questions."
Operator,1,[Operator Instructions] Your first question comes from the line of [Roger Spitz]. Please ask your question.
Unidentified Analyst,1,"I had a few questions on the Natgasoline accounting. First, am I correct that Natgasoline equity pickup is included on your balance sheet under the line item income from equity accounting investees net of tax?"
Nassef Sawiris,1,"Hassan, do you want to answer that?"
Hassan Badrawi ,1,"On an accounting basis, Natgasoline will be accounted for using equity accounting. That's correct. But in our adjusted results, we’re going to be reflecting our 50% share on the adjusted EBITDA going forward."
Unidentified Analyst,1,"I understand that, I was coming to that. But this quarter, you have equity income of minus - of negative 3. That presumably includes the Natgasoline equity income pick up, is that correct?"
Hassan Badrawi ,1,That is correct.
