speaker,q&a,content
Operator,0,"Good day, ladies and gentlemen and welcome to the Oil-Dri Corporation of America Third Quarter 2018 Earnings Conference Call. At this time, all participants are in a listen-only mode. Later, we will conduct a question-and-answer session and instructions will follow at that time [Operator Instructions]
I'd now like to introduce your host for today’s conference, Mr. Dan Jaffee, President and CEO. You may begin."
Dan Jaffee,0,"All right. Thank you and welcome everybody to our third quarter and nine months Oil-Dri teleconference. With me in Chicago conference room is Dan Smith, our CFO; Laura Scheland, our General Counsel; Reagan Culbertson, our Investor Relations Manager; and Mike McPherson, our Chief Development Officer; and as always we’re going to turn it over to Dan for a review of the results and then we will open it up to Q&A.
Oh, I forgot about the Safe Harbor, [indiscernible] pointing at Reagan, I didn’t know which you had on her face. I would say nothing. Reagan, let's do the Safe Harbor?"
Reagan Culbertson,0,"On today’s call, comments may contain forward-looking statements regarding the Company’s performance in future periods. Actual results in those periods may materially differ. In our press release and our SEC filings, we highlight a number of important risk factors, trends and uncertainties that may affect our future performance. We ask that you review and consider those factors in evaluating the Company’s comments in evaluating any investment in Oil-Dri’s stock. Thank you."
Dan Jaffee,0,"Thank you. I apologize for missing the Safe Harbor. I figure most of our callers are loyal members and they know that nothing we say will [indiscernible] correlate to anything which will happen in the future. Just kidding, but that’s basically what the Safe Harbor says in a nutshell. Let's turn it over to Dan Smith."
Dan Smith,0,"Let's do that. Good morning, everyone. Oil-Dri reported sales of $64.8 million in the third quarter of fiscal '18, which was about the same as the third quarter of fiscal '17. Year-to-date we generated little over $200 million of sales for the first nine months of fiscal '18, which was a 2% -- which was 2% better than same period in fiscal '17.
Net sales were up for a B2B segment, but down for the retail wholesale segment. Earnings and diluted earnings per share both improved from the third quarter of fiscal '17. During the second quarter teleconference, we discussed the approximate $5 million negative tax, deferred tax asset adjustments which resulted from the federal tax rate change in the 2017 Tax Cut and Jobs Act enacted in December of 2017.
In the third quarter, the company made a business decision to contribute an incremental $11.5 million of company's pension plan before we filed our 7/31/17 income tax returns. This contribution is deductible at the old 35% federal tax rate and allow us to recapture over $1 million of negative rate impact recorded in the second quarter.
On a year-to-date basis, the tax expense adjustment has effectively reduced diluted net income per share by about $0.54, which was better than the $0.69 we discussed in the second quarter teleconference. The incremental contribution also reduced company's pension expense and federal PBGC pension insurance premium for the quarter and we believe for years to come in the future.
Our gross margin percentage for the quarter was 27.4%, which was almost identical in the third quarter of fiscal '17. Year-to-date our gross margin is 28.1%, which was down from the 29.3% for the first nine months of fiscal '17. We’ve experienced higher freight, manufacturing and packaging costs in fiscal '18 than in fiscal '17.
Sales for the retail wholesale team was down approximately 1% for the quarter. Sales for the first nine months are down less than a 0.5% compared to fiscal '17. Increased sales of private-label lightweight cat litters partially offset reduced sales of our branded cat litter.
Increased branded cat litter sales in e-commerce area have partially offset the loss of the brick-and-mortar customer. Profit for the segment was up about 47% for the quarter and 17% year-to-date as compared to the same period in fiscal '17.
Reduced advertising spending in the quarter in the first nine months drove the improved profit for the segment. The lower spending was partially offset by increased cost in freight and packaging. We expect advertising spending to be down for the full-year in fiscal '18 versus the full-year of fiscal '17.
Sales in the B2B area continue to be better than comparable periods in fiscal '17. Our operating profit was down for the quarter due to the increased cost for freight and packaging. On a year-to-date basis, 6% increase offset the increased cost and allow the unit to report about $1.2 million more in operating profit as compared to fiscal '17.
There were several significant changes to our balance sheet during the quarter. Like other companies, Oil-Dri took advantage of the old federal tax rate and made an incremental tax-deductible pension contribution in the quarter. This payment reduced the expenses I previously discussed and it reduced our cash and investment balances, along with our long-term pension vulnerability. We used about $6 million of our line of credit to facilitate the payment and anticipate paying off those short-term borrowings in the fourth quarter.
Next I will turn the meeting back over to Dan Jaffee."
Dan Jaffee,0,"Thank you, Dan. At this time, [indiscernible] I’d like to open it up to Q&A. We would like to encourage everyone to ask their most important question first and then go to the back of the line just to make sure everybody has time to get in at least one question."
Operator,1,"[Operator Instructions] And our first question comes from Ethan Starr, who is a Private Investor. Your line is now open."
Ethan Starr,1,Good morning.
Dan Jaffee,1,"Hi, Ethan."
Ethan Starr,1,How was the Litter for Good marketing program going? Are you pleased with the return on investment thus far?
Dan Jaffee,1,"Very, very pleased with the return on investment and very pleased with the traction. I have some sort of high level metrics that I'd be happy to share. Before Litter for Goods, this is really before January 1, we were putting on about two Cat’s Pride Club members a day. And just to remind people who aren’t as close to the company as you’re, what Litter for Good is is consumers can join the Cat's Pride Club for free, nominate any of their preferred shelter, it could to be a local shelter, it could be any shelter that they want to nominate to receive free litter. And then every time we sell a green jug of Cat's Pride Fresh & Light, we donate a pound to a nominated shelter based on the pro rata nominations that they got. And so that’s how the program works. So clearly a leading indicator is are we gaining Cat's Pride Club members. So for years, two, three years data that I’m looking at, we would put on one to two a day and that's it. I mean, it's just really -- there wasn't a lot of activity of Cat's Pride Club members. We’ve been averaging since January 1st 65 new club members a day. So sturdy twofold increase in the activity on that. Additionally, those members have made over 9,000 nominations for shelters to receive litter. We now have 2,200 shelters in our database and of those the shelter then needs to register to receive free litter and basically -- about a third of them have registered. So we've got almost 700 shelters that have registered. And so what that’s driven so far is 1.5 million pound in litter donations and our top shelter actually, this donation period had over 800 nominations. So we sent truckloads to the numerous shelters throughout the country, hitting both coast and pretty much everything in between. So the program is going very, very well, but it's a ground war. It's going to be a slug, slug, slug. We believe there are almost 13,000 shelters, independent shelters in the U.S. So the fact that we’ve 2,000 is great, but we really just scratched the surface of where this thing can go. Does that answer your question?"
Ethan Starr,1,"Partly. The example you gave us the example of top shelter at 800 nominations, are you seeing increased sales in the area around that shelter at retail?"
Dan Jaffee,1,"Well, yes and no. I think what you asked for was, are we happy with the return on investment, so if you look at like, let's say, the retail and wholesale segment, you can see the operating income for the quarter was up 47%, yet sales were relatively flat. So that kind of tells you that the way that happened was we’re spending less on advertising, yet we’re getting the sales. So the efficiency or the return has exploded. I mean, our cost per unit sold, in terms of marketing in the past was in technical term ginormous. When we were running lots of national TV and having to discount our products to get them to move and to get displayed and so forth. This program is allowing us to get equal to or greater movement at a much reduced price - cost to Oil-Dri. So obviously a higher return on investment."
Ethan Starr,1,Okay. Glad to know that. I will get back in the queue.
Dan Jaffee,1,Okay. Thank you.
Operator,1,[Operator Instructions] Our next question comes from John Bair with Ascend Wealth. Your line is now open.
John Bair,1,Thank you and good morning.
Dan Jaffee,1,"Hi, John."
John Bair,1,"In your news release, you indicated that sales for fluid purification for jet fuel -- refining jet fuel was up nicely. And I’m wondering if, you have application or potential for increased sales due to a pending bunker fuel reduced sulfur content in bunker fuel used for the maritime industry that’s going to come into play in 2020. And my understanding is it's pretty tight market on the diesel side. Any application there that could be beneficial to Oil-Dri?"
Dan Smith,1,"None that we know off. We are -- clay minerals are used in the refining industry are two applications. One is something called BTX that our clays don’t work and the other one is to refine kerosene, that refining process to turn kerosene into jet fuel is where some refineries have some clay treatment that’s used and we are seeing our increased sales in that application."
John Bair,1,Have you investigated or I mean is the clay material just not applicable to the low sulfur diesel refining processes? Is that kind of a totally different area then?
Dan Smith,1,"Yes, totally different, correct."
John Bair,1,Okay.
Dan Smith,1,The type of processes these oil refineries have in place doesn't utilize clay or any other type of filtration media to achieve their finished product.
John Bair,1,Yes.
Dan Smith,1,"We have looked at it though conceptually, but no."
John Bair,1,Yes. Okay. I’ve got other questions. I will get back in the queue. Thank you.
Dan Jaffee,1,"All right. Thank you, John."
Operator,1,And we’ve a follow-up question from Ethan Starr. Your line is now open.
Ethan Starr,1,Yes. I’m wondering to what extent are the higher trucking costs eating into profits?
Dan Jaffee,1,"Well, I mean, in short run, clearly they are going to be a major reason behind our 8-1 price increases that we will be taking and it will all be around freight inbound materials that we’re buying and outbound on materials that we’re shipping, but it's a nationwide pandemic. So we're not the only one experiencing it, all of our competitors are as well."
