speaker,q&a,content
Company Participants,0,"Dave Gennarelli - VP Investors Relations
Todd McKinnon - Co-Founder and Chief Executive Officer
Bill Losch - Chief Financial Officer
Frederic Kerrest - Company's Co-Founder and Chief Operating Officer"
Conference Call Participants,0,"Rob Owens - KeyBanc 
Heather Bellini - Goldman Sachs
Jonathan Ho - William Blair
Gray Powell - Deutsche Bank
Sterling Auty - J.P. Morgan
Hamza Fodderwala - Morgan Stanley 
Gregg Moskowitz - Mizuho Securities
Shaul Eyal - Oppenheimer
Alex Henderson - Needham
Andrew Nowinski - Piper Jaffray"
Operator,0,"Good day. And welcome to the Okta First Quarter Fiscal Year 2020 Earnings Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Dave Gennarelli, VP Investors Relations. Please go ahead, sir."
Dave Gennarelli,0,"Good afternoon. And thank you for joining us on today's conference call to discuss the financial results of Okta's First Quarter of Fiscal '20. With me on today's call are Todd McKinnon, Okta's Co-Founder and Chief Executive Officer; Bill Losch, Company’s Chief Financial Officer; and Frederic Kerrest, the Company's Co-Founder and Chief Operating Officer.
Today’s call will include forward-looking statements pursuant to the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995, including but not limited to, statements regarding our financial outlook, our market positioning. Forward-looking statements involve known and unknown risks and uncertainties that may cause our actual results, performance or achievements to be materially different from those expressed or implied by the forward-looking statements.
Forward-looking statements represent our management's belief and assumptions only as of the date made. Information on factors that could affect the company’s financial results is included in its filing with the SEC from time-to-time, including the sections titled Risk Factors in it's filed previously filed Form 10-K.
In addition, during today's call, we will discuss non-GAAP financial measures. These non-GAAP financial measures are in addition to and not a substitute for or superior to, measures of financial performance prepared in accordance with GAAP. A reconciliation between GAAP and non-GAAP financial measures and discussions of the limitations of using non-GAAP measures versus their closest GAAP equivalents is available in our earnings release.
You can also find more detailed information in our supplemental financial materials, which includes trended financial statements and key metrics posted on our Investor Relations website. On today’s call, we’ll quote a number of numeric or growth changes as we discuss our financial performance. And unless otherwise noted, each such reference represents a year-on-year comparison.
And now, I’d like to turn the call over to Todd McKinnon. Todd?"
Todd McKinnon,0,"Thanks, Dave, and thanks everyone for join us today. We kicked off fiscal year '20 with another strong quarter; total revenue grew 50%; subscription revenue grew 52%; calculated billings grew 53%; and we generated positive free cash flow of $13 million. We added 450 new customers in the quarter, bringing our total customer count to over 6,550. Once again, we made broad additions across our enterprise customer base with 53% growth in customers with annual contract value greater than $100,000.
The sequential addition of 104 of these customers is even more than our seasonally strong Q4. What really excites us about these numbers is that well over half of these additions came from new logos, providing a clear indication that we are experiencing increased traction landing customers at scale in the enterprise market.
The market tailwinds contributing to our momentum are the rapid growth of cloud and hybrid IT, digital transformation and security. These continue to strengthen and Identity plays a critical role in each of them. Organizations are turning to Okta, because we are uniquely able to address the broadest set of use cases across even the most complex technology environment.
I'll share a few customer examples from the quarter that highlight our momentum. First, one of the world's largest banks was a significant new workforce Identity deal. The company was looking for a Cloud Identity solution to enhance their security profile, and reduce IT friction of managing over 1,200 third-party SaaS and hosted applications. The company selected Okta, because it cloud easily integrate with its current technology landscape, automate on-boarding and off-boarding of employees and help them transition into a hybrid cloud future.
Another new workforce identity win was Takeda, one of the largest pharmaceutical companies in the world. After Takeda merged with Shire, the combined company needed to streamline access to all applications across their global workforce. Okta will provide Takeda's 37,000 employees with that secure seamless access so team members can collaborate more effectively. A new customer identity win was with a Fortune 100 global technology company. The company was looking to modernize its IoT marketplace, and improve the experience for its reseller partners. The company will implement Okta's Customer Identity products to provide secure, flexible access to partners when ordering IoT products and services in their IoT marketplace.
Lastly, eMoney Advisor, a leading provider of financial planning software, serving more than 60,000 financial professionals and 4 million households in the U.S., was a noteworthy Customer Identity upsell. The company has selected Okta secure its customers' and partners' sensitive data by providing seamless access to eMoney and resources and applications. What these organizations and many of our other customers have in common is that they are becoming technology companies by necessity.
Today, an organization's capacity for technology is what will determine its success. And we've built Okta Identity Cloud to enable that transition with the speed, scale, security and flexibility that our customers require. We are on the forefront of capitalizing on three broad technology trends. First, we are the platform to enable cloud adoption and hybrid IT. Organizations are rapidly adopting the cloud. These best-of-breed solutions need to co-exist with their existing on-premise applications and infrastructure in a frictionless way. One of their biggest challenges is ensuring the right people are able to access the right technologies at the right time regardless of where they're located.
This is why Identity has become so important. But unlike traditional identity solutions, Okta is an independent platform that is purpose-built for diverse environments and enables customers to adopt new technologies in a fraction of the time that it would take with legacy solutions. With Okta, companies like Hitachi are able to replace replace legacy systems, consolidate access and accelerate technology adoption for more than 300,000 employees across hundreds of business units.
Second, we have the platform to enable digital transformation. Okta is a true platform in the sense that it is extensible, flexible and easy to connect to and build on. Rather than building identity functionality themselves, companies like Allied Financial and Cardinal Health rely on Okta as the identity layer for their customer facing applications. This enables them to focus their developers on building core functionality, so that they can get to market faster, while also leveraging the full scale and security of Okta to protect the identities of their millions of customers.
Third, we are a platform to enable Zero Trust security. Mitigating the risk of security breaches is one of the top concerns of CEOs and boards face. And it has brought a lot of attention to this concept of Zero Trust. Security is now identity centric and requires organizations to never trust and always verify users who are trying to access resources. For customers like NASDAQ and AECOM, Okta lays the foundation for Zero Trust, because of our advanced access management capabilities and real time threat data that can be used to proactively protect organizations from attacks.
At Oktane last month, I talked about how our strategy is rooted in making our customers successful through our leading products, our growing set of integrations and use cases and the increasingly valuable data that we collect through millions of people using our service every day. As we built more products that leverage these integrations, we unlock more used cases, attract more customers and generate more data that can be used to build better products and make our customers more successful.
The result is a powerful network effect that we believe we're uniquely positioned to leverage, and the announcements we made at Oktane are a significant step forward in accelerating every aspect of the strategy. The first announcement we made, risk-based authentication, shows how we’re using data to make our customers more secure. When someone attempts to sign-in, Okta analyzes the users' context, including their device, location and network. Based on this data, they are assigned a high, medium, or low risk rating, which automatically determines and enforces an appropriate access decision.
The second Oktane announcement was Okta Hooks, which makes the Okta platform completely extensible with Hooks, developers and IT teams can customize authentication or user registration flows to include calls to third party systems. Hooks can be used to enable things like a deeper level of user verification or more streamlined account creation, enabling us to infinitely extend our integration catalog. As our customers build these integrations, they can be published to the Okta integration network for our broader community to leverage, further accelerating the network effect I discussed earlier.
We’re also making the core functionality of our platform more customizable to enable our customers to address an unlimited number of use cases. The third announcement out of Oktane was Okta Identity Engine, a set of customizable building blocks for every identity experience. We’ve essentially made the core functionality of our products consumable, such that our customers can customize their identity experiences in the way that best suits their business.
We also announced two brand new products at Oktane. First, Okta Access Gateway enable seamless access to on-premise applications that our customers, especially large enterprises can you use Okta for secure access from cloud to ground across their hybrid environment. And lastly, Okta Advanced Server Access, which is generally available today and already being used by dozens of customers. Advanced Server Access uses continuous authentication and centralized access controls for on-premises, hybrid and cloud servers. Secure access to service is a critical and underserved use case, and we're very encouraged by the positive response this new product has already got from our customers.
And other news this quarter, we are very excited that Diya Jolly has joined us as our new Chief Product officer. Diya brings over 15 years of experience, leading product development at some of the largest enterprises in the world. And most recently was VP of Product Management at Google where she drove large scale adoption of some of their most critical products. We're thrilled to have her on the Okta team, and are looking forward to continued innovation.
In summary, I'm very pleased with how we started fiscal year '20. Momentum continues to be on our side, both in terms of the market tailwinds that are powering our business, as well as the innovation we're driving. We are seeing great traction on all fronts and remain focused on executing against the large market opportunities in front of us.
Thanks again for your time. And I'd now like to turn the call over to Bill to walk through our financial results. Bill?"
Bill Losch,0,"Thanks, Todd. And thanks again to everyone for joining us. I'll go through our results for the first quarter and then discuss our business outlook for Q2 and the full year.
As Todd mentioned, we maintain the strong momentum we had exiting Q4 and experienced better than expected growth in many areas, including revenue, calculated billings and cash flow. Subscription revenue totaled $117 million in the first quarter, an increase of 52%, representing 94% of our total revenue, up from 92% in Q1 last year. Revenue from outside of the U.S. grew 60% and represented approximately 16% of our first quarter revenue compared to 15% in Q1 last year. We continue to view our international business as a long-term growth driver and are investing to expand our international footprint.
An example of this is our recent hosted data center expansion in Asia-Pacific, and the new office that we opened in Germany, which were both announced this afternoon. Another source of revenue growth is from the momentum of our partner resell channel. While still in its early stages, the partner channel already contributes over a quarter of our business. These channel partners provide Okta with a global reach and scale that we wouldn't be able to efficiently achieve on our own.
Moving on to billings, total calculated billings grew 53% and current calculated billings increased 54% over Q1 last year. The strength in billings continues to be driven by both new and existing customers across enterprise and commercial. Billings also benefited from strong bookings within the quarter and a particularly strong third month. The strong close relates to a combination of factors, including the momentum of our business and some beneficial invoice timing. That's a good segue for me to provide color on remaining performance obligations or RPO for the first time.
It's likely that you've heard other software companies reference RPO or backlog, which for us is contracted subscription revenues, both build and un-build that have not yet been recognized. We've been reporting RPO in our quarterly SEC filings since Q1 of last year as part of the adoption of ASC 606. We report both current RPO, which will be recognized as subscription revenue over the next 12 months and total RPO.
Total RPO at the end of Q1 was $792 million and we expect to recognize $416 million or 53% of that over the next 12 months. Growth in total RPO was 59% and current RPO grew 49%. We only have five quarters of history with this metric. And as such, RPO should be viewed as simply an additional metric to gauge our performance in the quarter.
Year-over-year growth in current RPO is a more meaningful metric when also viewing subscription revenue or billings growth. Billings can sustain variability caused by changes in invoice duration and invoice timing, while RPO can reduce some of the variability seen in billings, because it eliminates variances in these invoice dynamics. However, RPO can be influenced by factors such as contract duration and renewal cycles. There will be some quarters where growth in calculated billings outpaces growth in current RPO like we just experienced in Q1 and vice versa, depending on the influencing factors I noted.
Turning to retention. Our dollar based net retention rate for the trailing 12-month period remained strong at 119%. This represents a 1 point sequential decrease and is a natural reflection of the larger initial deals we're achieving with enterprise customer as evidenced by the 53% growth in customers with over $100,000 in annual contract value that Todd mentioned. So as we increasingly target large enterprise customers and initial deal size continues to grow, we believe our dollar-based net retention rate will remain very healthy and may fluctuate a bit from quarter-to-quarter.
Turning to gross margin. Subscription gross margin continues to be strong at 81.8%, up 110 basis points versus the first quarter last year. Total gross margin was 75.7% in the first quarter, up 160 basis points. Gross profit grew 53%.
Now, looking at operating expenses. Total operating expenses for Q1 grew 68%. The increase is primarily driven by sales and marketing investments as we look to capture more of our large addressable market win more of the world's largest organizations and expand geographically. Importantly, we also moved the timing of Oktane from Q2 last year to Q1 this year.
The overall expense growth reflects what we talked to you about last quarter, and the commitment we've made to investing in our strategic priorities, which include driving business with the world's largest organization, strengthening the network effects of our platform, the Okta Integration Network, expanding our presence with Customer Identity and investments in security with the Okta Identity Cloud. As usual, the biggest components in the spend increase is related to scaling headcount to support these strategic initiatives. We've been successful in attracting and retaining great talent, and total headcount from 40% to 1,770.
We continue to invest in our business as we scale for durable growth. Operating loss in the first quarter was $25 million a margin of negative 20% compared to negative 13% in the same period last year and reflects the increased investments I just noted. Keep in mind that Q1 each year experiences operating margin seasonality due to the reset of payroll taxes, expenses related to our annual worldwide sales kick-off event and as I said, the shift in Oktane timing to Q1 this year.
Net loss per share in Q1 was $0.19 with $113 million basic shares outstanding. This compares to a net loss per share in Q1 last year of $0.09 with 104 million basic shares outstanding at the time. Our top line performance and seasonally strong cash collections drove our solid cash flow performance.
Operating cash flow was $21 million in Q1. Operating cash flow margin was 70% compared to 5% in Q1 last year. Free cash flow was $13 million positive for the third quarter in a row. Free cash flow margin was positive 11% compared to negative 2% for Q1 last year. We remain encouraged by these results and expect the continued variability in cash flow margins due to ongoing fluctuations in working capital, the growth in enterprise business and seasonal factors. We ended the first quarter with $547 million in cash, cash equivalents and short-term investments.
During the quarter, we adopted the new lease accounting standard ASC-842 to reflect our operating leases on the balance sheet, resulting in the new operating right of use assets and liabilities line items. We have recast our prior year balance sheets to reflect the adoption. This has no impact on our current and prior period income statements or cash flows.
Moving on to our business outlook. We remain optimistic about the current demand environment. And based on our strong first quarter results, we are raising our full year outlook. For the second quarter, we expect total revenue of $130 million to $131 million, representing a growth rate of 37% to 38%; non-GAAP operating loss of $14.9 million to $13.9 million; non-GAAP net loss per share of $0.11 to $0.10, assuming shares outstanding of approximately 115 million.
For the full fiscal '20; we are raising our guidance and now expect total revenue of $543 million to $548 million, representing a growth rate of 36% to 37%; non-GAAP operation loss of $667 million to $62 million; non-GAAP net loss per share of $0.49 to $0.45, assuming shares outstanding of approximately $116 million.
In summary, we had a strong quarter and a great start to the new fiscal year. The overarching trends that are propelling our business remain in place, and we believe we are still in the early stages of this tremendous market opportunity. As such, we are making the appropriate investments to innovate our platform, fuel growth, further enhance our competitive positioning and capitalize on the tremendous market opportunity.
With that, Todd, Frederic and I, will take your questions. Operator?"
Operator,1,Thank you [Operator Instructions] We’ll take our first question from Rob Owens with KeyBanc Capital Markets. Please go ahead.
Rob Owens,1,"Great. And thank you guys for taking my question. As you’re seeing this increased traction with enterprise accounts and the move up market I guess with customer acquisition. Is that coming vis-à-vis the channel or is that coming more so direct at this point? And as channel contribution ramps, do you think that will be across the market, mid-market? Maybe just give us some flavor there."
Todd McKinnon,1,"Yes, it’s a good question. I would say that the things you mentioned are all factors, but I would back up a second. I would say, what’s really going on across the business is everyones -- companies large and small, every industry is figuring out how they can do more with the cloud, how they can transform digitally and then how they can do that all securely. So these are big secular trends we've talked about a lot before. But you’re seeing it, particularly with larger enterprises really contribute to our momentum there.
So when you talk about a large enterprise, the channel is a factor from the systems integrators that are helping those companies figure out how to do those things, adopt the cloud, transform digitally and do it securely, whether it’s in certain parts of the markets they want to buy through reseller channels, especially internationally. It’s like a reseller channel contribution. And not only our enterprises and every company wanting to capitalize on these macro trends, but the channel partners themselves are. They see big opportunities helping companies adopt the cloud and so forth. And so it’s a pretty positive combination across the board for us."
Rob Owens,1,"And as a housekeeping follow-up. Bill, do you have a fully diluted share count for us?"
